vintage,month,horizon_month,entity,division,actual_revenue,revenue_forecast,error,abs_pct_error,bias_pct
2024-02,2024-08,6,ES01,Spare Parts,1590409.96,1530162.54,-60247.419999999925,0.03788169183749322,-0.03788169183749322
2024-02,2024-08,6,JP01,Hardware,2228926.73,2399177.37,170250.64000000013,0.07638234030241099,0.07638234030241099
2024-02,2024-08,6,JP01,Software,561827.95,453190.71,-108637.23999999993,0.19336389369734977,-0.19336389369734977
2024-02,2024-08,6,JP01,Spare Parts,2186921.54,2125170.89,-61750.64999999991,0.028236335355679886,-0.028236335355679886
2024-02,2024-08,6,US01,Events,2314505.17,1623469.74,-691035.4299999999,0.2985672440731683,-0.2985672440731683
2024-02,2024-08,6,US01,Hardware,4733667.66,4519338.81,-214328.85000000056,0.04527754489633955,-0.04527754489633955
2024-02,2024-08,6,US01,Software,856171.17,686348.54,-169822.63,0.19835125959683972,-0.19835125959683972
2024-02,2024-09,7,DE01,Hardware,5035965.28,4920041.94,-115923.33999999985,0.023019090393728816,-0.023019090393728816
2024-02,2024-09,7,DE01,Software,696719.72,684912.88,-11806.839999999967,0.016946326709397528,-0.016946326709397528
2024-02,2024-09,7,ES01,Events,3859927.32,2805494.69,-1054432.63,0.2731742187311444,-0.2731742187311444
2024-02,2024-09,7,ES01,Hardware,4852993.2,4516116.82,-336876.3799999999,0.06941620688856516,-0.06941620688856516
2024-02,2024-09,7,ES01,Spare Parts,1965350.95,1902205.32,-63145.62999999989,0.03212944232682712,-0.03212944232682712
2024-02,2024-09,7,JP01,Hardware,3300078.87,2978937.83,-321141.04000000004,0.09731314088259958,-0.09731314088259958
2024-02,2024-09,7,JP01,Software,577455.07,565781.28,-11673.78999999992,0.020215927795040264,-0.020215927795040264
2024-02,2024-09,7,JP01,Spare Parts,2723259.63,2641883.64,-81375.98999999976,0.02988183319120394,-0.02988183319120394
2024-02,2024-09,7,US01,Events,1535962.77,2014150.44,478187.6699999999,0.31132764370323895,0.31132764370323895
2024-02,2024-09,7,US01,Hardware,5821395.33,5611435.61,-209959.71999999974,0.036066906316771265,-0.036066906316771265
2024-02,2024-09,7,US01,Software,879680.78,856864.77,-22816.01000000001,0.02593669262615924,-0.02593669262615924
2024-02,2024-10,8,DE01,Hardware,5430344.51,5123942.53,-306401.9799999995,0.05642404076495683,-0.05642404076495683
2024-02,2024-10,8,DE01,Software,699926.92,717198.33,17271.409999999916,0.024676019033529836,0.024676019033529836
2024-02,2024-10,8,ES01,Events,2744379.0,2919399.45,175020.4500000002,0.06377415437153548,0.06377415437153548
2024-02,2024-10,8,ES01,Hardware,5166169.24,4703277.6,-462891.6400000006,0.08960055671734064,-0.08960055671734064
2024-02,2024-10,8,ES01,Spare Parts,2053870.71,1983414.96,-70455.75,0.03430388760936174,-0.03430388760936174
2024-02,2024-10,8,JP01,Hardware,3562143.2199999997,3102393.52,-459749.6999999997,0.1290654731170522,-0.1290654731170522
2024-02,2024-10,8,JP01,Software,577700.52,592451.1,14750.579999999958,0.02553326419024161,0.02553326419024161
2024-02,2024-10,8,JP01,Spare Parts,2892509.7,2754671.89,-137837.81000000006,0.04765336136988583,-0.04765336136988583
2024-02,2024-10,8,US01,Events,2384801.62,2095926.16,-288875.4600000002,0.12113186169338487,-0.12113186169338487
2024-02,2024-10,8,US01,Hardware,5962704.71,5843989.53,-118715.1799999997,0.01990961917012317,-0.01990961917012317
2024-02,2024-10,8,US01,Software,844776.53,897255.7,52479.169999999925,0.06212195549514133,0.06212195549514133
2024-02,2024-11,9,DE01,Hardware,5718074.17,5328973.33,-389100.83999999985,0.0680475328636739,-0.0680475328636739
2024-02,2024-11,9,DE01,Software,694408.62,749975.47,55566.84999999998,0.0800203920279676,0.0800203920279676
2024-02,2024-11,9,ES01,Events,2545609.4699999997,3033761.57,488152.1000000001,0.1917623680116181,0.1917623680116181
2024-02,2024-11,9,ES01,Hardware,5233814.44,4891475.8,-342338.6400000006,0.06540901362181281,-0.06540901362181281
2024-02,2024-11,9,ES01,Spare Parts,2158695.72,2065254.73,-93440.99000000022,0.04328585503472449,-0.04328585503472449
2024-02,2024-11,9,JP01,Hardware,3750255.69,3226533.52,-523722.1699999999,0.13964972345658916,-0.13964972345658916
2024-02,2024-11,9,JP01,Software,580445.97,619527.09,39081.119999999995,0.06732947082051409,0.06732947082051409
2024-02,2024-11,9,JP01,Spare Parts,3028213.77,2868335.31,-159878.45999999996,0.052796292515372836,-0.052796292515372836
2024-02,2024-11,9,US01,Events,2112926.17,2178030.22,65104.05000000028,0.030812269223775234,0.030812269223775234
2024-02,2024-11,9,US01,Hardware,6182231.91,6077832.47,-104399.44000000041,0.016887014515118766,-0.016887014515118766
2024-02,2024-11,9,US01,Software,869465.96,938261.76,68795.80000000005,0.07912420171112858,0.07912420171112858
2024-02,2024-12,10,DE01,Hardware,6059123.18,5630572.57,-428550.6099999994,0.07072815608280791,-0.07072815608280791
2024-02,2024-12,10,DE01,Software,743284.82,796754.58,53469.76000000001,0.07193710750072901,0.07193710750072901
2024-02,2024-12,10,ES01,Events,2916094.62,3202868.33,286773.70999999996,0.09834170264337992,0.09834170264337992
2024-02,2024-12,10,ES01,Hardware,5477629.74,5168314.37,-309315.3700000001,0.05646883500380588,-0.05646883500380588
2024-02,2024-12,10,ES01,Spare Parts,2294252.09,2184758.24,-109493.84999999963,0.04772529160036622,-0.04772529160036622
2024-02,2024-12,10,JP01,Hardware,3904912.86,3409142.81,-495770.0499999998,0.12696059240615162,-0.12696059240615162
2024-02,2024-12,10,JP01,Software,603739.14,658169.59,54430.44999999995,0.090155576131771,0.090155576131771
2024-02,2024-12,10,JP01,Spare Parts,3235165.7,3034308.12,-200857.58000000007,0.06208571635140669,-0.06208571635140669
2024-02,2024-12,10,US01,Events,1752725.17,2299437.13,546711.96,0.3119210982746371,0.3119210982746371
2024-02,2024-12,10,US01,Hardware,6593999.9799999995,6421814.24,-172185.7399999993,0.026112487188694123,-0.026112487188694123
2024-02,2024-12,10,US01,Software,932882.23,996785.07,63902.83999999997,0.0685004365449216,0.0685004365449216
2024-02,2025-01,11,DE01,Hardware,4467091.39,4211126.18,-255965.20999999996,0.05730019550820069,-0.05730019550820069
2024-02,2025-01,11,DE01,Software,745319.03,599154.4,-146164.63,0.19611015433216564,-0.19611015433216564
2024-02,2025-01,11,ES01,Events,2049143.47,2393499.85,344356.3800000001,0.16804893607571564,0.16804893607571564
2024-02,2025-01,11,ES01,Hardware,4228645.6,3865401.55,-363244.0499999998,0.08590080237511506,-0.08590080237511506
2024-02,2025-01,11,ES01,Spare Parts,1739020.89,1635949.24,-103071.6499999999,0.05926993205929798,-0.05926993205929798
2024-02,2025-01,11,JP01,Hardware,2819715.93,2549710.59,-270005.3400000003,0.09575622037926364,-0.09575622037926364
2024-02,2025-01,11,JP01,Software,596645.73,494939.37,-101706.35999999999,0.17046356805402763,-0.17046356805402763
2024-02,2025-01,11,JP01,Spare Parts,2412982.75,2272093.08,-140889.66999999993,0.05838817952594146,-0.05838817952594146
2024-02,2025-01,11,US01,Events,1758636.32,1718366.75,-40269.570000000065,0.02289817942574964,-0.02289817942574964
2024-02,2025-01,11,US01,Hardware,5127357.43,4802898.77,-324458.66000000015,0.0632798989400667,-0.0632798989400667
2024-02,2025-01,11,US01,Software,906574.02,749576.07,-156997.95000000007,0.17317719958487235,-0.17317719958487235
2024-02,2025-02,12,DE01,Hardware,4821129.21,4415180.25,-405948.95999999996,0.08420204941987024,-0.08420204941987024
2024-02,2025-02,12,DE01,Software,750595.54,631622.27,-118973.27000000002,0.15850516511195897,-0.15850516511195897
2024-02,2025-02,12,ES01,Events,4109539.6,2507449.62,-1602089.98,0.3898465852476516,-0.3898465852476516
2024-02,2025-02,12,ES01,Hardware,4302643.11,4052703.22,-249939.89000000013,0.05808984933449433,-0.05808984933449433
2024-02,2025-02,12,ES01,Spare Parts,1844980.36,1717278.59,-127701.77000000002,0.06921578829164339,-0.06921578829164339
2024-02,2025-02,12,JP01,Hardware,2980378.1,2673259.22,-307118.8799999999,0.10304695233131658,-0.10304695233131658
2024-02,2025-02,12,JP01,Software,611390.77,521759.88,-89630.89000000001,0.14660164071498824,-0.14660164071498824
2024-02,2025-02,12,JP01,Spare Parts,2533945.69,2385047.59,-148898.1000000001,0.05876136200851254,-0.05876136200851254
2024-02,2025-02,12,US01,Events,1944392.2,1800174.77,-144217.42999999993,0.07417095686765249,-0.07417095686765249
2024-02,2025-02,12,US01,Hardware,5521686.0600000005,5035627.74,-486058.3200000003,0.08802715596619781,-0.08802715596619781
2024-02,2025-02,12,US01,Software,931047.71,790195.21,-140852.5,0.15128386922298537,-0.15128386922298537
2024-02,2025-03,13,DE01,Hardware,5180572.17,4764757.86,-415814.3099999996,0.080264167036978,-0.080264167036978
2024-02,2025-03,13,DE01,Software,759496.16,685359.32,-74136.84000000008,0.09761318608905156,-0.09761318608905156
2024-02,2025-03,13,ES01,Events,2716147.29,2703791.75,-12355.540000000037,0.004548921203754027,-0.004548921203754027
2024-02,2025-03,13,ES01,Hardware,4869884.63,4373581.23,-496303.39999999944,0.1019127633830618,-0.1019127633830618
2024-02,2025-03,13,ES01,Spare Parts,1979253.3,1855469.83,-123783.46999999997,0.06254048938556776,-0.06254048938556776
2024-02,2025-03,13,JP01,Hardware,3417998.09,2884917.97,-533080.1199999996,0.15596267346070977,-0.15596267346070977
2024-02,2025-03,13,JP01,Software,606140.1,566150.07,-39990.03000000003,0.06597489590277895,-0.06597489590277895
2024-02,2025-03,13,JP01,Spare Parts,2749024.93,2576974.91,-172050.02000000002,0.06258583475268811,-0.06258583475268811
2024-02,2025-03,13,US01,Events,3370352.77,1941134.79,-1429217.98,0.4240559008308201,-0.4240559008308201
2024-02,2025-03,13,US01,Hardware,5928981.44,5434330.08,-494651.36000000034,0.08342939929999178,-0.08342939929999178
2024-02,2025-03,13,US01,Software,938072.22,857423.3,-80648.91999999993,0.08597303947450861,-0.08597303947450861
2024-02,2025-04,14,DE01,Hardware,5268519.2,4874971.08,-393548.1200000001,0.07469805177895149,-0.07469805177895149
2024-02,2025-04,14,DE01,Software,766190.76,705046.93,-61143.82999999996,0.0798023588799217,-0.0798023588799217
2024-02,2025-04,14,ES01,Events,3028988.79,2764095.69,-264893.1000000001,0.08745265115358848,-0.08745265115358848
2024-02,2025-04,14,ES01,Hardware,4996344.79,4474746.18,-521598.61000000034,0.10439603988979318,-0.10439603988979318
2024-02,2025-04,14,ES01,Spare Parts,2037948.88,1900666.2,-137282.67999999993,0.06736316172955228,-0.06736316172955228
2024-02,2025-04,14,JP01,Hardware,3478786.8,2951648.77,-527138.0299999998,0.1515292716414814,-0.1515292716414814
2024-02,2025-04,14,JP01,Software,631341.31,582413.28,-48928.03000000003,0.0774985403695507,-0.0774985403695507
2024-02,2025-04,14,JP01,Spare Parts,2804442.32,2639746.03,-164696.29000000004,0.05872693077887944,-0.05872693077887944
2024-02,2025-04,14,US01,Events,3215244.46,1984428.83,-1230815.63,0.38280623613919545,-0.38280623613919545
2024-02,2025-04,14,US01,Hardware,6012303.86,5560031.12,-452272.7400000002,0.07522453131635302,-0.07522453131635302
2024-02,2025-04,14,US01,Software,947569.3,882053.62,-65515.68000000005,0.06914077946594518,-0.06914077946594518
2024-02,2025-05,15,DE01,Hardware,5412417.94,4985777.84,-426640.10000000056,0.07882615583821684,-0.07882615583821684
2024-02,2025-05,15,DE01,Software,770623.3099999999,725015.68,-45607.62999999989,0.05918278023539139,-0.05918278023539139
2024-02,2025-05,15,ES01,Events,1932368.5,2824636.58,892268.0800000001,0.4617484087532994,0.4617484087532994
2024-02,2025-05,15,ES01,Hardware,5135799.6,4576455.94,-559343.6599999992,0.10891072541070318,-0.10891072541070318
2024-02,2025-05,15,ES01,Spare Parts,2078838.18,1946200.04,-132638.1399999999,0.0638039753531946,-0.0638039753531946
2024-02,2025-05,15,JP01,Hardware,3689558.87,3018738.94,-670819.9300000002,0.1818157545755599,-0.1818157545755599
2024-02,2025-05,15,JP01,Software,635087.25,598908.73,-36178.52000000002,0.05696621999575652,-0.05696621999575652
2024-02,2025-05,15,JP01,Spare Parts,2882545.12,2702985.84,-179559.28000000026,0.062291923465191155,-0.062291923465191155
2024-02,2025-05,15,US01,Events,2334681.69,2027893.0,-306788.68999999994,0.13140493254992716,-0.13140493254992716
2024-02,2025-05,15,US01,Hardware,6069048.32,5686409.11,-382639.20999999996,0.06304764599402628,-0.06304764599402628
2024-02,2025-05,15,US01,Software,957289.79,907035.65,-50254.140000000014,0.052496266569394844,-0.052496266569394844
2024-02,2025-06,16,DE01,Hardware,5749031.21,5097180.66,-651850.5499999998,0.11338441664156487,-0.11338441664156487
2024-02,2025-06,16,DE01,Software,768304.72,745268.9,-23035.81999999995,0.029982661046257728,-0.029982661046257728
2024-02,2025-06,16,ES01,Events,4329535.31,2885415.16,-1444120.1499999994,0.33355084243440425,-0.33355084243440425
2024-02,2025-06,16,ES01,Hardware,5161243.41,4678712.82,-482530.58999999985,0.09349115158279268,-0.09349115158279268
2024-02,2025-06,16,ES01,Spare Parts,2153654.55,1992073.36,-161581.1899999997,0.07502651249245136,-0.07502651249245136
2024-02,2025-06,16,JP01,Hardware,3815187.25,3086190.01,-728997.2400000002,0.1910777092264607,-0.1910777092264607
2024-02,2025-06,16,JP01,Software,650292.64,615639.17,-34653.46999999997,0.05328903922394074,-0.05328903922394074
2024-02,2025-06,16,JP01,Spare Parts,2992253.97,2766697.13,-225556.84000000032,0.07538024588200322,-0.07538024588200322
2024-02,2025-06,16,US01,Events,1257448.3800000001,2071527.79,814079.4099999999,0.6474058283012777,0.6474058283012777
2024-02,2025-06,16,US01,Hardware,6244311.9399999995,5813466.92,-430845.01999999955,0.06899799756000012,-0.06899799756000012
2024-02,2025-06,16,US01,Software,975991.96,932373.57,-43618.390000000014,0.044691341514739545,-0.044691341514739545
2024-02,2025-07,17,DE01,Hardware,5229403.99,4624974.71,-604429.2800000003,0.11558282380856948,-0.11558282380856948
2024-02,2025-07,17,DE01,Software,778189.27,679924.72,-98264.55000000005,0.1262733293662608,-0.1262733293662608
2024-02,2025-07,17,ES01,Events,2270364.41,2615991.16,345626.75,0.1522340415827783,0.1522340415827783
2024-02,2025-07,17,ES01,Hardware,4803289.15,4245273.99,-558015.1600000001,0.11617355161722881,-0.11617355161722881
2024-02,2025-07,17,ES01,Spare Parts,1951425.66,1809695.09,-141730.56999999983,0.07262924379092148,-0.07262924379092148
2024-02,2025-07,17,JP01,Hardware,3464966.13,2800283.47,-664682.6599999997,0.19182948261603922,-0.19182948261603922
2024-02,2025-07,17,JP01,Software,658137.46,561660.75,-96476.70999999996,0.14659051621222102,-0.14659051621222102
2024-02,2025-07,17,JP01,Spare Parts,2711636.59,2513400.52,-198236.06999999983,0.07310569223437122,-0.07310569223437122
2024-02,2025-07,17,US01,Events,2233678.9,1878100.06,-355578.83999999985,0.15918977432253126,-0.15918977432253126
2024-02,2025-07,17,US01,Hardware,5759406.37,5274903.77,-484502.60000000056,0.08412370457547703,-0.08412370457547703
2024-02,2025-07,17,US01,Software,963629.47,850624.3,-113005.16999999993,0.1172703549633034,-0.1172703549633034
2024-02,2025-08,18,DE01,Hardware,4542451.05,4101191.72,-441259.3299999996,0.09714124052035732,-0.09714124052035732
2024-02,2025-08,18,DE01,Software,795726.88,606219.68,-189507.19999999995,0.2381560869226888,-0.2381560869226888
2024-02,2025-08,18,ES01,Events,2261436.11,2317851.5,56415.39000000013,0.024946709637532115,0.024946709637532115
2024-02,2025-08,18,ES01,Hardware,4116480.9,3764492.49,-351988.4099999997,0.08550711604176268,-0.08550711604176268
2024-02,2025-08,18,ES01,Spare Parts,1745874.2,1606670.66,-139203.54000000004,0.07973285818646042,-0.07973285818646042
2024-02,2025-08,18,JP01,Hardware,2897852.15,2483148.58,-414703.56999999983,0.14310722167105724,-0.14310722167105724
2024-02,2025-08,18,JP01,Software,655213.58,500775.73,-154437.84999999998,0.23570611891163792,-0.23570611891163792
2024-02,2025-08,18,JP01,Spare Parts,2409330.4,2231429.43,-177900.96999999974,0.07383834529294935,-0.07383834529294935
2024-02,2025-08,18,US01,Events,3606317.76,1664056.48,-1942261.2799999998,0.5385718645048072,-0.5385718645048072
2024-02,2025-08,18,US01,Hardware,5222020.84,4677515.67,-544505.1699999999,0.10427096840157381,-0.10427096840157381
2024-02,2025-08,18,US01,Software,972218.83,758415.13,-213803.69999999995,0.21991314445123425,-0.21991314445123425
2024-03,2024-04,1,DE01,Hardware,4672484.31,4816930.21,144445.90000000037,0.030914154102317442,0.030914154102317442
2024-03,2024-04,1,DE01,Software,626176.52,677180.28,51003.76000000001,0.08145268685577672,0.08145268685577672
2024-03,2024-04,1,ES01,Events,2336125.27,3332049.11,995923.8399999999,0.42631439879934174,0.42631439879934174
2024-03,2024-04,1,ES01,Hardware,4223652.46,4378042.67,154390.20999999996,0.03655372014202134,0.03655372014202134
2024-03,2024-04,1,ES01,Spare Parts,1836768.87,1846508.27,9739.399999999907,0.005302463559282724,0.005302463559282724
2024-03,2024-04,1,JP01,Hardware,3124271.45,2931023.95,-193247.5,0.061853620305623566,-0.061853620305623566
2024-03,2024-04,1,JP01,Software,530663.66,573817.02,43153.359999999986,0.08131960647163965,0.08131960647163965
2024-03,2024-04,1,JP01,Spare Parts,2562409.57,2586339.94,23930.37000000011,0.009339010547014198,0.009339010547014198
2024-03,2024-04,1,US01,Events,2236500.89,2551530.87,315029.98,0.14085841924256956,0.14085841924256956
2024-03,2024-04,1,US01,Hardware,5444249.79,5393320.33,-50929.45999999996,0.009354725070393944,-0.009354725070393944
2024-03,2024-04,1,US01,Software,797347.47,855249.36,57901.890000000014,0.07261813974276486,0.07261813974276486
2024-03,2024-05,2,DE01,Hardware,4877671.87,4926417.73,48745.860000000335,0.009993673477670882,0.009993673477670882
2024-03,2024-05,2,DE01,Software,643139.87,696359.78,53219.91000000003,0.08275013334191213,0.08275013334191213
2024-03,2024-05,2,ES01,Events,1436485.98,3405029.66,1968543.6800000002,1.370388369540509,1.370388369540509
2024-03,2024-05,2,ES01,Hardware,4613178.84,4477554.39,-135624.4500000002,0.029399347977586792,-0.029399347977586792
2024-03,2024-05,2,ES01,Spare Parts,1889660.71,1890744.67,1083.9599999999627,0.0005736267861546229,0.0005736267861546229
2024-03,2024-05,2,JP01,Hardware,3106416.27,2997645.33,-108770.93999999994,0.035014927345844715,-0.035014927345844715
2024-03,2024-05,2,JP01,Software,527950.87,590069.0,62118.130000000005,0.11765892155836395,0.11765892155836395
2024-03,2024-05,2,JP01,Spare Parts,2642776.48,2648300.32,5523.839999999851,0.0020901654157296917,0.0020901654157296917
2024-03,2024-05,2,US01,Events,1642528.15,2607416.04,964887.8900000001,0.5874407023100335,0.5874407023100335
2024-03,2024-05,2,US01,Hardware,5626967.02,5515909.04,-111057.97999999952,0.019736739100347442,-0.019736739100347442
2024-03,2024-05,2,US01,Software,807243.96,879472.23,72228.27000000002,0.08947514453994802,0.08947514453994802
2024-03,2024-06,3,DE01,Hardware,5032465.07,5036494.19,4029.1200000001118,0.000800625527242877,0.000800625527242877
2024-03,2024-06,3,DE01,Software,670652.19,715812.5,45160.310000000056,0.06733789984343458,0.06733789984343458
2024-03,2024-06,3,ES01,Events,2724133.55,3478296.74,754163.1900000004,0.27684516054655267,0.27684516054655267
2024-03,2024-06,3,ES01,Hardware,4766498.26,4577601.41,-188896.84999999963,0.03963010992476469,-0.03963010992476469
2024-03,2024-06,3,ES01,Spare Parts,1974395.35,1935310.86,-39084.48999999999,0.0197956756735676,-0.0197956756735676
2024-03,2024-06,3,JP01,Hardware,3291351.73,3064625.07,-226726.66000000015,0.06888557607910235,-0.06888557607910235
2024-03,2024-06,3,JP01,Software,562793.99,606552.5,43758.51000000001,0.07775226952938856,0.07775226952938856
2024-03,2024-06,3,JP01,Spare Parts,2724647.34,2710722.63,-13924.709999999963,0.005110646723182885,-0.005110646723182885
2024-03,2024-06,3,US01,Events,1780288.9,2663520.61,883231.71,0.496117068415132,0.496117068415132
2024-03,2024-06,3,US01,Hardware,5806770.37,5639157.17,-167613.2000000002,0.028865133166958726,-0.028865133166958726
2024-03,2024-06,3,US01,Software,842701.62,904040.17,61338.55000000005,0.07278798158712457,0.07278798158712457
2024-03,2024-07,4,DE01,Hardware,4687258.09,4569910.27,-117347.8200000003,0.02503549361840246,-0.02503549361840246
2024-03,2024-07,4,DE01,Software,678345.04,653051.01,-25294.030000000028,0.037287852801282405,-0.037287852801282405
2024-03,2024-07,4,ES01,Events,2820459.66,3153512.75,333053.08999999985,0.11808468482048767,0.11808468482048767
2024-03,2024-07,4,ES01,Hardware,4245864.9799999995,4153529.6,-92335.37999999942,0.0217471305458233,-0.0217471305458233
