entity,division,account,month,opening_balance,debits,credits,closing_balance
CZ01,Hardware,2100_AP,2026-02,-2490666.339999996,0.0,6030240.8,-8520907.139999997
CZ01,Hardware,2100_AP,2026-03,-8520907.139999997,587657.87,8270609.51,-16203858.779999997
CZ01,Hardware,2100_AP,2026-04,-16203858.779999997,9038125.190000001,7297084.01,-14462817.599999996
CZ01,Hardware,2100_AP,2026-05,-14462817.599999996,7687424.49,6845696.87,-13621089.979999997
CZ01,Hardware,2100_AP,2026-06,-13621089.979999997,7647083.67,5974006.3100000005,-11948012.619999997
CZ01,Hardware,2100_AP,2026-07,-11948012.619999997,5823338.97,6124673.65,-12249347.299999997
CZ01,Hardware,2100_AP,2026-08,-12249347.299999997,7967891.27,4281456.03,-8562912.059999999
CZ01,Spare Parts,2100_AP,2023-09,0.0,0.0,3985567.76,-3985567.76
CZ01,Spare Parts,2100_AP,2023-10,-3985567.76,3233005.85,1128842.86,-1881404.7699999998
CZ01,Spare Parts,2100_AP,2023-11,-1881404.7699999998,1084413.05,1195487.57,-1992479.2899999998
CZ01,Spare Parts,2100_AP,2023-12,-1992479.2899999998,1174449.42,1227044.79,-2045074.66
CZ01,Spare Parts,2100_AP,2024-01,-2045074.66,2045074.65,0.0,-0.010000000009313226
CZ01,Spare Parts,2100_AP,2024-02,-0.010000000009313226,0.0,955379.78,-955379.79
CZ01,Spare Parts,2100_AP,2024-03,-955379.79,223257.17,1098183.9100000001,-1830306.5300000003
CZ01,Spare Parts,2100_AP,2024-04,-1830306.5300000003,1157312.7,1009490.73,-1682484.5600000003
CZ01,Spare Parts,2100_AP,2024-05,-1682484.5600000003,1034049.37,972652.77,-1621087.9600000004
CZ01,Spare Parts,2100_AP,2024-06,-1621087.9600000004,877896.9,1114786.5699999998,-1857977.6300000004
CZ01,Spare Parts,2100_AP,2024-07,-1857977.6300000004,1438392.94,629377.01,-1048961.7000000004
CZ01,Spare Parts,2100_AP,2024-08,-1048961.7000000004,719722.18,493859.25,-823098.7700000004
CZ01,Spare Parts,2100_AP,2024-09,-823098.7700000004,0.0,1548370.78,-2371469.5500000003
CZ01,Spare Parts,2100_AP,2024-10,-2371469.5500000003,1579031.54,1188656.98,-1981094.9900000002
CZ01,Spare Parts,2100_AP,2024-11,-1981094.9900000002,1180017.51,1201616.1800000002,-2002693.6600000004
CZ01,Spare Parts,2100_AP,2024-12,-2002693.6600000004,1139893.92,1294199.57,-2156999.3100000005
CZ01,Spare Parts,2100_AP,2025-01,-2156999.3100000005,2118398.04,57901.86,-96503.13000000048
CZ01,Spare Parts,2100_AP,2025-02,-96503.13000000048,0.0,1009043.8999999999,-1105547.0300000005
CZ01,Spare Parts,2100_AP,2025-03,-1105547.0300000005,340650.36,1147344.96,-1912241.6300000004
CZ01,Spare Parts,2100_AP,2025-04,-1912241.6300000004,1294930.01,925967.3799999999,-1543279.0000000002
CZ01,Spare Parts,2100_AP,2025-05,-1543279.0000000002,834416.66,1063293.46,-1772155.8000000003
CZ01,Spare Parts,2100_AP,2025-06,-1772155.8000000003,981701.34,1185681.6400000001,-1976136.1000000006
CZ01,Spare Parts,2100_AP,2025-07,-1976136.1000000006,1520736.32,683099.62,-1138499.4000000004
CZ01,Spare Parts,2100_AP,2025-08,-1138499.4000000004,781802.58,535045.1799999999,-891742.0000000003
CZ01,Spare Parts,2100_AP,2025-09,-891742.0000000003,0.0,1733288.87,-2625030.8700000006
CZ01,Spare Parts,2100_AP,2025-10,-2625030.8700000006,1802327.17,1234055.5,-2056759.2000000007
CZ01,Spare Parts,2100_AP,2025-11,-2056759.2000000007,1209648.27,1270666.35,-2117777.2800000007
CZ01,Spare Parts,2100_AP,2025-12,-2117777.2800000007,1177955.74,1409732.27,-2349553.8100000005
CZ01,Spare Parts,2100_AP,2026-01,-2349553.8100000005,2349553.78,0.0,-0.030000000726431608
CZ01,Spare Parts,2100_AP,2026-02,-0.030000000726431608,0.0,1074914.48,-1074914.5100000007
CZ01,Spare Parts,2100_AP,2026-03,-1074914.5100000007,76215.83,1498047.98,-2496746.6600000006
CZ01,Spare Parts,2100_AP,2026-04,-2496746.6600000006,1624634.47,1308168.25,-2180280.4400000004
CZ01,Spare Parts,2100_AP,2026-05,-2180280.4400000004,1373328.98,1210427.16,-2017378.6200000003
CZ01,Spare Parts,2100_AP,2026-06,-2017378.6200000003,1276391.78,1111480.23,-1852467.0700000003
CZ01,Spare Parts,2100_AP,2026-07,-1852467.0700000003,1261660.32,886210.1000000001,-1477016.8500000003
CZ01,Spare Parts,2100_AP,2026-08,-1477016.8500000003,1060558.69,624687.21,-1041145.3700000003
DE01,Hardware,1100_AR,2023-09,0.0,4752778.57,0.0,4752778.57
DE01,Hardware,1100_AR,2023-10,4752778.57,4954829.09,623754.33,9083853.33
DE01,Hardware,1100_AR,2023-11,9083853.33,5113174.92,4822874.23,9374154.02
DE01,Hardware,1100_AR,2023-12,9374154.02,5380549.88,4890362.45,9864341.45
DE01,Hardware,1100_AR,2024-01,9864341.45,3973722.08,6552906.38,7285157.149999999
DE01,Hardware,1100_AR,2024-02,7285157.149999999,4286250.2,3713281.98,7858125.369999999
DE01,Hardware,1100_AR,2024-03,7858125.369999999,4596284.44,4027888.33,8426521.479999999
DE01,Hardware,1100_AR,2024-04,8426521.479999999,4538090.33,4644779.53,8319832.279999998
DE01,Hardware,1100_AR,2024-05,8319832.279999998,4690704.1,4410912.19,8599624.189999998
DE01,Hardware,1100_AR,2024-06,8599624.189999998,4729280.51,4658557.09,8670347.609999998
DE01,Hardware,1100_AR,2024-07,8670347.609999998,4425079.41,4982781.43,8112645.589999998
DE01,Hardware,1100_AR,2024-08,8112645.589999998,3734249.93,5000770.64,6846124.879999998
DE01,Hardware,1100_AR,2024-09,6846124.879999998,4626197.72,2990960.11,8481362.489999998
DE01,Hardware,1100_AR,2024-10,8481362.489999998,5071420.28,4255178.92,9297603.85
DE01,Hardware,1100_AR,2024-11,9297603.85,5236231.92,4934077.25,9599758.52
DE01,Hardware,1100_AR,2024-12,9599758.52,5582379.07,4947775.96,10234361.629999999
DE01,Hardware,1100_AR,2025-01,10234361.629999999,4340892.33,6616951.35,7958302.609999999
DE01,Hardware,1100_AR,2025-02,7958302.609999999,4597895.93,4126722.66,8429475.879999999
DE01,Hardware,1100_AR,2025-03,8429475.879999999,5008411.82,4255799.35,9182088.35
DE01,Hardware,1100_AR,2025-04,9182088.35,4883989.3,5112097.25,8953980.399999999
DE01,Hardware,1100_AR,2025-05,8953980.399999999,5036671.36,4756754.25,9233897.509999998
DE01,Hardware,1100_AR,2025-06,9233897.509999998,5121555.37,4965934.68,9389518.2
DE01,Hardware,1100_AR,2025-07,9389518.2,4724654.04,5452306.48,8661865.759999998
DE01,Hardware,1100_AR,2025-08,8661865.759999998,4248757.62,5121234.39,7789388.989999999
DE01,Hardware,1100_AR,2025-09,7789388.989999999,5166887.76,3483649.17,9472627.58
DE01,Hardware,1100_AR,2025-10,9472627.58,5418756.82,4956996.88,9934387.52
DE01,Hardware,1100_AR,2025-11,9934387.52,5658715.67,5218791.11,10374312.079999998
DE01,Hardware,1100_AR,2025-12,10374312.079999998,5768867.83,5566922.2,10576257.709999997
DE01,Hardware,1100_AR,2026-01,10576257.709999997,4360714.28,6942329.12,7994642.869999998
DE01,Hardware,1100_AR,2026-02,7994642.869999998,4654149.97,4116184.54,8532608.299999997
DE01,Hardware,1100_AR,2026-03,8532608.299999997,4984821.61,4378590.27,9138839.639999997
DE01,Hardware,1100_AR,2026-04,9138839.639999997,5382713.79,4653244.79,9868308.639999997
DE01,Hardware,1100_AR,2026-05,9868308.639999997,5472822.07,5307623.56,10033507.149999999
DE01,Hardware,1100_AR,2026-06,10033507.149999999,5441128.95,5499233.0,9975403.099999998
DE01,Hardware,1100_AR,2026-07,9975403.099999998,5431820.7,5448885.82,9958337.979999997
DE01,Hardware,1100_AR,2026-08,9958337.979999997,4885945.2299999995,5886716.93,8957566.279999997
DE01,Hardware,1200_INVENTORY,2023-09,0.0,12196346.76,3484670.45,8711676.309999999
DE01,Hardware,1200_INVENTORY,2023-10,8711676.309999999,3976816.44,3625283.68,9063209.069999998
DE01,Hardware,1200_INVENTORY,2023-11,9063209.069999998,3867722.17,3694551.87,9236379.369999997
DE01,Hardware,1200_INVENTORY,2023-12,9236379.369999997,4171241.38,3830748.7800000003,9576871.969999995
DE01,Hardware,1200_INVENTORY,2024-01,9576871.969999995,178077.15999999997,2787128.33,6967820.799999995
DE01,Hardware,1200_INVENTORY,2024-02,6967820.799999995,3567521.55,3010097.78,7525244.569999995
DE01,Hardware,1200_INVENTORY,2024-03,7525244.569999995,3949973.02,3278633.5,8196584.089999994
DE01,Hardware,1200_INVENTORY,2024-04,8196584.089999994,3060806.97,3216397.44,8040993.619999995
DE01,Hardware,1200_INVENTORY,2024-05,8040993.619999995,3513068.07,3301160.48,8252901.209999995
DE01,Hardware,1200_INVENTORY,2024-06,8252901.209999995,3447328.57,3342922.85,8357306.929999996
DE01,Hardware,1200_INVENTORY,2024-07,8357306.929999996,2556906.8600000003,3118346.82,7795866.969999995
DE01,Hardware,1200_INVENTORY,2024-08,7795866.969999995,1305303.41,2600334.42,6500835.959999995
DE01,Hardware,1200_INVENTORY,2024-09,6500835.959999995,4725991.74,3207665.11,8019162.589999996
DE01,Hardware,1200_INVENTORY,2024-10,8019162.589999996,4355022.42,3535481.4699999997,8838703.539999995
DE01,Hardware,1200_INVENTORY,2024-11,8838703.539999995,3873234.85,3631982.32,9079956.069999995
DE01,Hardware,1200_INVENTORY,2024-12,9079956.069999995,4526162.75,3887462.4499999997,9718656.369999995
DE01,Hardware,1200_INVENTORY,2025-01,9718656.369999995,806437.5399999999,3007169.56,7517924.349999994
DE01,Hardware,1200_INVENTORY,2025-02,7517924.349999994,3611842.47,3179933.3,7949833.519999995
DE01,Hardware,1200_INVENTORY,2025-03,7949833.519999995,4116274.33,3447459.44,8618648.409999995
DE01,Hardware,1200_INVENTORY,2025-04,8618648.409999995,2976001.96,3312757.14,8281893.229999993
DE01,Hardware,1200_INVENTORY,2025-05,8281893.229999993,3625561.33,3402129.76,8505324.799999993
DE01,Hardware,1200_INVENTORY,2025-06,8505324.799999993,3728641.99,3495419.08,8738547.709999993
DE01,Hardware,1200_INVENTORY,2025-07,8738547.709999993,2505575.33,3212606.58,8031516.459999993
DE01,Hardware,1200_INVENTORY,2025-08,8031516.459999993,1958668.64,2854338.52,7135846.5799999945
DE01,Hardware,1200_INVENTORY,2025-09,7135846.5799999945,5074741.37,3488739.29,8721848.659999996
DE01,Hardware,1200_INVENTORY,2025-10,8721848.659999996,3935744.1399999997,3616455.08,9041137.719999997
DE01,Hardware,1200_INVENTORY,2025-11,9041137.719999997,4253928.390000001,3798590.2,9496475.909999996
DE01,Hardware,1200_INVENTORY,2025-12,9496475.909999996,3958215.7800000003,3844197.47,9610494.219999997
DE01,Hardware,1200_INVENTORY,2026-01,9610494.219999997,657649.81,2933755.32,7334388.709999997
DE01,Hardware,1200_INVENTORY,2026-02,7334388.709999997,3626833.54,3131777.63,7829444.619999996
DE01,Hardware,1200_INVENTORY,2026-03,7829444.619999996,4577416.5,3544817.31,8862043.809999997
DE01,Hardware,1200_INVENTORY,2026-04,8862043.809999997,4817522.36,3908447.38,9771118.79
DE01,Hardware,1200_INVENTORY,2026-05,9771118.79,3850736.8400000003,3891958.7,9729896.93
DE01,Hardware,1200_INVENTORY,2026-06,9729896.93,3348531.12,3736693.79,9341734.260000002
DE01,Hardware,1200_INVENTORY,2026-07,9341734.260000002,3657013.09,3713927.8,9284819.55
DE01,Hardware,1200_INVENTORY,2026-08,9284819.55,2500964.81,3367366.99,8418417.370000001
DE01,Hardware,2100_AP,2023-09,0.0,0.0,408457.22,-408457.22
DE01,Hardware,2100_AP,2023-10,-408457.22,0.0,425432.73,-833889.95
DE01,Hardware,2100_AP,2023-11,-833889.95,395445.96,438443.99,-876887.98
DE01,Hardware,2100_AP,2023-12,-876887.98,415070.27,461817.71,-923635.4199999999
DE01,Hardware,2100_AP,2024-01,-923635.4199999999,580935.58,342699.84,-685399.6799999999
DE01,Hardware,2100_AP,2024-02,-685399.6799999999,315924.91,369474.77,-738949.54
DE01,Hardware,2100_AP,2024-03,-738949.54,344136.02,394813.52,-789627.04
DE01,Hardware,2100_AP,2024-04,-789627.04,398374.29,391252.75,-782505.5
DE01,Hardware,2100_AP,2024-05,-782505.5,378933.29,403572.21,-807144.42
DE01,Hardware,2100_AP,2024-06,-807144.42,400381.19,406763.23,-813526.46
DE01,Hardware,2100_AP,2024-07,-813526.46,432418.6,381107.86,-762215.72
DE01,Hardware,2100_AP,2024-08,-762215.72,440022.99,322192.73,-644385.46
DE01,Hardware,2100_AP,2024-09,-644385.46,246168.81,398216.65,-796433.3
DE01,Hardware,2100_AP,2024-10,-796433.3,360403.76,436029.54,-872059.0800000001
DE01,Hardware,2100_AP,2024-11,-872059.0800000001,421821.71,450237.37,-900474.74
DE01,Hardware,2100_AP,2024-12,-900474.74,421155.68,479319.06,-958638.12
DE01,Hardware,2100_AP,2025-01,-958638.12,584534.19,374103.93,-748207.8600000001
DE01,Hardware,2100_AP,2025-02,-748207.8600000001,352317.64,395890.22,-791780.4400000001
DE01,Hardware,2100_AP,2025-03,-791780.4400000001,360818.63,430961.81,-861923.6200000001
DE01,Hardware,2100_AP,2025-04,-861923.6200000001,441665.65,420257.97,-840515.9400000001
DE01,Hardware,2100_AP,2025-05,-840515.9400000001,407571.0,432944.94,-865889.8800000001
DE01,Hardware,2100_AP,2025-06,-865889.8800000001,425219.03,440670.85,-881341.7000000001
DE01,Hardware,2100_AP,2025-07,-881341.7000000001,474687.33,406654.37,-813308.74
DE01,Hardware,2100_AP,2025-08,-813308.74,446803.22,366505.52,-733011.04
DE01,Hardware,2100_AP,2025-09,-733011.04,288586.63,444424.41,-888848.8200000001
DE01,Hardware,2100_AP,2025-10,-888848.8200000001,422211.0,466637.82,-933275.6400000001
DE01,Hardware,2100_AP,2025-11,-933275.6400000001,446933.0,486342.64,-972685.2800000001
DE01,Hardware,2100_AP,2025-12,-972685.2800000001,476235.0,496450.28,-992900.5600000002
DE01,Hardware,2100_AP,2026-01,-992900.5600000002,616556.12,376344.44,-752688.8800000001
DE01,Hardware,2100_AP,2026-02,-752688.8800000001,351802.0,400886.88,-801773.7600000001
DE01,Hardware,2100_AP,2026-03,-801773.7600000001,372306.97,429466.79,-858933.5800000001
DE01,Hardware,2100_AP,2026-04,-858933.5800000001,395297.2,463636.38,-927272.76
DE01,Hardware,2100_AP,2026-05,-927272.76,456274.96,470997.8,-941995.6
DE01,Hardware,2100_AP,2026-06,-941995.6,473561.82,468433.78,-936867.56
DE01,Hardware,2100_AP,2026-07,-936867.56,469361.25,467506.31,-935012.6200000001
DE01,Hardware,2100_AP,2026-08,-935012.6200000001,514188.78,420823.84,-841647.6800000002
DE01,Software,1100_AR,2023-09,0.0,619954.0,0.0,619954.0
DE01,Software,1100_AR,2023-10,619954.0,630144.66,731811.28,518287.3800000001
DE01,Software,1100_AR,2023-11,518287.3800000001,622789.77,639965.7,501111.4500000002
DE01,Software,1100_AR,2023-12,501111.4500000002,639506.3,609687.14,530930.6100000002
DE01,Software,1100_AR,2024-01,530930.6100000002,646583.45,644337.5900000001,533176.47
DE01,Software,1100_AR,2024-02,533176.47,658263.4,644504.4299999999,546935.4400000002
DE01,Software,1100_AR,2024-03,546935.4400000002,652706.84,672554.01,527088.2700000003
DE01,Software,1100_AR,2024-04,527088.2700000003,626176.52,646465.79,506799.00000000023
DE01,Software,1100_AR,2024-05,506799.00000000023,643139.87,619890.62,530048.2500000001
DE01,Software,1100_AR,2024-06,530048.2500000001,670652.19,644129.78,556570.6599999999
DE01,Software,1100_AR,2024-07,556570.6599999999,678345.04,679628.48,555287.22
DE01,Software,1100_AR,2024-08,555287.22,686357.47,679768.05,561876.6399999999
DE01,Software,1100_AR,2024-09,561876.6399999999,696719.72,685556.47,573039.8899999999
DE01,Software,1100_AR,2024-10,573039.8899999999,699926.92,692909.37,580057.4400000001
DE01,Software,1100_AR,2024-11,580057.4400000001,698260.19,715139.72,563177.9099999999
DE01,Software,1100_AR,2024-12,563177.9099999999,743400.78,674099.14,632479.5499999999
DE01,Software,1100_AR,2025-01,632479.5499999999,748659.5599999999,765286.65,615852.4599999998
DE01,Software,1100_AR,2025-02,615852.4599999998,750004.72,751912.88,613944.2999999997
DE01,Software,1100_AR,2025-03,613944.2999999997,769038.17,742786.3200000001,640196.1499999997
DE01,Software,1100_AR,2025-04,640196.1499999997,770375.54,784372.1399999999,626199.5499999998
DE01,Software,1100_AR,2025-05,626199.5499999998,782891.93,760935.73,648155.75
DE01,Software,1100_AR,2025-06,648155.75,768304.72,801783.8200000001,614676.6499999999
DE01,Software,1100_AR,2025-07,614676.6499999999,781134.09,750571.31,645239.4299999997
DE01,Software,1100_AR,2025-08,645239.4299999997,786058.85,787259.12,644039.1599999998
DE01,Software,1100_AR,2025-09,644039.1599999998,806876.26,778514.98,672400.44
DE01,Software,1100_AR,2025-10,672400.44,819204.12,812485.21,679119.3500000001
DE01,Software,1100_AR,2025-11,679119.3500000001,837359.27,823432.96,693045.6600000001
DE01,Software,1100_AR,2025-12,693045.6600000001,835060.76,849995.71,678110.7100000002
DE01,Software,1100_AR,2026-01,678110.7100000002,836888.71,833644.34,681355.0800000002
DE01,Software,1100_AR,2026-02,681355.0800000002,832288.69,840623.53,673020.24
DE01,Software,1100_AR,2026-03,673020.24,883322.98,802730.9299999999,753612.29
