scenario,month,horizon_month,cash,trade_receivables_gross,credit_loss_allowance,trade_receivables,inventory_gross,inventory_provision,unrealized_ic_markup_reserve,inventory,ppe_gross,cip,accumulated_depreciation,trade_payables,tax_payable,debt,contract_liabilities,share_capital,retained_earnings,assets,liabilities,equity,balance_check
Downside,2027-03,7,209220216.84,52341240.88,112011.18,52229229.7,45347335.48,144214.2,3359061.89,41844059.39,123800000.0,0.0,-55367222.1,41184444.73,1171555.54,34778100.21,3626307.05,93120000.0,197845876.3,371726283.83,80760407.53,290965876.3,-0.0
Downside,2027-04,8,215267198.32,53320107.55,114105.97,53206001.58,46189094.08,146891.18,3421414.38,42620788.52,123800000.0,0.0,-56239860.99,41947495.68,2670454.39,34778100.21,3698645.44,93120000.0,202439431.71,378654127.43,83094695.72,295559431.71,0.0
Downside,2027-05,9,221549198.46,54296067.4,116194.54,54179872.86,47028040.75,149559.21,3483558.57,43394922.97,123800000.0,0.0,-57112499.88,42707973.52,4225003.05,34778100.21,3770982.64,93120000.0,207209434.99,385811494.41,85482059.42,300329434.99,0.0
Downside,2027-06,10,223079463.43,55269132.11,118276.92,55150855.19,47864183.07,152218.32,3545495.04,44166469.71,123800000.0,0.0,-57985138.77,43465887.22,1283707.81,34343373.96,3843320.74,93120000.0,212155359.83,388211649.56,82936289.73,305275359.83,0.0
Downside,2027-07,11,234910614.47,49932100.55,106855.58,49825244.97,43236123.42,137500.1,3202675.81,39895947.51,123800000.0,0.0,-58857777.66,39261853.53,2639728.58,34343373.96,3476522.16,93120000.0,216732551.06,389574029.29,79721478.23,309852551.06,0.0
Downside,2027-08,12,246090359.43,44085837.45,94344.47,43991492.98,38168431.91,121383.76,2827291.25,35219756.9,123800000.0,0.0,-59730416.55,34658906.7,3716158.96,34343373.96,3073327.21,93120000.0,220459425.93,389371192.76,75791766.83,313579425.93,0.0
Upside,2026-09,1,174805445.41,55761114.32,98576.77,55662537.55,46602410.55,130690.4,3452030.41,43019689.74,121700000.0,1050000.0,-50248055.44,42380143.81,1332092.15,35664130.97,3838271.6,93120000.0,169654978.73,345989617.26,83214638.53,262774978.73,0.0
Upside,2026-10,2,181022599.53,58330737.4,103119.45,58227617.95,48584701.84,136249.48,3598866.8,44849585.56,121700000.0,1437629.43,-51091527.66,44167744.02,3348590.73,35664130.97,4018486.35,93120000.0,175826952.74,356145904.81,87198952.07,268946952.74,0.0
Upside,2026-11,3,187762530.64,60935093.06,107723.54,60827369.52,50581649.61,141849.66,3746788.86,46693011.09,121700000.0,1770709.17,-51934999.88,45967476.99,5485750.83,35664130.97,4201428.38,93120000.0,182379833.37,366818620.54,91318787.17,275499833.37,0.0
Upside,2026-12,4,187644132.88,64592478.98,114189.21,64478289.77,53610464.24,150343.58,3971145.5,49488975.16,121700000.0,2002366.11,-52778472.1,48717944.97,1708971.02,35218329.33,4458915.06,93120000.0,189311131.44,372535291.82,90104160.38,282431131.44,0.0
Upside,2027-01,5,210566256.11,48465620.9,85679.5,48379941.4,40220079.73,112791.99,2979265.16,37128022.58,123800000.0,0.0,-53621944.32,36548061.36,3147731.87,35218329.33,3349670.78,93120000.0,194868482.43,366252275.77,78263793.34,287988482.43,-0.0
Upside,2027-02,6,215414850.26,50978937.13,90122.64,50888814.49,42300049.47,118624.99,3133337.0,39048087.48,123800000.0,0.0,-54494583.21,38436570.63,4728996.3,35218329.33,3527634.3,93120000.0,199625638.46,374657169.02,81911530.56,292745638.46,0.0
Upside,2027-03,7,213980775.19,55193846.72,97573.93,55096272.79,45791106.03,128415.2,3391933.78,42270757.05,123800000.0,0.0,-55367222.1,41607109.43,1439697.76,34778100.21,3823941.34,93120000.0,205011734.19,379780582.93,81648848.74,298131734.19,0.0
Upside,2027-04,8,221225125.87,56653930.32,100155.12,56553775.2,46995936.03,131793.99,3481180.45,43382961.59,123800000.0,0.0,-56239860.99,42700178.1,3341320.8,34778100.21,3929902.06,93120000.0,210852500.5,388722001.67,84749501.17,303972500.5,0.0
Upside,2027-05,9,228813756.7,58129927.52,102764.45,58027163.07,48213564.98,135208.68,3571375.18,44506981.12,123800000.0,0.0,-57112499.88,43804821.6,5329350.54,34778100.21,4037252.75,93120000.0,216965875.91,398035401.01,87949525.1,310085875.91,-0.0
Upside,2027-06,10,230509416.89,59621984.76,105402.17,59516582.59,49444103.63,138659.56,3662526.19,45642917.88,123800000.0,0.0,-57985138.77,44921141.84,1627051.09,34343373.96,4146010.65,93120000.0,223326201.05,401483778.59,85037577.54,316446201.05,-0.0
Upside,2027-07,11,244134557.51,54274521.0,95948.71,54178572.29,45003065.97,126205.25,3333560.44,41543300.28,123800000.0,0.0,-58857777.66,40884840.66,3415838.85,34343373.96,3778863.15,93120000.0,229255735.8,404798652.42,82422916.62,322375735.8,0.0
Upside,2027-08,12,257097192.36,48284488.63,85359.28,48199129.35,40030514.31,112260.37,2965223.28,36953030.66,123800000.0,0.0,-59730416.55,36366007.91,4890618.72,34343373.96,3366025.04,93120000.0,234232910.19,406318935.82,78966025.63,327352910.19,0.0
