division,product,revenue,variable_production_cost,variable_selling_cost,fixed_production_cost,marginal_contribution,gross_profit,opex,quantity,mc_pct,gross_margin_pct,operating_contribution,name,product_family,product_subfamily,product_type,quality_tier,quality_score,generation,strategic_role
Hardware,HW-EDG-SEC-P,4923113.77,2864946.95,270771.32,270771.32,1787395.9,1516624.6199999999,572663.4198330987,160.0,0.3630620748380552,0.30806207023730836,943961.2001669012,Aureon Secure Gateway Professional,Edge Appliances,Gateways,Secure Gateway,Professional,2,G2,Core
Hardware,HW-EDG-SEC-X,2094305.0,1482628.06,105971.83,126705.45,505705.07,378999.60000000003,253140.12772233813,46.0,0.24146677298674263,0.18096676463074865,125859.4722776619,Aureon Secure Gateway Premium,Edge Appliances,Gateways,Secure Gateway,Premium,3,G2,Premium
Hardware,HW-NET-ACC-E,5016497.27,2367279.62,297979.88,262112.1,2351237.65,2089125.81,602828.6799367709,246.0,0.46870107237195807,0.4164511007498266,1486297.1300632292,Aureon Access Node Essential,Network Devices,Access,Access Node,Essential,1,G2,Volume
Hardware,HW-NET-ACC-P,4341236.18,2437477.8,238768.05000000002,238768.05000000002,1664990.59,1426222.52,519137.9460763836,166.0,0.38352914261393634,0.3285291241629706,907084.5739236164,Aureon Access Node Professional,Network Devices,Access,Access Node,Professional,2,G2,Core
Hardware,HW-NET-ACC-X,2629433.48,1799343.26,133049.37,159080.66,697040.82,537960.12,292979.22633703717,68.0,0.2650916348718584,0.2045916445849773,244980.89366296283,Aureon Access Node Premium,Network Devices,Access,Access Node,Premium,3,G2,Premium
Hardware,HW-NET-DST-E,6647740.79,3363234.45,394876.09,347344.27,2889630.33,2542285.98,813128.2805771576,285.0,0.4346785503951637,0.3824285663821739,1729157.6994228424,Aureon Distribution Node Essential,Network Devices,Distribution,Distribution Node,Essential,1,G2,Volume
Hardware,HW-NET-DST-P,3349148.02,2015170.19,184203.04,184203.04,1149774.8800000001,965571.6,337780.28830778523,112.0,0.3433036919043071,0.2883036504310729,627791.3116922148,Aureon Distribution Node Professional,Network Devices,Distribution,Distribution Node,Professional,2,G2,Core
Hardware,HW-NET-DST-X,3360303.14,2463310.68,170031.24,203298.31,726961.13,523662.81,391271.9108205532,76.0,0.21633796110430678,0.155837967047223,132390.8991794468,Aureon Distribution Node Premium,Network Devices,Distribution,Distribution Node,Premium,3,G2,Premium
Hardware,HW-NET-RTR-E,6175529.7,3228684.3,366826.2,322671.35,2580019.11,2257347.7600000002,713046.3282094154,249.0,0.41778102208787044,0.3655310345280989,1544301.4317905847,Aureon Secure Router Essential,Network Devices,Distribution,Secure Router,Essential,1,G2,Volume
Hardware,HW-NET-RTR-P,4195889.74,2610171.04,230774.03,230774.03,1354944.57,1124170.93,469182.5235531239,132.0,0.3229218721081074,0.2679219425818372,654988.406446876,Aureon Secure Router Professional,Network Devices,Distribution,Secure Router,Professional,2,G2,Core
Hardware,HW-NET-SWC-E,5048888.34,2466646.15,299904.1,263804.6,2282337.92,2018533.6300000001,587081.2595965264,231.0,0.4520476125245424,0.39979763743398616,1431452.3704034737,Aureon Secure Switch Essential,Network Devices,Access,Secure Switch,Essential,1,G2,Volume
Hardware,HW-NET-SWC-P,5910974.13,3438864.01,325103.55,325103.55,2147006.67,1821902.93,687756.241828498,211.0,0.3632238312638326,0.30822380371338215,1134146.688171502,Aureon Secure Switch Professional,Network Devices,Access,Secure Switch,Professional,2,G2,Core
Hardware,HW-NET-SWC-X,1740731.44,1233478.85,88080.98,105314.2,419171.68,313857.4,207024.17135921528,42.0,0.24080203894059615,0.1803020229243404,106833.22864078474,Aureon Secure Switch Premium,Network Devices,Access,Secure Switch,Premium,3,G2,Premium
Hardware,HW-SEN-BIO-E,5059862.27,2471936.45,300555.85,264377.78,2287370.21,2022992.33,583701.0362469081,328.0,0.4520617534516409,0.399811738353898,1439291.293753092,Aureon Biometric Reader Essential,Sensors & Readers,Readers,Biometric Reader,Essential,1,G2,Volume
Hardware,HW-SEN-BIO-P,3542024.32,2061808.59,194811.44,194811.44,1285404.37,1090593.12,441669.88416861836,179.0,0.3629010570994612,0.30790108183108134,648923.2358313818,Aureon Biometric Reader Professional,Sensors & Readers,Readers,Biometric Reader,Professional,2,G2,Core
Hardware,HW-SEN-BIO-X,2312118.91,1639951.01,116993.18,139883.25,555174.62,415291.38,261444.59122365195,79.0,0.24011508127841052,0.1796150614070277,153846.78877634805,Aureon Biometric Reader Premium,Sensors & Readers,Readers,Biometric Reader,Premium,3,G2,Premium
Hardware,HW-SEN-CAM-E,4231854.79,2139183.62,251372.04,221114.46,1841298.83,1620184.28,474383.8898450605,257.0,0.43510444506532797,0.382854412639239,1145800.3901549396,Aureon Vision Sensor Essential,Sensors & Readers,Sensing,Vision Sensor,Essential,1,G2,Volume
Hardware,HW-SEN-CAM-P,3165943.9499999997,1904631.08,174127.0,174127.0,1087185.97,913058.71,338137.48178376426,150.0,0.34340025823893694,0.2884001499773867,574921.2282162358,Aureon Vision Sensor Professional,Sensors & Readers,Sensing,Vision Sensor,Professional,2,G2,Core
Hardware,HW-SEN-CAM-X,1907262.22,1401405.53,96507.4,115389.32,409349.18,293959.89,230289.63811576317,61.0,0.2146265865844079,0.15412662554601433,63670.251884236844,Aureon Vision Sensor Premium,Sensors & Readers,Sensing,Vision Sensor,Premium,3,G2,Premium
Hardware,HW-SEN-HUB-E,4499578.23,2352752.93,267274.91,235102.79,1879550.26,1644447.49,540625.3535995154,257.0,0.4177169867763361,0.36546702956201293,1103822.1364004845,Aureon Sensor Hub Essential,Sensors & Readers,Sensing,Sensor Hub,Essential,1,G2,Volume
Hardware,HW-SEN-HUB-P,4510467.87,2805621.03,248075.63,248075.63,1456771.31,1208695.39,528040.6854660183,201.0,0.32297565396469613,0.2679756124723265,680654.7045339816,Aureon Sensor Hub Professional,Sensors & Readers,Sensing,Sensor Hub,Professional,2,G2,Core
Hardware,HW-SEN-RFID-E,6142626.01,2894996.18,364871.84,320952.14,2882757.74,2561805.58,734596.9129895369,427.0,0.4693038018767482,0.41705380985745544,1827208.6670104633,Aureon RFID Reader Essential,Sensors & Readers,Readers,RFID Reader,Essential,1,G2,Volume
Hardware,HW-SEN-RFID-P,3543586.27,1989829.81,194897.23,194897.23,1358859.13,1163961.81,412679.74517694174,192.0,0.3834700290787615,0.3284700078714325,751282.0648230583,Aureon RFID Reader Professional,Sensors & Readers,Readers,RFID Reader,Professional,2,G2,Core
Hardware,HW-SEN-RFID-X,1500512.01,1026611.44,75926.0,90780.99,397974.61,307193.73,188550.35409239517,55.0,0.2652258744666762,0.2047259388480336,118643.37590760482,Aureon RFID Reader Premium,Sensors & Readers,Readers,RFID Reader,Premium,3,G2,Premium
Hardware,HW-TRM-FIX-E,5381788.6,2538140.88,319678.18,281198.45,2523969.46,2242771.07,618129.5097048699,306.0,0.46898338964856406,0.41673340160555544,1624641.56029513,Aureon Fixed Terminal Essential,Terminals,Fixed Terminals,Fixed Terminal,Essential,1,G2,Volume
Hardware,HW-TRM-FIX-P,4396553.74,2467079.65,241810.43,241810.43,1687663.49,1445853.28,506275.30004934367,195.0,0.3838605393687284,0.3288605952534086,939577.9799506564,Aureon Fixed Terminal Professional,Terminals,Fixed Terminals,Fixed Terminal,Professional,2,G2,Core
Hardware,HW-TRM-FIX-X,1635190.51,1119033.4,82740.59,98929.0,433416.37,334487.36,189299.95714212512,49.0,0.26505558058797685,0.20455559028409478,145187.40285787487,Aureon Fixed Terminal Premium,Terminals,Fixed Terminals,Fixed Terminal,Premium,3,G2,Premium
Hardware,HW-TRM-KSK-E,4791742.4,2341898.16,284629.61,250368.57,2165214.7199999997,1914846.22,579882.6493820682,254.0,0.45186375628205716,0.3996137647132283,1334963.570617932,Aureon Self-Service Kiosk Essential,Terminals,Fixed Terminals,Self-Service Kiosk,Essential,1,G2,Volume
Hardware,HW-TRM-KSK-P,4399598.47,2559329.83,241977.81,241977.81,1598290.88,1356312.88,491832.413418504,182.0,0.36328107914811597,0.3082810600213705,864480.466581496,Aureon Self-Service Kiosk Professional,Terminals,Fixed Terminals,Self-Service Kiosk,Professional,2,G2,Core
Hardware,HW-TRM-KSK-X,2217553.9899999998,1571451.06,112208.19,134161.99,533894.62,399732.68,224577.07234746954,62.0,0.24075834113062566,0.18025837558074517,175155.60765253045,Aureon Self-Service Kiosk Premium,Terminals,Fixed Terminals,Self-Service Kiosk,Premium,3,G2,Premium
Hardware,HW-TRM-MOB-E,4207384.89,2129085.33,249918.73,219835.92,1828380.71,1608544.9,464289.5104349439,209.0,0.4345646423614931,0.3823146543647924,1144255.389565056,Aureon Mobile Terminal Essential,Terminals,Mobile Terminals,Mobile Terminal,Essential,1,G2,Volume
Hardware,HW-TRM-MOB-P,3973393.37,2390912.5,218536.56,218536.56,1363944.3,1145407.5,423799.7444055818,154.0,0.3432693853817952,0.28826934394366294,721607.7555944182,Aureon Mobile Terminal Professional,Terminals,Mobile Terminals,Mobile Terminal,Professional,2,G2,Core
Hardware,HW-TRM-MOB-X,1985732.67,1459090.57,100478.13,120136.79000000001,426164.05,306027.17,230428.29472742853,52.0,0.21461300226278696,0.15411297533821608,75598.87527257146,Aureon Mobile Terminal Premium,Terminals,Mobile Terminals,Mobile Terminal,Premium,3,G2,Premium
