month,seller,buyer,division,invoice,manufacturing_cost,markup,ending_ic_balance
2024-09,CZ01,JP01,Hardware,514540.12,476426.03,38114.08,348241.04
2024-09,CN01,JP01,Spare Parts,1846949.52,1710138.45,136811.08,708605.32
2024-09,CZ01,JP01,Spare Parts,483271.05,447473.19,35797.86,348241.04
2024-09,CN01,US01,Hardware,4272002.83,3955558.17,316444.65,639074.89
2024-09,CZ01,US01,Hardware,2117695.47,1960829.14,156866.33,576689.03
2024-10,CN01,DE01,Hardware,1132244.79,1048374.81,83869.98,391255.69
2024-10,CZ01,DE01,Hardware,3273463.63,3030984.84,242478.79,627649.95
2024-10,CN01,ES01,Hardware,971848.72,899859.93,71988.79,506748.24
2024-10,CZ01,ES01,Hardware,3234172.47,2994604.14,239568.33,773196.04
2024-10,CN01,ES01,Spare Parts,297494.23,275457.62,22036.61,506748.24
2024-10,CZ01,ES01,Spare Parts,1045174.02,967753.72,77420.3,773196.04
2024-10,CN01,JP01,Hardware,2627065.02,2432467.61,194597.41,708605.32
2024-10,CZ01,JP01,Hardware,451317.75,417886.81,33430.94,348241.04
2024-10,CN01,JP01,Spare Parts,1408227.49,1303914.34,104313.15,708605.32
2024-10,CZ01,JP01,Spare Parts,357870.07,331361.18,26508.89,348241.04
2024-10,CN01,US01,Hardware,3043988.27,2818507.66,225480.61,639074.89
2024-10,CZ01,US01,Hardware,1733063.73,1604688.64,128375.09,576689.03
2024-11,CN01,DE01,Hardware,1078245.49,998375.45,79870.04,391255.69
2024-11,CZ01,DE01,Hardware,3499859.31,3240610.47,259248.84,627649.95
2024-11,CN01,ES01,Hardware,988658.52,915424.56,73233.96,506748.24
2024-11,CZ01,ES01,Hardware,3423384.93,3169800.86,253584.07,773196.04
2024-11,CN01,ES01,Spare Parts,291005.83,269449.84,21555.99,506748.24
2024-11,CZ01,ES01,Spare Parts,1000166.73,926080.31,74086.42,773196.04
2024-11,CN01,JP01,Hardware,2297234.74,2127069.2,170165.54,708605.32
2024-11,CZ01,JP01,Hardware,343743.46,318280.99,25462.48,348241.04
2024-11,CN01,JP01,Spare Parts,1514715.92,1402514.74,112201.18,708605.32
2024-11,CZ01,JP01,Spare Parts,327574.56,303309.78,24264.78,348241.04
2024-11,CN01,US01,Hardware,3383675.13,3133032.53,250642.6,639074.89
2024-11,CZ01,US01,Hardware,1865210.79,1727047.02,138163.76,576689.03
2024-12,CN01,DE01,Hardware,1342334.25,1242902.08,99432.17,391255.69
2024-12,CZ01,DE01,Hardware,3831347.01,3547543.53,283803.48,627649.95
2024-12,CN01,ES01,Hardware,1331945.06,1233282.46,98662.6,506748.24
2024-12,CZ01,ES01,Hardware,3482435.06,3224476.91,257958.15,773196.04
2024-12,CN01,ES01,Spare Parts,361452.8,334678.52,26774.28,506748.24
2024-12,CZ01,ES01,Spare Parts,1105562.96,1023669.41,81893.55,773196.04
2024-12,CN01,JP01,Hardware,2509350.04,2323472.26,185877.78,708605.32
2024-12,CZ01,JP01,Hardware,600566.42,556080.02,44486.4,348241.04
2024-12,CN01,JP01,Spare Parts,1638881.56,1517482.93,121398.63,708605.32
2024-12,CZ01,JP01,Spare Parts,370190.27,342768.76,27421.5,348241.04
2024-12,CN01,US01,Hardware,3105688.0,2875637.04,230050.96,639074.89
2024-12,CZ01,US01,Hardware,1981984.98,1835171.28,146813.7,576689.03
2025-01,CN01,DE01,Hardware,226510.42,209731.87,16778.55,391255.69
2025-01,CZ01,DE01,Hardware,812404.4,752226.3,60178.1,627649.95
2025-01,CN01,ES01,Hardware,49838.57,46146.82,3691.75,506748.24
2025-01,CZ01,ES01,Hardware,155267.55,143766.25,11501.3,773196.04
2025-01,CN01,ES01,Spare Parts,18905.64,17505.22,1400.42,506748.24
2025-01,CZ01,ES01,Spare Parts,56315.42,52143.91,4171.51,773196.04
2025-01,CN01,US01,Hardware,827666.64,766358.0,61308.64,639074.89
2025-01,CZ01,US01,Hardware,468341.17,433649.23,34691.94,576689.03
2025-02,CN01,DE01,Hardware,807205.98,747412.94,59793.04,391255.69
2025-02,CZ01,DE01,Hardware,2978962.23,2758298.36,220663.87,627649.95
2025-02,CN01,ES01,Hardware,888362.23,822557.62,65804.61,506748.24
2025-02,CZ01,ES01,Hardware,2767717.33,2562701.24,205016.1,773196.04
2025-02,CN01,ES01,Spare Parts,290000.97,268519.42,21481.55,506748.24
2025-02,CZ01,ES01,Spare Parts,875730.47,810861.54,64868.92,773196.04
2025-02,CN01,JP01,Hardware,1874235.72,1735403.44,138832.28,708605.32
2025-02,CZ01,JP01,Hardware,643893.34,596197.54,47695.8,348241.04
2025-02,CN01,JP01,Spare Parts,1307613.98,1210753.68,96860.29,708605.32
2025-02,CZ01,JP01,Spare Parts,258368.88,239230.45,19138.44,348241.04
2025-02,CN01,US01,Hardware,2756855.39,2552643.88,204211.51,639074.89
2025-02,CZ01,US01,Hardware,1599862.56,1481354.22,118508.34,576689.03
2025-03,CN01,DE01,Hardware,1060586.19,982024.25,78561.94,391255.69
2025-03,CZ01,DE01,Hardware,3818755.47,3535884.69,282870.78,627649.95
2025-03,CN01,ES01,Hardware,1081413.12,1001308.45,80104.68,506748.24
2025-03,CZ01,ES01,Hardware,3489457.89,3230979.53,258478.36,773196.04
2025-03,CN01,ES01,Spare Parts,283065.81,262097.97,20967.84,506748.24
2025-03,CZ01,ES01,Spare Parts,995774.72,922013.63,73761.09,773196.04
2025-03,CN01,JP01,Hardware,2427701.03,2247871.33,179829.71,708605.32
2025-03,CZ01,JP01,Hardware,741338.86,686424.87,54913.99,348241.04
2025-03,CN01,JP01,Spare Parts,1477740.01,1368277.79,109462.22,708605.32
2025-03,CZ01,JP01,Spare Parts,301797.25,279441.9,22355.35,348241.04
2025-03,CN01,US01,Hardware,2896899.92,2682314.74,214585.18,639074.89
2025-03,CZ01,US01,Hardware,2037539.7,1886610.83,150928.87,576689.03
2025-04,CN01,DE01,Hardware,976447.07,904117.66,72329.41,391255.69
2025-04,CZ01,DE01,Hardware,3169788.5,2934989.35,234799.15,627649.95
2025-04,CN01,ES01,Hardware,1074253.05,994678.75,79574.3,506748.24
2025-04,CZ01,ES01,Hardware,3055895.78,2829533.13,226362.65,773196.04
2025-04,CN01,ES01,Spare Parts,258726.9,239561.94,19164.96,506748.24
2025-04,CZ01,ES01,Spare Parts,962633.61,891327.42,71306.19,773196.04
2025-04,CN01,JP01,Hardware,1891516.19,1751403.88,140112.31,708605.32
2025-04,CZ01,JP01,Hardware,604190.79,559435.92,44754.87,348241.04
2025-04,CN01,JP01,Spare Parts,1372673.86,1270994.31,101679.54,708605.32
2025-04,CZ01,JP01,Spare Parts,371433.56,343919.96,27513.6,348241.04
2025-04,CN01,US01,Hardware,2650307.65,2453988.56,196319.08,639074.89
2025-04,CZ01,US01,Hardware,1949165.17,1804782.57,144382.61,576689.03
2025-05,CN01,DE01,Hardware,1052630.46,974657.83,77972.63,391255.69
2025-05,CZ01,DE01,Hardware,3605527.77,3338451.63,267076.13,627649.95
2025-05,CN01,ES01,Hardware,1126887.49,1043414.35,83473.15,506748.24
2025-05,CZ01,ES01,Hardware,3286155.75,3042736.8,243418.94,773196.04
2025-05,CN01,ES01,Spare Parts,263449.22,243934.46,19514.76,506748.24
2025-05,CZ01,ES01,Spare Parts,1006052.89,931530.45,74522.44,773196.04
2025-05,CN01,JP01,Hardware,2270807.02,2102599.09,168207.93,708605.32
2025-05,CZ01,JP01,Hardware,744410.65,689269.12,55141.53,348241.04
2025-05,CN01,JP01,Spare Parts,1340862.78,1241539.61,99323.17,708605.32
2025-05,CZ01,JP01,Spare Parts,365583.43,338503.18,27080.25,348241.04
2025-05,CN01,US01,Hardware,2801501.19,2593982.58,207518.61,639074.89
2025-05,CZ01,US01,Hardware,2026972.55,1876826.43,150146.11,576689.03
2025-06,CN01,DE01,Hardware,987372.37,914233.67,73138.69,391255.69
2025-06,CZ01,DE01,Hardware,3072809.64,2845194.11,227615.53,627649.95
2025-06,CN01,ES01,Hardware,1087915.55,1007329.21,80586.34,506748.24
2025-06,CZ01,ES01,Hardware,2819430.88,2610584.15,208846.73,773196.04
2025-06,CN01,ES01,Spare Parts,220889.75,204527.55,16362.2,506748.24
2025-06,CZ01,ES01,Spare Parts,1001020.13,926870.49,74149.64,773196.04
2025-06,CN01,JP01,Hardware,2103377.31,1947571.58,155805.73,708605.32
2025-06,CZ01,JP01,Hardware,694612.24,643159.48,51452.76,348241.04
2025-06,CN01,JP01,Spare Parts,1358117.1,1257515.83,100601.27,708605.32
2025-06,CZ01,JP01,Spare Parts,361335.08,334569.52,26765.56,348241.04
2025-06,CN01,US01,Hardware,2719909.64,2518434.85,201474.79,639074.89
2025-06,CZ01,US01,Hardware,1950816.75,1806311.81,144504.94,576689.03
2025-07,CN01,DE01,Hardware,896361.93,829964.75,66397.18,391255.69
2025-07,CZ01,DE01,Hardware,2377838.45,2201702.27,176136.18,627649.95
2025-07,CN01,ES01,Hardware,817400.87,756852.66,60548.21,506748.24
2025-07,CZ01,ES01,Hardware,1895169.62,1754786.69,140382.94,773196.04
2025-07,CN01,ES01,Spare Parts,153987.47,142580.99,11406.48,506748.24
2025-07,CZ01,ES01,Spare Parts,613914.3,568439.17,45475.13,773196.04
2025-07,CN01,JP01,Hardware,1248260.81,1155797.05,92463.76,708605.32
2025-07,CZ01,JP01,Hardware,395451.82,366159.09,29292.73,348241.04
2025-07,CN01,JP01,Spare Parts,796774.9,737754.53,59020.36,708605.32
2025-07,CZ01,JP01,Spare Parts,212904.45,197133.75,15770.7,348241.04
2025-07,CN01,US01,Hardware,2132570.27,1974602.1,157968.17,639074.89
2025-07,CZ01,US01,Hardware,1553733.73,1438642.35,115091.39,576689.03
2025-08,CN01,DE01,Hardware,621604.79,575559.99,46044.8,391255.69
2025-08,CZ01,DE01,Hardware,1564862.4,1448946.67,115915.73,627649.95
2025-08,CN01,ES01,Hardware,864512.72,800474.74,64037.98,506748.24
2025-08,CZ01,ES01,Hardware,1342897.49,1243423.6,99473.89,773196.04
2025-08,CN01,ES01,Spare Parts,119496.87,110645.25,8851.62,506748.24
2025-08,CZ01,ES01,Spare Parts,496432.61,459659.83,36772.79,773196.04
2025-08,CN01,JP01,Hardware,682352.63,631807.99,50544.64,708605.32
2025-08,CZ01,JP01,Hardware,270728.78,250674.8,20053.98,348241.04
2025-08,CN01,JP01,Spare Parts,657465.78,608764.61,48701.17,708605.32
2025-08,CZ01,JP01,Spare Parts,178002.83,164817.44,13185.4,348241.04
2025-08,CN01,US01,Hardware,1453350.36,1345694.78,107655.58,639074.89
2025-08,CZ01,US01,Hardware,1061304.26,982689.13,78615.13,576689.03
2025-09,CN01,DE01,Hardware,2049042.25,1897261.34,151780.91,391255.69
2025-09,CZ01,DE01,Hardware,4331417.28,4010571.56,320845.72,627649.95
2025-09,CN01,ES01,Hardware,2532991.34,2345362.35,187628.99,506748.24
2025-09,CZ01,ES01,Hardware,3567038.94,3302813.83,264225.11,773196.04
2025-09,CN01,ES01,Spare Parts,394273.42,365067.98,29205.44,506748.24
2025-09,CZ01,ES01,Spare Parts,1461794.52,1353513.45,108281.08,773196.04
2025-09,CN01,JP01,Hardware,3317937.41,3072164.27,245773.14,708605.32
2025-09,CZ01,JP01,Hardware,1230391.84,1139251.7,91140.14,348241.04
2025-09,CN01,JP01,Spare Parts,1978127.33,1831599.38,146527.95,708605.32
2025-09,CZ01,JP01,Spare Parts,511848.62,473933.9,37914.71,348241.04
2025-09,CN01,US01,Hardware,3735457.64,3458757.07,276700.57,639074.89
2025-09,CZ01,US01,Hardware,2797110.0,2589916.67,207193.33,576689.03
2025-10,CN01,DE01,Hardware,1940334.22,1796605.76,143728.46,391255.69
2025-10,CZ01,DE01,Hardware,3224542.82,2985687.79,238855.02,627649.95
2025-10,CN01,ES01,Hardware,1870640.38,1732074.43,138565.95,506748.24
2025-10,CZ01,ES01,Hardware,2419005.17,2239819.6,179185.57,773196.04
2025-10,CN01,ES01,Spare Parts,295913.12,273993.63,21919.49,506748.24
2025-10,CZ01,ES01,Spare Parts,1067521.38,988445.72,79075.66,773196.04
2025-10,CN01,JP01,Hardware,1936863.92,1793392.52,143471.4,708605.32
2025-10,CZ01,JP01,Hardware,779781.77,722020.15,57761.61,348241.04
2025-10,CN01,JP01,Spare Parts,1486814.86,1376680.42,110134.43,708605.32
2025-10,CZ01,JP01,Spare Parts,380057.76,351905.34,28152.43,348241.04
2025-10,CN01,US01,Hardware,2827746.58,2618283.87,209462.71,639074.89
2025-10,CZ01,US01,Hardware,2519884.23,2333226.14,186658.09,576689.03
2025-11,CN01,DE01,Hardware,1740609.92,1611675.85,128934.07,391255.69
2025-11,CZ01,DE01,Hardware,3175978.0,2940720.37,235257.63,627649.95
2025-11,CN01,ES01,Hardware,2023937.75,1874016.43,149921.31,506748.24
2025-11,CZ01,ES01,Hardware,2717604.85,2516300.79,201304.06,773196.04
2025-11,CN01,ES01,Spare Parts,324561.9,300520.28,24041.62,506748.24
2025-11,CZ01,ES01,Spare Parts,1121614.41,1038531.86,83082.55,773196.04
2025-11,CN01,JP01,Hardware,2177949.34,2016619.76,161329.58,708605.32
2025-11,CZ01,JP01,Hardware,1001032.46,926881.91,74150.55,348241.04
2025-11,CN01,JP01,Spare Parts,1574802.3,1458150.28,116652.02,708605.32
2025-11,CZ01,JP01,Spare Parts,452035.09,418551.01,33484.08,348241.04
2025-11,CN01,US01,Hardware,2858129.48,2646416.19,211713.29,639074.89
2025-11,CZ01,US01,Hardware,2355559.18,2181073.31,174485.87,576689.03
2025-12,CN01,DE01,Hardware,1945817.46,1801682.83,144134.63,391255.69
2025-12,CZ01,DE01,Hardware,3866000.6,3579630.19,286370.41,627649.95
2025-12,CN01,ES01,Hardware,2303796.26,2133144.69,170651.57,506748.24
2025-12,CZ01,ES01,Hardware,3322947.1,3076802.87,246144.23,773196.04
2025-12,CN01,ES01,Spare Parts,362442.38,335594.8,26847.58,506748.24
2025-12,CZ01,ES01,Spare Parts,1247939.02,1155499.09,92439.93,773196.04
2025-12,CN01,JP01,Hardware,1866240.11,1728000.1,138240.01,708605.32
2025-12,CZ01,JP01,Hardware,989151.88,915881.37,73270.51,348241.04
2025-12,CN01,JP01,Spare Parts,1709054.31,1582457.7,126596.62,708605.32
2025-12,CZ01,JP01,Spare Parts,482465.03,446726.88,35738.15,348241.04
2025-12,CN01,US01,Hardware,3291679.13,3047851.04,243828.08,639074.89
2025-12,CZ01,US01,Hardware,2629582.35,2434798.47,194783.88,576689.03
2026-01,CN01,DE01,Hardware,185797.73,172034.94,13762.79,391255.69
2026-01,CZ01,DE01,Hardware,274648.65,254304.3,20344.34,627649.95
2026-01,CN01,ES01,Hardware,120589.33,111656.79,8932.54,506748.24
2026-01,CZ01,ES01,Hardware,128726.35,119191.06,9535.29,773196.04
2026-01,CN01,JP01,Hardware,251992.42,233326.32,18666.11,708605.32
