month,entity,division,journal_id,journal_type,account,debit,credit,counterparty,description,cash_flow_category,product,customer,functional_currency,fx_to_eur,local_debit,local_credit,local_rounding_adjustment,reporting_debit_from_local,reporting_credit_from_local
2023-09,CN01,Corporate,OPEN-CN01,opening,1590_ACCUM_DEP,0.0,7480000.0,EXTERNAL,Opening accumulated depreciation,,,,CNY,0.1282599401453607,0.0,58319066.67,0.0,0.0,7480000.0
2023-09,CN01,Corporate,OPEN-CN01,opening,2500_DEBT,0.0,14000000.0,EXTERNAL,Opening borrowings,,,,CNY,0.1282599401453607,0.0,109153333.33,0.0,0.0,14000000.0
2023-09,CN01,Corporate,OPEN-CN01,opening,3000_SHARE_CAPITAL,0.0,21520000.0,EXTERNAL,Opening equity,,,,CNY,0.1282599401453607,0.0,167784266.67,0.0,0.0,21520000.0
2023-09,US01,Corporate,OPEN-US01,opening,1000_CASH,7000000.0,0.0,EXTERNAL,Opening cash,opening,,,USD,0.9359957211623758,7478666.67,0.0,0.0,7000000.0,0.0
2023-09,US01,Corporate,OPEN-US01,opening,1500_PPE,9000000.0,0.0,EXTERNAL,Opening PPE,,,,USD,0.9359957211623758,9615428.57,0.0,0.0,9000000.0,0.0
2023-09,US01,Corporate,OPEN-US01,opening,1590_ACCUM_DEP,0.0,1980000.0,EXTERNAL,Opening accumulated depreciation,,,,USD,0.9359957211623758,0.0,2115394.29,0.0,0.0,1980000.0
2023-09,US01,Corporate,OPEN-US01,opening,2500_DEBT,0.0,2000000.0,EXTERNAL,Opening borrowings,,,,USD,0.9359957211623758,0.0,2136761.9,0.0,0.0,2000000.0
2023-09,US01,Corporate,OPEN-US01,opening,3000_SHARE_CAPITAL,0.0,12020000.0,EXTERNAL,Opening equity,,,,USD,0.9359957211623758,0.0,12841939.05,0.0,0.0,12020000.0
2023-09,JP01,Corporate,OPEN-JP01,opening,1000_CASH,7000000.0,0.0,EXTERNAL,Opening cash,opening,,,JPY,0.0063373268551769,1104566666.67,0.0,0.0,7000000.0,0.0
2023-09,JP01,Corporate,OPEN-JP01,opening,1500_PPE,9000000.0,0.0,EXTERNAL,Opening PPE,,,,JPY,0.0063373268551769,1420157142.86,0.0,0.0,9000000.0,0.0
2023-09,JP01,Corporate,OPEN-JP01,opening,1590_ACCUM_DEP,0.0,1980000.0,EXTERNAL,Opening accumulated depreciation,,,,JPY,0.0063373268551769,0.0,312434571.43,0.0,0.0,1980000.0
2023-09,JP01,Corporate,OPEN-JP01,opening,2500_DEBT,0.0,2000000.0,EXTERNAL,Opening borrowings,,,,JPY,0.0063373268551769,0.0,315590476.19,0.0,0.0,2000000.0
2023-09,JP01,Corporate,OPEN-JP01,opening,3000_SHARE_CAPITAL,0.0,12020000.0,EXTERNAL,Opening equity,,,,JPY,0.0063373268551769,0.0,1896698761.91,0.01,0.0,12020000.0
2023-09,DE01,Software,SALE-2023-09-00000-DE01,sale,1100_AR,2244.91,0.0,EXTERNAL,External customer invoice,,"<bound method Series.prod of month                                                  2023-09
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-E
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                         Essential
generation                                                  G2
strategic_role                                          Volume
quantity                                                   2.0
unit_price                                             1119.77
revenue                                                2244.91
variable_production_cost                                311.17
variable_selling_cost                                    84.86
fixed_production_cost                                    95.97
marginal_contribution                                  1848.89
gross_profit                                           1752.92
opex                                                392.024285
ebit_before_dep                                    1360.895715
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            268.554285
workforce_opening_fte_allocated                       0.025656
workforce_hires_allocated                             0.000129
workforce_attrition_allocated                         0.000235
workforce_ending_fte_allocated                         0.02555
workforce_average_fte_allocated                       0.025603
non_people_opex_before_actions                          123.47
non_people_opex                                         123.47
Name: 0, dtype: object>",C001,EUR,1.0,2244.91,0.0,0.0,2244.91,0.0
2023-09,DE01,Software,SALE-2023-09-00000-DE01,sale,4000_EXTERNAL_REVENUE,0.0,2244.91,EXTERNAL,External customer invoice,,"<bound method Series.prod of month                                                  2023-09
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-E
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                         Essential
generation                                                  G2
strategic_role                                          Volume
quantity                                                   2.0
unit_price                                             1119.77
revenue                                                2244.91
variable_production_cost                                311.17
variable_selling_cost                                    84.86
fixed_production_cost                                    95.97
marginal_contribution                                  1848.89
gross_profit                                           1752.92
opex                                                392.024285
ebit_before_dep                                    1360.895715
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            268.554285
workforce_opening_fte_allocated                       0.025656
workforce_hires_allocated                             0.000129
workforce_attrition_allocated                         0.000235
workforce_ending_fte_allocated                         0.02555
workforce_average_fte_allocated                       0.025603
non_people_opex_before_actions                          123.47
non_people_opex                                         123.47
Name: 0, dtype: object>",C001,EUR,1.0,0.0,2244.91,0.0,0.0,2244.91
2023-09,DE01,Software,SERV-2023-09-00000-DE01,service_cost,5050_SERVICE_DELIVERY,311.17,0.0,EXTERNAL,Direct service delivery,,"<bound method Series.prod of month                                                  2023-09
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-E
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                         Essential
generation                                                  G2
strategic_role                                          Volume
quantity                                                   2.0
unit_price                                             1119.77
revenue                                                2244.91
variable_production_cost                                311.17
variable_selling_cost                                    84.86
fixed_production_cost                                    95.97
marginal_contribution                                  1848.89
gross_profit                                           1752.92
opex                                                392.024285
ebit_before_dep                                    1360.895715
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            268.554285
workforce_opening_fte_allocated                       0.025656
workforce_hires_allocated                             0.000129
workforce_attrition_allocated                         0.000235
workforce_ending_fte_allocated                         0.02555
workforce_average_fte_allocated                       0.025603
non_people_opex_before_actions                          123.47
non_people_opex                                         123.47
Name: 0, dtype: object>",C001,EUR,1.0,311.17,0.0,0.0,311.17,0.0
2023-09,DE01,Software,SERV-2023-09-00000-DE01,service_cost,2100_AP,0.0,311.17,EXTERNAL,Direct service delivery accrual,,"<bound method Series.prod of month                                                  2023-09
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-E
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                         Essential
generation                                                  G2
strategic_role                                          Volume
quantity                                                   2.0
unit_price                                             1119.77
revenue                                                2244.91
variable_production_cost                                311.17
variable_selling_cost                                    84.86
fixed_production_cost                                    95.97
marginal_contribution                                  1848.89
gross_profit                                           1752.92
opex                                                392.024285
ebit_before_dep                                    1360.895715
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            268.554285
workforce_opening_fte_allocated                       0.025656
workforce_hires_allocated                             0.000129
workforce_attrition_allocated                         0.000235
workforce_ending_fte_allocated                         0.02555
workforce_average_fte_allocated                       0.025603
non_people_opex_before_actions                          123.47
non_people_opex                                         123.47
Name: 0, dtype: object>",C001,EUR,1.0,0.0,311.17,0.0,0.0,311.17
2023-09,DE01,Software,FIX-2023-09-00000-DE01,fixed_production,5400_FIXED_PRODUCTION,95.97,0.0,EXTERNAL,Fixed delivery capacity cost,,"<bound method Series.prod of month                                                  2023-09
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-E
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                         Essential
generation                                                  G2
strategic_role                                          Volume
quantity                                                   2.0
unit_price                                             1119.77
revenue                                                2244.91
variable_production_cost                                311.17
variable_selling_cost                                    84.86
fixed_production_cost                                    95.97
marginal_contribution                                  1848.89
gross_profit                                           1752.92
opex                                                392.024285
ebit_before_dep                                    1360.895715
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            268.554285
workforce_opening_fte_allocated                       0.025656
workforce_hires_allocated                             0.000129
workforce_attrition_allocated                         0.000235
workforce_ending_fte_allocated                         0.02555
workforce_average_fte_allocated                       0.025603
non_people_opex_before_actions                          123.47
non_people_opex                                         123.47
Name: 0, dtype: object>",C001,EUR,1.0,95.97,0.0,0.0,95.97,0.0
2023-09,DE01,Software,FIX-2023-09-00000-DE01,fixed_production,2100_AP,0.0,95.97,EXTERNAL,Fixed delivery capacity accrual,,"<bound method Series.prod of month                                                  2023-09
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-E
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                         Essential
generation                                                  G2
strategic_role                                          Volume
quantity                                                   2.0
unit_price                                             1119.77
revenue                                                2244.91
variable_production_cost                                311.17
variable_selling_cost                                    84.86
fixed_production_cost                                    95.97
marginal_contribution                                  1848.89
gross_profit                                           1752.92
opex                                                392.024285
ebit_before_dep                                    1360.895715
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            268.554285
workforce_opening_fte_allocated                       0.025656
workforce_hires_allocated                             0.000129
workforce_attrition_allocated                         0.000235
workforce_ending_fte_allocated                         0.02555
workforce_average_fte_allocated                       0.025603
non_people_opex_before_actions                          123.47
non_people_opex                                         123.47
Name: 0, dtype: object>",C001,EUR,1.0,0.0,95.97,0.0,0.0,95.97
2023-09,DE01,Software,VARSELL-2023-09-00000-DE01,variable_selling,5300_VARIABLE_SELLING,84.86,0.0,EXTERNAL,Variable selling and logistics,,"<bound method Series.prod of month                                                  2023-09
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-E
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                         Essential
generation                                                  G2
strategic_role                                          Volume
quantity                                                   2.0
unit_price                                             1119.77
revenue                                                2244.91
variable_production_cost                                311.17
variable_selling_cost                                    84.86
fixed_production_cost                                    95.97
marginal_contribution                                  1848.89
gross_profit                                           1752.92
opex                                                392.024285
ebit_before_dep                                    1360.895715
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            268.554285
workforce_opening_fte_allocated                       0.025656
workforce_hires_allocated                             0.000129
workforce_attrition_allocated                         0.000235
workforce_ending_fte_allocated                         0.02555
workforce_average_fte_allocated                       0.025603
non_people_opex_before_actions                          123.47
non_people_opex                                         123.47
Name: 0, dtype: object>",C001,EUR,1.0,84.86,0.0,0.0,84.86,0.0
2023-09,DE01,Software,VARSELL-2023-09-00000-DE01,variable_selling,2100_AP,0.0,84.86,EXTERNAL,Variable selling accrual,,"<bound method Series.prod of month                                                  2023-09
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-E
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                         Essential
generation                                                  G2
strategic_role                                          Volume
quantity                                                   2.0
unit_price                                             1119.77
revenue                                                2244.91
variable_production_cost                                311.17
variable_selling_cost                                    84.86
fixed_production_cost                                    95.97
marginal_contribution                                  1848.89
gross_profit                                           1752.92
opex                                                392.024285
ebit_before_dep                                    1360.895715
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            268.554285
workforce_opening_fte_allocated                       0.025656
workforce_hires_allocated                             0.000129
workforce_attrition_allocated                         0.000235
workforce_ending_fte_allocated                         0.02555
workforce_average_fte_allocated                       0.025603
non_people_opex_before_actions                          123.47
non_people_opex                                         123.47
Name: 0, dtype: object>",C001,EUR,1.0,0.0,84.86,0.0,0.0,84.86
2023-09,DE01,Software,OPEX-2023-09-00000-DE01,opex,6000_OPEX,123.47,0.0,EXTERNAL,Non-people operating expenses,,"<bound method Series.prod of month                                                  2023-09
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-E
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                         Essential
generation                                                  G2
strategic_role                                          Volume
quantity                                                   2.0
unit_price                                             1119.77
revenue                                                2244.91
variable_production_cost                                311.17
variable_selling_cost                                    84.86
fixed_production_cost                                    95.97
marginal_contribution                                  1848.89
gross_profit                                           1752.92
opex                                                392.024285
ebit_before_dep                                    1360.895715
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            268.554285
workforce_opening_fte_allocated                       0.025656
workforce_hires_allocated                             0.000129
workforce_attrition_allocated                         0.000235
workforce_ending_fte_allocated                         0.02555
workforce_average_fte_allocated                       0.025603
non_people_opex_before_actions                          123.47
non_people_opex                                         123.47
Name: 0, dtype: object>",C001,EUR,1.0,123.47,0.0,0.0,123.47,0.0
2023-09,DE01,Software,OPEX-2023-09-00000-DE01,opex,2100_AP,0.0,123.47,EXTERNAL,Non-people operating expense accrual,,"<bound method Series.prod of month                                                  2023-09
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-E
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                         Essential
generation                                                  G2
strategic_role                                          Volume
quantity                                                   2.0
unit_price                                             1119.77
revenue                                                2244.91
variable_production_cost                                311.17
variable_selling_cost                                    84.86
fixed_production_cost                                    95.97
marginal_contribution                                  1848.89
gross_profit                                           1752.92
opex                                                392.024285
ebit_before_dep                                    1360.895715
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            268.554285
workforce_opening_fte_allocated                       0.025656
workforce_hires_allocated                             0.000129
workforce_attrition_allocated                         0.000235
workforce_ending_fte_allocated                         0.02555
workforce_average_fte_allocated                       0.025603
non_people_opex_before_actions                          123.47
non_people_opex                                         123.47
Name: 0, dtype: object>",C001,EUR,1.0,0.0,123.47,0.0,0.0,123.47
2023-09,DE01,Software,SALE-2023-09-00001-DE01,sale,1100_AR,2878.09,0.0,EXTERNAL,External customer invoice,,"<bound method Series.prod of month                                                  2023-09
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-P
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                      Professional
generation                                                  G2
strategic_role                                            Core
quantity                                                   2.0
unit_price                                              1435.6
revenue                                                2878.09
variable_production_cost                                474.91
variable_selling_cost                                   100.73
fixed_production_cost                                   129.51
marginal_contribution                                  2302.44
gross_profit                                           2172.93
opex                                                502.590396
ebit_before_dep                                    1670.339604
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            344.300396
workforce_opening_fte_allocated                       0.032892
workforce_hires_allocated                             0.000166
workforce_attrition_allocated                         0.000302
workforce_ending_fte_allocated                        0.032757
workforce_average_fte_allocated                       0.032824
non_people_opex_before_actions                          158.29
non_people_opex                                         158.29
Name: 1, dtype: object>",C001,EUR,1.0,2878.09,0.0,0.0,2878.09,0.0
2023-09,DE01,Software,SALE-2023-09-00001-DE01,sale,4000_EXTERNAL_REVENUE,0.0,2878.09,EXTERNAL,External customer invoice,,"<bound method Series.prod of month                                                  2023-09
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-P
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                      Professional
generation                                                  G2
strategic_role                                            Core
quantity                                                   2.0
unit_price                                              1435.6
revenue                                                2878.09
variable_production_cost                                474.91
variable_selling_cost                                   100.73
fixed_production_cost                                   129.51
marginal_contribution                                  2302.44
gross_profit                                           2172.93
opex                                                502.590396
ebit_before_dep                                    1670.339604
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            344.300396
workforce_opening_fte_allocated                       0.032892
workforce_hires_allocated                             0.000166
workforce_attrition_allocated                         0.000302
workforce_ending_fte_allocated                        0.032757
workforce_average_fte_allocated                       0.032824
non_people_opex_before_actions                          158.29
non_people_opex                                         158.29
Name: 1, dtype: object>",C001,EUR,1.0,0.0,2878.09,0.0,0.0,2878.09
2023-09,DE01,Software,SERV-2023-09-00001-DE01,service_cost,5050_SERVICE_DELIVERY,474.91,0.0,EXTERNAL,Direct service delivery,,"<bound method Series.prod of month                                                  2023-09
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-P
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                      Professional
generation                                                  G2
strategic_role                                            Core
quantity                                                   2.0
unit_price                                              1435.6
revenue                                                2878.09
variable_production_cost                                474.91
variable_selling_cost                                   100.73
fixed_production_cost                                   129.51
marginal_contribution                                  2302.44
gross_profit                                           2172.93
opex                                                502.590396
ebit_before_dep                                    1670.339604
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            344.300396
workforce_opening_fte_allocated                       0.032892
workforce_hires_allocated                             0.000166
workforce_attrition_allocated                         0.000302
workforce_ending_fte_allocated                        0.032757
workforce_average_fte_allocated                       0.032824
non_people_opex_before_actions                          158.29
non_people_opex                                         158.29
Name: 1, dtype: object>",C001,EUR,1.0,474.91,0.0,0.0,474.91,0.0
2023-09,DE01,Software,SERV-2023-09-00001-DE01,service_cost,2100_AP,0.0,474.91,EXTERNAL,Direct service delivery accrual,,"<bound method Series.prod of month                                                  2023-09
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-P
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                      Professional
generation                                                  G2
strategic_role                                            Core
quantity                                                   2.0
unit_price                                              1435.6
revenue                                                2878.09
variable_production_cost                                474.91
variable_selling_cost                                   100.73
fixed_production_cost                                   129.51
marginal_contribution                                  2302.44
gross_profit                                           2172.93
opex                                                502.590396
ebit_before_dep                                    1670.339604
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            344.300396
workforce_opening_fte_allocated                       0.032892
workforce_hires_allocated                             0.000166
workforce_attrition_allocated                         0.000302
workforce_ending_fte_allocated                        0.032757
workforce_average_fte_allocated                       0.032824
non_people_opex_before_actions                          158.29
non_people_opex                                         158.29
Name: 1, dtype: object>",C001,EUR,1.0,0.0,474.91,0.0,0.0,474.91
2023-09,DE01,Software,FIX-2023-09-00001-DE01,fixed_production,5400_FIXED_PRODUCTION,129.51,0.0,EXTERNAL,Fixed delivery capacity cost,,"<bound method Series.prod of month                                                  2023-09
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-P
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                      Professional
generation                                                  G2
strategic_role                                            Core
quantity                                                   2.0
unit_price                                              1435.6
revenue                                                2878.09
variable_production_cost                                474.91
variable_selling_cost                                   100.73
fixed_production_cost                                   129.51
marginal_contribution                                  2302.44
gross_profit                                           2172.93
opex                                                502.590396
ebit_before_dep                                    1670.339604
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            344.300396
workforce_opening_fte_allocated                       0.032892
workforce_hires_allocated                             0.000166
workforce_attrition_allocated                         0.000302
workforce_ending_fte_allocated                        0.032757
workforce_average_fte_allocated                       0.032824
non_people_opex_before_actions                          158.29
non_people_opex                                         158.29
Name: 1, dtype: object>",C001,EUR,1.0,129.51,0.0,0.0,129.51,0.0
