month,entity,division,revenue,variable_production_cost,variable_selling_cost,fixed_production_cost,marginal_contribution,gross_profit,opex,depreciation,ebit,interest,ebt,tax,net_income,factory_absorption_variance,inventory_provision_expense,credit_loss_expense
2023-10,ES01,Events,4291717.07,2162120.69,278717.55,240837.36,1850878.76,1610041.4000000001,307340.03,24865.60403344628,1277835.765966554,2946.5740779633843,1274889.1918885906,221974.618604105,1052914.5732844856,0.0,0.0,0.0
2023-10,ES01,Hardware,4607671.05,2907794.99,256886.34,253957.73,1442989.65,1189032.02,374263.43,26696.19687806532,788072.3931219347,3163.4993300507404,784908.893791884,238316.27465063205,546592.6191412519,0.0,0.0,0.0
2023-10,ES01,Spare Parts,1887895.25,901112.54,144661.47,65781.69,842121.36,776339.68,168878.58000000002,10938.19908848839,596522.9009115117,1296.1765919858744,595226.7243195259,97645.02674526292,497581.697574263,0.0,0.0,0.0
2023-10,JP01,Hardware,3116101.85,1828846.58,178737.62,166988.26,1108517.68,941529.6,329506.74,30923.320386356787,581099.5396136432,3664.413465783279,577435.12614786,162621.36316968364,414813.76297817635,0.0,0.0,0.0
2023-10,JP01,Software,529866.72,102623.32,18866.93,23847.36,408376.44,384528.93,86676.70000000001,5258.248649551683,292593.9813504483,623.1024649718745,291970.8788854764,27652.385079983527,264318.4938054929,0.0,0.0,0.0
2023-10,JP01,Spare Parts,2652073.27,1265896.57,202605.0,92759.62,1183571.69,1090812.04,292927.29,26318.430964091534,771566.3190359084,3118.7340692448465,768447.5849666636,138404.90175033285,630042.6832163308,0.0,0.0,0.0
2023-10,US01,Events,1415080.77,752924.21,96506.51,76044.08,565650.0,489605.93,250333.45,11280.030139234415,227992.44986076557,1336.6835714992783,226655.7662892663,43617.452695543165,183038.3135937231,0.0,0.0,0.0
2023-10,US01,Hardware,5644166.45,3527879.66,316648.67,310122.01,1799638.0999999999,1489516.01,751230.89,44991.33124878499,693293.788751215,5331.472752981021,687962.315998234,173971.8102017928,513990.50579644117,0.0,0.0,0.0
2023-10,US01,Software,781383.26,150667.79,27922.12,35028.28,602793.25,567764.9,161401.13999999998,6228.638611980602,400135.1213880194,738.0936755197014,399397.0277124997,24084.807102664046,375312.2206098357,0.0,0.0,0.0
2023-11,DE01,Hardware,5193955.04,3181458.18,289766.74,286647.72,1722729.97,1436082.44,554760.9,55806.719436455984,825514.8205635439,26452.38501288014,799062.4355506639,184277.69851407578,614784.7370365881,0.0,0.0,0.0
2023-11,DE01,Software,622946.46,115647.46,22199.74,27980.52,485099.1,457118.6,108952.59000000001,6693.28056354401,341472.72943645593,3172.614987119861,338300.1144493361,22101.681485924215,316198.43296341185,0.0,0.0,0.0
2023-11,ES01,Events,3913046.67,1905453.54,259195.52,214100.66,1748397.58,1534296.94,407562.74,22874.16590550519,1103860.0340944948,2710.588659802365,1101149.4454346923,200570.42922421198,900579.0162104804,0.0,0.0,0.0
2023-11,ES01,Hardware,4779054.87,2955831.04,265896.87,263983.62,1557326.7,1293343.21,387516.93999999994,27936.516782687013,877889.753217313,3310.4772387484113,874579.2759785645,244959.27787182783,629619.9981067367,0.0,0.0,0.0
2023-11,ES01,Spare Parts,1999672.66,943234.4,153236.63999999998,69658.33,903201.58,833543.39,174136.74000000002,11689.317311807801,647717.3326881923,1385.1841014492245,646332.148586743,102496.91290396024,543835.2356827828,0.0,0.0,0.0
2023-11,JP01,Hardware,3414058.81,1972955.43,195756.08,182981.95,1245347.09,1062365.25,339303.88,31892.428890670635,691168.9411093293,3779.25282354447,687389.6882857849,185198.5946637741,502191.0936220108,0.0,0.0,0.0
2023-11,JP01,Software,521864.77,96356.36,18593.97,23477.48,406914.2,383436.84,86921.68,4874.9995222757125,291640.16047772433,577.687443389672,291062.47303433466,28309.009125866145,262753.4639084685,0.0,0.0,0.0
2023-11,JP01,Spare Parts,2754651.05,1300298.81,210451.3,96339.28,1243900.94,1147561.64,300792.65,25732.57158705365,821036.4184129462,3049.3097330658575,817987.1086798803,149428.44621035972,668558.6624695206,0.0,0.0,0.0
2023-11,US01,Events,1561629.49,723210.22,105626.55,84127.59,732792.7000000001,648665.12,271188.64,11863.382919611502,365613.09708038846,1405.810875973963,364207.2862044145,58079.814314189294,306127.4718902252,0.0,0.0,0.0
2023-11,US01,Hardware,5866159.35,3598317.86,329123.92,322365.92,1938717.41,1616351.6,760820.5,44564.024361828175,810967.0756381719,5280.836886876638,805686.2387512953,218173.03526039672,587513.2034908985,0.0,0.0,0.0
2023-11,US01,Software,799362.2,146554.31,28532.14,35872.52,624275.74,588403.38,162922.72,6072.592718560324,419408.0672814397,719.6022371493984,418688.46504429035,29729.720425413994,388958.7446188764,0.0,0.0,0.0
2023-12,DE01,Hardware,5378925.45,3249655.95,300310.57,296694.4,1828958.97,1532264.65,567553.87,55860.65824674416,908850.1217532557,26477.95200895673,882372.169744299,204272.2918505111,678099.8778937879,0.0,0.0,0.0
2023-12,DE01,Software,639314.42,114382.31,22806.97,28691.52,502125.06,473433.65,110014.72,6639.341753255841,356779.5882467442,3147.047991043268,353632.54025570094,24278.8681494889,329353.67210621206,0.0,0.0,0.0
2023-12,ES01,Events,2812158.7199999997,1363036.32,189853.77,151993.81,1259268.64,1107274.8699999999,394131.68000000005,17507.58184176416,695635.6081582357,2074.6484482490528,693560.9597099866,133338.30635070786,560222.6533592787,0.0,0.0,0.0
2023-12,ES01,Hardware,5137935.19,3163166.68,285173.64,284588.49,1689595.05,1405006.63,404624.24,31987.106629815375,968395.2833701845,3790.472135633122,964604.8112345514,243614.83279802313,720989.9784365282,0.0,0.0,0.0
2023-12,ES01,Spare Parts,2088980.68,976826.8,160134.24,72750.72,952019.64,879268.88,179759.7,13005.311528420469,686503.8684715795,1541.1294161178255,684962.7390554617,99048.87085126905,585913.8682041927,0.0,0.0,0.0
2023-12,JP01,Hardware,3516455.19,2007836.09,201194.74,188875.75,1307424.5,1118548.83,348393.5,31489.647329293923,738665.6826707062,3731.5232085213297,734934.1594621849,197976.10805068392,536958.0514115009,0.0,0.0,0.0
2023-12,JP01,Software,534996.36,96090.27,19053.79,24076.06,419852.31,395776.32,87874.53,4790.860622016336,303110.9293779837,567.7169837089357,302543.2123942747,30120.246512819234,272422.96588145546,0.0,0.0,0.0
2023-12,JP01,Spare Parts,2927935.9,1368414.85,223850.9,102329.52,1335669.97,1233340.47,310849.21,26219.492048689746,896271.7679513103,3107.009807769735,893164.7581435405,164842.5254364969,728322.2327070436,0.0,0.0,0.0
2023-12,US01,Events,2918035.13,1419982.45,193242.6,160168.84,1304810.13,1144641.28,347093.4,18379.985335896097,779167.8946641039,2178.0282623036874,776989.8664018002,127627.76265794071,649362.1037438595,0.0,0.0,0.0
2023-12,US01,Hardware,6196064.7,3757236.02,347399.16,340591.64,2091429.54,1750837.99,777749.9,39027.48707698507,934060.6029230149,4624.757218622731,929435.8457043922,271000.80695219204,658435.0387522001,0.0,0.0,0.0
2023-12,US01,Software,808497.62,143554.68,28878.94,36252.32,636063.83,599811.63,164422.14,5092.527587118835,430296.96241288114,603.4645190735819,429693.49789380754,35361.72038986725,394331.7775039403,0.0,0.0,0.0
2024-01,DE01,Hardware,4038171.62,2399516.13,227200.46,220956.32,1411455.09,1190498.8,540571.44,53880.13493783416,596047.225062166,25219.946316232123,570827.2787459339,147675.05315376582,423152.22559216805,0.0,0.0,0.0
2024-01,DE01,Software,646035.77,117740.29,23051.59,28977.51,505243.95,476266.5,111049.48,8619.86506216583,356597.1549378342,4034.7436837678733,352562.41125406633,23625.386846234145,328937.0244078322,0.0,0.0,0.0
2024-01,ES01,Events,2619392.7,1406369.08,168456.22,148052.88,1044567.4099999999,896514.5,429825.2899999999,20847.567059890647,445841.6429401094,2439.555612462567,443402.08732764685,107289.1385841105,336112.94874353637,0.0,0.0,0.0
2024-01,ES01,Hardware,3663263.95,2176412.88,206382.02,199609.47,1280469.14,1080859.68,375176.61999999994,29155.666829072594,676527.3931709274,3411.7588130845334,673115.6343578428,150045.6321809731,523070.0021768698,0.0,0.0,0.0
2024-01,ES01,Spare Parts,1570156.26,734789.78,120276.66,54715.1,715089.72,660374.74,169492.5,12496.766111036764,478385.4738889632,1462.3555744529,476923.1183145103,64312.8892349164,412610.2290795939,0.0,0.0,0.0
2024-01,JP01,Hardware,2067578.44,1148981.48,120113.37,109719.01,798483.74,688764.66,314219.48,27039.470136948345,347505.7098630517,3164.12418490392,344341.5856781478,107483.64162571932,236857.94405242847,0.0,0.0,0.0
2024-01,JP01,Software,523897.0,95992.59,18669.42,23564.72,409235.04,385670.41000000003,87964.56,6851.443704518812,290854.4062954812,801.7471724548496,290052.65912302636,27234.93160278334,262817.72752024303,0.0,0.0,0.0
2024-01,JP01,Spare Parts,2187599.44,1023577.72,167224.05,76464.71,996797.63,920332.94,298897.73,28609.086158532842,592826.1238414671,3347.7986426412303,589478.3251988258,113722.96677149733,475755.35842732847,0.0,0.0,0.0
2024-01,US01,Events,3550164.21,1953734.88,222529.66,205227.56,1373899.69,1168672.09,441137.71,24524.646885542592,703009.7331144576,2869.8427869981806,700139.8903274594,133162.20504792192,566977.6852795375,0.0,0.0,0.0
2024-01,US01,Hardware,4685665.7,2844064.36,262190.6,257983.1,1579410.84,1321427.75,748697.8799999999,32368.727168312802,540361.1428316873,3787.747021265189,536573.3958104221,175753.44119910855,360819.9546113136,0.0,0.0,0.0
2024-01,US01,Software,811609.76,148309.89,28961.85,36436.44,634338.05,597901.74,166196.32,5606.625946144607,426098.79405385535,656.0801917366308,425442.7138621187,30442.46375296953,395000.2501091492,0.0,0.0,0.0
2024-02,DE01,Hardware,4360342.8,2598633.43,244945.71,238990.25,1516763.9,1277773.72,544202.66,54306.51154625086,679264.548453749,25419.522564271832,653845.0258894772,164055.635549342,489789.3903401352,0.0,0.0,0.0
2024-02,DE01,Software,657866.2,120578.66,23437.42,29550.32,513849.94,484299.72,112408.14000000001,8193.488453749136,363698.0915462508,3835.167435728165,359862.9241105226,24751.874450657993,335111.0496598646,0.0,0.0,0.0
2024-02,ES01,Events,1707545.33,816508.11,112858.2,93347.43,778179.03,684831.55,356288.41,14438.912849900898,314104.2271500992,1689.6230998869553,312414.60405021225,71988.35809219946,240426.2459580128,0.0,0.0,0.0
2024-02,ES01,Hardware,4010354.3,2406549.0,224864.8,219570.55,1378940.92,1159370.34,376324.86,33911.34350437731,749134.1364956228,3968.2620103625477,745165.8744852602,169072.42013012437,576093.4543551358,0.0,0.0,0.0
2024-02,ES01,Spare Parts,1673348.19,784170.99,128137.43,58335.04,761039.79,702704.71,168624.94,14149.743645721785,519930.0263542782,1655.7848897504966,518274.24146452773,70546.64177767615,447727.5996868516,0.0,0.0,0.0
2024-02,JP01,Hardware,2392956.59,1338821.82,138453.44,127337.17,915681.56,788344.4400000001,319617.91000000003,28545.601220127308,440180.9287798727,3340.369716409736,436840.559063463,128049.68896328786,308790.87010017515,0.0,0.0,0.0
2024-02,JP01,Software,532531.24,98107.52,18986.79,23941.49,415436.88,391495.51,88541.27,6352.570070775881,296601.6699292241,743.369618392503,295858.30031083163,28496.321216271626,267361.97909456,0.0,0.0,0.0
2024-02,JP01,Spare Parts,2313840.84,1081732.25,176881.2,80873.96,1055227.45,974353.49,297743.56,27601.828709096808,649008.1012909032,3229.930665197761,645778.1706257054,123816.11982044051,521962.05080526485,0.0,0.0,0.0
2024-02,US01,Events,1054585.06,455319.64,72400.86,55964.61,526864.55,470899.93,424550.63999999996,9750.337216667274,36598.95278333276,1140.971980662767,35457.98080266999,28652.565592667925,6805.415210002066,0.0,0.0,0.0
2024-02,US01,Hardware,4900359.94,2984175.37,274295.25,269757.64,1641889.66,1372132.11,749903.66,45307.072620626175,576921.3773793739,5301.77564501272,571619.6017343611,133140.40747792524,438479.1942564359,0.0,0.0,0.0
2024-02,US01,Software,804981.84,145810.11,28755.55,36090.2,630416.11,594325.98,167508.66,7442.590162706553,419374.7298372934,870.9223743245126,418503.80746296886,21870.966929406826,396632.84053356206,0.0,0.0,0.0
2024-03,DE01,Hardware,4705474.7700000005,2843277.74,263292.62,258783.43,1598904.41,1340121.01,551843.86,54879.368611268976,733397.7813887311,25687.66265789447,707710.1187308367,171926.78844130167,535783.330289535,0.0,0.0,0.0
2024-03,DE01,Software,653409.28,119893.24,23293.420000000002,29335.88,510222.67,480886.8,113407.66999999998,7620.631388731017,359858.498611269,3567.0273421055263,356291.4712691635,23874.011558698305,332417.45971046516,0.0,0.0,0.0
2024-03,ES01,Events,2952512.14,1458976.8800000001,197506.96,161080.76,1296028.24,1134947.47,410478.08,20459.86042659787,704009.529573402,2394.1866784991366,701615.3428949029,139386.83220388528,562228.5106910176,0.0,0.0,0.0
2024-03,ES01,Hardware,4265222.47,2577049.87,238627.69,234131.86,1449544.74,1215412.9,382290.99000000005,29556.476751553342,803565.4332484466,3458.66107717653,800106.77217127,201359.32404265442,598747.4481286155,0.0,0.0,0.0
2024-03,ES01,Spare Parts,1801486.68,845164.12,137918.02,62817.58,818404.35,755586.83,171691.9,12483.66282184878,571411.2671781512,1460.8222443243321,569950.4449338268,85047.41375346025,484903.0311803665,0.0,0.0,0.0
2024-03,JP01,Hardware,2886874.3,1636609.46,166041.28,154438.83,1084223.34,929784.6,332809.19000000006,30298.818281453376,566676.5917185466,3545.528932808274,563131.0627857383,157628.04596195425,405503.016823784,0.0,0.0,0.0
2024-03,JP01,Software,551847.16,102192.93000000001,19667.88,24818.77,429986.33,405167.61,90010.39,5791.840960992354,309365.37903900765,677.7538156988952,308687.62522330874,30131.755130610964,278555.8700926978,0.0,0.0,0.0
2024-03,JP01,Spare Parts,2516284.51,1176724.86,192331.62,87965.12,1147228.04,1059262.95,302318.50000000006,26409.34075755427,730535.1092424457,3090.3872514928307,727444.7219909529,137393.23890743477,590051.4830835181,0.0,0.0,0.0
2024-03,US01,Events,2921884.1,1467819.58,191324.57,161872.53,1262739.92,1100867.4,528611.16,20201.45172898105,552054.7882710188,2363.9480234671496,549690.8402475517,107054.22868393511,442636.61156361655,0.0,0.0,0.0
2024-03,US01,Hardware,5294364.23,3227168.41,296429.13,291392.91,1770766.6,1479373.78,757767.49,36604.409951780406,685001.8800482196,4283.401198912606,680718.4788493069,193978.97370893872,486739.50514036824,0.0,0.0,0.0
2024-03,US01,Software,823584.98,150251.46,29434.57,36908.24,643898.97,606990.77,169520.13999999998,5694.138319238543,431776.49168076145,666.3207776202457,431110.1709031412,30175.13760712621,400935.033296015,0.0,0.0,0.0
2024-04,DE01,Hardware,4679316.18,2828222.54,262599.17,256719.23,1588494.48,1331775.24,548363.92,55114.0309255514,728297.2890744485,25475.02783053207,702822.2612439165,168619.29651091679,534202.9647329997,0.0,0.0,0.0
2024-04,DE01,Software,627086.86,112256.28,22272.56,28242.84,492557.97,464315.19,112807.38,7385.969074448593,344121.8409255514,3413.9721694679265,340707.8687560835,22597.09348908322,318110.77526700025,0.0,0.0,0.0
2024-04,ES01,Events,2339541.0,1116133.66,157084.18,127064.23,1066323.08,939258.88,381072.51,17389.03321123072,540797.3367887692,2009.407121756977,538787.9296670123,107901.48013667685,430886.44953033543,0.0,0.0,0.0
2024-04,ES01,Hardware,4229828.05,2556769.75,237507.47,231279.95,1435550.95,1204270.99,379559.97000000003,31438.910640696304,793272.1093593037,3632.954757996302,789639.1546013075,195083.01300068415,594556.1416006233,0.0,0.0,0.0
2024-04,ES01,Spare Parts,1839454.53,862404.05,141019.64,64062.37,836030.81,771968.5,172058.88,13672.056148072974,586237.563851927,1579.8881202467205,584657.6757316804,84837.09686263898,499820.5788690414,0.0,0.0,0.0
2024-04,JP01,Hardware,3128839.62,1802447.81,179451.71,167754.51,1146940.22,979185.65,338452.32,31406.83368135535,609326.4963186447,3629.2480728826986,605697.2482457621,167019.5013295318,438677.7469162303,0.0,0.0,0.0
2024-04,JP01,Software,531435.08,97149.38,18854.51,23998.31,415431.21,391432.82,89505.44,5334.467469444079,296592.9125305559,616.4297228990799,295976.4828076568,28368.3514754968,267608.13133216003,0.0,0.0,0.0
2024-04,JP01,Spare Parts,2566156.09,1204845.81,196181.98,89683.12,1165128.28,1075445.23,302326.12,25758.698849200566,747360.4111507994,2976.5722042182206,744383.8389465811,136983.08719497136,607400.7517516097,0.0,0.0,0.0
2024-04,US01,Events,2239770.93,1089252.68,148923.91999999998,122848.6,1001594.31,878745.72,508864.48999999993,16487.35510952767,353393.8748904724,1905.2128070365795,351488.6620834358,74485.97673106335,277002.6853523725,0.0,0.0,0.0
2024-04,US01,Hardware,5452210.01,3342308.75,305795.01,299595.9,1804106.14,1504510.24,758572.24,40134.694741569576,705803.3052584304,4637.804785556814,701165.5004728736,181319.07263290117,519846.4278399724,0.0,0.0,0.0
2024-04,US01,Software,798506.6,143294.19,28483.01,35835.68,626729.38,590893.71,169137.43,5877.950148902757,415878.3298510972,679.232407406607,415199.0974436906,26555.19063603549,388643.9068076551,0.0,0.0,0.0
2024-05,DE01,Hardware,4876427.08,2908552.92,273286.91,267843.74,1694587.25,1426743.55,551600.03,55219.13339784369,819924.3866021563,25523.6087156849,794400.7778864715,189960.81625716647,604439.961629305,0.0,0.0,0.0
2024-05,DE01,Software,642976.68,111394.89,22831.42,28963.41,508750.39,479787.01,113563.38999999998,7280.866602156318,358942.7533978437,3365.3912843151015,355577.3621135286,25047.10374283356,330530.25837069505,0.0,0.0,0.0
2024-05,ES01,Events,1436119.37,703792.44,94301.22,79556.16,638025.69,558469.56,338608.68,11308.312438064891,208552.56756193517,1306.7433520930265,207245.82420984213,60720.933534434225,146524.8906754079,0.0,0.0,0.0
2024-05,ES01,Hardware,4612001.62,2774161.9899999998,257748.9,253498.1,1580090.71,1326592.65,389367.17,36315.891543069585,900909.5884569304,4196.519163150949,896713.0692937794,195001.23017540175,701711.8391183777,0.0,0.0,0.0
2024-05,ES01,Spare Parts,1889178.33,877126.56,144906.39,65753.43,867145.37,801391.99,172783.63,14875.79601886552,613732.5639811344,1718.987484756024,612013.5764963784,79876.83629016399,532136.7402062144,0.0,0.0,0.0
2024-05,JP01,Hardware,3105623.48,1761041.97,178427.43,166212.86,1166154.15,999941.2,336150.91000000003,30929.83175334504,632860.4582466548,3574.1276380895397,629286.3306085652,172511.11186041657,456775.21874814865,0.0,0.0,0.0
2024-05,JP01,Software,527816.91,92822.68,18749.18,23807.9,416245.18,392437.22,89746.02,5256.686242876572,297434.5137571234,607.4416354818451,296827.07212164154,29319.16331429508,267507.9088073465,0.0,0.0,0.0
2024-05,JP01,Spare Parts,2642101.91,1229038.87,202012.88999999998,92320.59,1211050.28,1118729.67,303125.7,26313.48200377838,789290.4879962216,3040.6807264286144,786249.807269793,146763.42482528833,639486.3824445046,0.0,0.0,0.0
2024-05,US01,Events,1642108.99,807750.69,108519.95999999999,90976.7,725838.34,634861.63,477925.13,12710.327058856097,144226.17294114392,1468.7545536131752,142757.41838753075,52618.368549481835,90139.04983804892,0.0,0.0,0.0
2024-05,US01,Hardware,5625530.96,3386133.94,315739.81,308938.77,1923657.19,1614718.49,759867.24,43542.9918578795,811308.2581421206,5031.653967129124,806276.6041749915,180259.81414290922,626016.7900320822,0.0,0.0,0.0
2024-05,US01,Software,807039.12,140648.08,28779.8,36239.2,637611.24,601372.08,169755.54,6246.681083264402,425369.8589167355,721.8414792577013,424648.0174374778,25860.08730760892,398787.9301298689,0.0,0.0,0.0
2024-06,DE01,Hardware,5037650.9799999995,3028013.83,281870.52999999997,277212.82,1727766.47,1450553.71,553776.88,55150.41418654193,841626.415813458,24075.63535504738,817550.7804584106,196058.2752862883,621492.5051721223,0.0,0.0,0.0
2024-06,DE01,Software,671339.44,119234.05,23924.71,30154.24,528180.83,498026.61,114826.62,7349.585813458065,375850.4041865419,3208.4246449526186,372641.9795415893,26127.584713711673,346514.3948278776,0.0,0.0,0.0
2024-06,ES01,Events,2726940.73,1263901.71,181870.69,148480.82,1281168.33,1132687.5,394897.67,17988.152023930223,719801.6779760699,1963.1578373879727,717838.5201386819,134894.60259203194,582943.9175466499,0.0,0.0,0.0
2024-06,ES01,Hardware,4771410.06,2896832.25,266104.96,262861.83,1608472.75,1345610.95,392502.19000000006,31474.409613512216,921634.3503864877,3434.996203485807,918199.3541830019,236029.1357881193,682170.2183948826,0.0,0.0,0.0
2024-06,ES01,Spare Parts,1976429.91,918368.14,151553.21,68811.4,906508.5,837697.17,174639.16,13037.438362557565,650020.5716374425,1422.8559591262203,648597.7156783162,97768.80161984873,550828.9140584675,0.0,0.0,0.0
2024-06,JP01,Hardware,3294743.46,1876587.66,189045.65,176515.95,1229110.14,1052594.15,340230.0,31268.590410881126,681095.5595891188,3412.5338860563884,677683.0257030624,185611.55339286214,492071.4723102003,0.0,0.0,0.0
2024-06,JP01,Software,563370.73,100694.16,20054.25,25371.8,442622.34,417250.56,91791.94,5346.640434897199,320111.9795651028,583.5118059654103,319528.4677591374,31737.862932542474,287790.60482659494,0.0,0.0,0.0
2024-06,JP01,Spare Parts,2727455.02,1268527.2,208560.45,95293.4,1250367.3,1155073.94,304378.52,25884.769154221674,824810.6508457783,2824.9643079782018,821985.6865378001,153652.9836745954,668332.7028632048,0.0,0.0,0.0
2024-06,US01,Events,1782123.47,837890.3,119533.81,96579.35,824699.34,728119.98,481574.38,13199.439759546347,233346.16024045364,1440.5361695082115,231905.62407094543,62133.8938448518,169771.7302260936,0.0,0.0,0.0
2024-06,US01,Hardware,5812754.15,3505230.46,326284.46,319097.73,1981239.3,1662141.6,761604.94,43052.62768352298,857484.0323164772,4698.598463289393,852785.4338531877,202662.1922567025,650123.2415964853,0.0,0.0,0.0
2024-06,US01,Software,843565.14,149530.51,30120.66,37844.72,663913.98,626069.28,172021.38,6247.932556930682,447799.9674430693,681.8753672023961,447118.09207586694,29410.97389844574,417707.1181774212,0.0,0.0,0.0
2024-07,DE01,Hardware,4697766.93,2819882.37,263023.23,258338.26,1614861.34,1356523.16,543736.85,54598.54271533031,758187.7672846697,23536.785317833146,734650.9819668365,181115.21188657815,553535.7700802584,0.0,0.0,0.0
2024-07,DE01,Software,679857.0599999999,122544.74,24217.4,30546.81,533094.91,502547.96,115775.11,7901.457284669693,378871.39271533035,3406.224682166854,375465.16803316347,26210.848113421853,349254.3199197416,0.0,0.0,0.0
2024-07,ES01,Events,2826783.11,1379073.25,187444.87,154882.05,1260265.04,1105382.98,397604.34,19908.976615152158,687869.6633848477,2145.6302277681784,685724.0331570795,135061.72329618144,550662.3098608981,0.0,0.0,0.0
2024-07,ES01,Hardware,4255384.16,2567016.27,238116.99,233509.15,1450250.86,1216741.81,380852.23,29970.585090247303,805918.9949097527,3229.9898963461324,802689.0050134066,203319.2839958894,599369.7210175173,0.0,0.0,0.0
2024-07,ES01,Spare Parts,1791917.41,832210.22,137398.64,62397.02,822308.4,759911.39,172076.75,12620.438294600543,575214.2017053994,1360.1298758856897,573854.0718295138,85616.56270792919,488237.5091215846,0.0,0.0,0.0
2024-07,JP01,Hardware,2840125.86,1600084.23,163471.95,151760.88,1076569.71,924808.93,329811.83,30125.389237359705,564871.7107626403,3246.67344888873,561625.0373137516,158150.62959711644,403474.4077166352,0.0,0.0,0.0
2024-07,JP01,Software,569688.73,102814.24,20299.96,25624.7,446574.55,420949.88,92557.57,6042.723309236415,322349.5866907636,651.2363764830269,321698.35031428054,31722.760104681307,289975.59020959924,0.0,0.0,0.0
2024-07,JP01,Spare Parts,2482486.58,1152310.79,189875.14,86708.14,1140300.71,1053592.61,301355.56,26331.88745340388,725905.1625465961,2837.8401746282434,723067.322371968,138235.71029820223,584831.6120737657,0.0,0.0,0.0
2024-07,US01,Events,2552990.47,1232331.02,168249.78,140308.23,1152409.69,1012101.4299999999,513629.39,18107.254481088003,480364.7855189119,1951.4550299358161,478413.3304889761,96065.49783946361,382347.83264951245,0.0,0.0,0.0
2024-07,US01,Hardware,5398141.6,3269222.65,302542.98,296819.51,1826375.96,1529556.64,754985.7700000001,38286.67784887875,736284.192151121,4126.23184512936,732157.9603059916,203124.59694059045,529033.3633654012,0.0,0.0,0.0
2024-07,US01,Software,860910.89,154670.03,30722.01,38641.99,675518.85,636876.73,173796.4,6106.067670033238,456974.2623299667,658.0631249348221,456316.1992050319,32394.88521994588,423921.31398508605,0.0,0.0,0.0
2024-08,DE01,Hardware,4142036.22,2458488.25,232580.61,227065.99,1450967.46,1223901.68,527729.77,53597.64367916078,642574.2663208392,23105.309593985046,619468.9567268541,161244.7891883781,458224.16753847594,0.0,0.0,0.0
2024-08,DE01,Software,687975.81,123159.3,24504.66,30913.11,540311.9,509398.72,117837.55,8902.356320839224,382658.8136791608,3837.700406014951,378821.1132731458,26782.12081162189,352038.9924615239,0.0,0.0,0.0
