scenario,month,horizon_month,opening_cash,revenue,ebitda,personnel_cost,non_people_opex,opening_ar,ending_ar,opening_inventory,ending_inventory,opening_ap,ending_ap,opening_contract_liabilities,ending_contract_liabilities,customer_cash,supplier_cash,payroll_cash,interest_cash,tax_accrual,tax_payment,ending_tax_payable,operating_cash_flow,capex,scheduled_debt_repayment,rcf_draw,rcf_drawn,rcf_limit,undrawn_rcf,ending_cash,gross_debt,net_debt,ebitda_ttm,interest_ttm,net_leverage,interest_coverage,minimum_operating_cash,strategic_liquidity_buffer,liquidity_headroom,liquidity_shortfall,deployable_cash,covenant_status,customer_cash_identity_gap,supplier_cash_identity_gap,payroll_cash_identity_gap,cash_rollforward_gap,rcf_identity_gap
Base,2027-07,11,233086104.7,34793083.56,8111745.61,3940436.43,1185025.78,59837844.77,54315157.5,49411220.82,44844297.9,44538356.64,40420726.17,3699869.31,3363594.33,39979495.85,22291609.07,3940436.43,68686.75,1741500.79,0.0,3344253.03,13678763.6,0.0,0.0,0.0,0.0,35000000.0,35000000.0,246764868.3,34343373.96,-212421494.34,102784934.04,847112.41,-2.066659830295105,121.3356489960996,36000000.0,15000000.0,245764868.3,0.0,195764868.3,PASS,-0.0,0.0,0.0,0.0,0.0
Base,2027-08,12,246764868.3,30869916.92,6784120.39,3914577.6,1051655.0,54315157.5,48182375.18,44844297.9,39775014.47,40420726.17,35850550.65,3363594.33,2988452.84,36627557.75,19672111.02,3914577.6,68686.75,1422870.74,0.0,4767123.77,12972182.38,0.0,0.0,0.0,0.0,35000000.0,35000000.0,259737050.68,34343373.96,-225393676.72,102892530.66,843568.01,-2.1905737498555173,121.97301158919007,36000000.0,15000000.0,258737050.68,0.0,208737050.68,PASS,0.0,-0.0,0.0,0.0,0.0
Downside,2026-09,1,183328995.33,36554478.76,8227004.07,3547505.44,1258486.76,48251717.06,57154405.47,37117841.32,48841696.72,27861237.19,44043165.89,8648972.97,3488773.79,22491591.17,20321895.95,3547505.44,72231.15,1768312.17,4947521.32,1395454.73,-6397562.69,526376.48,451444.7,0.0,0.0,35000000.0,35000000.0,175953611.46,35664130.97,-140289480.49,94293468.2,821544.59,-1.4877963783497785,114.77583730421742,36000000.0,15000000.0,174953611.46,0.0,124953611.46,PASS,0.0,-0.0,0.0,-0.0,0.0
Downside,2026-10,2,175953611.46,37954625.24,8591976.53,3729815.19,1298482.08,57154405.47,59337042.94,48841696.72,50534572.24,44043165.89,45555210.08,3488773.79,3626079.72,35909293.7,25813664.85,3729815.19,71328.26,1856122.25,0.0,3251576.98,6294485.4,387629.43,0.0,0.0,0.0,35000000.0,35000000.0,181860467.43,35664130.97,-146196336.46,94077887.21,825677.31,-1.5539925565469128,113.9402597971355,36000000.0,15000000.0,180860467.43,0.0,130860467.43,PASS,-0.0,-0.0,0.0,0.0,0.0
Downside,2026-11,3,181860467.43,39354401.78,8982308.79,3893460.49,1337904.36,59337042.94,61518546.47,50534572.24,52214212.15,45555210.08,47054401.67,3626079.72,3763654.3,37310472.83,26659080.82,3893460.49,71328.26,1949802.0,0.0,5201378.98,6686603.26,333079.74,0.0,0.0,0.0,35000000.0,35000000.0,188213990.95,35664130.97,-152549859.98,94186198.38,829810.03,-1.6196625684426524,113.50332603234502,36000000.0,15000000.0,187213990.95,0.0,137213990.95,PASS,0.0,0.0,0.0,0.0,0.0
Downside,2026-12,4,188213990.95,41408292.07,9462148.33,4092717.14,1408048.09,61518546.47,64718547.55,52214212.15,54922780.0,47054401.67,49493876.02,3763654.3,3965336.32,38409973.01,28122520.1,4092717.14,71328.26,2064963.48,5667747.12,1598595.34,455660.39,231656.94,445801.64,0.0,0.0,35000000.0,35000000.0,187992192.76,35218329.33,-152773863.43,93704038.54,833942.75,-1.6303871829898187,112.36267542346283,36000000.0,15000000.0,186992192.76,0.0,136992192.76,PASS,0.0,0.0,0.0,0.0,0.0
Downside,2027-01,5,187992192.76,30840341.03,6074420.56,4026382.86,1048934.4,64718547.55,48193537.68,54922780.0,40893386.06,49493876.02,36850193.82,3965336.32,2957271.37,46357285.95,19353825.87,4026382.86,70436.66,1252122.8,0.0,2850718.14,22906640.56,97633.89,0.0,0.0,0.0,35000000.0,35000000.0,210801199.43,35218329.33,-175582870.1,94635325.93,838023.82,-1.8553628718928425,112.92677328670683,36000000.0,15000000.0,209801199.43,0.0,159801199.43,PASS,0.0,-0.0,0.0,0.0,0.0
Downside,2027-02,6,210801199.43,32200060.77,6551756.77,3999960.0,1095431.89,48193537.68,50309964.75,40893386.06,42683322.94,36850193.82,38462100.39,2957271.37,3091797.15,30218159.48,21826374.31,3999960.0,70436.66,1366683.49,0.0,4217401.63,4321388.51,0.0,0.0,0.0,0.0,35000000.0,35000000.0,215122587.94,35218329.33,-179904258.61,93742113.7,842104.89,-1.9191401976036306,111.3188093468974,36000000.0,15000000.0,214122587.94,0.0,164122587.94,PASS,0.0,-0.0,0.0,0.0,0.0
Downside,2027-03,7,215122587.94,34604900.34,7372074.59,3973710.6,1177514.86,50309964.75,54058265.24,42683322.94,45857004.54,38462100.39,41320812.49,3091797.15,3327186.87,31091989.57,23574084.65,3973710.6,70436.66,1563559.77,4509149.89,1271811.51,-1035392.23,0.0,440229.12,0.0,0.0,35000000.0,35000000.0,213646966.59,34778100.21,-178868866.38,93828066.79,846185.96,-1.9063471357705033,110.88350696577382,36000000.0,15000000.0,212646966.59,0.0,162646966.59,PASS,0.0,0.0,0.0,0.0,0.0
Downside,2027-04,8,213646966.59,35258067.96,7618463.22,3947633.43,1200018.6,54058265.24,55069316.3,45857004.54,46708084.17,41320812.49,42086609.95,3327186.87,3394582.64,34314412.67,23777253.48,3947633.43,69556.2,1622904.35,0.0,2894715.86,6519969.56,0.0,0.0,0.0,0.0,35000000.0,35000000.0,220166936.15,34778100.21,-185388835.94,94577410.19,850216.02,-1.9601809308117617,111.23927092081844,36000000.0,15000000.0,219166936.15,0.0,169166936.15,PASS,-0.0,-0.0,0.0,0.0,0.0
Downside,2027-05,9,220166936.15,35909576.12,7864390.36,3921727.4,1222477.8,55069316.3,56077367.11,46708084.17,47556315.05,42086609.95,42849833.03,3394582.64,3462018.89,34968961.56,24208466.16,3921727.4,69556.2,1681926.87,0.0,4576642.73,6769211.8,0.0,0.0,0.0,0.0,35000000.0,35000000.0,226936147.95,34778100.21,-192158047.74,94225744.77,854246.08,-2.0393370008276137,110.3028120070507,36000000.0,15000000.0,225936147.95,0.0,175936147.95,PASS,0.0,0.0,0.0,-0.0,0.0
Downside,2027-06,10,226936147.95,36559433.99,8109513.49,3896338.6,1244892.86,56077367.11,57082429.64,47556315.05,48401704.85,42849833.03,43610490.76,3462018.89,3529497.59,35621850.16,24638313.97,3896338.6,69556.2,1740756.42,4927571.34,1389827.81,2090070.05,0.0,434726.25,0.0,0.0,35000000.0,35000000.0,228591491.75,34343373.96,-194248117.79,93687990.12,850656.81,-2.0733513179351784,110.13606076932483,36000000.0,15000000.0,227591491.75,0.0,177591491.75,PASS,0.0,-0.0,0.0,0.0,0.0
Downside,2027-07,11,228591491.75,33034830.11,6983495.91,3870745.34,1125141.03,57082429.64,51570364.48,48401704.85,43721540.29,43610490.76,39392675.15,3529497.59,3193616.54,38211014.22,21718239.91,3870745.34,68686.75,1470720.87,0.0,2860548.68,12553342.22,0.0,0.0,0.0,0.0,35000000.0,35000000.0,241144833.97,34343373.96,-206801460.01,92514076.39,847112.41,-2.235351290091391,109.21109795806203,36000000.0,15000000.0,240144833.97,0.0,190144833.97,PASS,0.0,-0.0,0.0,0.0,0.0
Downside,2027-08,12,241144833.97,29172071.48,5744893.75,3845343.88,993813.98,51570364.48,45532344.55,43721540.29,38596837.57,39392675.15,34774571.01,3193616.54,2824087.93,34840562.8,19075235.27,3845343.88,68686.75,1173456.35,0.0,4034005.03,11851296.9,0.0,0.0,0.0,0.0,35000000.0,35000000.0,252996130.87,34343373.96,-218652756.91,91582446.37,843568.01,-2.3874963552144735,108.56557537073982,36000000.0,15000000.0,251996130.87,0.0,201996130.87,PASS,0.0,-0.0,0.0,0.0,0.0
Upside,2026-09,1,183328995.33,36832650.67,9399483.79,3566032.9,1268063.57,48251717.06,57589338.5,37117841.32,47069420.13,27861237.19,42477327.47,8648972.97,3515322.62,22361378.88,19202622.51,3566032.9,72231.15,2049707.3,5167009.52,1457361.66,-5646517.2,526376.48,451444.7,0.0,0.0,35000000.0,35000000.0,176704656.95,35664130.97,-141040525.98,95465947.92,821544.59,-1.4773909341809632,116.20300234707894,36000000.0,15000000.0,175704656.95,0.0,125704656.95,PASS,-0.0,-0.0,0.0,-0.0,0.0
Upside,2026-10,2,176704656.95,38534476.63,9884817.51,3773787.12,1318319.65,57589338.5,60243563.98,47069420.13,49071259.48,42477327.47,44269181.14,3515322.62,3681477.12,36046405.65,25085857.68,3773787.12,71328.26,2166404.09,0.0,3623765.75,7115432.59,387629.43,0.0,0.0,0.0,35000000.0,35000000.0,183432460.11,35664130.97,-147768329.14,96543207.91,825677.31,-1.5305926987401675,116.92607601146263,36000000.0,15000000.0,182432460.11,0.0,132432460.11,PASS,0.0,0.0,0.0,0.0,0.0
Upside,2026-11,3,183432460.11,40259692.22,10400696.83,3967365.55,1368680.9,60243563.98,62933690.63,49071259.48,51087875.09,44269181.14,46073206.81,3681477.12,3850231.65,37738320.1,26104219.78,3967365.55,71328.26,2290215.12,0.0,5913980.87,7595406.51,333079.74,0.0,0.0,0.0,35000000.0,35000000.0,190694786.88,35664130.97,-155030655.91,98069907.12,829810.03,-1.5808178111181634,118.1835643996735,36000000.0,15000000.0,189694786.88,0.0,139694786.88,PASS,0.0,0.0,0.0,0.0,0.0
Upside,2026-12,4,190694786.88,42683186.26,11038985.61,4201322.56,1451399.6,62933690.63,66711126.74,51087875.09,54146844.97,46073206.81,48830240.57,3850231.65,4087422.59,39142941.09,27744814.21,4201322.56,71328.26,2443404.43,6518760.53,1838624.77,606715.53,231656.94,445801.64,0.0,0.0,35000000.0,35000000.0,190624043.83,35218329.33,-155405714.5,99164584.56,833942.75,-1.5671493526599816,118.91054219249463,36000000.0,15000000.0,189624043.83,0.0,139624043.83,PASS,0.0,0.0,0.0,0.0,0.0
Upside,2027-01,5,190624043.83,32031779.32,7314716.38,4127967.86,1089457.28,66711126.74,50055372.67,54146844.97,40622369.39,48830240.57,36632484.27,4087422.59,3071518.03,47671628.83,19262375.8,4127967.86,70436.66,1549793.8,0.0,3388418.57,24210848.51,97633.89,0.0,0.0,0.0,35000000.0,35000000.0,214737258.45,35218329.33,-179518929.12,101336167.77,838023.82,-1.77151882758631,120.92277731437277,36000000.0,15000000.0,213737258.45,0.0,163737258.45,PASS,0.0,0.0,0.0,-0.0,0.0
Upside,2027-02,6,214737258.45,33698530.42,7943059.71,4100878.39,1146409.19,50055372.67,52651201.2,40622369.39,42723019.04,36632484.27,38525543.75,3071518.03,3235677.74,31266861.6,21862182.49,4100878.39,70436.66,1700596.2,0.0,5089014.77,5233364.06,0.0,0.0,0.0,0.0,35000000.0,35000000.0,219970622.51,35218329.33,-184752293.18,101834258.48,842104.89,-1.8142449892369463,120.92823553132438,36000000.0,15000000.0,218970622.51,0.0,168970622.51,PASS,0.0,-0.0,0.0,0.0,0.0
Upside,2027-03,7,219970622.51,36490872.87,8974313.77,4073966.7,1241689.64,52651201.2,57004449.24,42723019.04,46248848.89,38525543.75,41703624.46,3235677.74,3508519.07,32410466.16,23790341.54,4073966.7,70436.66,1948097.17,5488947.31,1548164.63,-1013226.05,0.0,440229.12,0.0,0.0,35000000.0,35000000.0,218517167.34,34778100.21,-183739067.13,103522450.75,846185.96,-1.7748716901391557,122.34007138336354,36000000.0,15000000.0,217517167.34,0.0,167517167.34,PASS,0.0,0.0,0.0,0.0,0.0
Upside,2027-04,8,218517167.34,37462567.47,9355052.6,4047231.59,1275049.38,57004449.24,58512507.83,46248848.89,47465584.34,41703624.46,42799436.05,3508519.07,3606827.85,36052817.66,24181207.14,4047231.59,69556.2,2039685.8,0.0,3587850.43,7754822.73,0.0,0.0,0.0,0.0,35000000.0,35000000.0,226271990.07,34778100.21,-191493889.86,106008383.53,850216.02,-1.8064032624911022,124.68405797623056,36000000.0,15000000.0,225271990.07,0.0,175271990.07,PASS,-0.0,0.0,0.0,0.0,0.0
Upside,2027-05,9,226271990.07,38445161.06,9735945.07,4024611.48,1308797.29,58512507.83,60037005.27,47465584.34,48695239.32,42799436.05,43906859.43,3606827.85,3706472.98,37020308.75,24806836.11,4024611.48,69556.2,2131100.0,0.0,5718950.43,8119304.96,0.0,0.0,0.0,0.0,35000000.0,35000000.0,234391295.03,34778100.21,-199613194.82,107528272.82,854246.08,-1.8563786954352757,125.87505560458644,36000000.0,15000000.0,233391295.03,0.0,183391295.03,PASS,0.0,0.0,0.0,0.0,0.0
Upside,2027-06,10,234391295.03,39438759.64,10077684.96,4045458.49,1342937.35,60037005.27,61578092.87,48695239.32,49937925.8,43906859.43,45025996.93,3706472.98,3807471.62,37998670.68,25439165.17,4045458.49,69556.2,2213117.57,6187013.04,1745054.96,2257477.78,0.0,434726.25,0.0,0.0,35000000.0,35000000.0,236214046.56,34343373.96,-201870672.6,108958689.64,850656.81,-1.8527266918038534,128.08771805400582,36000000.0,15000000.0,235214046.56,0.0,185214046.56,PASS,0.0,0.0,0.0,0.0,0.0
Upside,2027-07,11,236214046.56,35907753.96,8852395.26,4012639.09,1222990.61,61578092.87,56055259.05,49937925.8,45452400.47,45025996.93,40980471.09,3807471.62,3471354.22,41094470.38,22602720.12,4012639.09,68686.75,1919256.71,0.0,3664311.67,14410424.42,0.0,0.0,0.0,0.0,35000000.0,35000000.0,250624470.98,34343373.96,-216281097.02,109653675.26,847112.41,-1.972401713915886,129.44406664990305,36000000.0,15000000.0,249624470.98,0.0,199624470.98,PASS,0.0,0.0,0.0,0.0,0.0
Upside,2027-08,12,250624470.98,31950364.0,7466551.82,3986306.47,1088462.92,56055259.05,49868758.3,45452400.47,40430082.04,40980471.09,36451243.26,3471354.22,3093048.69,37758559.22,20004415.11,3986306.47,68686.75,1586654.28,0.0,5250965.95,13699150.89,0.0,0.0,0.0,0.0,35000000.0,35000000.0,264323621.87,34343373.96,-229980247.91,110443703.31,843568.01,-2.0823301013773294,130.9244803036094,36000000.0,15000000.0,263323621.87,0.0,213323621.87,PASS,0.0,-0.0,0.0,0.0,0.0
