entity,division,product,revenue,variable_production_cost,variable_selling_cost,fixed_production_cost,marginal_contribution,gross_profit,opex,quantity,mc_pct,gross_margin_pct,operating_contribution,name,product_family,product_subfamily,product_type,quality_tier,quality_score,generation,strategic_role
DE01,Hardware,HW-EDG-AI-P,1117619.58,695574.21,61469.090000000004,61469.090000000004,360576.32,299107.21,129610.04402262271,32.0,0.3226288501495294,0.2676288205330118,169497.16597737733,Aureon AI Edge Appliance Professional,Edge Appliances,Compute,AI Edge Appliance,Professional,2,G2,Core
DE01,Hardware,HW-EDG-CMP-E,1944870.75,982214.18,115525.37,101619.48,847131.31,745511.8,225675.9633149085,76.0,0.4355720347997419,0.383322027954814,519835.83668509155,Aureon Edge Compute Node Essential,Edge Appliances,Compute,Edge Compute Node,Essential,1,G2,Volume
DE01,Hardware,HW-EDG-CMP-P,1510956.54,909462.54,83102.63,83102.63,518391.44,435288.77,176102.50514999506,46.0,0.343088253220043,0.288088213311549,259186.26485000495,Aureon Edge Compute Node Professional,Edge Appliances,Compute,Edge Compute Node,Professional,2,G2,Core
DE01,Hardware,HW-EDG-CMP-X,583385.66,428631.04,29519.32,35294.85,125235.31999999999,89940.52,68183.2995342419,12.0,0.21466986349990155,0.15416991908920077,21757.220465758102,Aureon Edge Compute Node Premium,Edge Appliances,Compute,Edge Compute Node,Premium,3,G2,Premium
DE01,Hardware,HW-EDG-GTW-E,895928.07,625703.02,53218.16,46812.25,217006.92,170194.72,104318.0061116793,40.0,0.24221466796994096,0.1899647144664192,65876.71388832071,Aureon Industrial Gateway Essential,Edge Appliances,Gateways,Industrial Gateway,Essential,1,G1 Legacy,Harvest
DE01,Hardware,HW-EDG-GTW-P,1407252.9,790798.15,77398.88,77398.88,539055.85,461656.85,164366.57908042718,49.0,0.383055419534044,0.32805535522435236,297290.2709195728,Aureon Industrial Gateway Professional,Edge Appliances,Gateways,Industrial Gateway,Professional,2,G2,Core
DE01,Hardware,HW-EDG-GTW-X,1144709.22,781687.82,57922.27,69254.91,305099.11,235844.22,132528.78769075804,27.0,0.2665297917317378,0.20602980729027412,103315.43230924197,Aureon Industrial Gateway Premium,Edge Appliances,Gateways,Industrial Gateway,Premium,3,G2,Premium
DE01,Hardware,HW-EDG-SEC-E,1728157.1400000001,844176.84,102652.55,90296.25,781327.76,691031.56,200630.47262056425,72.0,0.4521161542057454,0.39986616031919414,490401.0873794358,Aureon Secure Gateway Essential,Edge Appliances,Gateways,Secure Gateway,Essential,1,G2,Volume
DE01,Hardware,HW-EDG-SEC-P,1076147.05,626080.45,59188.1,59188.1,390878.51,331690.46,125495.43547987362,35.0,0.363220351716803,0.30822038679565217,206195.0245201264,Aureon Secure Gateway Professional,Edge Appliances,Gateways,Secure Gateway,Professional,2,G2,Core
DE01,Hardware,HW-EDG-SEC-X,591342.32,418731.12,29921.92,35776.21,142689.27,106913.05,68544.53231369784,13.0,0.24129724048838583,0.18079722418649152,38368.51768630216,Aureon Secure Gateway Premium,Edge Appliances,Gateways,Secure Gateway,Premium,3,G2,Premium
DE01,Hardware,HW-NET-ACC-E,1570404.07,740983.2999999999,93281.99,82053.63,736138.76,654085.1900000001,182351.94117801363,77.0,0.46875754722158863,0.4165075743849798,471733.24882198643,Aureon Access Node Essential,Network Devices,Access,Access Node,Essential,1,G2,Volume
DE01,Hardware,HW-NET-ACC-P,1857457.38,1043416.7,102160.18000000001,102160.18000000001,711880.6,609720.41,216086.91253737995,71.0,0.38325541552937276,0.3282553971709435,393633.4974626201,Aureon Access Node Professional,Network Devices,Access,Access Node,Professional,2,G2,Core
DE01,Hardware,HW-NET-ACC-X,1391297.57,951625.12,70399.67,84173.47,369272.76,285099.27,159808.75967797852,36.0,0.26541608924106724,0.20491609857408147,125290.5103220215,Aureon Access Node Premium,Network Devices,Access,Access Node,Premium,3,G2,Premium
DE01,Hardware,HW-NET-DST-E,1329512.6199999999,671963.14,78973.11,69466.99,578576.38,509109.38,153541.6260625035,57.0,0.4351793065341494,0.38292933240453186,355567.7539374965,Aureon Distribution Node Essential,Network Devices,Distribution,Distribution Node,Essential,1,G2,Volume
DE01,Hardware,HW-NET-DST-X,1591616.02,1168167.61,80535.73,96292.75,342912.63,246619.86,185065.62596453005,36.0,0.21544934562797377,0.15494934513162287,61554.23403546994,Aureon Distribution Node Premium,Network Devices,Distribution,Distribution Node,Premium,3,G2,Premium
DE01,Hardware,HW-NET-RTR-E,1586469.9,828614.4299999999,94236.29,82893.03,663619.21,580726.17,184625.6513235291,64.0,0.41829927564336394,0.36604928338066806,396100.51867647097,Aureon Secure Router Essential,Network Devices,Distribution,Secure Router,Essential,1,G2,Volume
DE01,Hardware,HW-NET-RTR-P,1017693.34,633281.1,55973.16,55973.16,328439.05,272466.0,117504.1992204536,32.0,0.32272889788194936,0.26772898012676394,154961.80077954638,Aureon Secure Router Professional,Network Devices,Distribution,Secure Router,Professional,2,G2,Core
DE01,Hardware,HW-NET-SWC-E,873592.02,426072.16000000003,51891.36,45645.19,395628.47000000003,349983.27999999997,101291.73412419175,40.0,0.45287555396854473,0.40062554600716244,248691.54587580822,Aureon Secure Switch Essential,Network Devices,Access,Secure Switch,Essential,1,G2,Volume
DE01,Hardware,HW-NET-SWC-P,1317979.1400000001,767112.61,72488.84,72488.84,478377.67,405888.8,153516.27960067763,47.0,0.3629630056208628,0.30796299249470666,252372.52039932235,Aureon Secure Switch Professional,Network Devices,Access,Secure Switch,Professional,2,G2,Core
DE01,Hardware,HW-NET-SWC-X,995584.88,706749.86,50376.58,60232.86,238458.48,178225.58000000002,116359.14463722649,24.0,0.23951597175722478,0.1790159569317686,61866.435362773525,Aureon Secure Switch Premium,Network Devices,Access,Secure Switch,Premium,3,G2,Premium
DE01,Hardware,HW-SEN-BIO-E,1371613.2,669500.38,81473.83,71666.77,620639.05,548972.22,159337.75578828406,89.0,0.4524883910420227,0.4002383616605614,389634.4642117159,Aureon Biometric Reader Essential,Sensors & Readers,Readers,Biometric Reader,Essential,1,G2,Volume
DE01,Hardware,HW-SEN-BIO-P,474841.76,276297.24,26116.32,26116.32,172428.22,146311.94,55497.2077318745,24.0,0.36312775017934396,0.30812778555955145,90814.7322681255,Aureon Biometric Reader Professional,Sensors & Readers,Readers,Biometric Reader,Professional,2,G2,Core
DE01,Hardware,HW-SEN-BIO-X,467301.89,329819.92,23645.47,28271.79,113836.48,85564.7,53405.76280325758,16.0,0.24360372263848534,0.18310368913765787,32158.937196742416,Aureon Biometric Reader Premium,Sensors & Readers,Readers,Biometric Reader,Premium,3,G2,Premium
DE01,Hardware,HW-SEN-CAM-E,1351253.22,683826.31,80264.42,70603.02,587162.44,516559.43,157417.1434923133,82.0,0.43453176007972805,0.3822817384294559,359142.2865076867,Aureon Vision Sensor Essential,Sensors & Readers,Sensing,Vision Sensor,Essential,1,G2,Volume
DE01,Hardware,HW-SEN-CAM-P,548290.67,329401.11,30155.99,30155.99,188733.57,158577.6,63538.07221947466,26.0,0.3442217428211937,0.2892217735530681,95039.52778052534,Aureon Vision Sensor Professional,Sensors & Readers,Sensing,Vision Sensor,Professional,2,G2,Core
DE01,Hardware,HW-SEN-CAM-X,719450.13,528554.64,36404.15,43526.71,154491.3,110964.59,82726.4460893226,23.0,0.21473524509614028,0.1542352768773563,28238.14391067739,Aureon Vision Sensor Premium,Sensors & Readers,Sensing,Vision Sensor,Premium,3,G2,Premium
DE01,Hardware,HW-SEN-HUB-E,630352.62,329665.92,37442.94,32935.89,263243.73,230307.87,73672.53306030348,36.0,0.4176134462644099,0.3653635484215168,156635.3369396965,Aureon Sensor Hub Essential,Sensors & Readers,Sensing,Sensor Hub,Essential,1,G2,Volume
DE01,Hardware,HW-SEN-HUB-P,1481621.97,922569.35,81489.18,81489.18,477563.45,396074.2,172037.0261428792,66.0,0.3223247627733274,0.26732473466224316,224037.17385712083,Aureon Sensor Hub Professional,Sensors & Readers,Sensing,Sensor Hub,Professional,2,G2,Core
DE01,Hardware,HW-SEN-RFID-E,1826197.8,859305.91,108476.09,95418.81,858415.71,762996.88,211425.56639622746,127.0,0.47005626115637633,0.4178062639216847,551571.3136037725,Aureon RFID Reader Essential,Sensors & Readers,Readers,RFID Reader,Essential,1,G2,Volume
DE01,Hardware,HW-SEN-RFID-P,1162796.59,652958.74,63953.8,63953.8,445884.0,381930.19,134550.00145146184,63.0,0.3834582968634265,0.3284582989704158,247380.18854853816,Aureon RFID Reader Professional,Sensors & Readers,Readers,RFID Reader,Professional,2,G2,Core
DE01,Hardware,HW-TRM-FIX-E,896826.59,422476.7,53271.49,46859.18,421078.38,374219.19,104234.11334070272,51.0,0.4695204008168402,0.41727040006697397,269985.0766592973,Aureon Fixed Terminal Essential,Terminals,Fixed Terminals,Fixed Terminal,Essential,1,G2,Volume
DE01,Hardware,HW-TRM-FIX-P,631578.17,354317.22000000003,34736.8,34736.8,242524.14,207787.38,72985.14716129206,28.0,0.3839970276363415,0.32899708994058485,134802.23283870795,Aureon Fixed Terminal Professional,Terminals,Fixed Terminals,Fixed Terminal,Professional,2,G2,Core
DE01,Hardware,HW-TRM-FIX-X,866705.55,592287.42,43855.28,52435.67,230562.78,178127.1,100437.22581111276,26.0,0.266022041741858,0.20552204840502059,77689.87418888725,Aureon Fixed Terminal Premium,Terminals,Fixed Terminals,Fixed Terminal,Premium,3,G2,Premium
DE01,Hardware,HW-TRM-KSK-E,2018637.34,986515.58,119907.08,105473.8,912214.71,806740.91,234587.08100236877,107.0,0.45189628266759396,0.3996462831704084,572153.8289976313,Aureon Self-Service Kiosk Essential,Terminals,Fixed Terminals,Self-Service Kiosk,Essential,1,G2,Volume
DE01,Hardware,HW-TRM-KSK-P,1764841.85,1026454.21,97066.27,97066.27,641321.4,544255.05,205964.23610960657,73.0,0.36338746160172936,0.3083874342621692,338290.8138903935,Aureon Self-Service Kiosk Professional,Terminals,Fixed Terminals,Self-Service Kiosk,Professional,2,G2,Core
DE01,Hardware,HW-TRM-KSK-X,286346.12,202838.87,14489.11,17323.94,69018.12,51694.19,31847.4552501545,8.0,0.24103040055161215,0.1805304363823753,19846.734749845502,Aureon Self-Service Kiosk Premium,Terminals,Fixed Terminals,Self-Service Kiosk,Premium,3,G2,Premium
DE01,Hardware,HW-TRM-MOB-E,241575.78,122208.26,14349.61,12622.34,105017.9,92395.57,28234.201596501534,12.0,0.43472031840278025,0.38247033705117295,64161.368403498476,Aureon Mobile Terminal Essential,Terminals,Mobile Terminals,Mobile Terminal,Essential,1,G2,Volume
DE01,Hardware,HW-TRM-MOB-P,670945.26,403590.31,36901.98,36901.98,230452.97,193550.96,77884.23346446769,26.0,0.3434750697843815,0.2884750389323862,115666.7265355323,Aureon Mobile Terminal Professional,Terminals,Mobile Terminals,Mobile Terminal,Professional,2,G2,Core
DE01,Hardware,HW-TRM-MOB-X,1184214.21,871584.13,59921.270000000004,71644.94,252708.85,181063.86,136846.3468414547,31.0,0.213397920634646,0.15289789505228113,44217.51315854528,Aureon Mobile Terminal Premium,Terminals,Mobile Terminals,Mobile Terminal,Premium,3,G2,Premium
DE01,Hardware,HW-TRM-RUG-E,1240063.58,647447.85,73659.77,64793.33,518956.0,454162.66,143286.73054967486,58.0,0.4184914454144359,0.36624143094340367,310875.9294503251,Aureon Rugged Terminal Essential,Terminals,Mobile Terminals,Rugged Terminal,Essential,1,G2,Volume
DE01,Hardware,HW-TRM-RUG-P,987731.7,614964.9,54325.2,54325.2,318441.57,264116.31,115441.27803077064,36.0,0.32239683104227596,0.26739681433733475,148675.03196922934,Aureon Rugged Terminal Professional,Terminals,Mobile Terminals,Rugged Terminal,Professional,2,G2,Core
DE01,Hardware,HW-TRM-RUG-X,39790.43,29534.58,2013.4,2407.32,8242.45,5835.13,4491.956688319673,1.0,0.2071465425229132,0.14664656803155934,1343.173311680327,Aureon Rugged Terminal Premium,Terminals,Mobile Terminals,Rugged Terminal,Premium,3,G2,Premium
DE01,Software,SW-ANL-BI-E,238117.25,32827.78,9000.85,10179.5,196288.69,186109.17,41944.20662706621,185.0,0.8243362881101642,0.7815862563506004,144164.9633729338,Aureon Business Intelligence Essential,Analytics,Business Analytics,Business Intelligence,Essential,1,G2,Volume
DE01,Software,SW-ANL-BI-P,260735.16,42753.2,9125.73,11733.08,208856.18,197123.14,45935.254030019896,158.0,0.8010280623449479,0.7560282241950032,151187.88596998013,Aureon Business Intelligence Professional,Analytics,Business Analytics,Business Intelligence,Professional,2,G2,Core
DE01,Software,SW-ANL-BI-X,166102.99,33203.729999999996,5348.52,8222.08,127550.76,119328.69,29240.39691377512,68.0,0.7679016494525475,0.7184018180527636,90088.29308622488,Aureon Business Intelligence Premium,Analytics,Business Analytics,Business Intelligence,Premium,3,G2,Premium
DE01,Software,SW-ANL-FIN-E,198716.94,28417.71,7511.5,8495.12,162787.73,154292.58,35002.33865533878,144.0,0.8191940254313498,0.7764440213300385,119290.2413446612,Aureon Finance Analytics Essential,Analytics,Business Analytics,Finance Analytics,Essential,1,G2,Volume
DE01,Software,SW-ANL-FIN-P,231790.79,39350.24,8112.7,10430.6,184327.88999999998,173897.32,40825.81753013991,131.0,0.7952338831063994,0.7502339501927578,133071.5024698601,Aureon Finance Analytics Professional,Analytics,Business Analytics,Finance Analytics,Professional,2,G2,Core
DE01,Software,SW-ANL-FIN-X,91554.43,18936.52,2948.08,4531.96,69669.83,65137.9,16115.999765744813,35.0,0.7609662361504518,0.7114663921778553,49021.90023425519,Aureon Finance Analytics Premium,Analytics,Business Analytics,Finance Analytics,Premium,3,G2,Premium
DE01,Software,SW-ANL-OPS-E,183234.51,28061.54,6926.2699999999995,7833.27,148246.69999999998,140413.44,32272.760274740813,117.0,0.8090544734176983,0.7663045569308969,108140.6797252592,Aureon Operations Analytics Essential,Analytics,Advanced Analytics,Operations Analytics,Essential,1,G2,Volume
DE01,Software,SW-ANL-OPS-P,297193.53,54239.54,10401.83,13373.67,232552.26,219178.53,52362.44785033537,148.0,0.7824943564552027,0.7374942852894543,166816.08214966464,Aureon Operations Analytics Professional,Analytics,Advanced Analytics,Operations Analytics,Professional,2,G2,Core
DE01,Software,SW-ANL-OPS-X,71284.46,15803.04,2295.36,3528.58,53186.06,49657.479999999996,12554.708955407852,24.0,0.7461101620184819,0.6966101728202752,37102.77104459214,Aureon Operations Analytics Premium,Analytics,Advanced Analytics,Operations Analytics,Premium,3,G2,Premium
DE01,Software,SW-ANL-PRD-E,194402.97,28756.99,7348.46,8310.72,158297.52,149986.81,34230.91723274839,132.0,0.8142752140052181,0.7715253012852633,115755.89276725161,Aureon Predictive Analytics Essential,Analytics,Advanced Analytics,Predictive Analytics,Essential,1,G2,Volume
DE01,Software,SW-ANL-PRD-P,175662.38,30963.28,6148.2,7904.83,138550.88,130646.09,30946.42486700703,93.0,0.7887339338109844,0.7437340311568134,99699.66513299296,Aureon Predictive Analytics Professional,Analytics,Advanced Analytics,Predictive Analytics,Professional,2,G2,Core
DE01,Software,SW-ANL-PRD-X,103450.09,22219.78,3331.1,5120.79,77899.19,72778.41,18229.110277570457,37.0,0.7530122980076673,0.7035122927394264,54549.29972242955,Aureon Predictive Analytics Premium,Analytics,Advanced Analytics,Predictive Analytics,Premium,3,G2,Premium
DE01,Software,SW-AUT-INT-E,285551.94,42273.64,10793.84,12207.34,232484.47,220277.13,50315.36749976131,185.0,0.8141582578637008,0.7714082768970156,169961.7625002387,Aureon Integration Hub Essential,Automation,Integration,Integration Hub,Essential,1,G2,Volume
DE01,Software,SW-AUT-INT-P,122654.72,21562.95,4292.93,5519.45,96798.84,91279.38,21592.30031067619,62.0,0.7891978392678243,0.7441978588349475,69687.07968932381,Aureon Integration Hub Professional,Automation,Integration,Integration Hub,Professional,2,G2,Core
DE01,Software,SW-AUT-INT-X,155145.6,33328.64,4995.6900000000005,7679.7,116821.27,109141.57,27348.122497817654,53.0,0.752978299094528,0.7034783455025473,81793.44750218236,Aureon Integration Hub Premium,Automation,Integration,Integration Hub,Premium,3,G2,Premium
DE01,Software,SW-AUT-MON-E,201740.85,30808.19,7625.83,8624.42,163306.91,154682.47,35531.655480795984,123.0,0.8094885592085094,0.7667384667012159,119150.81451920402,Aureon Monitoring Suite Essential,Automation,Integration,Monitoring Suite,Essential,1,G2,Volume
DE01,Software,SW-AUT-MON-P,225296.28,41153.27,7885.37,10138.34,176257.61,166119.26,39700.261602377686,107.0,0.7823369742278922,0.7373368969962576,126418.99839762232,Aureon Monitoring Suite Professional,Automation,Integration,Monitoring Suite,Professional,2,G2,Core
DE01,Software,SW-AUT-MON-X,152521.52,33935.29,4911.19,7549.820000000001,113675.03,106125.22,26860.903013048017,49.0,0.7453048592749404,0.695804893630748,79264.31698695198,Aureon Monitoring Suite Premium,Automation,Integration,Monitoring Suite,Premium,3,G2,Premium
DE01,Software,SW-AUT-ORC-E,243991.2,33614.41,9222.9,10430.64,201153.94,190723.4,42989.16712329416,181.0,0.8244311270242533,0.7816814704792632,147734.23287670582,Aureon Process Orchestrator Essential,Automation,Orchestration,Process Orchestrator,Essential,1,G2,Volume
DE01,Software,SW-AUT-ORC-P,167647.32,27504.73,5867.65,7544.14,134274.94,126730.79,29525.07302368659,97.0,0.8009369908209687,0.7559368679439671,97205.7169763134,Aureon Process Orchestrator Professional,Automation,Orchestration,Process Orchestrator,Professional,2,G2,Core
DE01,Software,SW-AUT-ORC-X,199504.57,39857.9,6424.06,9875.47,153222.63999999998,143347.16,35144.671839072056,78.0,0.7680156900666485,0.7185156710946521,108202.48816092795,Aureon Process Orchestrator Premium,Automation,Orchestration,Process Orchestrator,Premium,3,G2,Premium
DE01,Software,SW-AUT-RPA-E,154740.24,22081.27,5849.16,6615.12,126809.75,120194.64,27267.285494204792,107.0,0.8195007969484861,0.7767510248142306,92927.3545057952,Aureon Automation Studio Essential,Automation,Orchestration,Automation Studio,Essential,1,G2,Volume
DE01,Software,SW-AUT-RPA-P,402125.94,68309.39,14074.41,18095.61,319742.14,301646.46,70819.71078260837,217.0,0.7951293567383393,0.7501293251561937,230826.74921739165,Aureon Automation Studio Professional,Automation,Orchestration,Automation Studio,Professional,2,G2,Core
DE01,Software,SW-AUT-RPA-X,164735.3,34323.18,5304.49,8154.42,125107.68,116953.26,29022.623898856644,60.0,0.7594467002518586,0.7099465627585587,87930.63610114335,Aureon Automation Studio Premium,Automation,Orchestration,Automation Studio,Premium,3,G2,Premium
DE01,Software,SW-PLT-API-E-NXT,468886.15,112302.04,17723.88,20044.89,338860.29,318815.36,82593.54916803126,291.0,0.7226920436869376,0.6799419432627728,236221.81083196873,Aureon API Gateway NextGen Essential,Platform,Edge Services,API Gateway,Essential,1,G3,Growth
DE01,Software,SW-PLT-API-P,317251.92,57609.65,11103.79,14276.36,248538.41,234262.08,55874.99946164444,166.0,0.7834102627337922,0.7384102829070349,178387.08053835554,Aureon API Gateway Professional,Platform,Edge Services,API Gateway,Professional,2,G2,Core
DE01,Software,SW-PLT-API-X,33944.87,7525.38,1093.02,1680.27,25326.51,23646.22,5978.437485456531,12.0,0.7461071437304074,0.6966065859141602,17667.78251454347,Aureon API Gateway Premium,Platform,Edge Services,API Gateway,Premium,3,G2,Premium
DE01,Software,SW-PLT-CORE-E,356874.54000000004,49192.8,13489.87,15256.36,294191.85,278935.49,62874.69732704739,291.0,0.8243565091530485,0.7816065836470149,216060.7926729526,Aureon Core Platform Essential,Platform,Core Services,Core Platform,Essential,1,G2,Volume
DE01,Software,SW-PLT-CORE-P,352051.51,57732.66,12321.84,15842.3,281996.97000000003,266154.68,62010.86796338005,224.0,0.8010105396224547,0.7560106190142459,204143.81203661993,Aureon Core Platform Professional,Platform,Core Services,Core Platform,Professional,2,G2,Core
DE01,Software,SW-PLT-CORE-X,216522.66999999998,43621.25,6972.05,10717.84,165929.41,155211.47,38142.903045498846,93.0,0.7663373539592876,0.7168370406664577,117068.56695450115,Aureon Core Platform Premium,Platform,Core Services,Core Platform,Premium,3,G2,Premium
DE01,Software,SW-PLT-EDGE-E,321274.46,47465.14,12144.14,13734.49,261665.16,247930.66,56589.94820298585,229.0,0.8144598857935984,0.7717098333929189,191340.71179701417,Aureon Edge Runtime Essential,Platform,Edge Services,Edge Runtime,Essential,1,G2,Volume
DE01,Software,SW-PLT-EDGE-P,240978.07,42419.03,8434.23,10843.99,190124.78,179280.8,42445.90731990921,134.0,0.7889712951888112,0.7439714327531961,136834.8926800908,Aureon Edge Runtime Professional,Platform,Edge Services,Edge Runtime,Professional,2,G2,Core
DE01,Software,SW-PLT-WF-E,371982.22000000003,53096.83,14060.88,15902.23,304824.55,288922.29,65524.96174923064,283.0,0.819459999996774,0.7767099459753747,223397.32825076935,Aureon Workflow Engine Essential,Platform,Core Services,Workflow Engine,Essential,1,G2,Volume
DE01,Software,SW-PLT-WF-P,370934.86,63144.909999999996,12982.75,16692.11,294807.25,278115.14,65363.26617403293,220.0,0.7947682512234089,0.7497681398831052,212751.87382596708,Aureon Workflow Engine Professional,Platform,Core Services,Workflow Engine,Professional,2,G2,Core
DE01,Software,SW-PLT-WF-X,234450.29,48664.09,7549.28,11605.26,178236.85,166631.59,41301.54940326423,94.0,0.7602330114413592,0.7107331366491378,125330.04059673577,Aureon Workflow Engine Premium,Platform,Core Services,Workflow Engine,Premium,3,G2,Premium
DE01,Software,SW-SEC-CMP-E-NXT,391507.22000000003,93720.5,14798.95,16736.91,282987.8,266250.75,68978.92292496991,206.0,0.7228162995308234,0.6800660023587815,197271.82707503007,Aureon Compliance Monitor NextGen Essential,Security,Protection,Compliance Monitor,Essential,1,G3,Growth
DE01,Software,SW-SEC-CMP-P,169211.5,30769.47,5922.4,7614.52,132519.62,124905.11,29797.78170261839,75.0,0.7831596552243789,0.7381596995476076,95107.32829738161,Aureon Compliance Monitor Professional,Security,Protection,Compliance Monitor,Professional,2,G2,Core
DE01,Software,SW-SEC-CMP-X,120164.88,26639.52,3869.31,5948.16,89655.99,83707.83,21163.68427902057,36.0,0.7461080974740706,0.6966081104562332,62544.14572097943,Aureon Compliance Monitor Premium,Security,Protection,Compliance Monitor,Premium,3,G2,Premium
DE01,Software,SW-SEC-IAM-E,299463.82,41324.74,11319.7,12802.1,246819.30000000002,234017.2,52739.60703014729,207.0,0.8242040724652481,0.7814540000191008,181277.59296985273,Aureon Identity Access Essential,Security,Identity,Identity Access,Essential,1,G2,Volume
DE01,Software,SW-SEC-IAM-P,224362.95,36813.56,7852.74,10096.36,179696.66,169600.27,39515.66199862628,121.0,0.8009194922780254,0.7559192371111183,130084.60800137371,Aureon Identity Access Professional,Security,Identity,Identity Access,Professional,2,G2,Core
DE01,Software,SW-SEC-IAM-X,38428.020000000004,7686.02,1237.4,1902.2,29504.62,27602.42,6782.533512369137,14.0,0.7677892329607405,0.7182888944056965,20819.88648763086,Aureon Identity Access Premium,Security,Identity,Identity Access,Premium,3,G2,Premium
DE01,Software,SW-SEC-KMS-E,228296.55,33651.729999999996,8629.58,9759.67,186015.22,176255.54,40203.035111084835,138.0,0.8147964566262609,0.7720464457303451,136052.50488891517,Aureon Key Management Essential,Security,Protection,Key Management,Essential,1,G2,Volume
DE01,Software,SW-SEC-KMS-P,246167.02,43332.92,8615.82,11077.54,194218.29,183140.76,43365.802417841245,116.0,0.7889695784593729,0.7439695211811883,139774.95758215876,Aureon Key Management Professional,Security,Protection,Key Management,Professional,2,G2,Core
DE01,Software,SW-SEC-KMS-X,201333.51,43504.770000000004,6482.96,9965.99,151345.78,141379.81,35461.60695889821,64.0,0.7517167907120876,0.7022169831539717,105918.20304110178,Aureon Key Management Premium,Security,Protection,Key Management,Premium,3,G2,Premium
DE01,Software,SW-SEC-PAM-E,235729.61,33643.04,8910.55,10077.41,193175.85,183098.47,41520.4201931612,152.0,0.819480632916671,0.7767308909559559,141578.0498068388,Aureon Privileged Access Essential,Security,Identity,Privileged Access,Essential,1,G2,Volume
DE01,Software,SW-SEC-PAM-P,310025.88,52536.41,10850.89,13951.17,246638.54,232687.39,54597.27102468745,156.0,0.7955417786411896,0.7505418257340323,178090.11897531257,Aureon Privileged Access Professional,Security,Identity,Privileged Access,Professional,2,G2,Core
