month,current,overdue_1_30,overdue_31_60,overdue_61_90,overdue_90_plus,total_ap,overdue_ap,overdue_pct,weighted_age_days,supplier_count,trailing_12m_supplier_count,top5_spend_concentration,single_source_ap,critical_supplier_ap
2025-01,13473891.700000009,0.0,0.0,0.0,0.0,13473891.700000009,0.0,0.0,11.478882964451921,85,92,0.3612988421285107,2183713.53,11456326.91000001
2025-02,30451999.47000001,97746.2100000004,0.0,0.0,0.0,30549745.680000007,97746.2100000004,0.0031995752443854837,11.187524592839768,89,92,0.3311039616495478,2355183.2700000005,28608131.680000015
2025-03,45421321.85000001,144893.63000000035,0.0,0.0,0.0,45566215.480000004,144893.63000000032,0.0031798477989377297,14.4444130561795,89,92,0.31948081751381596,2430156.45,43382690.5
2025-04,40375073.34,44886.90000000047,0.0,0.0,0.0,40419960.24000001,44886.900000000474,0.0011105132150916847,13.494726869132622,87,92,0.32203933649849364,2166220.340000001,38311815.11000001
2025-05,42870544.49000001,68399.55000000042,0.0,0.0,0.0,42938944.040000014,68399.55000000042,0.0015929490472863619,14.11913187094762,85,92,0.33720686182136045,2443758.1500000004,40875835.03000001
2025-06,45865784.10000001,59880.84000000047,0.0,0.0,0.0,45925664.94000001,59880.84000000048,0.0013038644095459983,13.359453754269373,85,92,0.3166981967617396,3722519.97,43713104.51000002
2025-07,31136525.91000001,0.0,0.0,0.0,0.0,31136525.91000001,0.0,0.0,13.092346852642178,86,92,0.3205121563515245,2160853.1500000004,29004025.940000013
2025-08,25859094.20000001,0.0,0.0,0.0,0.0,25859094.20000001,0.0,0.0,12.935357902056763,85,92,0.3338245866960476,2442621.8000000007,23991714.99000001
2025-09,52442595.47000001,365115.9600000004,0.0,0.0,0.0,52807711.430000015,365115.9600000005,0.006914065202086725,16.794712686529323,88,92,0.3165861156598489,2524175.0500000003,50455124.85000002
2025-10,45357063.46000001,39922.02000000057,0.0,0.0,0.0,45396985.48,39922.02000000057,0.0008793980388320836,13.104400693347545,84,92,0.289521777852544,3259130.2400000007,43075497.88000002
2025-11,47292582.25000001,86526.90000000058,0.0,0.0,0.0,47379109.150000006,86526.90000000058,0.0018262669254936923,14.416226599735477,82,92,0.278372651982495,1665514.94,45004982.890000015
2025-12,52421447.98000002,101516.80000000057,0.0,0.0,0.0,52522964.78000001,101516.80000000057,0.0019328078760446651,13.987361741234906,84,92,0.2716888873393156,3083329.71,50098224.260000005
2026-01,17693682.97000001,0.0,0.0,0.0,0.0,17693682.97000001,0.0,0.0,11.922151931718503,86,92,0.2662661493920728,2420266.81,15504735.050000012
2026-02,35988697.53000001,91490.72000000073,0.0,0.0,0.0,36080188.250000015,91490.72000000073,0.0025357606054065055,13.735564555985944,89,92,0.2820355552770741,2699693.2100000004,33943326.09
2026-03,47069439.52000001,105161.62000000059,0.0,0.0,0.0,47174601.14000001,105161.62000000058,0.0022291999817425604,13.720134495237847,86,92,0.27190440640852864,2899550.4300000006,44853554.89
2026-04,42631309.45000001,23674.410000000484,0.0,0.0,0.0,42654983.86000001,23674.410000000484,0.0005550209578722012,13.390641679169075,86,92,0.28176574393994075,2444512.4500000016,40407361.92000002
2026-05,42536372.87000001,7663.590000000237,0.0,0.0,0.0,42544036.460000016,7663.590000000237,0.00018013311941394086,13.1745656838881,85,92,0.2810252333828003,2876104.4499999997,40331207.09
2026-06,41978002.44000001,12348.469999999987,0.0,0.0,0.0,41990350.91000002,12348.469999999994,0.0002940787521987391,13.320222991201486,85,92,0.2925300825128419,2790487.6099999994,39761646.320000015
2026-07,34705386.08000001,0.0,0.0,0.0,0.0,34705386.08000001,0.0,0.0,12.834249406511722,87,92,0.2984907055597996,3067575.9099999997,32519004.850000013
2026-08,28017742.70000001,0.0,0.0,0.0,0.0,28017742.70000001,0.0,0.0,12.280146176801038,86,92,0.29690660662998275,3039806.1799999983,25905591.700000018
