shock,driver,shock_display,entity,division,base_revenue,base_gross_profit,base_opex,revenue_impact,gross_profit_impact,opex_benefit,ebit_impact,interest_expense_impact,net_income_impact,ending_cash_impact,net_debt_impact,methodology
Volume +1%,volume,+1.0%,DE01,Hardware,70900879.98,21618694.6,8875403.63,709008.8,216186.95,38330.38,254517.32,0.0,193433.17,158615.2,-158615.2,Demand elasticity applied to Revenue and marginal contribution.
Volume +1%,volume,+1.0%,DE01,Software,12682512.98,9284449.44,2394111.61,126825.13,92844.49,5660.26,98504.75,0.0,74863.61,65879.98,-65879.98,Demand elasticity applied to Revenue and marginal contribution.
Volume +1%,volume,+1.0%,ES01,Events,39495582.03,15740965.42,6075387.0,394955.82,157409.65,21449.17,178858.82,0.0,135932.7,122339.43,-122339.43,Demand elasticity applied to Revenue and marginal contribution.
Volume +1%,volume,+1.0%,ES01,Hardware,65639207.43,19605619.36,6286665.1,656392.07,196056.19,35513.25,231569.44,0.0,175992.78,144314.08,-144314.08,Demand elasticity applied to Revenue and marginal contribution.
Volume +1%,volume,+1.0%,ES01,Spare Parts,27145826.08,11879965.31,2785776.63,271458.26,118799.65,9374.44,128174.09,0.0,97412.31,81826.34,-81826.34,Demand elasticity applied to Revenue and marginal contribution.
Volume +1%,volume,+1.0%,JP01,Hardware,45476721.26,15105942.24,5478903.6,454767.21,151059.42,23993.08,175052.51,0.0,133039.9,109092.72,-109092.72,Demand elasticity applied to Revenue and marginal contribution.
Volume +1%,volume,+1.0%,JP01,Software,10855712.31,7943121.51,1962091.69,108557.12,79431.22,4862.31,84293.52,0.0,64063.08,56375.51,-56375.51,Demand elasticity applied to Revenue and marginal contribution.
Volume +1%,volume,+1.0%,JP01,Spare Parts,38202288.57,16778355.84,4949694.98,382022.89,167783.56,13225.44,181009.0,0.0,137566.84,115556.14,-115556.14,Demand elasticity applied to Revenue and marginal contribution.
Volume +1%,volume,+1.0%,US01,Events,31032349.0,12630230.1,7935654.38,310323.49,126302.3,16871.67,143173.97,0.0,108812.22,97931.0,-97931.0,Demand elasticity applied to Revenue and marginal contribution.
Volume +1%,volume,+1.0%,US01,Hardware,78677838.12,23975937.15,11925533.61,786778.38,239759.37,42351.32,282110.69,0.0,214404.13,175811.38,-175811.38,Demand elasticity applied to Revenue and marginal contribution.
Volume +1%,volume,+1.0%,US01,Software,15962926.44,11708288.71,3620542.78,159629.26,117082.89,7111.44,124194.32,0.0,94387.69,83061.16,-83061.16,Demand elasticity applied to Revenue and marginal contribution.
Industrial production -1%,industrial,-1.0%,DE01,Hardware,70900879.98,21618694.6,8875403.63,-709008.8,-216186.95,-38330.38,-254517.32,0.0,-193433.17,-158615.2,158615.2,Demand elasticity applied to Revenue and marginal contribution.
Industrial production -1%,industrial,-1.0%,DE01,Software,12682512.98,9284449.44,2394111.61,-31706.28,-23211.12,-1415.06,-24626.19,0.0,-18715.9,-16469.99,16469.99,Demand elasticity applied to Revenue and marginal contribution.
Industrial production -1%,industrial,-1.0%,ES01,Events,39495582.03,15740965.42,6075387.0,-256721.28,-102316.28,-13941.96,-116258.23,0.0,-88356.26,-79520.63,79520.63,Demand elasticity applied to Revenue and marginal contribution.
Industrial production -1%,industrial,-1.0%,ES01,Hardware,65639207.43,19605619.36,6286665.1,-656392.07,-196056.19,-35513.25,-231569.44,0.0,-175992.78,-144314.08,144314.08,Demand elasticity applied to Revenue and marginal contribution.
Industrial production -1%,industrial,-1.0%,ES01,Spare Parts,27145826.08,11879965.31,2785776.63,-149302.04,-65339.81,-5155.94,-70495.75,0.0,-53576.77,-45004.49,45004.49,Demand elasticity applied to Revenue and marginal contribution.
Industrial production -1%,industrial,-1.0%,JP01,Hardware,45476721.26,15105942.24,5478903.6,-454767.21,-151059.42,-23993.08,-175052.51,0.0,-133039.9,-109092.72,109092.72,Demand elasticity applied to Revenue and marginal contribution.
Industrial production -1%,industrial,-1.0%,JP01,Software,10855712.31,7943121.51,1962091.69,-27139.28,-19857.8,-1215.58,-21073.38,0.0,-16015.77,-14093.88,14093.88,Demand elasticity applied to Revenue and marginal contribution.
Industrial production -1%,industrial,-1.0%,JP01,Spare Parts,38202288.57,16778355.84,4949694.98,-210112.59,-92280.96,-7273.99,-99554.95,0.0,-75661.76,-63555.88,63555.88,Demand elasticity applied to Revenue and marginal contribution.
Industrial production -1%,industrial,-1.0%,US01,Events,31032349.0,12630230.1,7935654.38,-201710.27,-82096.5,-10966.59,-93063.08,0.0,-70727.94,-63655.15,63655.15,Demand elasticity applied to Revenue and marginal contribution.
Industrial production -1%,industrial,-1.0%,US01,Hardware,78677838.12,23975937.15,11925533.61,-786778.38,-239759.37,-42351.32,-282110.69,0.0,-214404.13,-175811.38,175811.38,Demand elasticity applied to Revenue and marginal contribution.
Industrial production -1%,industrial,-1.0%,US01,Software,15962926.44,11708288.71,3620542.78,-39907.32,-29270.72,-1777.86,-31048.58,0.0,-23596.92,-20765.29,20765.29,Demand elasticity applied to Revenue and marginal contribution.
Inflation +100 bps,inflation,+100 bps,DE01,Hardware,70900879.98,21618694.6,8875403.63,248153.08,-244668.77,-20803.71,-265472.48,0.0,-201759.09,-165442.45,165442.45,Division price pass-through less direct-cost and non-people OPEX inflation.
Inflation +100 bps,inflation,+100 bps,DE01,Software,12682512.98,9284449.44,2394111.61,69753.82,35773.19,-6891.29,28881.89,0.0,21950.24,19316.21,-19316.21,Division price pass-through less direct-cost and non-people OPEX inflation.
Inflation +100 bps,inflation,+100 bps,ES01,Events,39495582.03,15740965.42,6075387.0,118486.75,-119059.42,-17559.38,-136618.8,0.0,-103830.29,-93447.26,93447.26,Division price pass-through less direct-cost and non-people OPEX inflation.
Inflation +100 bps,inflation,+100 bps,ES01,Hardware,65639207.43,19605619.36,6286665.1,229737.23,-230598.65,-19259.83,-249858.48,0.0,-189892.45,-155711.81,155711.81,Division price pass-through less direct-cost and non-people OPEX inflation.
Inflation +100 bps,inflation,+100 bps,ES01,Spare Parts,27145826.08,11879965.31,2785776.63,108583.3,-44075.3,-8045.77,-52121.08,0.0,-39612.02,-33274.09,33274.09,Division price pass-through less direct-cost and non-people OPEX inflation.
Inflation +100 bps,inflation,+100 bps,JP01,Hardware,45476721.26,15105942.24,5478903.6,159168.52,-144539.27,-13343.76,-157883.03,0.0,-119991.1,-98392.7,98392.7,Division price pass-through less direct-cost and non-people OPEX inflation.
Inflation +100 bps,inflation,+100 bps,JP01,Software,10855712.31,7943121.51,1962091.69,59706.42,30580.51,-5898.67,24681.84,0.0,18758.2,16507.22,-16507.22,Division price pass-through less direct-cost and non-people OPEX inflation.
Inflation +100 bps,inflation,+100 bps,JP01,Spare Parts,38202288.57,16778355.84,4949694.98,152809.15,-61430.17,-11322.8,-72752.97,0.0,-55292.26,-46445.5,46445.5,Division price pass-through less direct-cost and non-people OPEX inflation.
Inflation +100 bps,inflation,+100 bps,US01,Events,31032349.0,12630230.1,7935654.38,93097.05,-90924.14,-13695.9,-104620.04,0.0,-79511.23,-71560.11,71560.11,Division price pass-through less direct-cost and non-people OPEX inflation.
Inflation +100 bps,inflation,+100 bps,US01,Hardware,78677838.12,23975937.15,11925533.61,275372.43,-271646.58,-22916.94,-294563.52,0.0,-223868.27,-183571.98,183571.98,Division price pass-through less direct-cost and non-people OPEX inflation.
Inflation +100 bps,inflation,+100 bps,US01,Software,15962926.44,11708288.71,3620542.78,87796.1,45249.72,-8610.21,36639.51,0.0,27846.03,24504.5,-24504.5,Division price pass-through less direct-cost and non-people OPEX inflation.
Wage inflation +100 bps,wages,+100 bps,DE01,Hardware,70900879.98,21618694.6,8875403.63,0.0,0.0,-67950.33,-67950.33,0.0,-51642.25,-42346.64,42346.64,Fully loaded personnel cost exposed to the annual wage shock.
Wage inflation +100 bps,wages,+100 bps,DE01,Software,12682512.98,9284449.44,2394111.61,0.0,0.0,-17049.82,-17049.82,0.0,-12957.87,-11402.92,11402.92,Fully loaded personnel cost exposed to the annual wage shock.
Wage inflation +100 bps,wages,+100 bps,ES01,Events,39495582.03,15740965.42,6075387.0,0.0,0.0,-43194.49,-43194.49,0.0,-32827.81,-29545.03,29545.03,Fully loaded personnel cost exposed to the annual wage shock.
Wage inflation +100 bps,wages,+100 bps,ES01,Hardware,65639207.43,19605619.36,6286665.1,0.0,0.0,-43606.82,-43606.82,0.0,-33141.18,-27175.77,27175.77,Fully loaded personnel cost exposed to the annual wage shock.
Wage inflation +100 bps,wages,+100 bps,ES01,Spare Parts,27145826.08,11879965.31,2785776.63,0.0,0.0,-19811.99,-19811.99,0.0,-15057.12,-12647.98,12647.98,Fully loaded personnel cost exposed to the annual wage shock.
Wage inflation +100 bps,wages,+100 bps,JP01,Hardware,45476721.26,15105942.24,5478903.6,0.0,0.0,-41445.28,-41445.28,0.0,-31498.41,-25828.7,25828.7,Fully loaded personnel cost exposed to the annual wage shock.
Wage inflation +100 bps,wages,+100 bps,JP01,Software,10855712.31,7943121.51,1962091.69,0.0,0.0,-13722.25,-13722.25,0.0,-10428.91,-9177.44,9177.44,Fully loaded personnel cost exposed to the annual wage shock.
Wage inflation +100 bps,wages,+100 bps,JP01,Spare Parts,38202288.57,16778355.84,4949694.98,0.0,0.0,-38174.15,-38174.15,0.0,-29012.35,-24370.38,24370.38,Fully loaded personnel cost exposed to the annual wage shock.
Wage inflation +100 bps,wages,+100 bps,US01,Events,31032349.0,12630230.1,7935654.38,0.0,0.0,-65660.64,-65660.64,0.0,-49902.09,-44911.88,44911.88,Fully loaded personnel cost exposed to the annual wage shock.
Wage inflation +100 bps,wages,+100 bps,US01,Hardware,78677838.12,23975937.15,11925533.61,0.0,0.0,-96338.39,-96338.39,0.0,-73217.18,-60038.09,60038.09,Fully loaded personnel cost exposed to the annual wage shock.
Wage inflation +100 bps,wages,+100 bps,US01,Software,15962926.44,11708288.71,3620542.78,0.0,0.0,-27595.22,-27595.22,0.0,-20972.37,-18455.68,18455.68,Fully loaded personnel cost exposed to the annual wage shock.
Energy index +10%,energy,+10.0%,DE01,Hardware,70900879.98,21618694.6,8875403.63,0.0,-1232054.63,0.0,-1232054.63,0.0,-936361.52,-767816.45,767816.45,Direct cost exposed through division energy elasticity.
Energy index +10%,energy,+10.0%,DE01,Software,12682512.98,9284449.44,2394111.61,0.0,-3398.06,0.0,-3398.06,0.0,-2582.53,-2272.62,2272.62,Direct cost exposed through division energy elasticity.
Energy index +10%,energy,+10.0%,ES01,Events,39495582.03,15740965.42,6075387.0,0.0,-71263.85,0.0,-71263.85,0.0,-54160.53,-48744.47,48744.47,Direct cost exposed through division energy elasticity.
Energy index +10%,energy,+10.0%,ES01,Hardware,65639207.43,19605619.36,6286665.1,0.0,-1150839.7,0.0,-1150839.7,0.0,-874638.17,-717203.3,717203.3,Direct cost exposed through division energy elasticity.
Energy index +10%,energy,+10.0%,ES01,Spare Parts,27145826.08,11879965.31,2785776.63,0.0,-122126.89,0.0,-122126.89,0.0,-92816.43,-77965.8,77965.8,Direct cost exposed through division energy elasticity.
Energy index +10%,energy,+10.0%,JP01,Hardware,45476721.26,15105942.24,5478903.6,0.0,-759269.48,0.0,-759269.48,0.0,-577044.8,-473176.74,473176.74,Direct cost exposed through division energy elasticity.
Energy index +10%,energy,+10.0%,JP01,Software,10855712.31,7943121.51,1962091.69,0.0,-2912.59,0.0,-2912.59,0.0,-2213.57,-1947.94,1947.94,Direct cost exposed through division energy elasticity.
Energy index +10%,energy,+10.0%,JP01,Spare Parts,38202288.57,16778355.84,4949694.98,0.0,-171391.46,0.0,-171391.46,0.0,-130257.51,-109416.31,109416.31,Direct cost exposed through division energy elasticity.
Energy index +10%,energy,+10.0%,US01,Events,31032349.0,12630230.1,7935654.38,0.0,-55206.36,0.0,-55206.36,0.0,-41956.83,-37761.15,37761.15,Direct cost exposed through division energy elasticity.
Energy index +10%,energy,+10.0%,US01,Hardware,78677838.12,23975937.15,11925533.61,0.0,-1367547.52,0.0,-1367547.52,0.0,-1039336.12,-852255.62,852255.62,Direct cost exposed through division energy elasticity.
Energy index +10%,energy,+10.0%,US01,Software,15962926.44,11708288.71,3620542.78,0.0,-4254.64,0.0,-4254.64,0.0,-3233.52,-2845.5,2845.5,Direct cost exposed through division energy elasticity.
EUR strengthening +5%,fx,+5.0% EUR,DE01,Hardware,70900879.98,21618694.6,8875403.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,Translation-only shock for non-EUR entities; no transaction-cash claim.
EUR strengthening +5%,fx,+5.0% EUR,DE01,Software,12682512.98,9284449.44,2394111.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,Translation-only shock for non-EUR entities; no transaction-cash claim.
EUR strengthening +5%,fx,+5.0% EUR,ES01,Events,39495582.03,15740965.42,6075387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,Translation-only shock for non-EUR entities; no transaction-cash claim.
EUR strengthening +5%,fx,+5.0% EUR,ES01,Hardware,65639207.43,19605619.36,6286665.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,Translation-only shock for non-EUR entities; no transaction-cash claim.
EUR strengthening +5%,fx,+5.0% EUR,ES01,Spare Parts,27145826.08,11879965.31,2785776.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,Translation-only shock for non-EUR entities; no transaction-cash claim.
EUR strengthening +5%,fx,+5.0% EUR,JP01,Hardware,45476721.26,15105942.24,5478903.6,-2165558.16,-719330.58,260900.17,-458430.41,0.0,-348407.11,0.0,-0.0,Translation-only shock for non-EUR entities; no transaction-cash claim.
EUR strengthening +5%,fx,+5.0% EUR,JP01,Software,10855712.31,7943121.51,1962091.69,-516938.68,-378243.88,93432.94,-284810.94,0.0,-216456.32,0.0,-0.0,Translation-only shock for non-EUR entities; no transaction-cash claim.
EUR strengthening +5%,fx,+5.0% EUR,JP01,Spare Parts,38202288.57,16778355.84,4949694.98,-1819156.6,-798969.33,235699.76,-563269.56,0.0,-428084.87,0.0,-0.0,Translation-only shock for non-EUR entities; no transaction-cash claim.
EUR strengthening +5%,fx,+5.0% EUR,US01,Events,31032349.0,12630230.1,7935654.38,-1477730.9,-601439.53,377888.3,-223551.22,0.0,-169898.93,0.0,-0.0,Translation-only shock for non-EUR entities; no transaction-cash claim.
EUR strengthening +5%,fx,+5.0% EUR,US01,Hardware,78677838.12,23975937.15,11925533.61,-3746563.72,-1141711.29,567882.55,-573828.74,0.0,-436109.84,0.0,-0.0,Translation-only shock for non-EUR entities; no transaction-cash claim.
EUR strengthening +5%,fx,+5.0% EUR,US01,Software,15962926.44,11708288.71,3620542.78,-760139.35,-557537.56,172406.8,-385130.76,0.0,-292699.38,0.0,-0.0,Translation-only shock for non-EUR entities; no transaction-cash claim.
Policy rate +100 bps,policy_rate,+100 bps,CN01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120385.25,-91492.79,-91492.79,91492.79,Closing gross debt exposed to a 100 bps annual interest-rate increase.
Policy rate +100 bps,policy_rate,+100 bps,CZ01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120385.25,-91492.79,-91492.79,91492.79,Closing gross debt exposed to a 100 bps annual interest-rate increase.
Policy rate +100 bps,policy_rate,+100 bps,DE01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68791.57,-52281.6,-52281.6,52281.6,Closing gross debt exposed to a 100 bps annual interest-rate increase.
Policy rate +100 bps,policy_rate,+100 bps,ES01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17197.89,-13070.4,-13070.4,13070.4,Closing gross debt exposed to a 100 bps annual interest-rate increase.
Policy rate +100 bps,policy_rate,+100 bps,JP01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17197.89,-13070.4,-13070.4,13070.4,Closing gross debt exposed to a 100 bps annual interest-rate increase.
Policy rate +100 bps,policy_rate,+100 bps,US01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17197.89,-13070.4,-13070.4,13070.4,Closing gross debt exposed to a 100 bps annual interest-rate increase.
