contract_id,issue_month,seller,buyer,division,transaction_currency,transaction_amount,original_reporting_eur,receivable_journal_id,payable_journal_id,payment_terms_months,settlement_month
IC-2023-09-CZ01-JP01-Spare Parts,2023-09,CZ01,JP01,Spare Parts,CZK,35761703.085,1445690.12,ICSALE-2023-09-CZ01-JP01-SpareParts,ICBUY-2023-09-JP01-CZ01-SpareParts,1,2023-10
IC-2023-09-CZ01-US01-Hardware,2023-09,CZ01,US01,Hardware,CZK,122327094.9337,4945152.42,ICSALE-2023-09-CZ01-US01-Hardware,ICBUY-2023-09-US01-CZ01-Hardware,1,2023-10
IC-2023-10-CN01-DE01-Hardware,2023-10,CN01,DE01,Hardware,CNY,7252320.0495,936696.85,ICSALE-2023-10-CN01-DE01-Hardware,ICBUY-2023-10-DE01-CN01-Hardware,2,2023-12
IC-2023-10-CN01-ES01-Hardware,2023-10,CN01,ES01,Hardware,CNY,5851386.0602,755754.69,ICSALE-2023-10-CN01-ES01-Hardware,ICBUY-2023-10-ES01-CN01-Hardware,1,2023-11
IC-2023-10-CN01-ES01-Spare Parts,2023-10,CN01,ES01,Spare Parts,CNY,2494408.6027,322173.41,ICSALE-2023-10-CN01-ES01-SpareParts,ICBUY-2023-10-ES01-CN01-SpareParts,2,2023-12
IC-2023-10-CN01-JP01-Hardware,2023-10,CN01,JP01,Hardware,CNY,13510958.5037,1745051.54,ICSALE-2023-10-CN01-JP01-Hardware,ICBUY-2023-10-JP01-CN01-Hardware,2,2023-12
IC-2023-10-CN01-JP01-Spare Parts,2023-10,CN01,JP01,Spare Parts,CNY,9412068.4554,1215646.14,ICSALE-2023-10-CN01-JP01-SpareParts,ICBUY-2023-10-JP01-CN01-SpareParts,1,2023-11
IC-2023-10-CN01-US01-Hardware,2023-10,CN01,US01,Hardware,CNY,20512896.8392,2649409.53,ICSALE-2023-10-CN01-US01-Hardware,ICBUY-2023-10-US01-CN01-Hardware,2,2023-12
IC-2023-10-CZ01-DE01-Hardware,2023-10,CZ01,DE01,Hardware,CZK,76090047.9721,3040119.59,ICSALE-2023-10-CZ01-DE01-Hardware,ICBUY-2023-10-DE01-CZ01-Hardware,2,2023-12
IC-2023-10-CZ01-ES01-Hardware,2023-10,CZ01,ES01,Hardware,CZK,79216775.1585,3165045.58,ICSALE-2023-10-CZ01-ES01-Hardware,ICBUY-2023-10-ES01-CZ01-Hardware,1,2023-11
IC-2023-10-CZ01-ES01-Spare Parts,2023-10,CZ01,ES01,Spare Parts,CZK,19838512.1799,792632.56,ICSALE-2023-10-CZ01-ES01-SpareParts,ICBUY-2023-10-ES01-CZ01-SpareParts,1,2023-11
IC-2023-10-CZ01-JP01-Hardware,2023-10,CZ01,JP01,Hardware,CZK,11891658.3086,475122.1,ICSALE-2023-10-CZ01-JP01-Hardware,ICBUY-2023-10-JP01-CZ01-Hardware,2,2023-12
IC-2023-10-CZ01-JP01-Spare Parts,2023-10,CZ01,JP01,Spare Parts,CZK,10675157.2022,426517.73,ICSALE-2023-10-CZ01-JP01-SpareParts,ICBUY-2023-10-JP01-CZ01-SpareParts,2,2023-12
IC-2023-10-CZ01-US01-Hardware,2023-10,CZ01,US01,Hardware,CZK,34674617.1192,1385397.77,ICSALE-2023-10-CZ01-US01-Hardware,ICBUY-2023-10-US01-CZ01-Hardware,2,2023-12
IC-2023-11-CN01-DE01-Hardware,2023-11,CN01,DE01,Hardware,CNY,7200662.2124,918306.66,ICSALE-2023-11-CN01-DE01-Hardware,ICBUY-2023-11-DE01-CN01-Hardware,2,2024-01
IC-2023-11-CN01-ES01-Hardware,2023-11,CN01,ES01,Hardware,CNY,6148088.9942,784071.09,ICSALE-2023-11-CN01-ES01-Hardware,ICBUY-2023-11-ES01-CN01-Hardware,2,2024-01
IC-2023-11-CN01-ES01-Spare Parts,2023-11,CN01,ES01,Spare Parts,CNY,2885719.6901,368018.32,ICSALE-2023-11-CN01-ES01-SpareParts,ICBUY-2023-11-ES01-CN01-SpareParts,1,2023-12
IC-2023-11-CN01-JP01-Hardware,2023-11,CN01,JP01,Hardware,CNY,15574223.8899,1986194.2,ICSALE-2023-11-CN01-JP01-Hardware,ICBUY-2023-11-JP01-CN01-Hardware,2,2024-01
IC-2023-11-CN01-JP01-Spare Parts,2023-11,CN01,JP01,Spare Parts,CNY,9620142.9937,1226865.13,ICSALE-2023-11-CN01-JP01-SpareParts,ICBUY-2023-11-JP01-CN01-SpareParts,1,2023-12
IC-2023-11-CN01-US01-Hardware,2023-11,CN01,US01,Hardware,CNY,22122194.208,2821262.5,ICSALE-2023-11-CN01-US01-Hardware,ICBUY-2023-11-US01-CN01-Hardware,2,2024-01
IC-2023-11-CZ01-DE01-Hardware,2023-11,CZ01,DE01,Hardware,CZK,73791714.1546,2949415.51,ICSALE-2023-11-CZ01-DE01-Hardware,ICBUY-2023-11-DE01-CZ01-Hardware,2,2024-01
IC-2023-11-CZ01-ES01-Hardware,2023-11,CZ01,ES01,Hardware,CZK,71877505.2581,2872905.6,ICSALE-2023-11-CZ01-ES01-Hardware,ICBUY-2023-11-ES01-CZ01-Hardware,1,2023-12
IC-2023-11-CZ01-ES01-Spare Parts,2023-11,CZ01,ES01,Spare Parts,CZK,21736206.0964,868784.58,ICSALE-2023-11-CZ01-ES01-SpareParts,ICBUY-2023-11-ES01-CZ01-SpareParts,1,2023-12
IC-2023-11-CZ01-JP01-Hardware,2023-11,CZ01,JP01,Hardware,CZK,14833972.7605,592905.99,ICSALE-2023-11-CZ01-JP01-Hardware,ICBUY-2023-11-JP01-CZ01-Hardware,1,2023-12
IC-2023-11-CZ01-JP01-Spare Parts,2023-11,CZ01,JP01,Spare Parts,CZK,10566615.668,422342.0,ICSALE-2023-11-CZ01-JP01-SpareParts,ICBUY-2023-11-JP01-CZ01-SpareParts,1,2023-12
IC-2023-11-CZ01-US01-Hardware,2023-11,CZ01,US01,Hardware,CZK,41436112.1021,1656179.33,ICSALE-2023-11-CZ01-US01-Hardware,ICBUY-2023-11-US01-CZ01-Hardware,1,2023-12
IC-2023-12-CN01-DE01-Hardware,2023-12,CN01,DE01,Hardware,CNY,6524483.8432,844325.65,ICSALE-2023-12-CN01-DE01-Hardware,ICBUY-2023-12-DE01-CN01-Hardware,2,2024-02
IC-2023-12-CN01-ES01-Hardware,2023-12,CN01,ES01,Hardware,CNY,6712022.0885,868594.75,ICSALE-2023-12-CN01-ES01-Hardware,ICBUY-2023-12-ES01-CN01-Hardware,1,2024-01
IC-2023-12-CN01-ES01-Spare Parts,2023-12,CN01,ES01,Spare Parts,CNY,3140340.594,406387.72,ICSALE-2023-12-CN01-ES01-SpareParts,ICBUY-2023-12-ES01-CN01-SpareParts,1,2024-01
IC-2023-12-CN01-JP01-Hardware,2023-12,CN01,JP01,Hardware,CNY,15171525.9035,1963329.02,ICSALE-2023-12-CN01-JP01-Hardware,ICBUY-2023-12-JP01-CN01-Hardware,2,2024-02
IC-2023-12-CN01-JP01-Spare Parts,2023-12,CN01,JP01,Spare Parts,CNY,10601503.3677,1371927.87,ICSALE-2023-12-CN01-JP01-SpareParts,ICBUY-2023-12-JP01-CN01-SpareParts,1,2024-01
IC-2023-12-CN01-US01-Hardware,2023-12,CN01,US01,Hardware,CNY,23477422.3177,3038185.14,ICSALE-2023-12-CN01-US01-Hardware,ICBUY-2023-12-US01-CN01-Hardware,2,2024-02
IC-2023-12-CZ01-DE01-Hardware,2023-12,CZ01,DE01,Hardware,CZK,82412891.9532,3326915.73,ICSALE-2023-12-CZ01-DE01-Hardware,ICBUY-2023-12-DE01-CZ01-Hardware,2,2024-02
IC-2023-12-CZ01-ES01-Hardware,2023-12,CZ01,ES01,Hardware,CZK,90596504.4607,3657278.96,ICSALE-2023-12-CZ01-ES01-Hardware,ICBUY-2023-12-ES01-CZ01-Hardware,1,2024-01
IC-2023-12-CZ01-ES01-Spare Parts,2023-12,CZ01,ES01,Spare Parts,CZK,21054215.1827,849934.98,ICSALE-2023-12-CZ01-ES01-SpareParts,ICBUY-2023-12-ES01-CZ01-SpareParts,1,2024-01
IC-2023-12-CZ01-JP01-Hardware,2023-12,CZ01,JP01,Hardware,CZK,11532475.7133,465553.07,ICSALE-2023-12-CZ01-JP01-Hardware,ICBUY-2023-12-JP01-CZ01-Hardware,2,2024-02
IC-2023-12-CZ01-JP01-Spare Parts,2023-12,CZ01,JP01,Spare Parts,CZK,11823682.7388,477308.77,ICSALE-2023-12-CZ01-JP01-SpareParts,ICBUY-2023-12-JP01-CZ01-SpareParts,2,2024-02
IC-2023-12-CZ01-US01-Hardware,2023-12,CZ01,US01,Hardware,CZK,46046169.0359,1858832.04,ICSALE-2023-12-CZ01-US01-Hardware,ICBUY-2023-12-US01-CZ01-Hardware,1,2024-01
IC-2024-01-CN01-DE01-Hardware,2024-01,CN01,DE01,Hardware,CNY,335901.759,43420.3,ICSALE-2024-01-CN01-DE01-Hardware,ICBUY-2024-01-DE01-CN01-Hardware,1,2024-02
IC-2024-01-CN01-US01-Hardware,2024-01,CN01,US01,Hardware,CNY,3110922.2805,402132.99,ICSALE-2024-01-CN01-US01-Hardware,ICBUY-2024-01-US01-CN01-Hardware,1,2024-02
IC-2024-01-CZ01-DE01-Hardware,2024-01,CZ01,DE01,Hardware,CZK,3352289.6395,134656.86,ICSALE-2024-01-CZ01-DE01-Hardware,ICBUY-2024-01-DE01-CZ01-Hardware,2,2024-03
IC-2024-01-CZ01-US01-Hardware,2024-01,CZ01,US01,Hardware,CZK,5709068.4391,229325.42,ICSALE-2024-01-CZ01-US01-Hardware,ICBUY-2024-01-US01-CZ01-Hardware,2,2024-03
IC-2024-02-CN01-DE01-Hardware,2024-02,CN01,DE01,Hardware,CNY,5865835.8729,759782.04,ICSALE-2024-02-CN01-DE01-Hardware,ICBUY-2024-02-DE01-CN01-Hardware,1,2024-03
IC-2024-02-CN01-ES01-Hardware,2024-02,CN01,ES01,Hardware,CNY,4473835.7159,579480.93,ICSALE-2024-02-CN01-ES01-Hardware,ICBUY-2024-02-ES01-CN01-Hardware,2,2024-04
IC-2024-02-CN01-ES01-Spare Parts,2024-02,CN01,ES01,Spare Parts,CNY,2406969.7806,311766.72,ICSALE-2024-02-CN01-ES01-SpareParts,ICBUY-2024-02-ES01-CN01-SpareParts,2,2024-04
IC-2024-02-CN01-JP01-Hardware,2024-02,CN01,JP01,Hardware,CNY,4320494.3704,559619.14,ICSALE-2024-02-CN01-JP01-Hardware,ICBUY-2024-02-JP01-CN01-Hardware,2,2024-04
IC-2024-02-CN01-JP01-Spare Parts,2024-02,CN01,JP01,Spare Parts,CNY,8530129.0794,1104879.0,ICSALE-2024-02-CN01-JP01-SpareParts,ICBUY-2024-02-JP01-CN01-SpareParts,1,2024-03
IC-2024-02-CN01-US01-Hardware,2024-02,CN01,US01,Hardware,CNY,18879174.4153,2445356.12,ICSALE-2024-02-CN01-US01-Hardware,ICBUY-2024-02-US01-CN01-Hardware,2,2024-04
IC-2024-02-CZ01-DE01-Hardware,2024-02,CZ01,DE01,Hardware,CZK,70357670.942,2807739.51,ICSALE-2024-02-CZ01-DE01-Hardware,ICBUY-2024-02-DE01-CZ01-Hardware,2,2024-04
IC-2024-02-CZ01-ES01-Hardware,2024-02,CZ01,ES01,Hardware,CZK,57130919.6473,2279904.07,ICSALE-2024-02-CZ01-ES01-Hardware,ICBUY-2024-02-ES01-CZ01-Hardware,2,2024-04
IC-2024-02-CZ01-ES01-Spare Parts,2024-02,CZ01,ES01,Spare Parts,CZK,18725804.1132,747284.26,ICSALE-2024-02-CZ01-ES01-SpareParts,ICBUY-2024-02-ES01-CZ01-SpareParts,1,2024-03
IC-2024-02-CZ01-JP01-Hardware,2024-02,CZ01,JP01,Hardware,CZK,3078136.9887,122838.16,ICSALE-2024-02-CZ01-JP01-Hardware,ICBUY-2024-02-JP01-CZ01-Hardware,1,2024-03
IC-2024-02-CZ01-JP01-Spare Parts,2024-02,CZ01,JP01,Spare Parts,CZK,7092175.9521,283025.04,ICSALE-2024-02-CZ01-JP01-SpareParts,ICBUY-2024-02-JP01-CZ01-SpareParts,1,2024-03
IC-2024-02-CZ01-US01-Hardware,2024-02,CZ01,US01,Hardware,CZK,34804259.0028,1388921.66,ICSALE-2024-02-CZ01-US01-Hardware,ICBUY-2024-02-US01-CZ01-Hardware,2,2024-04
IC-2024-03-CN01-DE01-Hardware,2024-03,CN01,DE01,Hardware,CNY,7022732.0412,881573.4,ICSALE-2024-03-CN01-DE01-Hardware,ICBUY-2024-03-DE01-CN01-Hardware,2,2024-05
IC-2024-03-CN01-ES01-Hardware,2024-03,CN01,ES01,Hardware,CNY,5701254.9672,715686.53,ICSALE-2024-03-CN01-ES01-Hardware,ICBUY-2024-03-ES01-CN01-Hardware,2,2024-05
IC-2024-03-CN01-ES01-Spare Parts,2024-03,CN01,ES01,Spare Parts,CNY,2684076.8465,336935.93,ICSALE-2024-03-CN01-ES01-SpareParts,ICBUY-2024-03-ES01-CN01-SpareParts,2,2024-05
IC-2024-03-CN01-JP01-Hardware,2024-03,CN01,JP01,Hardware,CNY,14835596.1793,1862333.19,ICSALE-2024-03-CN01-JP01-Hardware,ICBUY-2024-03-JP01-CN01-Hardware,1,2024-04
IC-2024-03-CN01-JP01-Spare Parts,2024-03,CN01,JP01,Spare Parts,CNY,10094711.7484,1267203.32,ICSALE-2024-03-CN01-JP01-SpareParts,ICBUY-2024-03-JP01-CN01-SpareParts,2,2024-05
IC-2024-03-CN01-US01-Hardware,2024-03,CN01,US01,Hardware,CNY,20459629.1141,2568325.93,ICSALE-2024-03-CN01-US01-Hardware,ICBUY-2024-03-US01-CN01-Hardware,2,2024-05
IC-2024-03-CZ01-DE01-Hardware,2024-03,CZ01,DE01,Hardware,CZK,77265906.7203,3068399.62,ICSALE-2024-03-CZ01-DE01-Hardware,ICBUY-2024-03-DE01-CZ01-Hardware,1,2024-04
IC-2024-03-CZ01-ES01-Hardware,2024-03,CZ01,ES01,Hardware,CZK,61021346.1252,2423292.28,ICSALE-2024-03-CZ01-ES01-Hardware,ICBUY-2024-03-ES01-CZ01-Hardware,1,2024-04
IC-2024-03-CZ01-ES01-Spare Parts,2024-03,CZ01,ES01,Spare Parts,CZK,20927574.6552,831080.16,ICSALE-2024-03-CZ01-ES01-SpareParts,ICBUY-2024-03-ES01-CZ01-SpareParts,1,2024-04
IC-2024-03-CZ01-JP01-Hardware,2024-03,CZ01,JP01,Hardware,CZK,11103353.1546,440938.65,ICSALE-2024-03-CZ01-JP01-Hardware,ICBUY-2024-03-JP01-CZ01-Hardware,2,2024-05
IC-2024-03-CZ01-JP01-Spare Parts,2024-03,CZ01,JP01,Spare Parts,CZK,8938270.7221,354958.45,ICSALE-2024-03-CZ01-JP01-SpareParts,ICBUY-2024-03-JP01-CZ01-SpareParts,1,2024-04
IC-2024-03-CZ01-US01-Hardware,2024-03,CZ01,US01,Hardware,CZK,43011465.5768,1708080.19,ICSALE-2024-03-CZ01-US01-Hardware,ICBUY-2024-03-US01-CZ01-Hardware,2,2024-05
IC-2024-04-CN01-DE01-Hardware,2024-04,CN01,DE01,Hardware,CNY,5312402.418,670381.02,ICSALE-2024-04-CN01-DE01-Hardware,ICBUY-2024-04-DE01-CN01-Hardware,2,2024-06
IC-2024-04-CN01-ES01-Hardware,2024-04,CN01,ES01,Hardware,CNY,5239217.1689,661145.65,ICSALE-2024-04-CN01-ES01-Hardware,ICBUY-2024-04-ES01-CN01-Hardware,2,2024-06
IC-2024-04-CN01-ES01-Spare Parts,2024-04,CN01,ES01,Spare Parts,CNY,2314454.2903,292064.89,ICSALE-2024-04-CN01-ES01-SpareParts,ICBUY-2024-04-ES01-CN01-SpareParts,2,2024-06
IC-2024-04-CN01-JP01-Hardware,2024-04,CN01,JP01,Hardware,CNY,16522404.5209,2084990.09,ICSALE-2024-04-CN01-JP01-Hardware,ICBUY-2024-04-JP01-CN01-Hardware,1,2024-05
IC-2024-04-CN01-JP01-Spare Parts,2024-04,CN01,JP01,Spare Parts,CNY,9427315.1732,1189648.8,ICSALE-2024-04-CN01-JP01-SpareParts,ICBUY-2024-04-JP01-CN01-SpareParts,1,2024-05
IC-2024-04-CN01-US01-Hardware,2024-04,CN01,US01,Hardware,CNY,20169373.4545,2545207.25,ICSALE-2024-04-CN01-US01-Hardware,ICBUY-2024-04-US01-CN01-Hardware,2,2024-06
IC-2024-04-CZ01-DE01-Hardware,2024-04,CZ01,DE01,Hardware,CZK,59925114.9787,2390425.95,ICSALE-2024-04-CZ01-DE01-Hardware,ICBUY-2024-04-DE01-CZ01-Hardware,2,2024-06
IC-2024-04-CZ01-ES01-Hardware,2024-04,CZ01,ES01,Hardware,CZK,61124559.1382,2438272.04,ICSALE-2024-04-CZ01-ES01-Hardware,ICBUY-2024-04-ES01-CZ01-Hardware,1,2024-05
IC-2024-04-CZ01-ES01-Spare Parts,2024-04,CZ01,ES01,Spare Parts,CZK,19200964.859,765930.69,ICSALE-2024-04-CZ01-ES01-SpareParts,ICBUY-2024-04-ES01-CZ01-SpareParts,1,2024-05
IC-2024-04-CZ01-JP01-Hardware,2024-04,CZ01,JP01,Hardware,CZK,12733046.9694,507924.03,ICSALE-2024-04-CZ01-JP01-Hardware,ICBUY-2024-04-JP01-CZ01-Hardware,1,2024-05
IC-2024-04-CZ01-JP01-Spare Parts,2024-04,CZ01,JP01,Spare Parts,CZK,8130296.3358,324319.3,ICSALE-2024-04-CZ01-JP01-SpareParts,ICBUY-2024-04-JP01-CZ01-SpareParts,2,2024-06
IC-2024-04-CZ01-US01-Hardware,2024-04,CZ01,US01,Hardware,CZK,38852639.7047,1549840.3,ICSALE-2024-04-CZ01-US01-Hardware,ICBUY-2024-04-US01-CZ01-Hardware,2,2024-06
IC-2024-05-CN01-DE01-Hardware,2024-05,CN01,DE01,Hardware,CNY,7070795.0076,884095.42,ICSALE-2024-05-CN01-DE01-Hardware,ICBUY-2024-05-DE01-CN01-Hardware,1,2024-06
IC-2024-05-CN01-ES01-Hardware,2024-05,CN01,ES01,Hardware,CNY,5317358.4854,664854.84,ICSALE-2024-05-CN01-ES01-Hardware,ICBUY-2024-05-ES01-CN01-Hardware,1,2024-06
IC-2024-05-CN01-ES01-Spare Parts,2024-05,CN01,ES01,Spare Parts,CNY,1986539.6315,248386.58,ICSALE-2024-05-CN01-ES01-SpareParts,ICBUY-2024-05-ES01-CN01-SpareParts,1,2024-06
IC-2024-05-CN01-JP01-Hardware,2024-05,CN01,JP01,Hardware,CNY,11254569.8575,1407212.86,ICSALE-2024-05-CN01-JP01-Hardware,ICBUY-2024-05-JP01-CN01-Hardware,2,2024-07
IC-2024-05-CN01-JP01-Spare Parts,2024-05,CN01,JP01,Spare Parts,CNY,8910988.0987,1114183.59,ICSALE-2024-05-CN01-JP01-SpareParts,ICBUY-2024-05-JP01-CN01-SpareParts,2,2024-07
IC-2024-05-CN01-US01-Hardware,2024-05,CN01,US01,Hardware,CNY,18283417.3424,2286063.38,ICSALE-2024-05-CN01-US01-Hardware,ICBUY-2024-05-US01-CN01-Hardware,2,2024-07
IC-2024-05-CZ01-DE01-Hardware,2024-05,CZ01,DE01,Hardware,CZK,66143271.6961,2628972.65,ICSALE-2024-05-CZ01-DE01-Hardware,ICBUY-2024-05-DE01-CZ01-Hardware,1,2024-06
IC-2024-05-CZ01-ES01-Hardware,2024-05,CZ01,ES01,Hardware,CZK,59005034.4235,2345251.72,ICSALE-2024-05-CZ01-ES01-Hardware,ICBUY-2024-05-ES01-CZ01-Hardware,1,2024-06
IC-2024-05-CZ01-ES01-Spare Parts,2024-05,CZ01,ES01,Spare Parts,CZK,19124712.5754,760143.02,ICSALE-2024-05-CZ01-ES01-SpareParts,ICBUY-2024-05-ES01-CZ01-SpareParts,2,2024-07
IC-2024-05-CZ01-JP01-Hardware,2024-05,CZ01,JP01,Hardware,CZK,10030218.505,398667.46,ICSALE-2024-05-CZ01-JP01-Hardware,ICBUY-2024-05-JP01-CZ01-Hardware,2,2024-07
IC-2024-05-CZ01-JP01-Spare Parts,2024-05,CZ01,JP01,Spare Parts,CZK,7304315.2203,290321.97,ICSALE-2024-05-CZ01-JP01-SpareParts,ICBUY-2024-05-JP01-CZ01-SpareParts,2,2024-07
IC-2024-05-CZ01-US01-Hardware,2024-05,CZ01,US01,Hardware,CZK,34554121.3752,1373410.14,ICSALE-2024-05-CZ01-US01-Hardware,ICBUY-2024-05-US01-CZ01-Hardware,2,2024-07
IC-2024-06-CN01-DE01-Hardware,2024-06,CN01,DE01,Hardware,CNY,6619121.0836,847242.02,ICSALE-2024-06-CN01-DE01-Hardware,ICBUY-2024-06-DE01-CN01-Hardware,1,2024-07
IC-2024-06-CN01-ES01-Hardware,2024-06,CN01,ES01,Hardware,CNY,6576632.3714,841803.5,ICSALE-2024-06-CN01-ES01-Hardware,ICBUY-2024-06-ES01-CN01-Hardware,1,2024-07
IC-2024-06-CN01-ES01-Spare Parts,2024-06,CN01,ES01,Spare Parts,CNY,2268852.4059,290411.23,ICSALE-2024-06-CN01-ES01-SpareParts,ICBUY-2024-06-ES01-CN01-SpareParts,2,2024-08
IC-2024-06-CN01-JP01-Hardware,2024-06,CN01,JP01,Hardware,CNY,15556932.0048,1991274.42,ICSALE-2024-06-CN01-JP01-Hardware,ICBUY-2024-06-JP01-CN01-Hardware,2,2024-08
IC-2024-06-CN01-JP01-Spare Parts,2024-06,CN01,JP01,Spare Parts,CNY,10016645.788,1282122.37,ICSALE-2024-06-CN01-JP01-SpareParts,ICBUY-2024-06-JP01-CN01-SpareParts,2,2024-08
IC-2024-06-CN01-US01-Hardware,2024-06,CN01,US01,Hardware,CNY,21128796.3945,2704468.45,ICSALE-2024-06-CN01-US01-Hardware,ICBUY-2024-06-US01-CN01-Hardware,1,2024-07
IC-2024-06-CZ01-DE01-Hardware,2024-06,CZ01,DE01,Hardware,CZK,65329832.4378,2600086.55,ICSALE-2024-06-CZ01-DE01-Hardware,ICBUY-2024-06-DE01-CZ01-Hardware,1,2024-07
IC-2024-06-CZ01-ES01-Hardware,2024-06,CZ01,ES01,Hardware,CZK,75772150.489,3015684.29,ICSALE-2024-06-CZ01-ES01-Hardware,ICBUY-2024-06-ES01-CZ01-Hardware,2,2024-08
IC-2024-06-CZ01-ES01-Spare Parts,2024-06,CZ01,ES01,Spare Parts,CZK,22411631.4089,891968.94,ICSALE-2024-06-CZ01-ES01-SpareParts,ICBUY-2024-06-ES01-CZ01-SpareParts,1,2024-07
IC-2024-06-CZ01-JP01-Hardware,2024-06,CZ01,JP01,Hardware,CZK,13203075.1707,525474.15,ICSALE-2024-06-CZ01-JP01-Hardware,ICBUY-2024-06-JP01-CZ01-Hardware,1,2024-07
IC-2024-06-CZ01-JP01-Spare Parts,2024-06,CZ01,JP01,Spare Parts,CZK,7956221.0184,316652.63,ICSALE-2024-06-CZ01-JP01-SpareParts,ICBUY-2024-06-JP01-CZ01-SpareParts,1,2024-07
IC-2024-06-CZ01-US01-Hardware,2024-06,CZ01,US01,Hardware,CZK,42981880.6708,1710652.02,ICSALE-2024-06-CZ01-US01-Hardware,ICBUY-2024-06-US01-CZ01-Hardware,2,2024-08
IC-2024-07-CN01-DE01-Hardware,2024-07,CN01,DE01,Hardware,CNY,4414068.0584,547327.77,ICSALE-2024-07-CN01-DE01-Hardware,ICBUY-2024-07-DE01-CN01-Hardware,1,2024-08
IC-2024-07-CN01-ES01-Hardware,2024-07,CN01,ES01,Hardware,CNY,3042056.9193,377203.57,ICSALE-2024-07-CN01-ES01-Hardware,ICBUY-2024-07-ES01-CN01-Hardware,1,2024-08
IC-2024-07-CN01-ES01-Spare Parts,2024-07,CN01,ES01,Spare Parts,CNY,1284555.2498,159280.0,ICSALE-2024-07-CN01-ES01-SpareParts,ICBUY-2024-07-ES01-CN01-SpareParts,1,2024-08
IC-2024-07-CN01-JP01-Hardware,2024-07,CN01,JP01,Hardware,CNY,5013841.3243,621697.39,ICSALE-2024-07-CN01-JP01-Hardware,ICBUY-2024-07-JP01-CN01-Hardware,1,2024-08
IC-2024-07-CN01-JP01-Spare Parts,2024-07,CN01,JP01,Spare Parts,CNY,5586616.9132,692719.4,ICSALE-2024-07-CN01-JP01-SpareParts,ICBUY-2024-07-JP01-CN01-SpareParts,2,2024-09
IC-2024-07-CN01-US01-Hardware,2024-07,CN01,US01,Hardware,CNY,15991729.2822,1982914.04,ICSALE-2024-07-CN01-US01-Hardware,ICBUY-2024-07-US01-CN01-Hardware,2,2024-09
IC-2024-07-CZ01-DE01-Hardware,2024-07,CZ01,DE01,Hardware,CZK,50306127.945,2009579.09,ICSALE-2024-07-CZ01-DE01-Hardware,ICBUY-2024-07-DE01-CZ01-Hardware,2,2024-09
IC-2024-07-CZ01-ES01-Hardware,2024-07,CZ01,ES01,Hardware,CZK,35052439.5511,1400239.94,ICSALE-2024-07-CZ01-ES01-Hardware,ICBUY-2024-07-ES01-CZ01-Hardware,2,2024-09
IC-2024-07-CZ01-ES01-Spare Parts,2024-07,CZ01,ES01,Spare Parts,CZK,12007331.5389,479656.92,ICSALE-2024-07-CZ01-ES01-SpareParts,ICBUY-2024-07-ES01-CZ01-SpareParts,2,2024-09
