month,entity,functional_currency,closing_fx_to_eur,historical_equity_fx_to_eur,retained_earnings_effective_fx_to_eur,translated_assets,translated_liabilities,translated_share_capital,translated_retained_earnings,translated_other_equity,translated_equity_before_cta,fx_translation_reserve,translated_equity,translation_balance_check
2023-12,CZ01,CZK,0.04036887495572,0.0404256507741159,0.04032797904440726,57815939.24,32561976.51,21520000.0,3760373.16,0.0,25280373.16,-26410.43,25253962.73,0.0
2023-12,DE01,EUR,1.0,1.0,1.0,69215818.63,52723943.94,14020000.0,2471874.69,0.0,16491874.69,-0.0,16491874.69,-0.0
2023-12,ES01,EUR,1.0,1.0,1.0,42500219.98,24463332.96,12020000.0,6016887.02,0.0,18036887.02,-0.0,18036887.02,-0.0
2023-12,JP01,JPY,0.0063510079864661,0.0063120521101377,0.006335760521454185,33290538.63,16838941.42,12020000.0,4346952.53,0.0,16366952.53,84644.68,16451597.21,-0.0
2023-12,US01,USD,0.91025289499458,0.924584446497981,0.9168718017969376,38605450.88,23095577.13,12020000.01,3702921.35,0.0,15722921.36,-213047.61,15509873.75,0.0
2024-01,CN01,CNY,0.1292648783018756,0.1296752392673494,0.12973014400846003,49714042.1,26847561.18,21520000.0,1419673.11,0.0,22939673.11,-73192.19,22866480.92,0.0
2024-01,CZ01,CZK,0.040168623383638,0.0404256507741159,0.04037493303127053,53231736.93,28955488.71,21520000.0,2907932.06,0.0,24427932.06,-151683.84,24276248.22,0.0
2024-01,DE01,EUR,1.0,1.0,1.0,84299250.73,67260743.21,14020000.0,3018507.52,0.0,17038507.52,0.0,17038507.52,0.0
2024-01,ES01,EUR,1.0,1.0,1.0,42646753.4,23582824.08,12020000.0,7043929.32,0.0,19063929.32,0.0,19063929.32,0.0
2024-01,JP01,JPY,0.0061505583023988,0.0063120521101377,0.006306830480462908,31777532.42,15063967.87,12020000.0,5128163.02,0.0,17148163.02,-434598.47,16713564.55,0.0
2024-01,US01,USD,0.921732523358469,0.924584446497981,0.9179691472258779,40960487.23,24169571.62,12020000.01,4788360.64,0.0,16808360.65,-17445.04,16790915.61,-0.0
2024-02,CN01,CNY,0.1295266448737697,0.1296752392673494,0.12976172826422216,55288292.17,32565944.69,21520000.0,1229234.13,0.0,22749234.13,-26886.65,22722347.48,0.0
2024-02,CZ01,CZK,0.0399066579721739,0.0404256507741159,0.04034759864726607,60226984.46,35930882.2,21520000.0,3086107.11,0.0,24606107.11,-310004.85,24296102.26,-0.0
2024-02,DE01,EUR,1.0,1.0,1.0,99557880.62,81932948.25,14020000.0,3604932.37,0.0,17624932.37,0.0,17624932.37,0.0
2024-02,ES01,EUR,1.0,1.0,1.0,43801170.8,23760459.16,12020000.0,8020711.64,0.0,20040711.64,-0.0,20040711.64,-0.0
2024-02,JP01,JPY,0.0061718457968473,0.0063120521101377,0.006287084341267327,33351527.02,15720211.31,12020000.0,5988067.4,0.0,18008067.4,-376751.69,17631315.71,0.0
2024-02,US01,USD,0.9057904844548637,0.924584446497981,0.9166447294819594,39235918.25,22158897.3,12020000.01,5364877.49,0.0,17384877.5,-307856.55,17077020.95,-0.0
2024-03,CN01,CNY,0.1255314021420901,0.1296752392673494,0.12952895263527558,59515713.11,37424990.99,21520000.0,1298478.41,0.0,22818478.41,-727756.29,22090722.12,-0.0
2024-03,CZ01,CZK,0.0397122062011907,0.0404256507741159,0.04028821499897147,66879183.99,42388316.58,21520000.0,3399259.02,0.0,24919259.02,-428391.61,24490867.41,0.0
2024-03,DE01,EUR,1.0,1.0,1.0,111151812.42,92929521.11,14020000.0,4202291.31,0.0,18222291.31,0.0,18222291.31,0.0
2024-03,ES01,EUR,1.0,1.0,1.0,45309786.93,23955767.44,12020000.0,9334019.49,0.0,21354019.49,0.0,21354019.49,0.0
2024-03,JP01,JPY,0.0061299894406023,0.0063120521101377,0.006264872257201155,34159370.37,15686170.24,12020000.0,6949524.26,0.0,18969524.26,-496324.13,18473200.13,-0.0
2024-03,US01,USD,0.9030701741336636,0.924584446497981,0.9144654678388119,41528302.12,23491770.39,12020000.01,6375674.75,0.0,18395674.76,-359143.03,18036531.73,-0.0
2024-04,CN01,CNY,0.1261916864075014,0.1296752392673494,0.12941087093574338,59611751.58,37358432.31,21520000.0,1344880.29,0.0,22864880.29,-611561.02,22253319.27,-0.0
2024-04,CZ01,CZK,0.039890218831453,0.0404256507741159,0.04026433086634434,66051101.88,41235580.24,21520000.0,3614131.31,0.0,25134131.31,-318609.67,24815521.64,0.0
2024-04,DE01,EUR,1.0,1.0,1.0,114429221.39,95608994.43,14020000.0,4800226.96,0.0,18820226.96,-0.0,18820226.96,-0.0
2024-04,ES01,EUR,1.0,1.0,1.0,45979158.15,23422765.67,12020000.0,10536392.48,0.0,22556392.48,-0.0,22556392.48,-0.0
2024-04,JP01,JPY,0.0061697863217153,0.0063120521101377,0.006252653532814976,35950570.7,16348288.63,12020000.0,7958675.19,0.0,19978675.19,-376393.12,19602282.07,-0.0
2024-04,US01,USD,0.9155967136096236,0.924584446497981,0.9145988122152797,43146530.43,24006809.83,12020000.01,7228677.6,0.0,19248677.61,-108957.01,19139720.6,0.0
2024-05,CN01,CNY,0.1250347972257064,0.1296752392673494,0.12961579352175434,57604975.43,35613794.6,21520000.0,1286753.87,0.0,22806753.87,-815573.04,21991180.83,-0.0
2024-05,CZ01,CZK,0.0397466376032943,0.0404256507741159,0.04023676508451558,65767182.17,40840328.98,21520000.0,3814784.06,0.0,25334784.06,-407930.87,24926853.19,0.0
2024-05,DE01,EUR,1.0,1.0,1.0,119254028.05,99780853.16,14020000.0,5453174.89,0.0,19473174.89,0.0,19473174.89,0.0
2024-05,ES01,EUR,1.0,1.0,1.0,46411641.31,22837911.91,12020000.0,11553729.4,0.0,23573729.4,0.0,23573729.4,0.0
2024-05,JP01,JPY,0.0061146367368935,0.0063120521101377,0.006236052550682003,36846384.35,16355163.56,12020000.0,9022831.94,0.0,21042831.94,-551611.15,20491220.79,-0.0
2024-05,US01,USD,0.8961984489218444,0.924584446497981,0.9127983277343451,42571465.54,23068973.36,12020000.01,7996952.24,0.0,20016952.25,-514460.07,19502492.18,-0.0
2024-06,CN01,CNY,0.1279991722910274,0.1296752392673494,0.1294861109800237,61134057.78,38510677.36,21520000.0,1397577.74,0.0,22917577.74,-294197.32,22623380.42,0.0
2024-06,CZ01,CZK,0.0397993757671985,0.0404256507741159,0.04020009237200329,68008463.21,42703209.96,21520000.0,4160109.71,0.0,25680109.71,-374856.46,25305253.25,-0.0
2024-06,DE01,EUR,1.0,1.0,1.0,122236211.89,102099276.04,14020000.0,6116935.85,0.0,20136935.85,-0.0,20136935.85,-0.0
2024-06,ES01,EUR,1.0,1.0,1.0,48248549.86,23239806.24,12020000.0,12988743.62,0.0,25008743.62,0.0,25008743.62,0.0
2024-06,JP01,JPY,0.0061114939847629,0.0063120521101377,0.006222015704911991,37571873.55,15968126.17,12020000.0,10145890.45,0.0,22165890.45,-562143.07,21603747.38,-0.0
2024-06,US01,USD,0.8783675774967737,0.924584446497981,0.909270811696209,41574102.55,21581236.49,12020000.01,8875349.83,0.0,20895349.84,-902483.78,19992866.06,-0.0
2024-07,CN01,CNY,0.1239962236107015,0.1296752392673494,0.1317317523757346,56906988.98,35379633.41,21520000.0,1009059.29,0.0,22529059.29,-1001703.72,21527355.57,0.0
2024-07,CZ01,CZK,0.0399470039156171,0.0404256507741159,0.040206947039964885,65726708.91,40436601.63,21520000.0,4051098.78,0.0,25571098.78,-280991.5,25290107.28,-0.0
2024-07,DE01,EUR,1.0,1.0,1.0,129120635.99,108358427.6,14020000.0,6742208.39,0.0,20762208.39,0.0,20762208.39,0.0
2024-07,ES01,EUR,1.0,1.0,1.0,49541862.79,23247378.32,12020000.0,14274484.47,0.0,26294484.47,0.0,26294484.47,0.0
2024-07,JP01,JPY,0.0060932290610106,0.0063120521101377,0.006210423610961057,38045420.07,15523447.33,12020000.0,11128681.17,0.0,23148681.17,-626708.43,22521972.74,0.0
2024-07,US01,USD,0.8926084166604197,0.924584446497981,0.9075333120835162,44148576.56,22817269.04,12020000.01,9889650.02,0.0,21909650.03,-578342.51,21331307.52,0.0
2024-08,CN01,CNY,0.1257392866919535,0.1296752392673494,0.1511693123229391,56687498.11,35593717.92,21520000.0,272865.49,0.0,21792865.49,-699085.3,21093780.19,-0.0
2024-08,CZ01,CZK,0.0397895952318065,0.0404256507741159,0.040256624314238015,64484972.91,39720956.9,21520000.0,3624661.58,0.0,25144661.58,-380645.57,24764016.01,-0.0
2024-08,DE01,EUR,1.0,1.0,1.0,139610624.69,118294717.19,14020000.0,7295907.5,0.0,21315907.5,0.0,21315907.5,0.0
2024-08,ES01,EUR,1.0,1.0,1.0,49527281.98,22252028.41,12020000.0,15255253.57,0.0,27275253.57,-0.0,27275253.57,-0.0
2024-08,JP01,JPY,0.0060885896133257,0.0063120521101377,0.006202067561256005,38529129.13,15220910.61,12020000.0,11932075.42,0.0,23952075.42,-643856.9,23308218.52,0.0
2024-08,US01,USD,0.8901078694763023,0.924584446497981,0.906120355739232,44230363.99,22102898.47,12020000.01,10745565.27,0.0,22765565.28,-638099.76,22127465.52,0.0
2024-09,CN01,CNY,0.1254189958284255,0.1296752392673494,0.1331366900755064,67444647.52,45875642.63,21520000.0,801821.57,0.0,22321821.57,-752816.68,21569004.89,-0.0
2024-09,CZ01,CZK,0.0395605300379782,0.0404256507741159,0.040146346906289085,75265322.66,49973342.95,21520000.0,4295189.54,0.0,25815189.54,-523209.83,25291979.71,-0.0
2024-09,DE01,EUR,1.0,1.0,1.0,153874717.0,131863082.02,14020000.0,7991634.98,0.0,22011634.98,0.0,22011634.98,0.0
2024-09,ES01,EUR,1.0,1.0,1.0,54820098.97,25802747.17,12020000.0,16997351.8,0.0,29017351.8,-0.0,29017351.8,-0.0
2024-09,JP01,JPY,0.0059995891307023,0.0063120521101377,0.006184185534997135,41314817.61,17229173.32,12020000.0,13050211.08,0.0,25070211.08,-984566.79,24085644.29,0.0
2024-09,US01,USD,0.8978383287364067,0.924584446497981,0.9054992467330985,45803732.42,22620859.45,12020000.01,11608798.85,0.0,23628798.86,-445925.89,23182872.97,0.0
2024-10,CN01,CNY,0.1265532678348889,0.1296752392673494,0.1315229712988342,69340753.39,47329195.37,21520000.0,1049307.63,0.0,22569307.63,-557749.61,22011558.02,0.0
2024-10,CZ01,CZK,0.0395278643923632,0.0404256507741159,0.04009278667352161,75449634.63,49777585.91,21520000.0,4696142.48,0.0,26216142.48,-544093.76,25672048.72,-0.0
2024-10,DE01,EUR,1.0,1.0,1.0,159676968.05,136895776.49,14020000.0,8761191.56,0.0,22781191.56,0.0,22781191.56,0.0
2024-10,ES01,EUR,1.0,1.0,1.0,56353952.81,25715847.29,12020000.0,18618105.52,0.0,30638105.52,0.0,30638105.52,0.0
2024-10,JP01,JPY,0.0059929783940391,0.0063120521101377,0.006167153695500297,42882394.05,17586622.03,12020000.0,14286877.94,0.0,26306877.94,-1011105.92,25295772.02,-0.0
2024-10,US01,USD,0.8927846986943831,0.924584446497981,0.9043381892552405,47517225.02,23314606.93,12020000.01,12759032.72,0.0,24779032.73,-576414.64,24202618.09,0.0
2024-11,CN01,CNY,0.1247592056938745,0.1296752392673494,0.13061204474830657,67160040.72,45305612.02,21520000.0,1204221.61,0.0,22724221.61,-869792.91,21854428.7,-0.0
2024-11,CZ01,CZK,0.0395060706292027,0.0404256507741159,0.040059420468922725,73963978.76,48027057.6,21520000.0,4975169.25,0.0,26495169.25,-558248.09,25936921.16,0.0
2024-11,DE01,EUR,1.0,1.0,1.0,163210171.56,139596460.9,14020000.0,9593710.66,0.0,23613710.66,-0.0,23613710.66,-0.0
2024-11,ES01,EUR,1.0,1.0,1.0,58621966.11,26363397.84,12020000.0,20238568.27,0.0,32258568.27,0.0,32258568.27,0.0
2024-11,JP01,JPY,0.0060088114427711,0.0063120521101377,0.006153418290107016,44764555.54,18079764.1,12020000.0,15609067.62,0.0,27629067.62,-944276.18,26684791.44,-0.0
2024-11,US01,USD,0.8854470891270841,0.924584446497981,0.9029251437353595,48599774.77,23586094.08,12020000.01,13769011.78,0.0,25789011.79,-775331.1,25013680.69,0.0
2024-12,CN01,CNY,0.1238549784042292,0.1296752392673494,0.1293717827874416,68059852.17,46107097.94,21520000.0,1460943.26,0.0,22980943.26,-1028189.03,21952754.23,0.0
2024-12,CZ01,CZK,0.0394863306710798,0.0404256507741159,0.04000585026106115,77370040.72,50940404.57,21520000.0,5480844.12,0.0,27000844.12,-571207.97,26429636.15,-0.0
2024-12,DE01,EUR,1.0,1.0,1.0,167069682.12,142579819.29,14020000.0,10469862.83,0.0,24489862.83,0.0,24489862.83,0.0
2024-12,ES01,EUR,1.0,1.0,1.0,60336475.38,26283610.9,12020000.0,22032864.48,0.0,34052864.48,0.0,34052864.48,0.0
2024-12,JP01,JPY,0.0062108335876796,0.0063120521101377,0.006158012583195731,46905479.51,17953197.7,12020000.0,16979389.07,0.0,28999389.07,-47107.26,28952281.81,-0.0
2024-12,US01,USD,0.8961310656703051,0.924584446497981,0.9023493787704747,49725123.66,23144317.55,12020000.01,15034317.35,0.0,27054317.36,-473511.25,26580806.11,-0.0
2025-01,CN01,CNY,0.1253470106856173,0.1296752392673494,0.13637108539394635,65362550.27,44044051.52,21520000.0,562231.57,0.0,22082231.57,-763732.82,21318498.75,-0.0
2025-01,CZ01,CZK,0.0396122941451644,0.0404256507741159,0.04006530226767069,73638403.66,47836676.07,21520000.0,4768623.63,0.0,26288623.63,-486896.04,25801727.59,-0.0
2025-01,DE01,EUR,1.0,1.0,1.0,180860135.31,155683914.06,14020000.0,11156221.25,0.0,25176221.25,0.0,25176221.25,0.0
2025-01,ES01,EUR,1.0,1.0,1.0,59471015.39,24336304.8,12020000.0,23114710.59,0.0,35134710.59,0.0,35134710.59,0.0
2025-01,JP01,JPY,0.0060863906624531,0.0063120521101377,0.006154082591862878,45921926.58,16575437.69,12020000.0,17953696.49,0.0,29973696.49,-627207.6,29346488.89,0.0
2025-01,US01,USD,0.8928648776294951,0.924584446497981,0.9018561867292654,48878334.9,21578413.44,12020000.01,15850313.54,0.0,27870313.55,-570392.09,27299921.46,-0.0
2025-02,CN01,CNY,0.1242674345515013,0.1296752392673494,0.13587200306789757,71542004.21,50385081.28,21520000.0,584265.57,0.0,22104265.57,-947342.64,21156922.93,-0.0
2025-02,CZ01,CZK,0.0397955061287137,0.0404256507741159,0.04004962556517311,82116306.23,55903045.49,21520000.0,5060820.46,0.0,26580820.46,-367559.72,26213260.74,0.0
2025-02,DE01,EUR,1.0,1.0,1.0,196132213.09,170250797.02,14020000.0,11861416.07,0.0,25881416.07,-0.0,25881416.07,-0.0
2025-02,ES01,EUR,1.0,1.0,1.0,62802225.09,26210592.93,12020000.0,24571632.16,0.0,36591632.16,0.0,36591632.16,0.0
2025-02,JP01,JPY,0.0060295534500599,0.0063120521101377,0.006147265270673821,47361538.63,17270345.14,12020000.0,18972450.63,0.0,30992450.63,-901257.14,30091193.49,0.0
2025-02,US01,USD,0.9142197918601866,0.924584446497981,0.9025201317386634,52316440.63,23451757.22,12020000.01,16762135.11,0.0,28782135.12,82548.29,28864683.41,0.0
2025-03,CN01,CNY,0.1263829345759609,0.1296752392673494,0.13289778114842427,79241062.37,57475862.51,21520000.0,832371.96,0.0,22352371.96,-587172.1,21765199.86,0.0
2025-03,CZ01,CZK,0.039459225344236,0.0404256507741159,0.03999402901475837,89077543.44,62567438.84,21520000.0,5579172.13,0.0,27099172.13,-589067.53,26510104.6,-0.0
2025-03,DE01,EUR,1.0,1.0,1.0,208598209.54,181867629.27,14020000.0,12710580.27,0.0,26730580.27,-0.0,26730580.27,-0.0
2025-03,ES01,EUR,1.0,1.0,1.0,64043010.12,25862301.79,12020000.0,26160708.33,0.0,38180708.33,0.0,38180708.33,0.0
2025-03,JP01,JPY,0.0060126815082922,0.0063120521101377,0.0061391812625563695,48457655.42,17264766.96,12020000.0,20158346.99,0.0,32178346.99,-985458.53,31192888.46,0.0
2025-03,US01,USD,0.9095216547244483,0.924584446497981,0.9030357684879103,54428575.2,24369275.49,12020000.01,18105085.96,0.0,30125085.97,-65786.26,30059299.71,0.0
2025-04,CN01,CNY,0.1269536366165427,0.1296752392673494,0.13409358173486025,76381234.19,54650920.85,21520000.0,699201.24,0.0,22219201.24,-488887.9,21730313.34,-0.0
2025-04,CZ01,CZK,0.0396867559748818,0.0404256507741159,0.039983534203584414,86956243.7,60097498.47,21520000.0,5774949.63,0.0,27294949.63,-436204.4,26858745.23,0.0
2025-04,DE01,EUR,1.0,1.0,1.0,212645132.74,185071213.15,14020000.0,13553919.59,0.0,27573919.59,0.0,27573919.59,0.0
2025-04,ES01,EUR,1.0,1.0,1.0,65783819.06,26041731.37,12020000.0,27722087.69,0.0,39742087.69,0.0,39742087.69,0.0
2025-04,JP01,JPY,0.0059739858919428,0.0063120521101377,0.00612938333549586,49422211.3,17193271.31,12020000.0,21395145.59,0.0,33415145.59,-1186205.6,32228939.99,-0.0
2025-04,US01,USD,0.906770949384431,0.924584446497981,0.9033297220696059,56129162.81,24607819.57,12020000.01,19658039.31,0.0,31678039.32,-156696.08,31521343.24,0.0
2025-05,CN01,CNY,0.1258572835308544,0.1296752392673494,0.13317642898841672,78393842.1,56768954.12,21520000.0,781435.69,0.0,22301435.69,-676547.71,21624887.98,-0.0
2025-05,CZ01,CZK,0.0396247432465196,0.0404256507741159,0.03996273853831161,89490592.42,62321691.42,21520000.0,6127073.66,0.0,27647073.66,-478172.66,27168901.0,-0.0
2025-05,DE01,EUR,1.0,1.0,1.0,220375538.01,191915807.77,14020000.0,14439730.24,0.0,28459730.24,-0.0,28459730.24,-0.0
2025-05,ES01,EUR,1.0,1.0,1.0,67013250.03,25779489.45,12020000.0,29213760.58,0.0,41233760.58,0.0,41233760.58,0.0
2025-05,JP01,JPY,0.0059600276127134,0.0063120521101377,0.006119332755205683,51322459.68,17856296.45,12020000.0,22707672.08,0.0,34727672.08,-1261508.85,33466163.23,0.0
2025-05,US01,USD,0.9000955561462126,0.924584446497981,0.9031428314959516,56934017.2,24443408.06,12020000.01,20859356.61,0.0,32879356.62,-388747.48,32490609.14,0.0
2025-06,CN01,CNY,0.1257475753287278,0.1296752392673494,0.1322617227558724,78588541.16,56878896.23,21520000.0,885042.79,0.0,22405042.79,-695397.86,21709644.93,0.0
2025-06,CZ01,CZK,0.0395806465318346,0.0404256507741159,0.03993881992100442,90269077.98,62725161.67,21520000.0,6532324.11,0.0,28052324.11,-508407.8,27543916.31,0.0
2025-06,DE01,EUR,1.0,1.0,1.0,222700685.11,193363935.76,14020000.0,15316749.35,0.0,29336749.35,0.0,29336749.35,0.0
2025-06,ES01,EUR,1.0,1.0,1.0,69486665.41,26427077.94,12020000.0,31039587.47,0.0,43059587.47,0.0,43059587.47,0.0
2025-06,JP01,JPY,0.0059517337133385,0.0063120521101377,0.00610989761061991,51811609.95,17074509.87,12020000.0,24025180.01,0.0,36045180.01,-1308079.93,34737100.08,0.0
2025-06,US01,USD,0.9267254756636536,0.924584446497981,0.9040033402499434,57502494.14,23240037.86,12020000.01,21669947.59,0.0,33689947.6,572508.68,34262456.28,-0.0
2025-07,CN01,CNY,0.1249029544342419,0.1296752392673494,0.13641852598995338,75983650.19,54721525.53,21520000.0,583341.78,0.0,22103341.78,-841217.12,21262124.66,-0.0
2025-07,CZ01,CZK,0.0394928148168044,0.0404256507741159,0.03994178429630016,88785788.13,61345642.14,21520000.0,6489675.29,0.0,28009675.29,-569529.3,27440145.99,-0.0
2025-07,DE01,EUR,1.0,1.0,1.0,231310140.79,201147160.11,14020000.0,16142980.68,0.0,30162980.68,-0.0,30162980.68,-0.0
2025-07,ES01,EUR,1.0,1.0,1.0,69195203.91,24754776.43,12020000.0,32420427.48,0.0,44440427.48,0.0,44440427.48,0.0
2025-07,JP01,JPY,0.0060985433158273,0.0063120521101377,0.006109351440901508,54221308.02,17415544.1,12020000.0,25236994.39,0.0,37256994.39,-451230.47,36805763.92,0.0
2025-07,US01,USD,0.8994650086218922,0.924584446497981,0.9038193472688983,56918423.13,22752758.07,12020000.01,22581017.8,0.0,34601017.81,-435352.75,34165665.06,0.0
2025-08,CN01,CNY,0.1257099073832021,0.1296752392673494,0.055708893959675564,75548574.43,54768866.75,21520000.0,-36442.1,0.0,21483557.9,-703850.22,20779707.68,0.0
2025-08,CZ01,CZK,0.0396007151193478,0.0404256507741159,0.03996155458230937,88878488.42,61715902.95,21520000.0,6137144.16,0.0,27657144.16,-494558.69,27162585.47,-0.0
2025-08,DE01,EUR,1.0,1.0,1.0,242251129.21,211345134.42,14020000.0,16885994.79,0.0,30905994.79,0.0,30905994.79,0.0
2025-08,ES01,EUR,1.0,1.0,1.0,69342736.33,23889299.47,12020000.0,33433436.86,0.0,45453436.86,0.0,45453436.86,0.0
2025-08,JP01,JPY,0.0061750904289988,0.0063120521101377,0.006111782128536258,55442671.39,17195545.4,12020000.0,26216381.4,0.0,38236381.4,10744.59,38247125.99,0.0
2025-08,US01,USD,0.9218549696622989,0.924584446497981,0.904662195520729,60502878.36,24357655.38,12020000.01,23710105.9,0.0,35730105.91,415117.07,36145222.98,0.0
2025-09,CN01,CNY,0.1261346793955515,0.1296752392673494,0.1368039944896822,87269719.81,65792647.76,21520000.0,590707.92,0.0,22110707.92,-633635.87,21477072.05,0.0
2025-09,CZ01,CZK,0.0397440408476437,0.0404256507741159,0.03993723598948971,100851867.46,72822660.2,21520000.0,6905457.21,0.0,28425457.21,-396249.95,28029207.26,-0.0
2025-09,DE01,EUR,1.0,1.0,1.0,256784114.41,224985066.57,14020000.0,17779047.84,0.0,31799047.84,0.0,31799047.84,0.0
2025-09,ES01,EUR,1.0,1.0,1.0,74783340.52,27460873.7,12020000.0,35302466.82,0.0,47322466.82,-0.0,47322466.82,-0.0
2025-09,JP01,JPY,0.0061751047967654,0.0063120521101377,0.006114887510651519,59659070.82,20045879.77,12020000.0,27582357.45,0.0,39602357.45,10833.6,39613191.05,-0.0
2025-09,US01,USD,0.9507189995687968,0.924584446497981,0.9069957630942497,64444988.91,25838165.6,12020000.01,25039969.98,0.0,37059969.99,1546853.32,38606823.31,-0.0
2025-10,CN01,CNY,0.1253248624808196,0.1296752392673494,0.1337955317992501,85285436.05,63754059.03,21520000.0,782901.18,0.0,22302901.18,-771524.16,21531377.02,-0.0
2025-10,CZ01,CZK,0.0397594785908557,0.0404256507741159,0.039929160350932004,98619035.9,70251753.72,21520000.0,7232644.76,0.0,28752644.76,-385362.58,28367282.18,0.0
2025-10,DE01,EUR,1.0,1.0,1.0,259412525.6,226636676.14,14020000.0,18755849.46,0.0,32775849.46,0.0,32775849.46,0.0
2025-10,ES01,EUR,1.0,1.0,1.0,77344884.41,28054307.35,12020000.0,37270577.06,0.0,49290577.06,-0.0,49290577.06,-0.0
2025-10,JP01,JPY,0.006186137404823,0.0063120521101377,0.006118450173719831,61385084.04,20232427.87,12020000.0,29051048.59,0.0,41071048.59,81607.58,41152656.17,-0.0
2025-10,US01,USD,0.9513380417283032,0.924584446497981,0.9089308076843681,65252541.89,25422145.94,12020000.01,26238404.8,0.0,38258404.81,1571991.14,39830395.95,0.0
2025-11,CN01,CNY,0.1263569632710025,0.1296752392673494,0.13151082472740488,88274328.16,66237866.77,21520000.0,1110665.98,0.0,22630665.98,-594204.59,22036461.39,-0.0
2025-11,CZ01,CZK,0.0397163171124681,0.0404256507741159,0.03991796261206145,100105778.18,71369789.65,21520000.0,7632145.62,0.0,29152145.62,-416157.09,28735988.53,0.0
2025-11,DE01,EUR,1.0,1.0,1.0,266641120.56,232810559.06,14020000.0,19810561.5,0.0,33830561.5,0.0,33830561.5,0.0
2025-11,ES01,EUR,1.0,1.0,1.0,78599237.35,27709799.74,12020000.0,38869437.61,0.0,50889437.61,0.0,50889437.61,0.0
2025-11,JP01,JPY,0.0061294636192726,0.0063120521101377,0.006119003042381133,62961963.39,20648136.67,12020000.0,30589235.78,0.0,42609235.78,-295409.06,42313826.72,-0.0
2025-11,US01,USD,0.9521999083904366,0.924584446497981,0.9108978831272357,67318415.96,26142800.39,12020000.01,27547539.82,0.0,39567539.83,1608075.74,41175615.57,-0.0
