month,inflation,industrial_index,energy_index,policy_rate,EUR,USD,JPY,CNY,CZK,macro_source,inflation_source,industrial_index_source,energy_index_source,policy_rate_source,USD_source,JPY_source,CNY_source,CZK_source
2024-07,0.026000000000000002,102.60427460487777,106.0,0.0425,1.0,0.9221615466653614,0.005842115557045718,0.12698447752788772,0.03952779749393771,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2024-08,0.022000000000000002,103.07358669278521,102.6,0.0425,1.0,0.9080852609506677,0.006209041493330927,0.12700721920580046,0.039715994533634974,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2024-09,0.017,103.06669243309612,95.4,0.0365,1.0,0.9004141905276427,0.006286107701978626,0.12720881448048185,0.0398415444859302,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2024-10,0.02,104.27148733057552,97.7,0.034,1.0,0.9170653907495977,0.006127565251909536,0.1294066480133542,0.03952881650723378,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2024-11,0.022000000000000002,104.24212446013445,96.5,0.034,1.0,0.9407211299404532,0.006126181842580465,0.1305195798015359,0.03952390631704942,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2024-12,0.024,105.1119125716036,96.5,0.0315,1.0,0.9543122986997495,0.0062079604677077425,0.13106443324134795,0.039783498202780467,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2025-01,0.025,105.53587840568326,103.5,0.0315,1.0,0.9658357552396843,0.006175837317216266,0.1323451561672843,0.03974038689073016,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2025-02,0.023,106.0709969381937,99.2,0.028999999999999998,1.0,0.9603841536614646,0.006325630823533877,0.1320146826730069,0.0398777348649042,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2025-03,0.022000000000000002,106.47651513036365,95.1,0.0265,1.0,0.9253424868799247,0.006204756980351601,0.12762683372411385,0.03999801914571849,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2025-04,0.022000000000000002,107.67454155386216,87.9,0.024,1.0,0.8917464408170179,0.006185420345703143,0.12217433666971085,0.039937776943521984,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2025-05,0.019,108.36819202997148,84.0,0.024,1.0,0.8866782920042731,0.006129543524137267,0.12292793262144401,0.040123810615613896,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2025-06,0.02,108.97853725390642,92.2,0.0215,1.0,0.8683427059212702,0.006005164441419622,0.12091856652766791,0.04031561366123366,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2025-07,0.02,108.93057659998915,91.7,0.0215,1.0,0.856393911411635,0.005829839654062384,0.11939759242541675,0.040609782366879364,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2025-08,0.02,109.1085408488613,88.1,0.0215,1.0,0.8597396217145662,0.005821076732879104,0.11984420253670232,0.04078865842217816,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2025-09,0.022000000000000002,109.24972795713788,87.6,0.0215,1.0,0.8523530756385868,0.005762073508343219,0.11963699959105899,0.041073205520985596,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2025-10,0.021,110.22230561624362,84.3,0.0215,1.0,0.8598130841121495,0.0056768957746617926,0.12075785529848714,0.04112621456440186,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2025-11,0.021,110.18195738493301,84.0,0.0215,1.0,0.8650369370772132,0.005576747194896162,0.12172980487320928,0.04126425422081741,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2025-12,0.02,110.28524500115881,82.9,0.0215,1.0,0.8540647381071487,0.005479537840122742,0.12122590562967332,0.04122132909342519,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2026-01,0.017,109.78127528858803,92.8,0.0215,1.0,0.8519166095341638,0.005436597621876868,0.12223971090890465,0.04118931196196462,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2026-02,0.019,110.01536304886214,92.4,0.0215,1.0,0.8457410594598251,0.005451032016636549,0.12242674289771857,0.04122079506669525,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2026-03,0.026000000000000002,108.63278869639079,130.6,0.0215,1.0,0.8651777743695017,0.005452589732277845,0.12546636417866866,0.0409204116593413,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2026-04,0.03,108.0914295200899,146.7,0.0215,1.0,0.854233581630561,0.00537039622783369,0.12499265668141994,0.041015040215246934,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2026-05,0.032,106.88508424923673,133.7,0.0215,1.0,0.8566631257924134,0.005413906702145802,0.12602124466142503,0.04113042870245836,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2026-06,0.027000000000000003,105.84284350522215,109.9,0.024,1.0,0.8682062858135093,0.005402073905282,0.12813187798816644,0.0413082704790445,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2026-07,0.028999999999999998,105.60811697233355,108.8,0.024,1.0,0.8758501458480897,0.005389698645545296,0.12924811873743697,0.04130991958934347,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2026-08,0.032,104.66736914849801,118.4,0.024,1.0,0.8625824074264236,0.005431774327882592,0.12805479281649199,0.04135852921192307,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
