month,entity,opening_installed_base,hardware_additions,estimated_retirements,ending_installed_base,spare_parts_revenue,spare_parts_units,active_skus,revenue_per_installed_unit,inventory_value,inventory_coverage_months,inventory_health_pct,installed_base_rollforward_gap
2024-12,JP01,2045.3323013170468,173.0,10.226661506585243,2208.1056398104615,3236836.03,2691.0,69,1465.8882127930447,5168429.53,3.154529017101018,0.9985459373270676,0.0
2025-01,ES01,3000.357804324003,180.0,15.001789021620029,3165.356015302383,1730440.05,1460.0,67,546.6810183860765,2778552.7300000004,2.509130360456708,0.9958951782822206,0.0
2025-01,JP01,2208.1056398104615,127.0,11.040528199052318,2324.065111611409,2401076.53,2006.0,69,1033.13651498137,3882564.9399999995,2.5068288932143834,0.9978248854855798,0.0
2025-02,ES01,3165.356015302383,182.0,15.82678007651193,3331.529235225871,1839833.96,1548.0,67,552.2490814568112,2943900.659999999,2.80037928497474,0.9955332376062624,0.0
2025-02,JP01,2324.065111611409,136.0,11.620325558057056,2448.444786053352,2526877.33,2106.0,69,1032.0336175818256,4037652.9599999995,2.769898603764951,0.9976998361206719,0.0
2025-03,ES01,3331.529235225871,202.0,16.657646176129372,3516.871589049742,1978694.2,1661.0,67,562.6290724292958,3142190.7500000005,3.1824810864212196,0.9987177153285138,0.0
2025-03,JP01,2448.444786053352,152.0,12.24222393026677,2588.202562123085,2748248.26,2277.0,69,1061.8366198299527,4371026.030000002,3.1992865557287717,0.9986963865560926,0.0
2025-04,ES01,3516.871589049742,206.0,17.584357945248726,3705.287231104493,2017003.54,1707.0,66,544.3582141400574,3187558.1999999997,3.0827227334325387,0.9988149761812793,0.0
2025-04,JP01,2588.202562123085,155.0,12.941012810615437,2730.2615493124695,2785239.32,2350.0,68,1020.1364483565228,4388493.82,3.065858564337161,0.9987812099950661,0.0
2025-05,ES01,3705.287231104493,212.0,18.526436155522482,3898.7607949489707,2079694.41,1751.0,66,533.4244698198316,3258348.899999999,3.0441655357831134,0.9980576734575682,0.0
2025-05,JP01,2730.2615493124695,164.0,13.65130774656236,2880.610241565907,2891616.47,2412.0,68,1003.8207975085551,4523948.290000001,3.0317056331389636,0.9962938794468778,0.0
2025-06,ES01,3898.7607949489707,213.0,19.49380397474487,4092.266990974226,2150104.57,1810.0,66,525.406718266966,3391761.97,3.0901861796045957,0.9984447353342476,0.0
2025-06,JP01,2880.610241565907,169.0,14.403051207829549,3035.2071903580772,2991894.43,2495.0,68,985.7298834505702,4720726.400000002,3.088006714987591,0.9972952489178871,0.0
2025-07,ES01,4092.266990974226,199.0,20.46133495487115,4270.8056560193545,1947764.17,1642.0,66,456.0648099860934,3076221.649999999,2.834212252020319,0.9976661035036993,0.0
2025-07,JP01,3035.2071903580772,154.0,15.1760359517904,3174.031154406287,2694950.13,2240.0,68,849.0622803934322,4256032.500000001,2.8105997511524223,0.994885704142696,0.0
2025-08,ES01,4270.8056560193545,175.0,21.35402828009679,4424.451627739258,1742596.63,1460.0,66,393.85595699017887,2743490.8100000005,2.667026030622322,0.997314319562415,0.0
2025-08,JP01,3174.031154406287,131.0,15.870155772031449,3289.1609986342555,2403700.57,2004.0,68,730.7944399797025,3770495.23,2.63481615766278,0.9944852191355292,0.0
2025-09,ES01,4424.451627739258,216.0,22.122258138696306,4618.329369600561,2159113.32,1811.0,66,467.5096008119363,3385149.2999999993,3.302196933808212,0.9987750643214542,0.0
2025-09,JP01,3289.1609986342555,170.0,16.445804993171294,3442.715193641084,3002161.09,2488.0,68,872.0329510687332,4705509.370000002,3.300409753987976,0.9958362860765642,0.0
2025-10,ES01,4618.329369600561,227.0,23.091646848002828,4822.2377227525585,2261839.1,1911.0,65,469.0434669630784,3528285.8899999987,3.2680134253018385,0.9988075149492669,0.0
2025-10,JP01,3442.715193641084,174.0,17.213575968205436,3599.5016176728786,3111213.23,2603.0,67,864.3455568194569,4845715.690000002,3.237651013363094,0.9960625330381935,0.0
2025-11,ES01,4822.2377227525585,238.0,24.111188613762813,5036.126534138795,2356037.61,1969.0,65,467.82732602704453,3674784.4299999992,3.091925112903156,0.9967369282605616,0.0
2025-11,JP01,3599.5016176728786,177.0,17.99750808836441,3758.504109584514,3242660.53,2695.0,67,862.7529558184949,5046393.579999999,3.0669692937425443,0.9940436345520496,0.0
2025-12,ES01,5036.126534138795,246.0,25.180632670694,5256.9459014681015,2485456.44,2088.0,65,472.7947531866153,3868523.77,3.1222416676643596,0.9977778810569554,0.0
2025-12,JP01,3758.504109584514,183.0,18.792520547922585,3922.7115890365912,3440277.91,2882.0,67,877.015256389248,5344188.85,3.120892896022193,0.9954166922815209,0.0
2026-01,ES01,5256.9459014681015,190.0,26.28472950734053,5420.661171960761,1866765.78,1554.0,65,344.37972062451445,2923670.2599999993,2.4945604960912724,0.9957959769855121,0.0
2026-01,JP01,3922.7115890365912,141.0,19.613557945182972,4044.0980310914083,2574891.95,2124.0,67,636.70364323614,4026347.55,2.4827238498705206,0.9932670659493409,0.0
2026-02,ES01,5420.661171960761,198.0,27.10330585980383,5591.557866100957,1957419.99,1627.0,65,350.06701832899506,3060031.93,2.772444825669326,0.9955869331697195,0.0
2026-02,JP01,4044.0980310914083,155.0,20.22049015545706,4178.877540935951,2699690.63,2224.0,67,646.0324820610429,4211742.4,2.753448103230333,0.9927369894776027,0.0
2026-03,ES01,5591.557866100957,212.0,27.95778933050481,5775.600076770452,2141178.09,1767.0,65,370.7282466824269,3451662.5599999987,3.271271781253017,0.9965853536830073,0.0
2026-03,JP01,4178.877540935951,160.0,20.894387704679776,4317.983153231272,2971494.86,2425.0,67,688.1673120415822,4785256.8599999985,3.285131600967461,0.9964747045871057,0.0
2026-04,ES01,5775.600076770452,214.0,28.878000383852285,5960.7220763866,2172529.53,1807.0,64,364.47422009599734,3554966.9499999993,3.1538652508805383,0.9967504443704175,0.0
2026-04,JP01,4317.983153231272,166.0,21.589915766156377,4462.393237465116,2975180.97,2459.0,66,666.7231711049442,4857601.8100000005,3.120685489872468,0.996605663980296,0.0
2026-05,ES01,5960.7220763866,216.0,29.803610381933026,6146.918466004667,2238203.3,1836.0,64,364.11794175867317,3606939.2099999995,3.0298879114429775,0.9959340585611133,0.0
2026-05,JP01,4462.393237465116,165.0,22.3119661873256,4605.081271277791,3041466.43,2484.0,66,660.4587955851803,4886626.380000001,2.9789225604757403,0.9941839694122128,0.0
2026-06,ES01,6146.918466004667,221.0,30.73459233002336,6337.183873674643,2227478.04,1839.0,64,351.4933579966313,3516261.36,2.9385691185190486,0.996311693763492,0.0
2026-06,JP01,4605.081271277791,162.0,23.025406356388974,4744.055864921402,3101420.31,2550.0,66,653.7486906367583,4880573.729999999,2.96346724404773,0.9952296031874572,0.0
2026-07,ES01,6337.183873674643,200.0,31.685919368373245,6505.49795430627,2061863.55,1688.0,64,316.94169523720524,3241721.079999999,2.7900625701996873,0.9952476413539756,0.0
2026-07,JP01,4744.055864921402,152.0,23.72027932460703,4872.335585596795,2834660.63,2313.0,66,581.7868207558598,4438599.09,2.774065474994379,0.9926569942519587,0.0
2026-08,ES01,6505.49795430627,172.0,32.52748977153138,6644.970464534738,1846944.89,1500.0,64,277.94629033453765,2915174.469999999,2.6837605602923227,0.9944052658186483,0.0
2026-08,JP01,4872.335585596795,124.0,24.361677927983994,4971.973907668811,2538986.72,2054.0,66,510.6597031983308,3991820.2500000005,2.6575922696633265,0.991782283180206,0.0
