month,entity,functional_currency,account,local_balance
2023-09,ES01,EUR,5400_FIXED_PRODUCTION,0.0
2023-09,US01,USD,1100_AR,7986826.82
2023-09,US01,USD,4000_EXTERNAL_REVENUE,0.05
2023-09,US01,USD,5050_SERVICE_DELIVERY,0.01
2023-09,US01,USD,2100_AP,-1599147.23
2023-09,US01,USD,5400_FIXED_PRODUCTION,-0.01
2023-09,US01,USD,5300_VARIABLE_SELLING,0.05
2023-09,US01,USD,6000_OPEX,-0.02
2023-09,US01,USD,5000_EXTERNAL_COGS,-0.05
2023-09,US01,USD,1200_INVENTORY,10742545.33
2023-09,JP01,JPY,1100_AR,965263802.86
2023-09,JP01,JPY,4000_EXTERNAL_REVENUE,-0.03
2023-09,JP01,JPY,5050_SERVICE_DELIVERY,-0.03
2023-09,JP01,JPY,2100_AP,-110647668.23
2023-09,JP01,JPY,5400_FIXED_PRODUCTION,0.01
2023-09,JP01,JPY,5300_VARIABLE_SELLING,0.04
2023-09,JP01,JPY,6000_OPEX,-0.11
2023-09,JP01,JPY,5000_EXTERNAL_COGS,0.04
2023-09,JP01,JPY,1200_INVENTORY,1476116929.64
2023-09,DE01,EUR,2150_IC_AP,-3007584.75
2023-09,CN01,CNY,1150_IC_AR,49218207.67
2023-09,CN01,CNY,4100_IC_REVENUE,0.0
2023-09,CN01,CNY,5200_FACTORY_COST,0.0
2023-09,CN01,CNY,2100_AP,-173589786.76
2023-09,CZ01,CZK,1150_IC_AR,173062891.51
2023-09,CZ01,CZK,4100_IC_REVENUE,0.0
2023-09,CZ01,CZK,5200_FACTORY_COST,-0.01
2023-09,CZ01,CZK,2100_AP,-604096440.95
2023-09,ES01,EUR,2150_IC_AP,-3678780.3
2023-09,JP01,JPY,2150_IC_AP,-505823144.87
2023-09,US01,USD,2150_IC_AP,-3759890.87
2023-09,CZ01,CZK,5450_FACTORY_ABSORPTION_VARIANCE,0.0
2023-09,CN01,CNY,5450_FACTORY_ABSORPTION_VARIANCE,0.0
2023-09,DE01,EUR,6100_DEPRECIATION,0.0
2023-09,ES01,EUR,6100_DEPRECIATION,0.0
2023-09,CZ01,CZK,6100_DEPRECIATION,0.0
2023-09,CN01,CNY,6100_DEPRECIATION,0.0
2023-09,US01,USD,6100_DEPRECIATION,0.0
2023-09,JP01,JPY,6100_DEPRECIATION,0.0
2023-09,DE01,EUR,7000_INTEREST,0.0
2023-09,ES01,EUR,7000_INTEREST,0.0
2023-09,CZ01,CZK,7000_INTEREST,0.0
2023-09,CN01,CNY,7000_INTEREST,0.0
2023-09,US01,USD,7000_INTEREST,0.0
2023-09,JP01,JPY,7000_INTEREST,0.0
2023-09,CN01,CNY,7100_TAX,0.0
2023-09,CN01,CNY,2200_TAX_PAYABLE,-1117257.73
2023-09,CZ01,CZK,7100_TAX,0.0
2023-09,CZ01,CZK,2200_TAX_PAYABLE,-4304091.73
2023-09,DE01,EUR,7100_TAX,0.0
2023-09,DE01,EUR,2200_TAX_PAYABLE,-43875.55
2023-09,ES01,EUR,7100_TAX,0.0
2023-09,ES01,EUR,2200_TAX_PAYABLE,-79350.02
2023-09,JP01,JPY,7100_TAX,0.0
2023-09,JP01,JPY,2200_TAX_PAYABLE,-11448730.93
2023-09,US01,USD,7100_TAX,0.0
2023-09,US01,USD,2200_TAX_PAYABLE,-56551.76
2023-09,CZ01,CZK,1510_CIP,0.0
2023-09,CN01,CNY,1510_CIP,0.0
2023-09,DE01,EUR,1510_CIP,0.0
2023-09,ES01,EUR,1510_CIP,0.0
2023-09,CN01,CNY,3200_RETAINED_EARNINGS,-16081740.86
2023-09,CZ01,CZK,3200_RETAINED_EARNINGS,-61952836.34
2023-09,DE01,EUR,3200_RETAINED_EARNINGS,-613880.35
2023-09,ES01,EUR,3200_RETAINED_EARNINGS,-1116460.68
2023-09,JP01,JPY,3200_RETAINED_EARNINGS,-160864390.18
2023-09,US01,USD,3200_RETAINED_EARNINGS,-789145.8
2023-09,DE01,EUR,2300_CONTRACT_LIABILITIES,-284729.48
2023-09,ES01,EUR,2300_CONTRACT_LIABILITIES,-436527.08
2023-09,JP01,JPY,2300_CONTRACT_LIABILITIES,-36251261.01
2023-09,US01,USD,2300_CONTRACT_LIABILITIES,-750627.29
2023-09,DE01,EUR,6050_CREDIT_LOSS_EXPENSE,0.0
2023-09,DE01,EUR,1190_CREDIT_LOSS_ALLOWANCE,-9003.99
2023-09,ES01,EUR,6050_CREDIT_LOSS_EXPENSE,0.0
2023-09,ES01,EUR,1190_CREDIT_LOSS_ALLOWANCE,-12159.34
2023-09,JP01,JPY,6050_CREDIT_LOSS_EXPENSE,0.0
2023-09,JP01,JPY,1190_CREDIT_LOSS_ALLOWANCE,-1809679.42
2023-09,US01,USD,6050_CREDIT_LOSS_EXPENSE,0.0
2023-09,US01,USD,1190_CREDIT_LOSS_ALLOWANCE,-14031.4
2023-09,DE01,EUR,5460_INVENTORY_OBSOLESCENCE,0.0
2023-09,DE01,EUR,1290_INVENTORY_PROVISION,-8657.49
2023-09,ES01,EUR,5460_INVENTORY_OBSOLESCENCE,0.0
2023-09,ES01,EUR,1290_INVENTORY_PROVISION,-13539.21
2023-09,JP01,JPY,5460_INVENTORY_OBSOLESCENCE,0.0
2023-09,JP01,JPY,1290_INVENTORY_PROVISION,-2118270.11
2023-09,US01,USD,5460_INVENTORY_OBSOLESCENCE,0.0
2023-09,US01,USD,1290_INVENTORY_PROVISION,-10825.5
2023-09,CN01,CNY,1160_IC_TREASURY_RECEIVABLE,126112299.15
2023-09,DE01,EUR,2160_IC_TREASURY_PAYABLE,-34941771.07
2023-09,CZ01,CZK,1160_IC_TREASURY_RECEIVABLE,457537226.06
2023-09,DE01,EUR,1160_IC_TREASURY_RECEIVABLE,24513783.9
2023-09,ES01,EUR,2160_IC_TREASURY_PAYABLE,-8373210.32
2023-09,JP01,JPY,2160_IC_TREASURY_PAYABLE,-1133114551.94
2023-09,US01,USD,2160_IC_TREASURY_PAYABLE,-9572326.13
2023-09,CN01,CNY,2160_IC_TREASURY_PAYABLE,0.0
2023-09,ES01,EUR,1160_IC_TREASURY_RECEIVABLE,0.0
2023-09,CZ01,CZK,2160_IC_TREASURY_PAYABLE,0.0
2023-09,JP01,JPY,1160_IC_TREASURY_RECEIVABLE,0.0
2023-09,US01,USD,1160_IC_TREASURY_RECEIVABLE,0.0
2023-10,DE01,EUR,1000_CASH,-2021774.34
2023-10,DE01,EUR,1500_PPE,9000000.0
2023-10,DE01,EUR,1590_ACCUM_DEP,-2105000.0
2023-10,DE01,EUR,2500_DEBT,-7900000.0
2023-10,DE01,EUR,3000_SHARE_CAPITAL,-14020000.0
2023-10,ES01,EUR,1000_CASH,4000000.0
2023-10,ES01,EUR,1500_PPE,9000000.0
2023-10,ES01,EUR,1590_ACCUM_DEP,-2105000.0
2023-10,ES01,EUR,2500_DEBT,-1975000.0
2023-10,ES01,EUR,3000_SHARE_CAPITAL,-12020000.0
2023-10,CZ01,CZK,1000_CASH,146876473.61
2023-10,CZ01,CZK,1500_PPE,828932952.38
2023-10,CZ01,CZK,1590_ACCUM_DEP,-193926369.72
2023-10,CZ01,CZK,2500_DEBT,-337058766.66
2023-10,CZ01,CZK,3000_SHARE_CAPITAL,-524665798.1
2023-10,CN01,CNY,1000_CASH,47166713.4
2023-10,CN01,CNY,1500_PPE,265086666.67
2023-10,CN01,CNY,1590_ACCUM_DEP,-61982722.99
2023-10,CN01,CNY,2500_DEBT,-107788916.66
2023-10,CN01,CNY,3000_SHARE_CAPITAL,-167784266.67
2023-10,US01,USD,1000_CASH,5341904.73
2023-10,US01,USD,1500_PPE,9615428.57
2023-10,US01,USD,1590_ACCUM_DEP,-2248184.01
2023-10,US01,USD,2500_DEBT,-2110052.38
2023-10,US01,USD,3000_SHARE_CAPITAL,-12841939.05
2023-10,JP01,JPY,1000_CASH,631180952.39
2023-10,JP01,JPY,1500_PPE,1420157142.86
2023-10,JP01,JPY,1590_ACCUM_DEP,-332174131.76
2023-10,JP01,JPY,2500_DEBT,-311645595.24
2023-10,JP01,JPY,3000_SHARE_CAPITAL,-1896698761.91
2023-10,DE01,EUR,1100_AR,9755312.24
2023-10,DE01,EUR,4000_EXTERNAL_REVENUE,0.0
2023-10,DE01,EUR,5050_SERVICE_DELIVERY,0.0
2023-10,DE01,EUR,2100_AP,-1045267.81
2023-10,DE01,EUR,5400_FIXED_PRODUCTION,0.0
2023-10,DE01,EUR,5300_VARIABLE_SELLING,0.0
2023-10,DE01,EUR,6000_OPEX,0.0
2023-10,DE01,EUR,5000_EXTERNAL_COGS,0.0
2023-10,DE01,EUR,1200_INVENTORY,8970125.83
2023-10,ES01,EUR,1100_AR,17134401.75
2023-10,ES01,EUR,4000_EXTERNAL_REVENUE,0.0
2023-10,ES01,EUR,5000_EXTERNAL_COGS,0.0
2023-10,ES01,EUR,1200_INVENTORY,11401061.78
2023-10,ES01,EUR,5300_VARIABLE_SELLING,0.0
2023-10,ES01,EUR,2100_AP,-4419873.1
2023-10,ES01,EUR,6000_OPEX,0.0
2023-10,ES01,EUR,5050_SERVICE_DELIVERY,0.0
2023-10,ES01,EUR,5400_FIXED_PRODUCTION,0.0
2023-10,US01,USD,1100_AR,13664783.24
2023-10,US01,USD,4000_EXTERNAL_REVENUE,0.07
2023-10,US01,USD,5050_SERVICE_DELIVERY,0.02
2023-10,US01,USD,2100_AP,-2504449.76
2023-10,US01,USD,5400_FIXED_PRODUCTION,-0.06
2023-10,US01,USD,5300_VARIABLE_SELLING,0.09
2023-10,US01,USD,6000_OPEX,0.06
2023-10,US01,USD,5000_EXTERNAL_COGS,-0.08
2023-10,US01,USD,1200_INVENTORY,10783011.3
2023-10,JP01,JPY,1100_AR,1671229914.78
2023-10,JP01,JPY,4000_EXTERNAL_REVENUE,-0.15
2023-10,JP01,JPY,5050_SERVICE_DELIVERY,-0.09
2023-10,JP01,JPY,2100_AP,-186393229.15
2023-10,JP01,JPY,5400_FIXED_PRODUCTION,-0.02
2023-10,JP01,JPY,5300_VARIABLE_SELLING,0.01
2023-10,JP01,JPY,6000_OPEX,-0.01
2023-10,JP01,JPY,5000_EXTERNAL_COGS,0.04
2023-10,JP01,JPY,1200_INVENTORY,1512675596.38
2023-10,DE01,EUR,2150_IC_AP,-1743165.42
2023-10,CN01,CNY,1150_IC_AR,27385167.02
2023-10,CN01,CNY,4100_IC_REVENUE,0.0
2023-10,CN01,CNY,5200_FACTORY_COST,0.02
2023-10,CN01,CNY,2100_AP,-109966475.4
2023-10,CZ01,CZK,1150_IC_AR,99301587.94
2023-10,CZ01,CZK,4100_IC_REVENUE,0.01
2023-10,CZ01,CZK,5200_FACTORY_COST,-0.01
2023-10,CZ01,CZK,2100_AP,-404706946.84
2023-10,ES01,EUR,2150_IC_AP,-2195301.48
2023-10,JP01,JPY,2150_IC_AP,-275083832.38
2023-10,US01,USD,2150_IC_AP,-2048204.1
2023-10,CZ01,CZK,5450_FACTORY_ABSORPTION_VARIANCE,0.0
2023-10,CN01,CNY,5450_FACTORY_ABSORPTION_VARIANCE,0.0
2023-10,DE01,EUR,6100_DEPRECIATION,0.0
2023-10,ES01,EUR,6100_DEPRECIATION,0.0
2023-10,CZ01,CZK,6100_DEPRECIATION,0.0
2023-10,CN01,CNY,6100_DEPRECIATION,0.0
2023-10,US01,USD,6100_DEPRECIATION,0.0
2023-10,JP01,JPY,6100_DEPRECIATION,0.0
2023-10,DE01,EUR,7000_INTEREST,0.0
2023-10,ES01,EUR,7000_INTEREST,0.0
2023-10,CZ01,CZK,7000_INTEREST,0.0
2023-10,CN01,CNY,7000_INTEREST,0.0
2023-10,US01,USD,7000_INTEREST,0.0
2023-10,JP01,JPY,7000_INTEREST,0.0
2023-10,CN01,CNY,7100_TAX,0.0
2023-10,CN01,CNY,2200_TAX_PAYABLE,-1305742.5
2023-10,CZ01,CZK,7100_TAX,0.0
2023-10,CZ01,CZK,2200_TAX_PAYABLE,-7241270.96
2023-10,DE01,EUR,7100_TAX,0.0
2023-10,DE01,EUR,2200_TAX_PAYABLE,-259610.85
2023-10,ES01,EUR,7100_TAX,0.0
2023-10,ES01,EUR,2200_TAX_PAYABLE,-669612.72
2023-10,JP01,JPY,7100_TAX,0.0
2023-10,JP01,JPY,2200_TAX_PAYABLE,-66685848.21
2023-10,US01,USD,7100_TAX,0.0
2023-10,US01,USD,2200_TAX_PAYABLE,-344785.55
2023-10,CZ01,CZK,1510_CIP,0.0
2023-10,CN01,CNY,1510_CIP,0.0
2023-10,DE01,EUR,1510_CIP,0.0
2023-10,ES01,EUR,1510_CIP,0.0
2023-10,CN01,CNY,3200_RETAINED_EARNINGS,-16678609.22
2023-10,CZ01,CZK,3200_RETAINED_EARNINGS,-71253903.78
2023-10,DE01,EUR,3200_RETAINED_EARNINGS,-1288630.39
2023-10,ES01,EUR,3200_RETAINED_EARNINGS,-2968363.94
2023-10,JP01,JPY,3200_RETAINED_EARNINGS,-334135704.29
2023-10,US01,USD,3200_RETAINED_EARNINGS,-1691129.34
2023-10,DE01,EUR,2300_CONTRACT_LIABILITIES,-289073.16
2023-10,ES01,EUR,2300_CONTRACT_LIABILITIES,-1895509.06
2023-10,JP01,JPY,2300_CONTRACT_LIABILITIES,-37589941.64
2023-10,US01,USD,2300_CONTRACT_LIABILITIES,-1150268.01
2023-10,DE01,EUR,6050_CREDIT_LOSS_EXPENSE,0.0
2023-10,DE01,EUR,1190_CREDIT_LOSS_ALLOWANCE,-16415.52
2023-10,ES01,EUR,6050_CREDIT_LOSS_EXPENSE,0.0
2023-10,ES01,EUR,1190_CREDIT_LOSS_ALLOWANCE,-27736.69
2023-10,JP01,JPY,6050_CREDIT_LOSS_EXPENSE,0.0
2023-10,JP01,JPY,1190_CREDIT_LOSS_ALLOWANCE,-3195420.59
2023-10,US01,USD,6050_CREDIT_LOSS_EXPENSE,0.0
2023-10,US01,USD,1190_CREDIT_LOSS_ALLOWANCE,-24668.62
2023-10,DE01,EUR,5460_INVENTORY_OBSOLESCENCE,0.0
2023-10,DE01,EUR,1290_INVENTORY_PROVISION,-9657.69
2023-10,ES01,EUR,5460_INVENTORY_OBSOLESCENCE,0.0
2023-10,ES01,EUR,1290_INVENTORY_PROVISION,-15223.78
2023-10,JP01,JPY,5460_INVENTORY_OBSOLESCENCE,0.0
2023-10,JP01,JPY,1290_INVENTORY_PROVISION,-2378754.21
2023-10,US01,USD,5460_INVENTORY_OBSOLESCENCE,0.0
2023-10,US01,USD,1290_INVENTORY_PROVISION,-10945.08
2023-10,CN01,CNY,1160_IC_TREASURY_RECEIVABLE,126112299.15
2023-10,DE01,EUR,2160_IC_TREASURY_PAYABLE,-35194159.79
2023-10,CZ01,CZK,1160_IC_TREASURY_RECEIVABLE,463742042.13
2023-10,DE01,EUR,1160_IC_TREASURY_RECEIVABLE,38167316.9
2023-10,ES01,EUR,2160_IC_TREASURY_PAYABLE,-13243842.76
2023-10,JP01,JPY,2160_IC_TREASURY_PAYABLE,-1789262386.81
2023-10,US01,USD,2160_IC_TREASURY_PAYABLE,-14430502.04
2023-10,CN01,CNY,2160_IC_TREASURY_PAYABLE,-244112.82
2023-10,ES01,EUR,1160_IC_TREASURY_RECEIVABLE,0.0
2023-10,CZ01,CZK,2160_IC_TREASURY_PAYABLE,0.0
2023-10,JP01,JPY,1160_IC_TREASURY_RECEIVABLE,0.0
2023-10,US01,USD,1160_IC_TREASURY_RECEIVABLE,0.0
2023-11,DE01,EUR,1000_CASH,2406198.34
2023-11,DE01,EUR,1500_PPE,9000000.0
2023-11,DE01,EUR,1590_ACCUM_DEP,-2167500.0
2023-11,DE01,EUR,2500_DEBT,-7900000.0
2023-11,DE01,EUR,3000_SHARE_CAPITAL,-14020000.0
2023-11,ES01,EUR,1000_CASH,5311433.92
2023-11,ES01,EUR,1500_PPE,9000000.0
2023-11,ES01,EUR,1590_ACCUM_DEP,-2167500.0
2023-11,ES01,EUR,2500_DEBT,-1975000.0
2023-11,ES01,EUR,3000_SHARE_CAPITAL,-12020000.0
2023-11,CZ01,CZK,1000_CASH,156662085.29
2023-11,CZ01,CZK,1500_PPE,828932952.38
2023-11,CZ01,CZK,1590_ACCUM_DEP,-199707496.59
2023-11,CZ01,CZK,2500_DEBT,-337058766.66
2023-11,CZ01,CZK,3000_SHARE_CAPITAL,-524665798.1
2023-11,CN01,CNY,1000_CASH,57415492.36
2023-11,CN01,CNY,1500_PPE,265086666.67
2023-11,CN01,CNY,1590_ACCUM_DEP,-63826451.33
2023-11,CN01,CNY,2500_DEBT,-107788916.66
2023-11,CN01,CNY,3000_SHARE_CAPITAL,-167784266.67
2023-11,US01,USD,1000_CASH,5982088.27
2023-11,US01,USD,1500_PPE,9615428.57
2023-11,US01,USD,1590_ACCUM_DEP,-2315735.43
2023-11,US01,USD,2500_DEBT,-2110052.38
2023-11,US01,USD,3000_SHARE_CAPITAL,-12841939.05
2023-11,JP01,JPY,1000_CASH,642337940.13
2023-11,JP01,JPY,1500_PPE,1420157142.86
2023-11,JP01,JPY,1590_ACCUM_DEP,-342289387.44
2023-11,JP01,JPY,2500_DEBT,-311645595.24
2023-11,JP01,JPY,3000_SHARE_CAPITAL,-1896698761.91
2023-11,DE01,EUR,1100_AR,10023749.15
2023-11,DE01,EUR,4000_EXTERNAL_REVENUE,0.0
2023-11,DE01,EUR,5050_SERVICE_DELIVERY,0.0
2023-11,DE01,EUR,2100_AP,-1089934.33
2023-11,DE01,EUR,5400_FIXED_PRODUCTION,0.0
2023-11,DE01,EUR,5300_VARIABLE_SELLING,0.0
2023-11,DE01,EUR,6000_OPEX,0.0
2023-11,DE01,EUR,5000_EXTERNAL_COGS,0.0
2023-11,DE01,EUR,1200_INVENTORY,9323831.35
2023-11,ES01,EUR,1100_AR,16974234.95
2023-11,ES01,EUR,4000_EXTERNAL_REVENUE,0.0
2023-11,ES01,EUR,5000_EXTERNAL_COGS,0.0
2023-11,ES01,EUR,1200_INVENTORY,11930102.22
2023-11,ES01,EUR,5300_VARIABLE_SELLING,0.0
2023-11,ES01,EUR,2100_AP,-4149828.46
2023-11,ES01,EUR,6000_OPEX,0.0
2023-11,ES01,EUR,5050_SERVICE_DELIVERY,0.0
2023-11,ES01,EUR,5400_FIXED_PRODUCTION,0.0
2023-11,US01,USD,1100_AR,14324371.95
2023-11,US01,USD,4000_EXTERNAL_REVENUE,0.08
2023-11,US01,USD,5050_SERVICE_DELIVERY,0.08
2023-11,US01,USD,2100_AP,-2563780.32
2023-11,US01,USD,5400_FIXED_PRODUCTION,-0.1
2023-11,US01,USD,5300_VARIABLE_SELLING,0.07
2023-11,US01,USD,6000_OPEX,0.07
2023-11,US01,USD,5000_EXTERNAL_COGS,-0.13
2023-11,US01,USD,1200_INVENTORY,11266416.08
2023-11,JP01,JPY,1100_AR,1783321149.42
2023-11,JP01,JPY,4000_EXTERNAL_REVENUE,-0.05
2023-11,JP01,JPY,5050_SERVICE_DELIVERY,-0.03
2023-11,JP01,JPY,2100_AP,-197781823.9
2023-11,JP01,JPY,5400_FIXED_PRODUCTION,-0.04
2023-11,JP01,JPY,5300_VARIABLE_SELLING,0.01
2023-11,JP01,JPY,6000_OPEX,-0.12
2023-11,JP01,JPY,5000_EXTERNAL_COGS,0.12
2023-11,JP01,JPY,1200_INVENTORY,1629910077.68
2023-11,DE01,EUR,2150_IC_AP,-1456600.85
2023-11,CN01,CNY,1150_IC_AR,23741383.89
2023-11,CN01,CNY,4100_IC_REVENUE,-0.01
2023-11,CN01,CNY,5200_FACTORY_COST,0.02
2023-11,CN01,CNY,2100_AP,-122589144.29
2023-11,CZ01,CZK,1150_IC_AR,83970700.93
2023-11,CZ01,CZK,4100_IC_REVENUE,-0.0
2023-11,CZ01,CZK,5200_FACTORY_COST,-0.0
2023-11,CZ01,CZK,2100_AP,-424753962.49
2023-11,ES01,EUR,2150_IC_AP,-1819532.05
2023-11,JP01,JPY,2150_IC_AP,-247203645.16
2023-11,US01,USD,2150_IC_AP,-1769168.9
2023-11,CZ01,CZK,5450_FACTORY_ABSORPTION_VARIANCE,0.0
2023-11,CN01,CNY,5450_FACTORY_ABSORPTION_VARIANCE,0.0
2023-11,DE01,EUR,6100_DEPRECIATION,0.0
2023-11,ES01,EUR,6100_DEPRECIATION,0.0
2023-11,CZ01,CZK,6100_DEPRECIATION,0.0
2023-11,CN01,CNY,6100_DEPRECIATION,0.0
2023-11,US01,USD,6100_DEPRECIATION,0.0
2023-11,JP01,JPY,6100_DEPRECIATION,0.0
2023-11,DE01,EUR,7000_INTEREST,0.0
2023-11,ES01,EUR,7000_INTEREST,0.0
2023-11,CZ01,CZK,7000_INTEREST,0.0
2023-11,CN01,CNY,7000_INTEREST,0.0
2023-11,US01,USD,7000_INTEREST,0.0
2023-11,JP01,JPY,7000_INTEREST,0.0
2023-11,CN01,CNY,7100_TAX,0.0
2023-11,CN01,CNY,2200_TAX_PAYABLE,-1761451.42
2023-11,CZ01,CZK,7100_TAX,0.0
2023-11,CZ01,CZK,2200_TAX_PAYABLE,-10588961.06
2023-11,DE01,EUR,7100_TAX,0.0
2023-11,DE01,EUR,2200_TAX_PAYABLE,-472320.65
2023-11,ES01,EUR,7100_TAX,0.0
2023-11,ES01,EUR,2200_TAX_PAYABLE,-1223363.03
2023-11,JP01,JPY,7100_TAX,0.0
2023-11,JP01,JPY,2200_TAX_PAYABLE,-126083429.08
2023-11,US01,USD,7100_TAX,0.0
2023-11,US01,USD,2200_TAX_PAYABLE,-681619.6
2023-11,CZ01,CZK,1510_CIP,0.0
2023-11,CN01,CNY,1510_CIP,0.0
2023-11,DE01,EUR,1510_CIP,0.0
2023-11,ES01,EUR,1510_CIP,0.0
2023-11,CN01,CNY,3200_RETAINED_EARNINGS,-18121687.61
2023-11,CZ01,CZK,3200_RETAINED_EARNINGS,-81854922.55
2023-11,DE01,EUR,3200_RETAINED_EARNINGS,-1957225.6
2023-11,ES01,EUR,3200_RETAINED_EARNINGS,-4718499.88
2023-11,JP01,JPY,3200_RETAINED_EARNINGS,-521475734.13
2023-11,US01,USD,3200_RETAINED_EARNINGS,-2754961.33
2023-11,DE01,EUR,2300_CONTRACT_LIABILITIES,-285619.5
2023-11,ES01,EUR,2300_CONTRACT_LIABILITIES,-3097573.33
2023-11,JP01,JPY,2300_CONTRACT_LIABILITIES,-36959065.15
2023-11,US01,USD,2300_CONTRACT_LIABILITIES,-1682123.2
2023-11,DE01,EUR,6050_CREDIT_LOSS_EXPENSE,0.0
2023-11,DE01,EUR,1190_CREDIT_LOSS_ALLOWANCE,-20278.02
2023-11,ES01,EUR,6050_CREDIT_LOSS_EXPENSE,0.0
2023-11,ES01,EUR,1190_CREDIT_LOSS_ALLOWANCE,-28072.06
2023-11,JP01,JPY,6050_CREDIT_LOSS_EXPENSE,0.0
2023-11,JP01,JPY,1190_CREDIT_LOSS_ALLOWANCE,-3407183.87
2023-11,US01,USD,6050_CREDIT_LOSS_EXPENSE,0.0
2023-11,US01,USD,1190_CREDIT_LOSS_ALLOWANCE,-25693.96
2023-11,DE01,EUR,5460_INVENTORY_OBSOLESCENCE,0.0
2023-11,DE01,EUR,1290_INVENTORY_PROVISION,-10781.13
2023-11,ES01,EUR,5460_INVENTORY_OBSOLESCENCE,0.0
2023-11,ES01,EUR,1290_INVENTORY_PROVISION,-18295.19
2023-11,JP01,JPY,5460_INVENTORY_OBSOLESCENCE,0.0
2023-11,JP01,JPY,1290_INVENTORY_PROVISION,-2919297.29
2023-11,US01,USD,5460_INVENTORY_OBSOLESCENCE,0.0
2023-11,US01,USD,1290_INVENTORY_PROVISION,-12728.73
2023-11,CN01,CNY,1160_IC_TREASURY_RECEIVABLE,135872487.87
2023-11,DE01,EUR,2160_IC_TREASURY_PAYABLE,-39540835.66
2023-11,CZ01,CZK,1160_IC_TREASURY_RECEIVABLE,509064168.85
2023-11,DE01,EUR,1160_IC_TREASURY_RECEIVABLE,38167316.9
2023-11,ES01,EUR,2160_IC_TREASURY_PAYABLE,-13243842.76
2023-11,JP01,JPY,2160_IC_TREASURY_PAYABLE,-1789262386.81
2023-11,US01,USD,2160_IC_TREASURY_PAYABLE,-14430502.04
2023-11,CN01,CNY,2160_IC_TREASURY_PAYABLE,-244112.82
2023-11,ES01,EUR,1160_IC_TREASURY_RECEIVABLE,1245735.67
2023-11,CZ01,CZK,2160_IC_TREASURY_PAYABLE,0.0
2023-11,JP01,JPY,1160_IC_TREASURY_RECEIVABLE,0.0
2023-11,US01,USD,1160_IC_TREASURY_RECEIVABLE,0.0
2023-12,DE01,EUR,1000_CASH,5079416.32
2023-12,DE01,EUR,1500_PPE,9000000.0
2023-12,DE01,EUR,1590_ACCUM_DEP,-2230000.0
2023-12,DE01,EUR,2500_DEBT,-7801250.0
2023-12,DE01,EUR,3000_SHARE_CAPITAL,-14020000.0
2023-12,ES01,EUR,1000_CASH,5181104.01
2023-12,ES01,EUR,1500_PPE,9000000.0
