month,factory,factory_name,produced_units,capacity_units,utilization,capacity_increase_pct,actual_fixed_factory_cost,absorbed_fixed_cost,absorption_variance,under_absorption,over_absorption,fixed_cost_absorption_pct
2024-09,CN01,Suzhou Manufacturing Hub,4221.28,21000.0,0.201,0.0,760000.0,914984.74,-154984.74,0.0,154984.74,1.2039
2024-10,CZ01,Brno Smart Manufacturing,2515.88,14500.0,0.1735,0.0,620000.0,753213.25,-133213.25,0.0,133213.25,1.2149
2024-10,CN01,Suzhou Manufacturing Hub,3133.72,21000.0,0.1492,0.0,760000.0,734728.55,25271.45,25271.45,0.0,0.9667
2024-11,CZ01,Brno Smart Manufacturing,2651.98,14500.0,0.1829,0.0,620000.0,741319.57,-121319.57,0.0,121319.57,1.1957
2024-11,CN01,Suzhou Manufacturing Hub,3284.37,21000.0,0.1564,0.0,760000.0,734753.38,25246.62,25246.62,0.0,0.9668
2024-12,CZ01,Brno Smart Manufacturing,2696.62,14500.0,0.186,0.0,620000.0,822212.37,-202212.37,0.0,202212.37,1.3261
2024-12,CN01,Suzhou Manufacturing Hub,3669.05,21000.0,0.1747,0.0,760000.0,757539.66,2460.34,2460.34,0.0,0.9968
2025-01,CZ01,Brno Smart Manufacturing,104.83,14500.0,0.0072,0.0,620000.0,78902.57,541097.43,541097.43,0.0,0.1273
2025-01,CN01,Suzhou Manufacturing Hub,65.34,21000.0,0.0031,0.0,760000.0,64596.4,695403.6,695403.6,0.0,0.085
2025-02,CZ01,Brno Smart Manufacturing,2237.54,14500.0,0.1543,0.0,620000.0,699328.66,-79328.66,0.0,79328.66,1.1279
2025-02,CN01,Suzhou Manufacturing Hub,2824.63,21000.0,0.1345,0.0,760000.0,568930.8,191069.2,191069.2,0.0,0.7486
2025-03,CZ01,Brno Smart Manufacturing,2458.14,14500.0,0.1695,0.0,620000.0,782105.61,-162105.61,0.0,162105.61,1.2615
2025-03,CN01,Suzhou Manufacturing Hub,3334.55,21000.0,0.1588,0.0,760000.0,704372.2,55627.8,55627.8,0.0,0.9268
2025-04,CZ01,Brno Smart Manufacturing,2385.47,14500.0,0.1645,0.0,620000.0,747111.83,-127111.83,0.0,127111.83,1.205
2025-04,CN01,Suzhou Manufacturing Hub,2803.62,21000.0,0.1335,0.0,760000.0,586629.5,173370.5,173370.5,0.0,0.7719
2025-05,CZ01,Brno Smart Manufacturing,2613.07,14500.0,0.1802,0.0,620000.0,795510.05,-175510.05,0.0,175510.05,1.2831
2025-05,CN01,Suzhou Manufacturing Hub,2966.82,21000.0,0.1413,0.0,760000.0,647065.85,112934.15,112934.15,0.0,0.8514
2025-06,CZ01,Brno Smart Manufacturing,2645.67,14500.0,0.1825,0.0,620000.0,803009.78,-183009.78,0.0,183009.78,1.2952
2025-06,CN01,Suzhou Manufacturing Hub,3028.85,21000.0,0.1442,0.0,760000.0,673189.56,86810.44,86810.44,0.0,0.8858
2025-07,CZ01,Brno Smart Manufacturing,1551.66,14500.0,0.107,0.0,620000.0,478383.33,141616.67,141616.67,0.0,0.7716
2025-07,CN01,Suzhou Manufacturing Hub,1708.17,21000.0,0.0813,0.0,760000.0,411464.52,348535.48,348535.48,0.0,0.5414
2025-08,CZ01,Brno Smart Manufacturing,1253.58,14500.0,0.0865,0.0,620000.0,388420.43,231579.57,231579.57,0.0,0.6265
2025-08,CN01,Suzhou Manufacturing Hub,1397.49,21000.0,0.0665,0.0,760000.0,306430.88,453569.12,453569.12,0.0,0.4032
2025-09,CZ01,Brno Smart Manufacturing,3777.27,14500.0,0.2605,0.0,620000.0,1026200.81,-406200.81,0.0,406200.81,1.6552
2025-09,CN01,Suzhou Manufacturing Hub,4357.07,21000.0,0.2075,0.0,760000.0,1029073.46,-269073.46,0.0,269073.46,1.354
2025-10,CZ01,Brno Smart Manufacturing,2726.28,14500.0,0.188,0.0,620000.0,721535.81,-101535.81,0.0,101535.81,1.1638
2025-10,CN01,Suzhou Manufacturing Hub,3195.82,21000.0,0.1522,0.0,760000.0,715465.97,44534.03,44534.03,0.0,0.9414
2025-11,CZ01,Brno Smart Manufacturing,2864.94,16820.0,0.1703,0.16,620000.0,786164.88,-166164.88,0.0,166164.88,1.268
2025-11,CN01,Suzhou Manufacturing Hub,3435.16,21000.0,0.1636,0.0,760000.0,813579.45,-53579.45,0.0,53579.45,1.0705
2025-12,CZ01,Brno Smart Manufacturing,3206.93,16820.0,0.1907,0.16,620000.0,876402.14,-256402.14,0.0,256402.14,1.4136
2025-12,CN01,Suzhou Manufacturing Hub,3803.35,21000.0,0.1811,0.0,760000.0,883111.44,-123111.44,0.0,123111.44,1.162
2026-01,CZ01,Brno Smart Manufacturing,177.51,16820.0,0.0106,0.16,620000.0,140248.02,479751.98,479751.98,0.0,0.2262
2026-01,CN01,Suzhou Manufacturing Hub,129.63,21000.0,0.0062,0.0,760000.0,143379.99,616620.01,616620.01,0.0,0.1887
2026-02,CZ01,Brno Smart Manufacturing,2392.56,16820.0,0.1422,0.16,620000.0,661275.54,-41275.54,0.0,41275.54,1.0666
2026-02,CN01,Suzhou Manufacturing Hub,2860.26,21000.0,0.1362,0.0,760000.0,718799.48,41200.52,41200.52,0.0,0.9458
2026-03,CZ01,Brno Smart Manufacturing,2795.16,16820.0,0.1662,0.16,620000.0,716527.27,-96527.27,0.0,96527.27,1.1557
2026-03,CN01,Suzhou Manufacturing Hub,3308.11,21000.0,0.1575,0.0,760000.0,795750.3,-35750.3,0.0,35750.3,1.047
2026-04,CZ01,Brno Smart Manufacturing,2429.92,16820.0,0.1445,0.16,620000.0,662253.09,-42253.09,0.0,42253.09,1.0682
2026-04,CN01,Suzhou Manufacturing Hub,2888.3,21000.0,0.1375,0.0,760000.0,707596.74,52403.26,52403.26,0.0,0.931
2026-05,CZ01,Brno Smart Manufacturing,2492.23,16820.0,0.1482,0.16,620000.0,649416.16,-29416.16,0.0,29416.16,1.0474
2026-05,CN01,Suzhou Manufacturing Hub,3001.76,21000.0,0.1429,0.0,760000.0,687274.99,72725.01,72725.01,0.0,0.9043
2026-06,CZ01,Brno Smart Manufacturing,2477.56,16820.0,0.1473,0.16,620000.0,656843.85,-36843.85,0.0,36843.85,1.0594
2026-06,CN01,Suzhou Manufacturing Hub,2943.19,21000.0,0.1402,0.0,760000.0,682597.9,77402.1,77402.1,0.0,0.8982
2026-07,CZ01,Brno Smart Manufacturing,1632.41,16820.0,0.0971,0.16,620000.0,504261.76,115738.24,115738.24,0.0,0.8133
2026-07,CN01,Suzhou Manufacturing Hub,1886.24,21000.0,0.0898,0.0,760000.0,484730.73,275269.27,275269.27,0.0,0.6378
2026-08,CZ01,Brno Smart Manufacturing,1218.11,16820.0,0.0724,0.16,620000.0,366237.05,253762.95,253762.95,0.0,0.5907
2026-08,CN01,Suzhou Manufacturing Hub,1515.19,25200.0,0.0601,0.2,760000.0,338194.15,421805.85,421805.85,0.0,0.445
