month,trade_payables,revenue,variable_production_cost,fixed_production_cost,opex,net_working_capital,dso,dio,dpo,trade_receivables_gross,credit_loss_allowance,net_trade_receivables,inventory_gross,inventory_provision,net_inventory,trade_receivables,inventory,gross_net_working_capital,provision_adjusted_net_working_capital,contract_liabilities,trade_net_working_capital,operating_net_working_capital,gross_operating_net_working_capital
2024-07,28679037.05000001,28891306.02,15210088.639999999,2057771.21,3772984.5100000002,51935538.86555554,48.13649429476363,59.51583456166786,40.890522109256274,46443592.5,86052.91999999998,46357539.58,37094338.589999996,89573.47,34257036.33555555,46357539.58,34257036.33555555,54858894.03999999,51935538.86555554,7042125.71,51935538.86555554,44893413.15555554,47816768.32999999
2024-08,21530569.150000006,24964385.47,12988553.29,2120191.0,3639201.41,47909381.55592592,48.156337949704,58.31094370700861,34.45268536808276,40147832.0,74719.22,40073112.78,31796551.27,74413.25,29366837.925925925,40073112.78,29366837.925925925,50413814.11999999,47909381.55592592,6608115.4,47909381.55592592,41301266.15592592,43805698.71999999
2024-09,45268375.59,31248788.92,16256642.91,1095092.87,3830480.54,42584223.09407407,48.41497623390135,64.70065023213617,64.11280326779328,50529037.629999995,98725.19999999998,50430312.42999999,40583889.620000005,155389.32,37422286.25407408,50430312.42999999,37422286.25407408,45844551.66,42584223.09407407,6783241.45,42584223.09407407,35800981.64407407,39061310.20999999
2024-10,42761344.58,32319326.68,16910711.44,1581711.09,3846017.0100000002,49479083.57925926,48.94856997373561,64.0926314199775,57.427482125727735,52828223.150000006,95395.69999999998,52732827.45,42868521.55,185474.8,39507600.70925926,52732827.45,39507600.70925926,52935400.120000005,49479083.57925926,7447666.93,49479083.57925926,42031416.64925926,45487733.190000005
2024-11,42310013.23,32874141.89,17210755.86,1614868.3900000001,3870086.89,52513268.36111113,49.1807320966698,65.22620797200568,55.92688367728317,53990668.28,98189.43999999999,53892478.84,44399934.93,180248.11000000002,40930802.75111111,53892478.84,40930802.75111111,56080589.98000001,52513268.36111113,7694431.9,52513268.36111113,44818836.46111113,48386158.08000001
2024-12,45861658.42000002,34513809.53,18076334.5,1546205.93,4073270.4000000004,54278711.379999995,49.38904939828008,66.23030564447664,58.062995289366114,56924066.17,103924.70999999998,56820141.46,46927213.92,130895.66,43320228.34,56820141.46,43320228.34,57989621.66999999,54278711.379999995,7770728.800000001,54278711.379999995,46507982.58,50218892.86999999
2025-01,13669527.360000003,26851132.56,13844648.53,2566460.66,3937031.8200000003,62607773.80222222,48.654655876459614,59.83059456243047,20.153478423334363,43628317.05,80563.22999999998,43547753.82,35431649.61,77535.63,32729547.34222222,43547753.82,32729547.34222222,65390439.3,62607773.80222222,7593778.450000001,62607773.80222222,55013995.35222222,57796660.849999994
2025-02,30718872.480000004,30351728.35,15466074.55,1671335.52,4037520.2800000003,52445012.72629629,48.170739156605556,60.26881323782718,43.52156815476845,48825973.81999999,90467.50999999998,48735506.309999995,37284777.14,94562.9,34428378.8962963,48735506.309999995,34428378.8962963,55391878.47999999,52445012.72629629,8045461.220000002,52445012.72629629,44399551.50629629,47346417.25999999
2025-03,43970245.98,32515923.1,16709203.77,1550744.1300000001,4098819.79,45730544.967037044,48.04829969904806,61.812274410219494,58.997320321458204,52172609.08,94781.80999999997,52077827.269999996,40745016.67,103903.60999999999,37622963.67703704,52077827.269999996,37622963.67703704,48947379.77,45730544.967037044,8296689.830000001,45730544.967037044,37433855.137037046,40650689.940000005
2025-04,38860927.94000001,33187680.47,16735975.790000001,1804209.0,4120620.93,52163911.101851836,48.092980355851914,61.19953599208736,51.44688377832315,53300664.05,97515.21999999997,53203148.83,40999244.42,140573.14,37821690.21185185,53203148.83,37821690.21185185,55438980.52999999,52163911.101851836,8284464.440000001,52163911.101851836,43879446.66185184,47154516.08999999
2025-05,39078525.89000001,31898258.57,16095809.34,1649158.45,4124136.98,51768001.709999986,49.113865979925805,65.30014848789985,53.60785404934526,52317718.98,96159.09999999998,52221559.879999995,41865185.07,139092.53,38624967.72,52221559.879999995,38624967.72,55104378.15999999,51768001.709999986,8286720.360000001,51768001.709999986,43481281.34999999,46817657.79999999
2025-06,43152832.25,34097255.339999996,17397587.96,1643755.83,4259955.21,52601051.98555556,48.750507298163086,63.56473813588273,55.55848914260102,55509985.309999995,101368.79999999999,55408616.51,43741462.650000006,156086.58000000002,40345267.72555556,55408616.51,40345267.72555556,56098615.71000001,52601051.98555556,8699622.48,52601051.98555556,43901429.505555555,47398993.230000004
2025-07,30282232.71000001,30824127.4,15606328.370000001,2025833.12,4189225.03,56169282.523703694,48.259417912995,62.72577594291934,41.63195498449931,49677526.04,92377.83999999997,49585148.199999996,39969708.61,142622.42,36866367.0337037,49585148.199999996,36866367.0337037,59365001.94,56169282.523703694,7931787.48,56169282.523703694,48237495.04370369,51433214.45999999
2025-08,24696358.46000001,29224922.7,14571648.89,2242455.55,4162205.77,53213325.45148148,47.239802957631085,56.89930920545921,35.32035645843933,46105546.339999996,86226.67999999998,46019319.66,34570845.34,119677.73000000001,31890364.25148149,46019319.66,31890364.25148149,55980033.22,53213325.45148148,7714680.010000002,53213325.45148148,45498645.44148147,48265353.20999999
2025-09,49077882.72000001,34416737.56,17358909.87,1033254.53,4291591.78,47795335.50518517,48.98351768993179,66.35128129104561,64.90708460788967,56304377.72,109281.94999999998,56195095.769999996,44074391.95999999,131499.73,40678122.45518518,56195095.769999996,40678122.45518518,51300886.95999998,47795335.50518517,7730307.330000001,47795335.50518517,40065028.175185174,43570579.62999998
2025-10,43234315.75000002,35648134.21,17910320.13,1709893.9,4319835.899999999,56172939.17370368,48.50907263794213,63.86065483257682,54.178227543070165,57746199.81,104268.74999999997,57641931.06,45269433.58,150818.34,41765323.8637037,57641931.06,41765323.8637037,59781317.63999998,56172939.17370368,7867434.640000001,56172939.17370368,48305504.53370368,51913882.99999998
2025-11,45165328.58000002,35865903.06,17994127.990000002,1586942.94,4342818.61,56934198.835555546,48.92814639476137,66.80603280806697,56.636269580435474,58602265.63,107193.77999999996,58495071.85,47248334.7,144002.49000000002,43604455.56555556,58495071.85,43604455.56555556,60685271.74999999,56934198.835555546,7505515.24,56934198.835555546,49428683.595555544,53179756.50999999
2025-12,47618367.07,38938157.14,19512960.73,1709792.09,4621566.0,60711529.061111115,48.572292851453625,64.01531996136839,55.275243354237496,63158859.79,115007.39999999997,63043852.39,49063909.529999994,143502.12,45286043.74111111,63043852.39,45286043.74111111,64604402.24999999,60711529.061111115,8147222.390000001,60711529.061111115,52564306.671111114,56457179.85999999
2026-01,15710120.030000009,29526889.73,14794377.8,2641944.3,4451039.79,66139979.24666666,47.97880730596002,59.57896508461494,21.533138770613174,47309881.68,87716.58999999997,47222165.089999996,37492367.849999994,87221.23000000001,34627934.18666667,47222165.089999996,34627934.18666667,69092129.5,66139979.24666666,7436392.700000001,66139979.24666666,58703586.54666666,61655736.8
2026-02,33811896.78000001,32708257.92,16447494.049999999,1639865.1400000001,4510861.17,55356849.49407407,48.01650647189222,61.06618984671263,44.8865834229789,52447933.410000004,96724.13999999996,52351209.27,39893132.69,120548.82,36817537.004074074,52351209.27,36817537.004074074,58529169.319999985,55356849.49407407,7928183.790000001,55356849.49407407,47428665.70407407,50600985.52999999
2026-03,51242455.71000001,34253544.87,18315729.31,1368168.86,4585180.8100000005,46562490.75592592,48.72217313372624,64.27798190432203,63.342892928357855,55731821.28,101583.15999999995,55630238.120000005,45678016.17999999,119751.08,42174708.34592592,55630238.120000005,42174708.34592592,50167381.749999985,46562490.75592592,8184340.15,46562490.75592592,38378150.605925925,41983041.59999999
2026-04,45754320.40000001,34677391.81,18919054.6,1667126.42,4561723.08,54241539.88777777,48.68374479112823,63.7150967660797,54.58226683789526,56377145.720000006,102969.28999999995,56274176.43000001,47382059.46,150593.42,43721683.857777774,56274176.43000001,43721683.857777774,58004884.779999994,54241539.88777777,8489264.120000001,54241539.88777777,45752275.76777777,49515620.66
2026-05,41820115.36000001,33529948.88,17767109.81,1660139.04,4487505.7700000005,57523044.59407408,49.53413335773628,67.91583561365778,52.46148165579633,55464421.220000006,101855.90999999995,55362565.31000001,47646888.199999996,136894.43000000002,43980594.64407407,55362565.31000001,43980594.64407407,61291194.059999995,57523044.59407408,7947557.180000001,57523044.59407408,49575487.41407408,53343636.879999995
2026-06,40428067.85000001,36946904.17,19104009.37,2015965.52,4656735.62,61133742.147777766,47.96965515554859,60.34685431547562,47.05185462006417,59186833.2,109158.12999999995,59077675.07,46021355.04,128230.85000000003,42484134.927777775,59077675.07,42484134.927777775,64780120.39,61133742.147777766,8527350.25,61133742.147777766,52606391.897777766,56252770.14
2026-07,32817948.540000007,33916204.36,17185784.12,2145807.39,4580282.76,60547646.519999996,48.27028058690468,60.20317314784807,41.17362131814187,54672928.370000005,101438.33999999995,54571490.03,42042814.82999999,134427.22,38794105.029999994,54571490.03,38794105.029999994,63897794.65999998,60547646.519999996,8632770.89,60547646.519999996,51914875.629999995,55265023.76999998
2026-08,27739847.65000001,31646903.11,15955618.67,2282618.99,4508966.33,55586888.77407406,46.7133746503261,56.006971192315405,36.58451517231944,49369915.220000006,92127.16999999995,49277788.050000004,36909442.339999996,126461.2,34048948.374074064,49277788.050000004,34048948.374074064,58539509.91,55586888.77407406,8738548.850000001,55586888.77407406,46848339.92407406,49800961.059999995
