month,horizon_month,scenario,entity,division,action_revenue_impact,action_gross_profit_impact,action_opex_impact,action_ebit_impact,active_action_count
2026-10,2,Base,ES01,Hardware,32636.48,76132.99,3319.32,79452.31,16
2026-10,2,Base,ES01,Spare Parts,11253.94,13006.46,868.6,13875.06,11
2026-10,2,Base,JP01,Hardware,20764.14,47086.21,2111.84,49198.05,18
2026-10,2,Base,JP01,Software,4374.4,4699.53,618.98,5318.51,13
2026-10,2,Base,JP01,Spare Parts,15569.87,17992.79,1201.71,19194.5,13
2026-10,2,Base,US01,Events,13746.54,22828.14,2278.11,25106.25,13
2026-10,2,Base,US01,Hardware,37606.0,87331.96,4853.58,92185.54,17
2026-10,2,Base,US01,Software,6536.72,7020.1,1324.01,8344.11,12
2026-10,2,Downside,DE01,Hardware,34671.81,81648.41,3526.33,85174.74,16
2026-10,2,Downside,DE01,Software,5118.45,5523.91,724.26,6248.17,11
2026-10,2,Downside,ES01,Events,19038.07,32354.69,2204.08,34558.77,12
2026-10,2,Downside,ES01,Hardware,32330.22,76509.18,3288.17,79797.35,16
2026-10,2,Downside,ES01,Spare Parts,11148.33,12939.68,860.45,13800.13,11
2026-10,2,Downside,JP01,Hardware,20569.29,47338.24,2092.02,49430.26,18
2026-10,2,Downside,JP01,Software,4333.35,4676.92,613.17,5290.09,13
2026-10,2,Downside,JP01,Spare Parts,15423.76,17900.41,1190.43,19090.84,13
2026-10,2,Downside,US01,Events,13617.54,22886.77,2256.73,25143.5,13
2026-10,2,Downside,US01,Hardware,37253.1,87769.12,4808.03,92577.15,17
2026-10,2,Downside,US01,Software,6475.38,6986.33,1311.58,8297.91,12
2026-10,2,Upside,DE01,Hardware,35201.5,80916.65,3580.2,84496.85,16
2026-10,2,Upside,DE01,Software,5196.65,5565.37,735.32,6300.69,11
2026-10,2,Upside,ES01,Events,19328.92,32203.51,2237.75,34441.26,12
2026-10,2,Upside,ES01,Hardware,32824.14,75832.57,3338.41,79170.98,16
2026-10,2,Upside,ES01,Spare Parts,11318.65,13043.84,873.59,13917.43,11
2026-10,2,Upside,JP01,Hardware,20883.54,46887.3,2123.98,49011.28,18
2026-10,2,Upside,JP01,Software,4399.55,4712.01,622.53,5334.54,13
2026-10,2,Upside,JP01,Spare Parts,15659.4,18044.49,1208.62,19253.11,13
2026-10,2,Upside,US01,Events,13825.58,22774.73,2291.21,25065.94,13
2026-10,2,Upside,US01,Hardware,37822.24,86983.52,4881.49,91865.01,17
2026-10,2,Upside,US01,Software,6574.3,7038.73,1331.62,8370.35,12
2026-11,3,Base,DE01,Hardware,54608.06,126666.63,5546.94,132213.57,16
2026-11,3,Base,DE01,Software,8106.23,8711.14,1146.82,9857.96,11
2026-11,3,Base,ES01,Events,29962.88,50332.15,3468.25,53800.4,12
2026-11,3,Base,ES01,Hardware,50920.06,118701.95,5172.32,123874.27,16
2026-11,3,Base,ES01,Spare Parts,17580.96,20332.18,1356.68,21688.86,11
2026-11,3,Base,JP01,Hardware,32396.61,73415.06,3290.76,76705.82,18
2026-11,3,Base,JP01,Software,6862.84,7375.44,970.92,8346.36,13
2026-11,3,Base,JP01,Spare Parts,24323.34,28126.97,1876.98,30003.95,13
2026-11,3,Base,US01,Events,21431.84,35598.62,3547.1,39145.72,13
2026-11,3,Base,US01,Hardware,58673.6,136163.01,7553.7,143716.71,17
2026-11,3,Base,US01,Software,10255.23,11017.31,2074.48,13091.79,12
2026-11,3,Downside,DE01,Hardware,53841.2,126701.93,5469.05,132170.98,16
2026-11,3,Downside,DE01,Software,7992.4,8628.62,1130.72,9759.34,11
2026-11,3,Downside,ES01,Events,29542.11,50217.59,3419.55,53637.14,12
2026-11,3,Downside,ES01,Hardware,50204.99,118726.57,5099.69,123826.26,16
2026-11,3,Downside,ES01,Spare Parts,17334.07,20133.01,1337.63,21470.64,11
2026-11,3,Downside,JP01,Hardware,31941.67,73460.3,3244.55,76704.85,18
2026-11,3,Downside,JP01,Software,6766.47,7305.57,957.28,8262.85,13
2026-11,3,Downside,JP01,Spare Parts,23981.76,27851.46,1850.62,29702.08,13
2026-11,3,Downside,US01,Events,21130.87,35522.34,3497.29,39019.63,13
2026-11,3,Downside,US01,Hardware,57849.65,136200.0,7447.63,143647.63,17
2026-11,3,Downside,US01,Software,10111.22,10912.97,2045.35,12958.32,12
2026-11,3,Upside,DE01,Hardware,55079.74,126523.5,5594.85,132118.35,16
2026-11,3,Upside,DE01,Software,8176.25,8759.22,1156.73,9915.95,11
2026-11,3,Upside,ES01,Events,30221.69,50362.97,3498.21,53861.18,12
2026-11,3,Upside,ES01,Hardware,51359.88,118573.58,5217.0,123790.58,16
2026-11,3,Upside,ES01,Spare Parts,17732.81,20448.9,1368.4,21817.3,11
2026-11,3,Upside,JP01,Hardware,32676.44,73315.2,3319.19,76634.39,18
2026-11,3,Upside,JP01,Software,6922.12,7416.15,979.3,8395.45,13
2026-11,3,Upside,JP01,Spare Parts,24533.43,28288.43,1893.19,30181.62,13
2026-11,3,Upside,US01,Events,21616.95,35617.19,3577.74,39194.93,13
2026-11,3,Upside,US01,Hardware,59180.39,136009.8,7618.95,143628.75,17
2026-11,3,Upside,US01,Software,10343.81,11078.11,2092.4,13170.51,12
2026-12,4,Base,DE01,Hardware,57698.67,133835.47,5860.88,139696.35,16
2026-12,4,Base,DE01,Software,8611.85,9254.49,1218.36,10472.85,11
2026-12,4,Base,ES01,Events,31633.06,53137.74,3661.58,56799.32,12
2026-12,4,Base,ES01,Hardware,53801.94,125420.02,5465.06,130885.08,16
2026-12,4,Base,ES01,Spare Parts,18598.26,21508.68,1435.19,22943.87,11
2026-12,4,Base,JP01,Hardware,34230.14,77570.07,3477.01,81047.08,18
2026-12,4,Base,JP01,Software,7290.91,7835.47,1031.48,8866.95,13
2026-12,4,Base,JP01,Spare Parts,25730.78,29754.5,1985.59,31740.09,13
2026-12,4,Base,US01,Events,22626.48,37582.95,3744.82,41327.77,13
2026-12,4,Base,US01,Hardware,61994.3,143869.31,7981.21,151850.52,17
2026-12,4,Base,US01,Software,10894.89,11704.5,2203.88,13908.38,12
2026-12,4,Downside,DE01,Hardware,56620.85,133243.15,5751.4,138994.55,16
2026-12,4,Downside,DE01,Software,8450.98,9123.72,1195.6,10319.32,11
2026-12,4,Downside,ES01,Events,31042.15,52767.46,3593.18,56360.64,12
2026-12,4,Downside,ES01,Hardware,52796.91,124856.05,5362.97,130219.02,16
2026-12,4,Downside,ES01,Spare Parts,18250.84,21197.82,1408.38,22606.2,11
2026-12,4,Downside,JP01,Hardware,33590.71,77252.83,3412.05,80664.88,18
2026-12,4,Downside,JP01,Software,7154.71,7724.75,1012.21,8736.96,13
2026-12,4,Downside,JP01,Spare Parts,25250.13,29324.48,1948.5,31272.98,13
2026-12,4,Downside,US01,Events,22203.82,37326.04,3674.87,41000.91,13
2026-12,4,Downside,US01,Hardware,60836.24,143231.58,7832.12,151063.7,17
2026-12,4,Downside,US01,Software,10691.38,11539.13,2162.71,13701.84,12
2026-12,4,Upside,DE01,Hardware,58364.11,134068.04,5928.47,139996.51,16
2026-12,4,Upside,DE01,Software,8711.18,9332.29,1232.41,10564.7,11
2026-12,4,Upside,ES01,Events,31997.89,53322.92,3703.81,57026.73,12
2026-12,4,Upside,ES01,Hardware,54422.44,125644.06,5528.09,131172.15,16
2026-12,4,Upside,ES01,Spare Parts,18812.75,21694.25,1451.74,23145.99,11
2026-12,4,Upside,JP01,Hardware,34624.92,77686.95,3517.11,81204.06,18
2026-12,4,Upside,JP01,Software,7374.99,7901.34,1043.37,8944.71,13
2026-12,4,Upside,JP01,Spare Parts,26027.54,30011.21,2008.49,32019.7,13
2026-12,4,Upside,US01,Events,22887.44,37710.5,3788.01,41498.51,13
2026-12,4,Upside,US01,Hardware,62709.29,144119.99,8073.26,152193.25,17
2026-12,4,Upside,US01,Software,11020.55,11802.89,2229.29,14032.18,12
2027-01,5,Base,DE01,Hardware,43153.05,100096.05,4383.37,104479.42,16
2027-01,5,Base,DE01,Software,6476.06,6959.32,916.2,7875.52,11
2027-01,5,Base,ES01,Events,23639.35,39709.78,2736.29,42446.07,12
2027-01,5,Base,ES01,Hardware,40238.67,93802.1,4087.34,97889.44,16
2027-01,5,Base,ES01,Spare Parts,13926.4,16105.72,1074.67,17180.39,11
2027-01,5,Base,JP01,Hardware,25600.85,58014.94,2600.47,60615.41,18
2027-01,5,Base,JP01,Software,5482.72,5892.23,775.66,6667.89,13
2027-01,5,Base,JP01,Spare Parts,19267.23,22280.2,1486.81,23767.01,13
2027-01,5,Base,US01,Events,16908.74,28085.69,2798.5,30884.19,13
2027-01,5,Base,US01,Hardware,46365.77,107600.39,5969.18,113569.57,17
2027-01,5,Base,US01,Software,8192.89,8801.71,1657.3,10459.01,12
2027-01,5,Downside,DE01,Hardware,42147.78,99184.37,4281.26,103465.63,16
2027-01,5,Downside,DE01,Software,6325.2,6828.71,894.85,7723.56,11
2027-01,5,Downside,ES01,Events,23088.67,39247.6,2672.55,41920.15,12
2027-01,5,Downside,ES01,Hardware,39301.3,92941.13,3992.12,96933.25,16
2027-01,5,Downside,ES01,Spare Parts,13601.98,15798.3,1049.63,16847.93,11
2027-01,5,Downside,JP01,Hardware,25004.47,57505.94,2539.89,60045.83,18
2027-01,5,Downside,JP01,Software,5354.99,5781.64,757.59,6539.23,13
2027-01,5,Downside,JP01,Spare Parts,18818.4,21854.93,1452.17,23307.1,13
2027-01,5,Downside,US01,Events,16514.85,27762.52,2733.31,30495.83,13
2027-01,5,Downside,US01,Hardware,45285.66,106619.62,5830.13,112449.75,17
2027-01,5,Downside,US01,Software,8002.03,8636.54,1618.69,10255.23,12
2027-01,5,Upside,DE01,Hardware,43776.05,100557.85,4446.66,105004.51,16
2027-01,5,Upside,DE01,Software,6569.56,7037.97,929.42,7967.39,11
2027-01,5,Upside,ES01,Events,23980.64,39962.56,2775.8,42738.36,12
2027-01,5,Upside,ES01,Hardware,40819.6,94239.44,4146.35,98385.79,16
2027-01,5,Upside,ES01,Spare Parts,14127.45,16291.32,1090.18,17381.5,11
2027-01,5,Upside,JP01,Hardware,25970.45,58269.16,2638.01,60907.17,18
2027-01,5,Upside,JP01,Software,5561.87,5958.82,786.86,6745.68,13
2027-01,5,Upside,JP01,Spare Parts,19545.4,22536.95,1508.28,24045.23,13
2027-01,5,Upside,US01,Events,17152.86,28261.92,2838.9,31100.82,13
2027-01,5,Upside,US01,Hardware,47035.16,108097.33,6055.36,114152.69,17
2027-01,5,Upside,US01,Software,8311.17,8901.18,1681.23,10582.41,12
2027-02,6,Base,DE01,Hardware,45244.07,104946.3,4595.77,109542.07,16
2027-02,6,Base,DE01,Software,6826.99,7336.44,965.84,8302.28,11
2027-02,6,Base,ES01,Events,24764.77,41600.28,2866.56,44466.84,12
2027-02,6,Base,ES01,Hardware,42188.47,98347.37,4285.39,102632.76,16
2027-02,6,Base,ES01,Spare Parts,14618.73,16906.4,1128.1,18034.5,11
2027-02,6,Base,JP01,Hardware,26841.36,60826.11,2726.47,63552.58,18
2027-02,6,Base,JP01,Software,5779.82,6211.52,817.7,7029.22,13
2027-02,6,Base,JP01,Spare Parts,20225.08,23387.84,1560.72,24948.56,13
2027-02,6,Base,US01,Events,17713.74,29422.8,2931.73,32354.53,13
2027-02,6,Base,US01,Hardware,48612.47,112814.27,6258.42,119072.69,17
2027-02,6,Base,US01,Software,8636.86,9278.67,1747.11,11025.78,12
2027-02,6,Downside,DE01,Hardware,43982.26,103501.36,4467.6,107968.96,16
2027-02,6,Downside,DE01,Software,6636.6,7164.9,938.91,8103.81,11
2027-02,6,Downside,ES01,Events,24074.11,40922.73,2786.62,43709.35,12
2027-02,6,Downside,ES01,Hardware,41011.88,96986.39,4165.88,101152.27,16
2027-02,6,Downside,ES01,Spare Parts,14211.03,16505.7,1096.63,17602.33,11
2027-02,6,Downside,JP01,Hardware,26092.78,60008.89,2650.44,62659.33,18
2027-02,6,Downside,JP01,Software,5618.63,6066.28,794.89,6861.17,13
2027-02,6,Downside,JP01,Spare Parts,19661.03,22833.53,1517.2,24350.73,13
2027-02,6,Downside,US01,Events,17219.72,28947.45,2849.97,31797.42,13
2027-02,6,Downside,US01,Hardware,47256.72,111260.23,6083.88,117344.11,17
2027-02,6,Downside,US01,Software,8395.99,9061.73,1698.38,10760.11,12
2027-02,6,Upside,DE01,Hardware,46029.03,105733.16,4675.51,110408.67,16
2027-02,6,Upside,DE01,Software,6945.44,7440.65,982.6,8423.25,11
2027-02,6,Upside,ES01,Events,25194.43,41985.29,2916.3,44901.59,12
2027-02,6,Upside,ES01,Hardware,42920.42,99089.56,4359.74,103449.3,16
2027-02,6,Upside,ES01,Spare Parts,14872.36,17150.32,1147.67,18297.99,11
2027-02,6,Upside,JP01,Hardware,27307.04,61268.04,2773.78,64041.82,18
2027-02,6,Upside,JP01,Software,5880.1,6299.76,831.88,7131.64,13
2027-02,6,Upside,JP01,Spare Parts,20575.98,23725.26,1587.8,25313.06,13
2027-02,6,Upside,US01,Events,18021.06,29692.41,2982.6,32675.01,13
2027-02,6,Upside,US01,Hardware,49455.87,113660.66,6367.0,120027.66,17
2027-02,6,Upside,US01,Software,8786.7,9410.47,1777.42,11187.89,12
2027-03,7,Base,DE01,Hardware,48826.33,113255.56,4959.65,118215.21,16
2027-03,7,Base,DE01,Software,7407.82,7960.61,1048.02,9008.63,11
2027-03,7,Base,ES01,Events,26703.94,44857.73,3091.03,47948.76,12
2027-03,7,Base,ES01,Hardware,45528.8,106134.15,4624.69,110758.84,16
2027-03,7,Base,ES01,Spare Parts,15795.11,18266.87,1218.87,19485.74,11
2027-03,7,Base,JP01,Hardware,28966.56,65642.1,2942.35,68584.45,18
2027-03,7,Base,JP01,Software,6271.56,6739.98,887.26,7627.24,13
2027-03,7,Base,JP01,Spare Parts,21852.62,25269.88,1686.32,26956.2,13
2027-03,7,Base,US01,Events,19100.78,31726.71,3161.3,34888.01,13
2027-03,7,Base,US01,Hardware,52461.42,121746.49,6753.94,128500.43,17
2027-03,7,Base,US01,Software,9371.66,10068.08,1895.75,11963.83,12
2027-03,7,Downside,DE01,Hardware,47241.38,111170.9,4798.65,115969.55,16
2027-03,7,Downside,DE01,Software,7167.36,7737.91,1014.0,8751.91,11
2027-03,7,Downside,ES01,Events,25837.11,43919.59,2990.69,46910.28,12
2027-03,7,Downside,ES01,Hardware,44050.9,104173.16,4474.57,108647.73,16
2027-03,7,Downside,ES01,Spare Parts,15282.39,17750.05,1179.31,18929.36,11
2027-03,7,Downside,JP01,Hardware,28026.28,64455.59,2846.83,67302.42,18
2027-03,7,Downside,JP01,Software,6067.98,6551.43,858.46,7409.89,13
2027-03,7,Downside,JP01,Spare Parts,21143.26,24554.94,1631.58,26186.52,13
2027-03,7,Downside,US01,Events,18480.76,31067.33,3058.68,34126.01,13
2027-03,7,Downside,US01,Hardware,50758.48,119504.71,6534.7,126039.41,17
2027-03,7,Downside,US01,Software,9067.45,9786.44,1834.21,11620.65,12
2027-03,7,Upside,DE01,Hardware,49816.05,114432.3,5060.18,119492.48,16
2027-03,7,Upside,DE01,Software,7557.98,8096.86,1069.26,9166.12,11
2027-03,7,Upside,ES01,Events,27245.24,45402.86,3153.68,48556.54,12
2027-03,7,Upside,ES01,Hardware,46451.68,107242.11,4718.44,111960.55,16
2027-03,7,Upside,ES01,Spare Parts,16115.29,18583.62,1243.58,19827.2,11
2027-03,7,Upside,JP01,Hardware,29553.72,66308.84,3001.99,69310.83,18
2027-03,7,Upside,JP01,Software,6398.68,6855.35,905.25,7760.6,13
2027-03,7,Upside,JP01,Spare Parts,22295.57,25708.05,1720.5,27428.55,13
2027-03,7,Upside,US01,Events,19487.96,32109.35,3225.38,35334.73,13
2027-03,7,Upside,US01,Hardware,53524.82,123012.03,6890.84,129902.87,17
2027-03,7,Upside,US01,Software,9561.63,10240.41,1934.18,12174.59,12
2027-04,8,Base,DE01,Hardware,49955.72,115875.26,5074.37,120949.63,16
2027-04,8,Base,DE01,Software,7620.62,8189.28,1078.12,9267.4,11
2027-04,8,Base,ES01,Events,27299.53,45858.21,3159.97,49018.18,12
2027-04,8,Base,ES01,Hardware,46581.92,108589.13,4731.67,113320.8,16
2027-04,8,Base,ES01,Spare Parts,16179.86,18711.83,1248.56,19960.39,11
2027-04,8,Base,JP01,Hardware,29636.58,67160.46,3010.4,70170.86,18
2027-04,8,Base,JP01,Software,6451.71,6933.6,912.75,7846.35,13
2027-04,8,Base,JP01,Spare Parts,22384.91,25885.42,1727.39,27612.81,13
2027-04,8,Base,US01,Events,19526.8,32434.32,3231.8,35666.12,13
2027-04,8,Base,US01,Hardware,53674.9,124562.59,6910.17,131472.76,17
2027-04,8,Base,US01,Software,9640.88,10357.3,1950.21,12307.51,12
2027-04,8,Downside,DE01,Hardware,48106.8,113207.44,4886.56,118094.0,16
2027-04,8,Downside,DE01,Software,7338.57,7922.75,1038.22,8960.97,11
2027-04,8,Downside,ES01,Events,26289.14,44687.99,3043.01,47731.0,12
2027-04,8,Downside,ES01,Hardware,44857.87,106081.51,4556.54,110638.05,16
2027-04,8,Downside,ES01,Spare Parts,15581.02,18096.9,1202.35,19299.25,11
2027-04,8,Downside,JP01,Hardware,28539.69,65636.36,2898.99,68535.35,18
2027-04,8,Downside,JP01,Software,6212.93,6707.93,878.97,7586.9,13
2027-04,8,Downside,JP01,Spare Parts,21556.42,25034.76,1663.46,26698.22,13
2027-04,8,Downside,US01,Events,18804.09,31610.87,3112.19,34723.06,13
2027-04,8,Downside,US01,Hardware,51688.33,121693.92,6654.41,128348.33,17
2027-04,8,Downside,US01,Software,9284.05,10020.22,1878.03,11898.25,12
2027-04,8,Upside,DE01,Hardware,51114.66,117415.34,5192.09,122607.43,16
2027-04,8,Upside,DE01,Software,7797.41,8353.37,1103.13,9456.5,11
2027-04,8,Upside,ES01,Events,27932.86,46548.75,3233.27,49782.02,12
2027-04,8,Upside,ES01,Hardware,47662.59,110037.72,4841.44,114879.16,16
2027-04,8,Upside,ES01,Spare Parts,16555.22,19090.94,1277.53,20368.47,11
2027-04,8,Upside,JP01,Hardware,30324.13,68037.39,3080.24,71117.63,18
2027-04,8,Upside,JP01,Software,6601.39,7072.53,933.93,8006.46,13
2027-04,8,Upside,JP01,Spare Parts,22904.23,26409.86,1767.47,28177.33,13
2027-04,8,Upside,US01,Events,19979.81,32919.74,3306.78,36226.52,13
2027-04,8,Upside,US01,Hardware,54920.12,126218.74,7070.48,133289.22,17
2027-04,8,Upside,US01,Software,9864.54,10564.82,1995.45,12560.27,12
2027-05,9,Base,DE01,Hardware,51091.2,118509.07,5189.71,123698.78,16
2027-05,9,Base,DE01,Software,7836.45,8421.22,1108.66,9529.88,11
2027-05,9,Base,ES01,Events,27897.47,46862.62,3229.18,50091.8,12
2027-05,9,Base,ES01,Hardware,47640.72,111057.33,4839.22,115896.55,16
2027-05,9,Base,ES01,Spare Parts,16567.48,19160.1,1278.48,20438.58,11
2027-05,9,Base,JP01,Hardware,30310.21,68687.0,3078.83,71765.83,18
2027-05,9,Base,JP01,Software,6634.44,7129.97,938.6,8068.57,13
2027-05,9,Base,JP01,Spare Parts,22921.18,26505.55,1768.78,28274.33,13
2027-05,9,Base,US01,Events,19954.49,33144.72,3302.59,36447.31,13
2027-05,9,Base,US01,Hardware,54894.92,127393.87,7067.23,134461.1,17
2027-05,9,Base,US01,Software,9913.93,10650.64,2005.44,12656.08,12
2027-05,9,Downside,DE01,Hardware,48968.86,115236.09,4974.13,120210.22,16
2027-05,9,Downside,DE01,Software,7510.92,8108.82,1062.6,9171.42,11
2027-05,9,Downside,ES01,Events,26738.6,45451.99,3095.04,48547.03,12
2027-05,9,Downside,ES01,Hardware,45661.71,107982.46,4638.19,112620.65,16
2027-05,9,Downside,ES01,Spare Parts,15879.26,18443.3,1225.37,19668.67,11
2027-05,9,Downside,JP01,Hardware,29051.12,66812.54,2950.93,69763.47,18
2027-05,9,Downside,JP01,Software,6358.85,6865.47,899.61,7765.08,13
2027-05,9,Downside,JP01,Spare Parts,21969.03,25513.95,1695.3,27209.25,13
2027-05,9,Downside,US01,Events,19125.57,32151.31,3165.4,35316.71,13
2027-05,9,Downside,US01,Hardware,52614.57,123874.64,6773.66,130648.3,17
2027-05,9,Downside,US01,Software,9502.1,10255.55,1922.14,12177.69,12
2027-05,9,Upside,DE01,Hardware,52426.57,120428.91,5325.35,125754.26,16
2027-05,9,Upside,DE01,Software,8041.27,8614.62,1137.63,9752.25,11
2027-05,9,Upside,ES01,Events,28626.62,47704.86,3313.58,51018.44,12
2027-05,9,Upside,ES01,Hardware,48885.89,112861.93,4965.7,117827.63,16
2027-05,9,Upside,ES01,Spare Parts,17000.5,19604.42,1311.89,20916.31,11
2027-05,9,Upside,JP01,Hardware,31102.42,69783.63,3159.3,72942.93,18
2027-05,9,Upside,JP01,Software,6807.85,7293.72,963.13,8256.85,13
2027-05,9,Upside,JP01,Spare Parts,23520.27,27120.2,1815.01,28935.21,13
2027-05,9,Upside,US01,Events,20476.03,33737.35,3388.91,37126.26,13
2027-05,9,Upside,US01,Hardware,56329.7,129458.25,7251.95,136710.2,17
2027-05,9,Upside,US01,Software,10173.05,10895.23,2057.86,12953.09,12
2027-06,10,Base,DE01,Hardware,52232.79,121157.06,5305.67,126462.73,16
2027-06,10,Base,DE01,Software,8055.36,8656.47,1139.63,9796.1,11
2027-06,10,Base,ES01,Events,28497.74,47870.98,3298.66,51169.64,12
2027-06,10,Base,ES01,Hardware,48705.21,113538.81,4947.35,118486.16,16
2027-06,10,Base,ES01,Spare Parts,16957.98,19611.72,1308.61,20920.33,11
2027-06,10,Base,JP01,Hardware,30987.47,70221.75,3147.62,73369.37,18
2027-06,10,Base,JP01,Software,6819.77,7329.15,964.82,8293.97,13
2027-06,10,Base,JP01,Spare Parts,23461.45,27130.3,1810.47,28940.77,13
2027-06,10,Base,US01,Events,20383.85,33857.9,3373.65,37231.55,13
2027-06,10,Base,US01,Hardware,56121.5,130240.37,7225.14,137465.51,17
2027-06,10,Base,US01,Software,10190.87,10948.17,2061.46,13009.63,12
2027-06,10,Downside,DE01,Hardware,49827.58,117256.86,5061.35,122318.21,16
2027-06,10,Downside,DE01,Software,7684.43,8296.14,1087.15,9383.29,11
2027-06,10,Downside,ES01,Events,27185.48,46211.63,3146.76,49358.39,12
2027-06,10,Downside,ES01,Hardware,46462.43,109876.03,4719.53,114595.56,16
2027-06,10,Downside,ES01,Spare Parts,16177.1,18789.23,1248.35,20037.58,11
2027-06,10,Downside,JP01,Hardware,29560.56,67984.16,3002.68,70986.84,18
2027-06,10,Downside,JP01,Software,6505.74,7024.07,920.39,7944.46,13
2027-06,10,Downside,JP01,Spare Parts,22381.1,25992.51,1727.1,27719.61,13
2027-06,10,Downside,US01,Events,19445.22,32688.65,3218.3,35906.95,13
2027-06,10,Downside,US01,Hardware,53537.21,126046.9,6892.44,132939.34,17
2027-06,10,Downside,US01,Software,9721.6,10492.46,1966.54,12459.0,12
2027-06,10,Upside,DE01,Hardware,53751.87,123473.25,5459.97,128933.22,16
2027-06,10,Upside,DE01,Software,8289.63,8880.69,1172.77,10053.46,11
2027-06,10,Upside,ES01,Events,29326.54,48871.24,3394.59,52265.83,12
2027-06,10,Upside,ES01,Hardware,50121.69,115714.99,5091.23,120806.22,16
2027-06,10,Upside,ES01,Spare Parts,17451.17,20124.12,1346.67,21470.79,11
2027-06,10,Upside,JP01,Hardware,31888.67,71547.7,3239.17,74786.87,18
2027-06,10,Upside,JP01,Software,7018.11,7518.99,992.88,8511.87,13
2027-06,10,Upside,JP01,Spare Parts,24143.77,27839.13,1863.12,29702.25,13
2027-06,10,Upside,US01,Events,20976.67,34562.22,3471.77,38033.99,13
2027-06,10,Upside,US01,Hardware,57753.66,132730.85,7435.27,140166.12,17
2027-06,10,Upside,US01,Software,10487.25,11231.74,2121.42,13353.16,12
2027-07,11,Base,DE01,Hardware,47393.91,109932.99,4814.15,114747.14,16
2027-07,11,Base,DE01,Software,7349.08,7897.48,1039.71,8937.19,11
2027-07,11,Base,ES01,Events,25836.78,43401.06,2990.65,46391.71,12
2027-07,11,Base,ES01,Hardware,44193.13,103020.5,4489.02,107509.52,16
2027-07,11,Base,ES01,Spare Parts,15405.45,17816.23,1188.8,19005.03,11
2027-07,11,Base,JP01,Hardware,28116.77,63716.36,2856.03,66572.39,18
2027-07,11,Base,JP01,Software,6221.83,6686.54,880.23,7566.77,13
2027-07,11,Base,JP01,Spare Parts,21313.51,24646.47,1644.72,26291.19,13
2027-07,11,Base,US01,Events,18480.52,30696.44,3058.64,33755.08,13
2027-07,11,Base,US01,Hardware,50922.37,118174.82,6555.8,124730.62,17
2027-07,11,Base,US01,Software,9297.35,9988.25,1880.72,11868.97,12
