entity,division,supplier,supplier_name,supplier_category,supplier_criticality,single_source,total_ap,overdue_ap,trailing_12m_spend,supplier_spend_share,weighted_age_days,risk_flag
CN01,Spare Parts,SUP-CN01-MFG-05,Industrial Supply CN01 05,Manufacturing Supply,5,False,139512.3,0.0,3215278.73,0.0449508318371642,0.0,Normal
CN01,Hardware,SUP-CN01-MFG-02,Industrial Supply CN01 02,Manufacturing Supply,5,False,1503324.7700000028,0.0,9916755.26,0.04065907242349861,30.0,Normal
CN01,Spare Parts,SUP-CN01-MFG-02,Industrial Supply CN01 02,Manufacturing Supply,5,False,662178.04,0.0,1282979.12,0.04065907242349861,0.0,Normal
CZ01,Hardware,SUP-CZ01-MFG-06,Industrial Supply CZ01 06,Manufacturing Supply,5,False,1329793.75,0.0,4398839.84,0.02306143946182536,30.0,Normal
CZ01,Spare Parts,SUP-CZ01-MFG-06,Industrial Supply CZ01 06,Manufacturing Supply,5,False,466347.27,0.0,1953543.06,0.02306143946182536,0.0,Normal
CZ01,Spare Parts,SUP-CZ01-MFG-07,Industrial Supply CZ01 07,Manufacturing Supply,5,False,167790.69,0.0,1847750.42,0.018465620409083196,0.0,Normal
ES01,Events,SUP-ES01-DEL-05,Delivery Partner ES01 05,Delivery Partners,4,True,751348.2399999984,0.0,4629718.93,0.01680754836574191,2.886690730785442,Single-source critical
ES01,Events,SUP-ES01-DEL-03,Delivery Partner ES01 03,Delivery Partners,4,False,257540.22999999998,0.0,3872138.9099999997,0.01405725984508009,0.0,Normal
US01,Events,SUP-US01-DEL-03,Delivery Partner US01 03,Delivery Partners,4,False,527341.46,0.0,3400975.4699999997,0.014032683575653267,0.0,Normal
US01,Software,SUP-US01-DEL-03,Delivery Partner US01 03,Delivery Partners,4,False,54760.68,0.0,464393.79,0.014032683575653267,0.0,Normal
ES01,Events,SUP-ES01-DEL-02,Delivery Partner ES01 02,Delivery Partners,4,False,282106.31,0.0,3743853.1799999997,0.013591536408255922,0.0,Normal
ES01,Events,SUP-ES01-DEL-01,Delivery Partner ES01 01,Delivery Partners,4,True,644416.97,0.0,3609282.09,0.013102994849253419,0.0,Single-source critical
ES01,Events,SUP-ES01-DEL-04,Delivery Partner ES01 04,Delivery Partners,4,True,203490.33000000002,0.0,3411419.18,0.012384681171923673,0.0,Single-source critical
US01,Events,SUP-US01-DEL-02,Delivery Partner US01 02,Delivery Partners,4,False,52575.14,0.0,2626945.9699999997,0.01114166159200305,0.0,Normal
US01,Software,SUP-US01-DEL-02,Delivery Partner US01 02,Delivery Partners,4,False,28608.51,0.0,442077.57,0.01114166159200305,0.0,Normal
US01,Software,SUP-US01-DEL-01,Delivery Partner US01 01,Delivery Partners,4,True,41833.88,0.0,457425.18,0.010953304334934463,0.0,Single-source critical
US01,Events,SUP-US01-DEL-04,Delivery Partner US01 04,Delivery Partners,4,False,187434.42,0.0,2134491.35,0.009386753387388185,0.0,Normal
US01,Software,SUP-US01-DEL-04,Delivery Partner US01 04,Delivery Partners,4,False,41159.26,0.0,451134.4,0.009386753387388185,0.0,Normal
US01,Events,SUP-US01-DEL-05,Delivery Partner US01 05,Delivery Partners,4,False,472427.36999999953,0.0,1792217.9100000001,0.008157347187101009,0.7036389530098247,Normal
US01,Software,SUP-US01-DEL-05,Delivery Partner US01 05,Delivery Partners,4,False,49900.659999999996,0.0,454762.07,0.008157347187101009,0.0,Normal
ES01,Events,SUP-ES01-LOG-04,Logistics Partner ES01 04,Logistics & Freight,4,True,152207.11000000002,0.0,704793.84,0.0076770942854946555,11.92442915445934,Single-source critical
ES01,Hardware,SUP-ES01-LOG-04,Logistics Partner ES01 04,Logistics & Freight,4,True,111153.17000000001,0.0,904398.96,0.0076770942854946555,16.55852640100143,Single-source critical
ES01,Spare Parts,SUP-ES01-LOG-04,Logistics Partner ES01 04,Logistics & Freight,4,True,65349.07,0.0,505499.24,0.0076770942854946555,17.075044832313605,Single-source critical
ES01,Hardware,SUP-ES01-LOG-03,Logistics Partner ES01 03,Logistics & Freight,4,True,173040.52,0.0,902391.73,0.007443622575772762,17.8378954247248,Single-source critical
ES01,Events,SUP-ES01-LOG-03,Logistics Partner ES01 03,Logistics & Freight,4,True,104866.53,0.0,659840.4,0.007443622575772762,19.38326461264619,Single-source critical
ES01,Spare Parts,SUP-ES01-LOG-03,Logistics Partner ES01 03,Logistics & Freight,4,True,74177.02000000008,0.0,488149.02,0.007443622575772762,13.828780126243966,Single-source critical
ES01,Events,SUP-ES01-LOG-01,Logistics Partner ES01 01,Logistics & Freight,4,True,121146.92,0.0,640964.72,0.007419748345444233,7.814556077859842,Single-source critical
ES01,Hardware,SUP-ES01-LOG-01,Logistics Partner ES01 01,Logistics & Freight,4,True,71406.18999999974,0.0,895222.3300000001,0.007419748345444233,0.9254617841953504,Single-source critical
ES01,Spare Parts,SUP-ES01-LOG-01,Logistics Partner ES01 01,Logistics & Freight,4,True,33702.81,0.0,507617.83,0.007419748345444233,0.0,Single-source critical
ES01,Events,SUP-ES01-LOG-02,Logistics Partner ES01 02,Logistics & Freight,4,False,132062.66,0.0,592326.49,0.00703595306743032,16.16414965441405,Normal
ES01,Hardware,SUP-ES01-LOG-02,Logistics Partner ES01 02,Logistics & Freight,4,False,109312.72,0.0,837240.5499999999,0.00703595306743032,14.872129245343084,Normal
ES01,Spare Parts,SUP-ES01-LOG-02,Logistics Partner ES01 02,Logistics & Freight,4,False,43494.15,0.0,508519.61000000004,0.00703595306743032,0.0,Normal
US01,Hardware,SUP-US01-LOG-02,Logistics Partner US01 02,Logistics & Freight,4,False,163324.23,0.0,1101576.1400000001,0.006294480340775061,14.848443491819921,Normal
US01,Events,SUP-US01-LOG-02,Logistics Partner US01 02,Logistics & Freight,4,False,121974.82999999999,0.0,513414.91,0.006294480340775061,19.322806188785016,Normal
US01,Software,SUP-US01-LOG-02,Logistics Partner US01 02,Logistics & Freight,4,False,11968.93,0.0,118853.42,0.006294480340775061,0.0,Normal
US01,Hardware,SUP-US01-LOG-01,Logistics Partner US01 01,Logistics & Freight,4,False,85490.13999999965,0.0,1098567.53,0.0058237047128704336,3.353523575935082,Normal
US01,Events,SUP-US01-LOG-01,Logistics Partner US01 01,Logistics & Freight,4,False,49950.67999999999,0.0,385106.28,0.0058237047128704336,14.881407019884414,Normal
US01,Software,SUP-US01-LOG-01,Logistics Partner US01 01,Logistics & Freight,4,False,9711.09,0.0,120493.28,0.0058237047128704336,0.0,Normal
US01,Hardware,SUP-US01-LOG-04,Logistics Partner US01 04,Logistics & Freight,4,False,170307.47,0.0,1005035.4600000001,0.005656566259000132,17.012535621602506,Normal
US01,Events,SUP-US01-LOG-04,Logistics Partner US01 04,Logistics & Freight,4,False,115017.06000000001,0.0,448548.15,0.005656566259000132,9.95561701890137,Normal
US01,Software,SUP-US01-LOG-04,Logistics Partner US01 04,Logistics & Freight,4,False,11667.58,0.0,104544.4,0.005656566259000132,0.0,Normal
US01,Hardware,SUP-US01-LOG-03,Logistics Partner US01 03,Logistics & Freight,4,True,160664.83,0.0,1035865.42,0.005611308733842621,17.374573514315486,Single-source critical
US01,Events,SUP-US01-LOG-03,Logistics Partner US01 03,Logistics & Freight,4,True,40786.42,0.0,388246.28,0.005611308733842621,11.38271512920232,Single-source critical
US01,Software,SUP-US01-LOG-03,Logistics Partner US01 03,Logistics & Freight,4,True,8671.36,0.0,121549.91,0.005611308733842621,0.0,Single-source critical
JP01,Spare Parts,SUP-JP01-LOG-03,Logistics Partner JP01 03,Logistics & Freight,4,True,98029.38000000006,0.0,741322.47,0.005325958266108621,13.164501295427975,Single-source critical
JP01,Hardware,SUP-JP01-LOG-03,Logistics Partner JP01 03,Logistics & Freight,4,True,93666.07,0.0,650370.4,0.005325958266108621,17.299128702634793,Single-source critical
JP01,Software,SUP-JP01-LOG-03,Logistics Partner JP01 03,Logistics & Freight,4,True,6748.01,0.0,75367.6,0.005325958266108621,0.0,Single-source critical
JP01,Spare Parts,SUP-JP01-LOG-04,Logistics Partner JP01 04,Logistics & Freight,4,False,104727.14,0.0,709083.79,0.005170437546444512,15.726238680823329,Normal
JP01,Hardware,SUP-JP01-LOG-04,Logistics Partner JP01 04,Logistics & Freight,4,False,95639.48000000001,0.0,637123.11,0.005170437546444512,16.848529498487444,Normal
JP01,Software,SUP-JP01-LOG-04,Logistics Partner JP01 04,Logistics & Freight,4,False,6616.32,0.0,78014.65,0.005170437546444512,0.0,Normal
JP01,Spare Parts,SUP-JP01-LOG-01,Logistics Partner JP01 01,Logistics & Freight,4,False,48277.36,0.0,640730.54,0.005049638755566139,0.0,Normal
JP01,Hardware,SUP-JP01-LOG-01,Logistics Partner JP01 01,Logistics & Freight,4,False,46550.53,0.0,670576.08,0.005049638755566139,0.0,Normal
JP01,Software,SUP-JP01-LOG-01,Logistics Partner JP01 01,Logistics & Freight,4,False,7521.31,0.0,79640.33,0.005049638755566139,0.0,Normal
JP01,Hardware,SUP-JP01-LOG-02,Logistics Partner JP01 02,Logistics & Freight,4,False,74581.33999999991,0.0,607720.53,0.004933261489555818,14.738556588015163,Normal
JP01,Spare Parts,SUP-JP01-LOG-02,Logistics Partner JP01 02,Logistics & Freight,4,False,46354.87,0.0,673731.6,0.004933261489555818,0.0,Normal
JP01,Software,SUP-JP01-LOG-02,Logistics Partner JP01 02,Logistics & Freight,4,False,6701.4,0.0,77438.15,0.004933261489555818,0.0,Normal
DE01,Hardware,SUP-DE01-LOG-01,Logistics Partner DE01 01,Logistics & Freight,4,False,94135.01999999958,0.0,977999.92,0.003889244254745869,9.478359913239421,Normal
DE01,Software,SUP-DE01-LOG-01,Logistics Partner DE01 01,Logistics & Freight,4,False,7371.37,0.0,93310.86,0.003889244254745869,0.0,Normal
DE01,Hardware,SUP-DE01-LOG-02,Logistics Partner DE01 02,Logistics & Freight,4,False,142071.43,0.0,975771.98,0.003864703163511529,15.293623073970608,Normal
DE01,Software,SUP-DE01-LOG-02,Logistics Partner DE01 02,Logistics & Freight,4,False,9317.89,0.0,88778.84,0.003864703163511529,0.0,Normal
DE01,Hardware,SUP-DE01-LOG-04,Logistics Partner DE01 04,Logistics & Freight,4,False,149835.0,0.0,958600.5599999999,0.0038202004628928375,18.042654920412453,Normal
DE01,Software,SUP-DE01-LOG-04,Logistics Partner DE01 04,Logistics & Freight,4,False,8693.56,0.0,93691.78,0.0038202004628928375,0.0,Normal
DE01,Hardware,SUP-DE01-LOG-03,Logistics Partner DE01 03,Logistics & Freight,4,False,154577.97999999998,0.0,930411.48,0.003725488715930659,13.719586062646181,Normal
DE01,Software,SUP-DE01-LOG-03,Logistics Partner DE01 03,Logistics & Freight,4,False,7779.28,0.0,95792.06,0.003725488715930659,0.0,Normal
CN01,Hardware,SUP-CN01-FAC-02,Facilities Services CN01 02,Factory Fixed Cost,5,False,421538.93,0.0,858188.3899999999,0.003115533165172768,0.0,Normal
ES01,Events,SUP-ES01-OPS-03,Business Services ES01 03,Corporate Services,3,False,61154.3,0.0,335571.64,0.002921135460309803,4.535357284769836,Normal
ES01,Hardware,SUP-ES01-OPS-03,Business Services ES01 03,Corporate Services,3,False,56376.69,0.0,333672.81,0.002921135460309803,18.180045689095973,Normal
ES01,Spare Parts,SUP-ES01-OPS-03,Business Services ES01 03,Corporate Services,3,False,22035.309999999998,0.0,135396.16999999998,0.002921135460309803,16.91870003190334,Normal
ES01,Events,SUP-ES01-CAP-01,Capacity Provider ES01 01,Delivery Capacity,4,False,121418.54,0.0,779012.31,0.0028280954580180814,0.0,Normal
ES01,Events,SUP-ES01-OPS-02,Business Services ES01 02,Corporate Services,3,False,58589.54,0.0,280963.67,0.0027138523356850927,17.21220886868202,Normal
ES01,Hardware,SUP-ES01-OPS-02,Business Services ES01 02,Corporate Services,3,False,46053.35,0.0,336501.27,0.0027138523356850927,13.175054583434214,Normal
ES01,Spare Parts,SUP-ES01-OPS-02,Business Services ES01 02,Corporate Services,3,False,19733.45,0.0,130078.56,0.0027138523356850927,16.19967618434688,Normal
CZ01,Hardware,SUP-CZ01-FAC-02,Facilities Services CZ01 02,Factory Fixed Cost,5,False,248964.6,0.0,745606.73,0.002706821162531711,0.0,Normal
ES01,Events,SUP-ES01-CAP-03,Capacity Provider ES01 03,Delivery Capacity,4,True,33399.24,0.0,744753.43,0.002703723375984119,0.0,Single-source critical
US01,Events,SUP-US01-CAP-03,Capacity Provider US01 03,Delivery Capacity,4,False,102654.78,0.0,541773.55,0.002680760910675427,0.0,Normal
US01,Software,SUP-US01-CAP-03,Capacity Provider US01 03,Delivery Capacity,4,False,19945.57,0.0,196654.76,0.002680760910675427,0.0,Normal
US01,Events,SUP-US01-OPS-01,Business Services US01 01,Corporate Services,3,False,60803.44,0.0,242129.86,0.0026683342595601356,24.056329707661273,Normal
US01,Hardware,SUP-US01-OPS-01,Business Services US01 01,Corporate Services,3,False,59600.21,0.0,375464.86,0.0026683342595601356,13.201000466273525,Normal
US01,Software,SUP-US01-OPS-01,Business Services US01 01,Corporate Services,3,False,14137.18,0.0,117410.61,0.0026683342595601356,0.0,Normal
ES01,Hardware,SUP-ES01-OPS-01,Business Services ES01 01,Corporate Services,3,False,52026.67999999999,0.0,326089.14,0.0026511246448932364,15.857098703972655,Normal
ES01,Events,SUP-ES01-OPS-01,Business Services ES01 01,Corporate Services,3,False,49940.18,0.0,275754.79,0.0026511246448932364,0.0,Normal
ES01,Spare Parts,SUP-ES01-OPS-01,Business Services ES01 01,Corporate Services,3,False,16514.16,0.0,128420.93,0.0026511246448932364,15.216559607028149,Normal
ES01,Events,SUP-ES01-OPS-04,Business Services ES01 04,Corporate Services,3,False,86608.45000000001,0.0,288589.59,0.002650679344883946,16.910219499367553,Normal
ES01,Hardware,SUP-ES01-OPS-04,Business Services ES01 04,Corporate Services,3,False,44038.59,0.0,309921.71,0.002650679344883946,15.598987161033087,Normal
ES01,Spare Parts,SUP-ES01-OPS-04,Business Services ES01 04,Corporate Services,3,False,22359.260000000002,0.0,131630.9,0.002650679344883946,13.538779905953952,Normal
ES01,Hardware,SUP-ES01-OPS-05,Business Services ES01 05,Corporate Services,3,False,43452.83,0.0,297640.15,0.0026439708018612153,16.703864857593853,Normal
ES01,Events,SUP-ES01-OPS-05,Business Services ES01 05,Corporate Services,3,False,28807.53,0.0,296546.45,0.0026439708018612153,25.512079654173753,Normal
ES01,Spare Parts,SUP-ES01-OPS-05,Business Services ES01 05,Corporate Services,3,False,22609.41,0.0,134107.7,0.0026439708018612153,16.41123762185745,Normal
US01,Events,SUP-US01-CAP-01,Capacity Provider US01 01,Delivery Capacity,4,False,30735.300000000003,0.0,526260.33,0.0026248475516089807,0.0,Normal
US01,Software,SUP-US01-CAP-01,Capacity Provider US01 01,Delivery Capacity,4,False,15244.039999999999,0.0,196766.38,0.0026248475516089807,0.0,Normal
ES01,Events,SUP-ES01-OPS-06,Business Services ES01 06,Corporate Services,3,False,62361.75,0.0,297689.86,0.0026183898301877662,20.087592153844305,Normal
ES01,Hardware,SUP-ES01-OPS-06,Business Services ES01 06,Corporate Services,3,False,42818.96,0.0,298419.83,0.0026183898301877662,17.672580090688797,Normal
ES01,Spare Parts,SUP-ES01-OPS-06,Business Services ES01 06,Corporate Services,3,False,16785.629999999997,0.0,125138.20999999999,0.0026183898301877662,16.79822562513293,Normal
US01,Hardware,SUP-US01-OPS-03,Business Services US01 03,Corporate Services,3,False,62868.729999999996,0.0,394096.39,0.0025877294034270908,15.877277940877763,Normal
US01,Events,SUP-US01-OPS-03,Business Services US01 03,Corporate Services,3,False,19376.84,0.0,190436.28,0.0025877294034270908,6.990118099752075,Normal
US01,Software,SUP-US01-OPS-03,Business Services US01 03,Corporate Services,3,False,12339.97,0.0,128269.67,0.0025877294034270908,0.0,Normal
US01,Hardware,SUP-US01-OPS-06,Business Services US01 06,Corporate Services,3,False,49746.75,0.0,344903.48,0.002543867679244404,17.458239985526692,Normal
US01,Events,SUP-US01-OPS-06,Business Services US01 06,Corporate Services,3,False,28241.510000000002,0.0,236767.71000000002,0.002543867679244404,12.456292174179072,Normal
US01,Software,SUP-US01-OPS-06,Business Services US01 06,Corporate Services,3,False,9622.78,0.0,119049.23000000001,0.002543867679244404,0.0,Normal
US01,Hardware,SUP-US01-OPS-05,Business Services US01 05,Corporate Services,3,False,60804.72,0.0,391593.91,0.0025176182130029552,18.36191006224517,Normal
US01,Events,SUP-US01-OPS-05,Business Services US01 05,Corporate Services,3,False,54908.29,0.0,184673.74,0.0025176182130029552,7.2228601546323885,Normal
US01,Software,SUP-US01-OPS-05,Business Services US01 05,Corporate Services,3,False,6655.23,0.0,117222.23,0.0025176182130029552,0.0,Normal
US01,Hardware,SUP-US01-OPS-02,Business Services US01 02,Corporate Services,3,False,55999.5,0.0,381512.23,0.002433056046188944,14.491265100581256,Normal
US01,Events,SUP-US01-OPS-02,Business Services US01 02,Corporate Services,3,False,35911.259999999995,0.0,177734.72,0.002433056046188944,16.013155762287372,Normal
US01,Software,SUP-US01-OPS-02,Business Services US01 02,Corporate Services,3,False,9270.65,0.0,110949.88,0.002433056046188944,0.0,Normal
ES01,Events,SUP-ES01-CAP-02,Capacity Provider ES01 02,Delivery Capacity,4,False,76924.84,0.0,656734.89,0.002384184352017498,0.0,Normal
US01,Hardware,SUP-US01-OPS-04,Business Services US01 04,Corporate Services,3,False,49858.22,0.0,368653.72,0.0023275369340738424,16.00280956680764,Normal
US01,Events,SUP-US01-OPS-04,Business Services US01 04,Corporate Services,3,False,24374.76,0.0,149007.47,0.0023275369340738424,13.06092859991237,Normal
US01,Software,SUP-US01-OPS-04,Business Services US01 04,Corporate Services,3,False,12646.619999999999,0.0,123469.9,0.0023275369340738424,0.0,Normal
US01,Software,SUP-US01-CAP-02,Capacity Provider US01 02,Delivery Capacity,4,True,17517.16,0.0,190438.93,0.002061098538526364,0.0,Single-source critical
US01,Events,SUP-US01-CAP-02,Capacity Provider US01 02,Delivery Capacity,4,True,7934.27,0.0,377300.44,0.002061098538526364,0.0,Single-source critical
JP01,Spare Parts,SUP-JP01-OPS-02,Business Services JP01 02,Corporate Services,3,False,34694.729999999996,0.0,187531.84,0.0018574393122815175,14.432511796460155,Normal
JP01,Hardware,SUP-JP01-OPS-02,Business Services JP01 02,Corporate Services,3,False,32152.92,0.0,246673.66999999998,0.0018574393122815175,21.467655192747657,Normal
JP01,Software,SUP-JP01-OPS-02,Business Services JP01 02,Corporate Services,3,False,5831.25,0.0,77434.96,0.0018574393122815175,0.0,Normal
JP01,Hardware,SUP-JP01-OPS-06,Business Services JP01 06,Corporate Services,3,False,32972.0,0.0,228797.89,0.001840177238906529,14.94710057018076,Normal
JP01,Spare Parts,SUP-JP01-OPS-06,Business Services JP01 06,Corporate Services,3,False,26087.62,0.0,187735.38,0.001840177238906529,17.04609696093396,Normal
JP01,Software,SUP-JP01-OPS-06,Business Services JP01 06,Corporate Services,3,False,9344.68,0.0,90352.28,0.001840177238906529,0.0,Normal
JP01,Hardware,SUP-JP01-OPS-04,Business Services JP01 04,Corporate Services,3,False,34205.68,0.0,229906.7,0.0017969145604969795,14.747471764923253,Normal
JP01,Spare Parts,SUP-JP01-OPS-04,Business Services JP01 04,Corporate Services,3,False,31208.23,0.0,192293.91,0.0017969145604969795,17.440447599879903,Normal
JP01,Software,SUP-JP01-OPS-04,Business Services JP01 04,Corporate Services,3,False,5893.58,0.0,72768.03,0.0017969145604969795,0.0,Normal
JP01,Hardware,SUP-JP01-OPS-03,Business Services JP01 03,Corporate Services,3,False,39363.95,0.0,235173.6,0.0017443860768802518,15.821072326329038,Normal
JP01,Spare Parts,SUP-JP01-OPS-03,Business Services JP01 03,Corporate Services,3,False,24315.48,0.0,167565.15,0.0017443860768802518,16.859753539720376,Normal
JP01,Software,SUP-JP01-OPS-03,Business Services JP01 03,Corporate Services,3,False,6766.5599999999995,0.0,77760.67,0.0017443860768802518,0.0,Normal
DE01,Hardware,SUP-DE01-OPS-02,Business Services DE01 02,Corporate Services,3,False,60486.95,0.0,372998.75,0.0017323160723727606,15.706260606626719,Normal
DE01,Software,SUP-DE01-OPS-02,Business Services DE01 02,Corporate Services,3,False,8380.56,0.0,104175.93,0.0017323160723727606,0.0,Normal
JP01,Spare Parts,SUP-JP01-OPS-01,Business Services JP01 01,Corporate Services,3,False,29852.14,0.0,184952.16,0.001725440859503083,14.51649697475625,Normal
JP01,Hardware,SUP-JP01-OPS-01,Business Services JP01 01,Corporate Services,3,False,29651.32,0.0,208077.03,0.001725440859503083,13.478799594756657,Normal
JP01,Software,SUP-JP01-OPS-01,Business Services JP01 01,Corporate Services,3,False,7803.3,0.0,82251.68,0.001725440859503083,0.0,Normal
DE01,Hardware,SUP-DE01-OPS-05,Business Services DE01 05,Corporate Services,3,False,50865.81,0.0,364927.15,0.0016849830701623262,16.791699571873522,Normal
DE01,Software,SUP-DE01-OPS-05,Business Services DE01 05,Corporate Services,3,False,8662.9,0.0,99209.43,0.0016849830701623262,0.0,Normal
DE01,Hardware,SUP-DE01-OPS-03,Business Services DE01 03,Corporate Services,3,False,56614.619999999995,0.0,351314.97,0.001612838587473365,13.3835235492175,Normal
DE01,Software,SUP-DE01-OPS-03,Business Services DE01 03,Corporate Services,3,False,7480.889999999999,0.0,92949.07,0.001612838587473365,0.0,Normal
JP01,Hardware,SUP-JP01-OPS-05,Business Services JP01 05,Corporate Services,3,False,26111.15,0.0,196144.93,0.001586398890345834,20.393368350302456,Normal
JP01,Spare Parts,SUP-JP01-OPS-05,Business Services JP01 05,Corporate Services,3,False,18863.35,0.0,161612.54,0.001586398890345834,14.760909382479785,Normal
JP01,Software,SUP-JP01-OPS-05,Business Services JP01 05,Corporate Services,3,False,6960.24,0.0,79223.63,0.001586398890345834,0.0,Normal
DE01,Hardware,SUP-DE01-OPS-06,Business Services DE01 06,Corporate Services,3,False,47956.07,0.0,335128.31,0.0015729698241109826,13.639476712749813,Normal
DE01,Software,SUP-DE01-OPS-06,Business Services DE01 06,Corporate Services,3,False,8118.16,0.0,98153.69,0.0015729698241109826,0.0,Normal
DE01,Hardware,SUP-DE01-OPS-01,Business Services DE01 01,Corporate Services,3,False,51713.07,0.0,331277.58,0.0015571704592533858,16.049110988769375,Normal
DE01,Software,SUP-DE01-OPS-01,Business Services DE01 01,Corporate Services,3,False,8695.130000000001,0.0,97652.41,0.0015571704592533858,0.0,Normal
DE01,Software,SUP-DE01-DEL-03,Delivery Partner DE01 03,Delivery Partners,4,False,32349.2,0.0,390529.23,0.0014177618599971783,0.0,Normal
DE01,Hardware,SUP-DE01-OPS-04,Business Services DE01 04,Corporate Services,3,False,43816.490000000005,0.0,301288.65,0.001387545172190813,19.307621400071067,Normal
DE01,Software,SUP-DE01-OPS-04,Business Services DE01 04,Corporate Services,3,False,9772.37,0.0,80917.25,0.001387545172190813,0.0,Normal
DE01,Software,SUP-DE01-DEL-05,Delivery Partner DE01 05,Delivery Partners,4,False,35521.02,0.0,382162.63,0.0013873880864953784,0.0,Normal
DE01,Software,SUP-DE01-DEL-02,Delivery Partner DE01 02,Delivery Partners,4,False,33568.85,0.0,354349.52,0.001286416472754952,0.0,Normal
DE01,Software,SUP-DE01-DEL-01,Delivery Partner DE01 01,Delivery Partners,4,True,34337.48,0.0,352120.09,0.0012783228383206398,0.0,Single-source critical
DE01,Software,SUP-DE01-DEL-04,Delivery Partner DE01 04,Delivery Partners,4,False,36506.62,0.0,347064.55,0.0012599694059957655,0.0,Normal
JP01,Software,SUP-JP01-DEL-05,Delivery Partner JP01 05,Delivery Partners,4,False,26211.510000000002,0.0,326169.52,0.0011841129160795132,0.0,Normal
JP01,Software,SUP-JP01-DEL-02,Delivery Partner JP01 02,Delivery Partners,4,False,32181.94,0.0,319166.96,0.0011586910994069383,0.0,Normal
JP01,Software,SUP-JP01-DEL-01,Delivery Partner JP01 01,Delivery Partners,4,False,32459.76,0.0,298582.58999999997,0.0010839624172592022,0.0,Normal
JP01,Software,SUP-JP01-DEL-04,Delivery Partner JP01 04,Delivery Partners,4,False,29505.58,0.0,295255.91000000003,0.0010718853698524938,0.0,Normal
JP01,Software,SUP-JP01-DEL-03,Delivery Partner JP01 03,Delivery Partners,4,True,23337.94,0.0,293347.57,0.001064957407845893,0.0,Single-source critical
DE01,Software,SUP-DE01-CAP-03,Capacity Provider DE01 03,Delivery Capacity,4,False,17752.36,0.0,158209.6,0.0005743578701276973,0.0,Normal
DE01,Software,SUP-DE01-CAP-01,Capacity Provider DE01 01,Delivery Capacity,4,False,14508.11,0.0,157241.08000000002,0.0005708417934523497,0.0,Normal
DE01,Software,SUP-DE01-CAP-02,Capacity Provider DE01 02,Delivery Capacity,4,True,9428.78,0.0,152201.72,0.0005525471003590941,0.0,Single-source critical
JP01,Software,SUP-JP01-CAP-01,Capacity Provider JP01 01,Delivery Capacity,4,False,13878.25,0.0,135928.83,0.0004934706445610748,0.0,Normal
JP01,Software,SUP-JP01-CAP-03,Capacity Provider JP01 03,Delivery Capacity,4,False,11757.23,0.0,129610.79,0.0004705338822041661,0.0,Normal
JP01,Software,SUP-JP01-CAP-02,Capacity Provider JP01 02,Delivery Capacity,4,True,9228.66,0.0,127389.93,0.0004624713599586652,0.0,Single-source critical
