month,entity,gross_debt,interest_expense,implied_annual_interest_rate,contractual_maturity
2024-02,CZ01,13652187.5,35911.21,0.031565235974088404,2031-12
2024-02,DE01,7801250.0,20520.69,0.031565233776638356,2029-12
2024-02,ES01,1950312.5,5130.17,0.031565218394488066,2028-06
2024-02,JP01,1950312.5,5130.17,0.031565218394488066,2028-12
2024-02,US01,1950312.5,5130.17,0.031565218394488066,2029-06
2024-03,CN01,13481535.16,35937.02,0.031987769559026984,2032-06
2024-03,CZ01,13481535.16,35937.02,0.031987769559026984,2031-12
2024-03,DE01,7703734.38,20535.44,0.03198776954716343,2029-12
2024-03,ES01,1925933.59,5133.86,0.031987769630208274,2028-06
2024-03,JP01,1925933.59,5133.86,0.031987769630208274,2028-12
2024-03,US01,1925933.59,5133.86,0.031987769630208274,2029-06
2024-04,CN01,13481535.16,35461.4,0.03156441717873323,2032-06
2024-04,CZ01,13481535.16,35461.4,0.03156441717873323,2031-12
2024-04,DE01,7703734.38,20263.65,0.03156440604069737,2029-12
2024-04,ES01,1925933.59,5065.91,0.03156439054578201,2028-06
2024-04,JP01,1925933.59,5065.91,0.03156439054578201,2028-12
2024-04,US01,1925933.59,5065.91,0.03156439054578201,2029-06
2024-05,CN01,13481535.16,35377.2,0.03148947022439839,2032-06
2024-05,CZ01,13481535.16,35377.2,0.03148947022439839,2031-12
2024-05,DE01,7703734.38,20215.54,0.031489465762187925,2029-12
2024-05,ES01,1925933.59,5053.89,0.03148949699766128,2028-06
2024-05,JP01,1925933.59,5053.89,0.03148949699766128,2028-12
2024-05,US01,1925933.59,5053.89,0.03148949699766128,2029-06
2024-06,CN01,13313015.97,35230.53,0.03175586666106883,2032-06
2024-06,CZ01,13313015.97,35230.53,0.03175586666106883,2031-12
2024-06,DE01,7607437.7,20131.73,0.031755864395708426,2029-12
2024-06,ES01,1901859.4200000002,5032.93,0.03175584870515824,2028-06
2024-06,JP01,1901859.4200000002,5032.93,0.03175584870515824,2028-12
2024-06,US01,1901859.4200000002,5032.93,0.03175584870515824,2029-06
2024-07,CN01,13313015.97,34580.24,0.03116971247800584,2032-06
2024-07,CZ01,13313015.97,34580.24,0.03116971247800584,2031-12
2024-07,DE01,7607437.7,19760.14,0.03116971697316693,2029-12
2024-07,ES01,1901859.4200000002,4940.03,0.03116968550703921,2028-06
2024-07,JP01,1901859.4200000002,4940.03,0.03116968550703921,2028-12
2024-07,US01,1901859.4200000002,4940.03,0.03116968550703921,2029-06
2024-08,CN01,13313015.97,34303.2,0.03091999595941294,2032-06
2024-08,CZ01,13313015.97,34303.2,0.03091999595941294,2031-12
2024-08,DE01,7607437.7,19601.83,0.03091999820123404,2029-12
2024-08,ES01,1901859.4200000002,4900.46,0.030920014056559447,2028-06
2024-08,JP01,1901859.4200000002,4900.46,0.030920014056559447,2028-12
2024-08,US01,1901859.4200000002,4900.46,0.030920014056559447,2029-06
2024-09,CN01,13146603.270000001,33958.36,0.030996624118862604,2032-06
2024-09,CZ01,13146603.270000001,33958.36,0.030996624118862604,2031-12
2024-09,DE01,7512344.73,19404.78,0.03099662866509588,2029-12
2024-09,ES01,1878086.1800000002,4851.19,0.030996596758941057,2028-06
2024-09,JP01,1878086.1800000002,4851.19,0.030996596758941057,2028-12
2024-09,US01,1878086.1800000002,4851.19,0.030996596758941057,2029-06
2024-10,CN01,13146603.270000001,33127.08,0.030237845611963916,2032-06
2024-10,CZ01,13146603.270000001,33127.08,0.030237845611963916,2031-12
2024-10,DE01,7512344.73,18929.76,0.03023784559471354,2029-12
2024-10,ES01,1878086.1800000002,4732.44,0.030237845634964417,2028-06
2024-10,JP01,1878086.1800000002,4732.44,0.030237845634964417,2028-12
2024-10,US01,1878086.1800000002,4732.44,0.030237845634964417,2029-06
2024-11,CN01,13146603.270000001,32656.04,0.02980788816334304,2032-06
2024-11,CZ01,13146603.270000001,32656.04,0.02980788816334304,2031-12
2024-11,DE01,7512344.73,18660.6,0.029807897274171012,2029-12
2024-11,ES01,1878086.1800000002,4665.15,0.029807897313849564,2028-06
2024-11,JP01,1878086.1800000002,4665.15,0.029807897313849564,2028-12
2024-11,US01,1878086.1800000002,4665.15,0.029807897313849564,2029-06
2024-12,CN01,12982270.730000002,32124.12,0.029693529584866388,2032-06
2024-12,CZ01,12982270.730000002,32124.12,0.029693529584866388,2031-12
2024-12,DE01,7418440.420000001,18356.64,0.029693529573430202,2029-12
2024-12,ES01,1854610.1,4589.16,0.029693529653483496,2028-06
2024-12,JP01,1854610.1,4589.16,0.029693529653483496,2028-12
2024-12,US01,1854610.1,4589.16,0.029693529653483496,2029-06
2025-01,CN01,12982270.730000002,31141.7,0.028785441913211432,2032-06
2025-01,CZ01,12982270.730000002,31141.7,0.028785441913211432,2031-12
2025-01,DE01,7418440.420000001,17795.26,0.02878544652381261,2029-12
2025-01,ES01,1854610.1,4448.81,0.02878541424960427,2028-06
2025-01,JP01,1854610.1,4448.81,0.02878541424960427,2028-12
2025-01,US01,1854610.1,4448.81,0.02878541424960427,2029-06
2025-02,CN01,12982270.730000002,30510.9,0.02820236980222026,2032-06
2025-02,CZ01,12982270.730000002,30510.9,0.02820236980222026,2031-12
2025-02,DE01,7418440.420000001,17434.8,0.028202369791358376,2029-12
2025-02,ES01,1854610.1,4358.7,0.028202369867391528,2028-06
2025-02,JP01,1854610.1,4358.7,0.028202369867391528,2028-12
2025-02,US01,1854610.1,4358.7,0.028202369867391528,2029-06
2025-03,CN01,12819992.350000001,29836.84,0.02792841604152751,2032-06
2025-03,CZ01,12819992.350000001,29836.84,0.02792841604152751,2031-12
2025-03,DE01,7325709.910000001,17049.62,0.027928411377676293,2029-12
2025-03,ES01,1831427.4700000002,4262.41,0.027928444253377937,2028-06
2025-03,JP01,1831427.4700000002,4262.41,0.027928444253377937,2028-12
2025-03,US01,1831427.4700000002,4262.41,0.027928444253377937,2029-06
2025-04,CN01,12819992.350000001,28763.0,0.026923260995549654,2032-06
2025-04,CZ01,12819992.350000001,28763.0,0.026923260995549654,2031-12
2025-04,DE01,7325709.910000001,16436.0,0.026923261011300402,2029-12
2025-04,ES01,1831427.4700000002,4109.0,0.026923261121555634,2028-06
2025-04,JP01,1831427.4700000002,4109.0,0.026923261121555634,2028-12
2025-04,US01,1831427.4700000002,4109.0,0.026923261121555634,2029-06
2025-05,CN01,12819992.350000001,28035.07,0.026241890854170433,2032-06
2025-05,CZ01,12819992.350000001,28035.07,0.026241890854170433,2031-12
2025-05,DE01,7325709.910000001,16020.04,0.026241890869522565,2029-12
2025-05,ES01,1831427.4700000002,4005.01,0.026241890976987474,2028-06
2025-05,JP01,1831427.4700000002,4005.01,0.026241890976987474,2028-12
2025-05,US01,1831427.4700000002,4005.01,0.026241890976987474,2029-06
2025-06,CN01,12659742.450000001,27288.81,0.025866696837896573,2032-06
2025-06,CZ01,12659742.450000001,27288.81,0.025866696837896573,2031-12
2025-06,DE01,7234138.540000001,15593.6,0.02586668736924687,2029-12
2025-06,ES01,1808534.6300000001,3898.4,0.025866687440759706,2028-06
2025-06,JP01,1808534.6300000001,3898.4,0.025866687440759706,2028-12
2025-06,US01,1808534.6300000001,3898.4,0.025866687440759706,2029-06
2025-07,CN01,12659742.450000001,26201.66,0.024836201940269326,2032-06
2025-07,CZ01,12659742.450000001,26201.66,0.024836201940269326,2031-12
2025-07,DE01,7234138.540000001,14972.38,0.024836206689511364,2029-12
2025-07,ES01,1808534.6300000001,3743.09,0.024836173582144787,2028-06
2025-07,JP01,1808534.6300000001,3743.09,0.024836173582144787,2028-12
2025-07,US01,1808534.6300000001,3743.09,0.024836173582144787,2029-06
2025-08,CN01,12659742.450000001,25455.71,0.02412912594442235,2032-06
2025-08,CZ01,12659742.450000001,25455.71,0.02412912594442235,2031-12
2025-08,DE01,7234138.540000001,14546.12,0.024129125953952214,2029-12
2025-08,ES01,1808534.6300000001,3636.53,0.02412912602066127,2028-06
2025-08,JP01,1808534.6300000001,3636.53,0.02412912602066127,2028-12
2025-08,US01,1808534.6300000001,3636.53,0.02412912602066127,2029-06
2025-09,CN01,12501495.670000002,24719.03,0.023727429727614338,2032-06
2025-09,CZ01,12501495.670000002,24719.03,0.023727429727614338,2031-12
2025-09,DE01,7143711.8100000005,14125.16,0.023727429732359258,2029-12
2025-09,ES01,1785927.9500000002,3531.29,0.023727429765573686,2028-06
2025-09,JP01,1785927.9500000002,3531.29,0.023727429765573686,2028-12
2025-09,US01,1785927.9500000002,3531.29,0.023727429765573686,2029-06
2025-10,CN01,12501495.670000002,23700.58,0.022749834700378693,2032-06
2025-10,CZ01,12501495.670000002,23700.58,0.022749834700378693,2031-12
2025-10,DE01,7143711.8100000005,13543.19,0.022749837104640982,2029-12
2025-10,ES01,1785927.9500000002,3385.8,0.022749853934477034,2028-06
2025-10,JP01,1785927.9500000002,3385.8,0.022749853934477034,2028-12
2025-10,US01,1785927.9500000002,3385.8,0.022749853934477034,2029-06
2025-11,CN01,12501495.670000002,23017.66,0.022094309936276604,2032-06
2025-11,CZ01,12501495.670000002,23017.66,0.022094309936276604,2031-12
2025-11,DE01,7143711.8100000005,13152.95,0.02209431234040781,2029-12
2025-11,ES01,1785927.9500000002,3288.24,0.02209432916932623,2028-06
2025-11,JP01,1785927.9500000002,3288.24,0.02209432916932623,2028-12
2025-11,US01,1785927.9500000002,3288.24,0.02209432916932623,2029-06
2025-12,CN01,12345226.970000003,22369.24,0.02174369743483136,2032-06
2025-12,CZ01,12345226.970000003,22369.24,0.02174369743483136,2031-12
2025-12,DE01,7054415.41,12782.42,0.02174369257905667,2029-12
2025-12,ES01,1763603.85,3195.61,0.021743726631125237,2028-06
2025-12,JP01,1763603.85,3195.61,0.021743726631125237,2028-12
2025-12,US01,1763603.85,3195.61,0.021743726631125237,2029-06
2026-01,CN01,12345226.970000003,21490.56,0.020889589201291126,2032-06
2026-01,CZ01,12345226.970000003,21490.56,0.020889589201291126,2031-12
2026-01,DE01,7054415.41,12280.32,0.020889589205521423,2029-12
2026-01,ES01,1763603.85,3070.08,0.0208895892351335,2028-06
2026-01,JP01,1763603.85,3070.08,0.0208895892351335,2028-12
2026-01,US01,1763603.85,3070.08,0.0208895892351335,2029-06
2026-02,CN01,12345226.970000003,20939.09,0.02035354073364598,2032-06
2026-02,CZ01,12345226.970000003,20939.09,0.02035354073364598,2031-12
2026-02,DE01,7054415.41,11965.19,0.02035353344750079,2029-12
2026-02,ES01,1763603.85,2991.3,0.02035355048697586,2028-06
2026-02,JP01,1763603.85,2991.3,0.02035355048697586,2028-12
2026-02,US01,1763603.85,2991.3,0.02035355048697586,2029-06
2026-03,CN01,12190911.630000003,20440.57,0.02012046739772815,2032-06
2026-03,CZ01,12190911.630000003,20440.57,0.02012046739772815,2031-12
2026-03,DE01,6966235.22,11680.32,0.02012045754607752,2029-12
2026-03,ES01,1741558.8,2920.08,0.020120457603843178,2028-06
2026-03,JP01,1741558.8,2920.08,0.020120457603843178,2028-12
2026-03,US01,1741558.8,2920.08,0.020120457603843178,2029-06
2026-04,CN01,12190911.630000003,19749.3,0.019440022796720077,2032-06
2026-04,CZ01,12190911.630000003,19749.3,0.019440022796720077,2031-12
2026-04,DE01,6966235.22,11285.31,0.01944001540619813,2029-12
2026-04,ES01,1741558.8,2821.33,0.01944003268795748,2028-06
2026-04,JP01,1741558.8,2821.33,0.01944003268795748,2028-12
2026-04,US01,1741558.8,2821.33,0.01944003268795748,2029-06
2026-05,CN01,12190911.630000003,19373.14,0.01906975352260838,2032-06
2026-05,CZ01,12190911.630000003,19373.14,0.01906975352260838,2031-12
2026-05,DE01,6966235.22,11070.37,0.01906976089733588,2029-12
2026-05,ES01,1741558.8,2767.59,0.019069743726137758,2028-06
2026-05,JP01,1741558.8,2767.59,0.019069743726137758,2028-12
2026-05,US01,1741558.8,2767.59,0.019069743726137758,2029-06
2026-06,CN01,12038525.230000002,19058.46,0.018997469842076325,2032-06
2026-06,CZ01,12038525.230000002,19058.46,0.018997469842076325,2031-12
2026-06,DE01,6879157.279999999,10890.55,0.01899747231829536,2029-12
2026-06,ES01,1719789.31,2722.64,0.018997489872756564,2028-06
2026-06,JP01,1719789.31,2722.64,0.018997489872756564,2028-12
2026-06,US01,1719789.31,2722.64,0.018997489872756564,2029-06
2026-07,CN01,12038525.230000002,18570.81,0.01851138040103605,2032-06
2026-07,CZ01,12038525.230000002,18570.81,0.01851138040103605,2031-12
2026-07,DE01,6879157.279999999,10611.89,0.018511377893659673,2029-12
2026-07,ES01,1719789.31,2652.97,0.01851136055729989,2028-06
2026-07,JP01,1719789.31,2652.97,0.01851136055729989,2028-12
2026-07,US01,1719789.31,2652.97,0.01851136055729989,2029-06
2026-08,CN01,12038525.230000002,18382.05,0.018323224463599845,2032-06
2026-08,CZ01,12038525.230000002,18382.05,0.018323224463599845,2031-12
2026-08,DE01,6879157.279999999,10504.03,0.018323226940378957,2029-12
2026-08,ES01,1719789.31,2626.01,0.018323244490919648,2028-06
2026-08,JP01,1719789.31,2626.01,0.018323244490919648,2028-12
2026-08,US01,1719789.31,2626.01,0.018323244490919648,2029-06
