budget_year,budget_vintage,max_source_month,month,entity,division,budget_model,revenue_budget,marginal_contribution_budget,gross_profit_budget,opex_budget,depreciation_budget,ebit_budget,revenue_growth_target,mc_margin_target,gross_margin_target,opex_pct_target
2025,2024-10,2024-10,2025-12,DE01,Software,Driver-based commercial,865890.4,683309.52,645269.3,148234.92,10375.24,486659.14,0.12,0.78914,0.74521,0.17119
2025,2024-10,2024-10,2025-01,ES01,Events,Driver-based commercial,2404864.0,1083177.29,953749.46,347614.84,16943.58,589191.04,0.03,0.45041,0.39659,0.14455
2025,2024-10,2024-10,2025-02,ES01,Events,Driver-based commercial,2514176.0,1132412.62,997101.71,363415.52,17713.74,615972.45,0.03,0.45041,0.39659,0.14455
2025,2024-10,2024-10,2025-03,ES01,Events,Driver-based commercial,2705472.0,1218574.45,1072968.15,391066.7,19061.52,662839.92,0.03,0.45041,0.39659,0.14455
2025,2024-10,2024-10,2025-04,ES01,Events,Driver-based commercial,2760128.0,1243192.12,1094644.27,398967.04,19446.61,676230.63,0.03,0.45041,0.39659,0.14455
2025,2024-10,2024-10,2025-05,ES01,Events,Driver-based commercial,2814784.0,1267809.78,1116320.39,406867.37,19831.69,689621.33,0.03,0.45041,0.39659,0.14455
2025,2024-10,2024-10,2025-06,ES01,Events,Driver-based commercial,2869440.0,1292427.45,1137996.52,414767.71,20216.77,703012.04,0.03,0.45041,0.39659,0.14455
2025,2024-10,2024-10,2025-07,ES01,Events,Driver-based commercial,2596160.0,1169339.12,1029615.9,375266.02,18291.36,636058.51,0.03,0.45041,0.39659,0.14455
2025,2024-10,2024-10,2025-08,ES01,Events,Driver-based commercial,2295552.0,1033941.96,910397.22,331814.17,16173.41,562409.63,0.03,0.45041,0.39659,0.14455
2025,2024-10,2024-10,2025-09,ES01,Events,Driver-based commercial,2842112.0,1280118.61,1127158.46,410817.54,20024.23,696316.69,0.03,0.45041,0.39659,0.14455
2025,2024-10,2024-10,2025-10,ES01,Events,Driver-based commercial,2951424.0,1329353.95,1170510.71,426618.22,20794.39,723098.1,0.03,0.45041,0.39659,0.14455
2025,2024-10,2024-10,2025-11,ES01,Events,Driver-based commercial,3060736.0,1378589.28,1213862.95,442418.89,21564.55,749879.51,0.03,0.45041,0.39659,0.14455
2025,2024-10,2024-10,2025-12,ES01,Events,Driver-based commercial,3224704.0,1452442.27,1278891.33,466119.9,22719.8,790051.63,0.03,0.45041,0.39659,0.14455
2025,2024-10,2024-10,2025-01,ES01,Hardware,Driver-based commercial,3890122.4,1345384.77,1131750.0,333016.26,27919.44,770814.3,0.045,0.34585,0.29093,0.08561
2025,2024-10,2024-10,2025-02,ES01,Hardware,Driver-based commercial,4066946.15,1406538.62,1183193.18,348153.36,29188.5,805851.31,0.045,0.34585,0.29093,0.08561
2025,2024-10,2024-10,2025-03,ES01,Hardware,Driver-based commercial,4376387.7,1513557.87,1273218.74,374643.29,31409.37,867166.09,0.045,0.34585,0.29093,0.08561
2025,2024-10,2024-10,2025-04,ES01,Hardware,Driver-based commercial,4464799.58,1544134.79,1298940.34,382211.84,32043.9,884684.59,0.045,0.34585,0.29093,0.08561
2025,2024-10,2024-10,2025-05,ES01,Hardware,Driver-based commercial,4553211.45,1574711.72,1324661.93,389780.39,32678.43,902203.1,0.045,0.34585,0.29093,0.08561
2025,2024-10,2024-10,2025-06,ES01,Hardware,Driver-based commercial,4641623.32,1605288.65,1350383.52,397348.94,33312.97,919721.61,0.045,0.34585,0.29093,0.08561
2025,2024-10,2024-10,2025-07,ES01,Hardware,Driver-based commercial,4199563.96,1452404.01,1221775.56,359506.19,30140.3,832129.07,0.045,0.34585,0.29093,0.08561
2025,2024-10,2024-10,2025-08,ES01,Hardware,Driver-based commercial,3713298.66,1284230.92,1080306.81,317879.15,26650.37,735777.29,0.045,0.34585,0.29093,0.08561
2025,2024-10,2024-10,2025-09,ES01,Hardware,Driver-based commercial,4597417.38,1590000.18,1337522.72,393564.67,32995.7,910962.35,0.045,0.34585,0.29093,0.08561
2025,2024-10,2024-10,2025-10,ES01,Hardware,Driver-based commercial,4774241.13,1651154.04,1388965.9,408701.77,34264.77,945999.37,0.045,0.34585,0.29093,0.08561
2025,2024-10,2024-10,2025-11,ES01,Hardware,Driver-based commercial,4951064.88,1712307.89,1440409.08,423838.87,35533.83,981036.38,0.045,0.34585,0.29093,0.08561
2025,2024-10,2024-10,2025-12,ES01,Hardware,Driver-based commercial,5216300.49,1804038.67,1517573.86,446544.53,37437.43,1033591.9,0.045,0.34585,0.29093,0.08561
2025,2024-10,2024-10,2025-01,ES01,Spare Parts,Driver-based commercial,1682429.09,774443.77,716865.35,154368.78,12108.73,550387.84,0.06,0.46031,0.42609,0.09175
2025,2024-10,2024-10,2025-02,ES01,Spare Parts,Driver-based commercial,1758903.14,809645.76,749450.13,161385.54,12659.13,575405.47,0.06,0.46031,0.42609,0.09175
2025,2024-10,2024-10,2025-03,ES01,Spare Parts,Driver-based commercial,1892732.73,871249.25,806473.51,173664.88,13622.32,619186.32,0.06,0.46031,0.42609,0.09175
2025,2024-10,2024-10,2025-04,ES01,Spare Parts,Driver-based commercial,1930969.75,888850.24,822765.91,177173.26,13897.52,631695.13,0.06,0.46031,0.42609,0.09175
2025,2024-10,2024-10,2025-05,ES01,Spare Parts,Driver-based commercial,1969206.78,906451.24,839058.3,180681.64,14172.72,644203.94,0.06,0.46031,0.42609,0.09175
2025,2024-10,2024-10,2025-06,ES01,Spare Parts,Driver-based commercial,2007443.8,924052.23,855350.7,184190.02,14447.92,656712.76,0.06,0.46031,0.42609,0.09175
2025,2024-10,2024-10,2025-07,ES01,Spare Parts,Driver-based commercial,1816258.68,836047.26,773888.73,166648.11,13071.92,594168.69,0.06,0.46031,0.42609,0.09175
2025,2024-10,2024-10,2025-08,ES01,Spare Parts,Driver-based commercial,1605955.04,739241.78,684280.56,147352.02,11558.33,525370.21,0.06,0.46031,0.42609,0.09175
2025,2024-10,2024-10,2025-09,ES01,Spare Parts,Driver-based commercial,1988325.29,915251.73,847204.5,182435.83,14310.32,650458.35,0.06,0.46031,0.42609,0.09175
2025,2024-10,2024-10,2025-10,ES01,Spare Parts,Driver-based commercial,2064799.34,950453.72,879789.29,189452.59,14860.71,675475.98,0.06,0.46031,0.42609,0.09175
2025,2024-10,2024-10,2025-11,ES01,Spare Parts,Driver-based commercial,2141273.39,985655.71,912374.08,196469.36,15411.11,700493.61,0.06,0.46031,0.42609,0.09175
2025,2024-10,2024-10,2025-12,ES01,Spare Parts,Driver-based commercial,2255984.46,1038458.7,961251.26,206994.5,16236.71,738020.05,0.06,0.46031,0.42609,0.09175
2025,2024-10,2024-10,2025-01,JP01,Hardware,Driver-based commercial,2521424.29,961153.86,828638.27,289155.43,26799.33,512683.51,0.045,0.38119,0.32864,0.11468
2025,2024-10,2024-10,2025-02,JP01,Hardware,Driver-based commercial,2636034.48,1004842.67,866303.65,302298.86,28017.48,535987.31,0.045,0.38119,0.32864,0.11468
2025,2024-10,2024-10,2025-03,JP01,Hardware,Driver-based commercial,2836602.33,1081298.1,932218.06,325299.86,30149.24,576768.95,0.045,0.38119,0.32864,0.11468
2025,2024-10,2024-10,2025-04,JP01,Hardware,Driver-based commercial,2893907.42,1103142.5,951050.74,331871.58,30758.32,588420.85,0.045,0.38119,0.32864,0.11468
2025,2024-10,2024-10,2025-05,JP01,Hardware,Driver-based commercial,2951212.52,1124986.91,969883.43,338443.29,31367.4,600072.74,0.045,0.38119,0.32864,0.11468
2025,2024-10,2024-10,2025-06,JP01,Hardware,Driver-based commercial,3008517.62,1146831.31,988716.12,345015.01,31976.47,611724.64,0.045,0.38119,0.32864,0.11468
2025,2024-10,2024-10,2025-07,JP01,Hardware,Driver-based commercial,2721992.13,1037609.28,894552.68,312156.43,28931.09,553465.15,0.045,0.38119,0.32864,0.11468
2025,2024-10,2024-10,2025-08,JP01,Hardware,Driver-based commercial,2406814.09,917465.05,790972.9,276012.0,25581.18,489379.71,0.045,0.38119,0.32864,0.11468
2025,2024-10,2024-10,2025-09,JP01,Hardware,Driver-based commercial,2979865.07,1135909.11,979299.78,341729.15,31671.93,605898.69,0.045,0.38119,0.32864,0.11468
2025,2024-10,2024-10,2025-10,JP01,Hardware,Driver-based commercial,3094475.26,1179597.92,1016965.15,354872.58,32890.09,629202.49,0.045,0.38119,0.32864,0.11468
2025,2024-10,2024-10,2025-11,JP01,Hardware,Driver-based commercial,3209085.46,1223286.73,1054630.53,368016.01,34108.24,652506.28,0.045,0.38119,0.32864,0.11468
2025,2024-10,2024-10,2025-12,JP01,Hardware,Driver-based commercial,3381000.75,1288819.95,1111128.59,387731.15,35935.46,687461.98,0.045,0.38119,0.32864,0.11468
2025,2024-10,2024-10,2025-01,JP01,Software,Driver-based commercial,535244.85,421751.88,398188.79,87729.64,5826.21,304632.94,0.12,0.78796,0.74394,0.16391
2025,2024-10,2024-10,2025-02,JP01,Software,Driver-based commercial,559574.16,440922.42,416288.28,91717.35,6091.03,318479.9,0.12,0.78796,0.74394,0.16391
2025,2024-10,2024-10,2025-03,JP01,Software,Driver-based commercial,602150.45,474470.87,447962.39,98695.85,6554.48,342712.06,0.12,0.78796,0.74394,0.16391
2025,2024-10,2024-10,2025-04,JP01,Software,Driver-based commercial,614315.11,484056.14,457012.13,100689.7,6686.89,349635.54,0.12,0.78796,0.74394,0.16391
2025,2024-10,2024-10,2025-05,JP01,Software,Driver-based commercial,626479.76,493641.41,466061.88,102683.56,6819.31,356559.01,0.12,0.78796,0.74394,0.16391
2025,2024-10,2024-10,2025-06,JP01,Software,Driver-based commercial,638644.42,503226.68,475111.62,104677.41,6951.72,363482.49,0.12,0.78796,0.74394,0.16391
2025,2024-10,2024-10,2025-07,JP01,Software,Driver-based commercial,577821.14,455300.33,429862.9,94708.13,6289.65,328865.11,0.12,0.78796,0.74394,0.16391
2025,2024-10,2024-10,2025-08,JP01,Software,Driver-based commercial,510915.53,402581.34,380089.3,83741.93,5561.38,290785.99,0.12,0.78796,0.74394,0.16391
2025,2024-10,2024-10,2025-09,JP01,Software,Driver-based commercial,632562.09,498434.04,470586.75,103680.48,6885.52,360020.75,0.12,0.78796,0.74394,0.16391
2025,2024-10,2024-10,2025-10,JP01,Software,Driver-based commercial,656891.4,517604.58,488686.24,107668.19,7150.34,373867.7,0.12,0.78796,0.74394,0.16391
2025,2024-10,2024-10,2025-11,JP01,Software,Driver-based commercial,681220.71,536775.13,506785.73,111655.91,7415.17,387714.66,0.12,0.78796,0.74394,0.16391
2025,2024-10,2024-10,2025-12,JP01,Software,Driver-based commercial,717714.68,565530.94,533934.97,117637.47,7812.41,408485.08,0.12,0.78796,0.74394,0.16391
2025,2024-10,2024-10,2025-01,JP01,Spare Parts,Driver-based commercial,2340305.15,1077452.3,997453.77,271767.37,25167.91,700518.49,0.06,0.46039,0.42621,0.11612
2025,2024-10,2024-10,2025-02,JP01,Spare Parts,Driver-based commercial,2446682.66,1126427.41,1042792.58,284120.44,26311.91,732360.24,0.06,0.46039,0.42621,0.11612
2025,2024-10,2024-10,2025-03,JP01,Spare Parts,Driver-based commercial,2632843.29,1212133.84,1122135.49,305738.3,28313.9,788083.3,0.06,0.46039,0.42621,0.11612
2025,2024-10,2024-10,2025-04,JP01,Spare Parts,Driver-based commercial,2686032.05,1236621.4,1144804.9,311914.83,28885.9,804004.17,0.06,0.46039,0.42621,0.11612
2025,2024-10,2024-10,2025-05,JP01,Spare Parts,Driver-based commercial,2739220.8,1261108.95,1167474.3,318091.36,29457.89,819925.05,0.06,0.46039,0.42621,0.11612
2025,2024-10,2024-10,2025-06,JP01,Spare Parts,Driver-based commercial,2792409.55,1285596.5,1190143.7,324267.89,30029.89,835845.92,0.06,0.46039,0.42621,0.11612
2025,2024-10,2024-10,2025-07,JP01,Spare Parts,Driver-based commercial,2526465.79,1163158.74,1076796.68,293385.23,27169.9,756241.55,0.06,0.46039,0.42621,0.11612
2025,2024-10,2024-10,2025-08,JP01,Spare Parts,Driver-based commercial,2233927.64,1028477.2,952114.96,259414.31,24023.91,668676.74,0.06,0.46039,0.42621,0.11612
2025,2024-10,2024-10,2025-09,JP01,Spare Parts,Driver-based commercial,2765815.18,1273352.72,1178809.0,321179.62,29743.89,827885.48,0.06,0.46039,0.42621,0.11612
2025,2024-10,2024-10,2025-10,JP01,Spare Parts,Driver-based commercial,2872192.68,1322327.83,1224147.81,333532.69,30887.89,859727.23,0.06,0.46039,0.42621,0.11612
2025,2024-10,2024-10,2025-11,JP01,Spare Parts,Driver-based commercial,2978570.19,1371302.93,1269486.62,345885.75,32031.89,891568.98,0.06,0.46039,0.42621,0.11612
2025,2024-10,2024-10,2025-12,JP01,Spare Parts,Driver-based commercial,3138136.45,1444765.59,1337494.83,364415.34,33747.88,939331.61,0.06,0.46039,0.42621,0.11612
2025,2024-10,2024-10,2025-01,US01,Events,Driver-based commercial,1968227.13,887688.83,781509.35,404562.37,14622.32,362324.67,0.03,0.45101,0.39706,0.20555
2025,2024-10,2024-10,2025-02,US01,Events,Driver-based commercial,2057692.0,928038.32,817032.5,422951.57,15286.97,378793.97,0.03,0.45101,0.39706,0.20555
2025,2024-10,2024-10,2025-03,US01,Events,Driver-based commercial,2214255.52,998649.94,879198.02,455132.67,16450.11,407615.25,0.03,0.45101,0.39706,0.20555
2025,2024-10,2024-10,2025-04,US01,Events,Driver-based commercial,2258987.96,1018824.68,896959.6,464327.27,16782.43,415849.9,0.03,0.45101,0.39706,0.20555
2025,2024-10,2024-10,2025-05,US01,Events,Driver-based commercial,2303720.39,1038999.43,914721.17,473521.86,17114.76,424084.55,0.03,0.45101,0.39706,0.20555
2025,2024-10,2024-10,2025-06,US01,Events,Driver-based commercial,2348452.83,1059174.17,932482.75,482716.46,17447.08,432319.2,0.03,0.45101,0.39706,0.20555
2025,2024-10,2024-10,2025-07,US01,Events,Driver-based commercial,2124790.65,958300.44,843674.87,436743.47,15785.46,391145.95,0.03,0.45101,0.39706,0.20555
2025,2024-10,2024-10,2025-08,US01,Events,Driver-based commercial,1878762.26,847339.34,745986.2,386173.17,13957.67,345855.36,0.03,0.45101,0.39706,0.20555
2025,2024-10,2024-10,2025-09,US01,Events,Driver-based commercial,2326086.61,1049086.8,923601.96,478119.16,17280.92,428201.88,0.03,0.45101,0.39706,0.20555
2025,2024-10,2024-10,2025-10,US01,Events,Driver-based commercial,2415551.48,1089436.29,959125.11,496508.36,17945.57,444671.18,0.03,0.45101,0.39706,0.20555
2025,2024-10,2024-10,2025-11,US01,Events,Driver-based commercial,2505016.35,1129785.79,994648.27,514897.56,18610.22,461140.48,0.03,0.45101,0.39706,0.20555
2025,2024-10,2024-10,2025-12,US01,Events,Driver-based commercial,2639213.65,1190310.02,1047932.99,542481.36,19607.2,485844.44,0.03,0.45101,0.39706,0.20555
2025,2024-10,2024-10,2025-01,US01,Hardware,Driver-based commercial,4813517.77,1641576.08,1378747.94,667183.58,36460.49,675103.87,0.045,0.34103,0.28643,0.13861
2025,2024-10,2024-10,2025-02,US01,Hardware,Driver-based commercial,5032314.03,1716193.17,1441418.31,697510.11,38117.79,705790.41,0.045,0.34103,0.28643,0.13861
2025,2024-10,2024-10,2025-03,US01,Hardware,Driver-based commercial,5415207.49,1846773.09,1551091.44,750581.53,41018.05,759491.85,0.045,0.34103,0.28643,0.13861
2025,2024-10,2024-10,2025-04,US01,Hardware,Driver-based commercial,5524605.62,1884081.64,1582426.62,765744.8,41846.7,774835.12,0.045,0.34103,0.28643,0.13861
2025,2024-10,2024-10,2025-05,US01,Hardware,Driver-based commercial,5634003.76,1921390.18,1613761.8,780908.06,42675.35,790178.39,0.045,0.34103,0.28643,0.13861
2025,2024-10,2024-10,2025-06,US01,Hardware,Driver-based commercial,5743401.89,1958698.73,1645096.98,796071.32,43503.99,805521.66,0.045,0.34103,0.28643,0.13861
2025,2024-10,2024-10,2025-07,US01,Hardware,Driver-based commercial,5196411.23,1772155.99,1488421.08,720255.01,39360.76,728805.31,0.045,0.34103,0.28643,0.13861
2025,2024-10,2024-10,2025-08,US01,Hardware,Driver-based commercial,4594721.51,1566958.98,1316077.58,636857.06,34803.2,644417.33,0.045,0.34103,0.28643,0.13861
2025,2024-10,2024-10,2025-09,US01,Hardware,Driver-based commercial,5688702.82,1940044.46,1629429.39,788489.69,43089.67,797850.03,0.045,0.34103,0.28643,0.13861
2025,2024-10,2024-10,2025-10,US01,Hardware,Driver-based commercial,5907499.08,2014661.55,1692099.75,818816.22,44746.97,828536.57,0.045,0.34103,0.28643,0.13861
2025,2024-10,2024-10,2025-11,US01,Hardware,Driver-based commercial,6126295.35,2089278.65,1754770.11,849142.74,46404.26,859223.11,0.045,0.34103,0.28643,0.13861
2025,2024-10,2024-10,2025-12,US01,Hardware,Driver-based commercial,6454489.74,2201204.29,1848775.65,894632.53,48890.2,905252.92,0.045,0.34103,0.28643,0.13861
2025,2024-10,2024-10,2025-01,US01,Software,Driver-based commercial,809943.46,639535.4,604005.76,165531.14,6164.17,432310.44,0.12,0.7896,0.74574,0.20437
2025,2024-10,2024-10,2025-02,US01,Software,Driver-based commercial,846759.08,668605.19,631460.57,173055.28,6444.36,451960.92,0.12,0.7896,0.74574,0.20437
2025,2024-10,2024-10,2025-03,US01,Software,Driver-based commercial,911186.4,719477.33,679506.48,186222.53,6934.69,486349.25,0.12,0.7896,0.74574,0.20437
2025,2024-10,2024-10,2025-04,US01,Software,Driver-based commercial,929594.2,734012.22,693233.88,189984.61,7074.79,496174.49,0.12,0.7896,0.74574,0.20437
2025,2024-10,2024-10,2025-05,US01,Software,Driver-based commercial,948002.01,748547.12,706961.29,193746.68,7214.88,505999.72,0.12,0.7896,0.74574,0.20437
2025,2024-10,2024-10,2025-06,US01,Software,Driver-based commercial,966409.81,763082.01,720688.69,197508.75,7354.98,515824.96,0.12,0.7896,0.74574,0.20437
2025,2024-10,2024-10,2025-07,US01,Software,Driver-based commercial,874370.78,690407.53,652051.67,178698.39,6654.5,466698.77,0.12,0.7896,0.74574,0.20437
2025,2024-10,2024-10,2025-08,US01,Software,Driver-based commercial,773127.85,610465.61,576550.95,158007.0,5883.98,412659.97,0.12,0.7896,0.74574,0.20437
2025,2024-10,2024-10,2025-09,US01,Software,Driver-based commercial,957205.91,755814.56,713824.99,195627.71,7284.93,510912.34,0.12,0.7896,0.74574,0.20437
2025,2024-10,2024-10,2025-10,US01,Software,Driver-based commercial,994021.52,784884.35,741279.79,203151.86,7565.12,530562.82,0.12,0.7896,0.74574,0.20437
2025,2024-10,2024-10,2025-11,US01,Software,Driver-based commercial,1030837.14,813954.15,768734.6,210676.0,7845.31,550213.29,0.12,0.7896,0.74574,0.20437
2025,2024-10,2024-10,2025-12,US01,Software,Driver-based commercial,1086060.55,857558.83,809916.81,221962.21,8265.6,579689.0,0.12,0.7896,0.74574,0.20437
2026,2025-10,2025-10,2026-01,CN01,Hardware,Cost center run-rate,0.0,0.0,-199003.33,0.0,236111.11,-435114.44,0.0,0.0,0.0,0.0
2026,2025-10,2025-10,2026-02,CN01,Hardware,Cost center run-rate,0.0,0.0,-199003.33,0.0,236111.11,-435114.44,0.0,0.0,0.0,0.0
2026,2025-10,2025-10,2026-03,CN01,Hardware,Cost center run-rate,0.0,0.0,-199003.33,0.0,236111.11,-435114.44,0.0,0.0,0.0,0.0
2026,2025-10,2025-10,2026-04,CN01,Hardware,Cost center run-rate,0.0,0.0,-199003.33,0.0,236111.11,-435114.44,0.0,0.0,0.0,0.0
2026,2025-10,2025-10,2026-05,CN01,Hardware,Cost center run-rate,0.0,0.0,-199003.33,0.0,236111.11,-435114.44,0.0,0.0,0.0,0.0
