month,factory,factory_name,produced_units,capacity_units,utilization,capacity_increase_pct,actual_fixed_factory_cost,absorbed_fixed_cost,absorption_variance,under_absorption,over_absorption,fixed_cost_absorption_pct,fixed_factory_cost,capacity_headroom_units,fixed_cost_per_produced_unit,headroom_pct,utilization_check,absorption_rollforward_gap
2024-09,CZ01,Brno Smart Manufacturing,3373.97,14500.0,0.2327,0.0,620000.0,965698.16,-345698.16,0.0,345698.16,1.5576,620000.0,11126.03,183.75978446755605,0.7673124137931034,-1.241379310346069e-05,-5.820766091346741e-11
2024-09,CN01,Suzhou Manufacturing Hub,4124.86,21000.0,0.1964,0.0,760000.0,913818.9,-153818.9,0.0,153818.9,1.2024,760000.0,16875.14,184.24867753087378,0.8035780952380952,2.190476190475077e-05,-2.9103830456733704e-11
2024-10,CZ01,Brno Smart Manufacturing,2569.25,14500.0,0.1772,0.0,620000.0,733978.82,-113978.82,0.0,113978.82,1.1838,620000.0,11930.75,241.31555901527682,0.8228103448275862,-1.0344827586189487e-05,5.820766091346741e-11
2024-10,CN01,Suzhou Manufacturing Hub,3225.1,21000.0,0.1536,0.0,760000.0,715072.41,44927.59,44927.59,0.0,0.9409,760000.0,17774.9,235.65160770208675,0.8464238095238096,-2.3809523809509292e-05,-2.9103830456733704e-11
2024-11,CZ01,Brno Smart Manufacturing,2648.6,14500.0,0.1827,0.0,620000.0,738056.24,-118056.24,0.0,118056.24,1.1904,620000.0,11851.4,234.08593219059125,0.8173379310344827,-3.79310344827688e-05,1.4551915228366852e-11
2024-11,CN01,Suzhou Manufacturing Hub,3250.83,21000.0,0.1548,0.0,760000.0,703083.43,56916.57,56916.57,0.0,0.9251,760000.0,17749.17,233.78644838395118,0.8451985714285714,1.4285714285688922e-06,-5.093170329928398e-11
2024-12,CZ01,Brno Smart Manufacturing,2776.74,14500.0,0.1915,0.0,620000.0,822964.87,-202964.87,0.0,202964.87,1.3274,620000.0,11723.26,223.28341868522082,0.8085006896551724,-6.896551724422384e-07,0.0
2024-12,CN01,Suzhou Manufacturing Hub,3739.69,21000.0,0.1781,0.0,760000.0,770722.98,-10722.98,0.0,10722.98,1.0141,760000.0,17260.31,203.22540103591473,0.8219195238095238,-1.9523809523802615e-05,1.8189894035458565e-11
2025-01,CZ01,Brno Smart Manufacturing,137.97,14500.0,0.0095,0.0,620000.0,95663.83,524336.17,524336.17,0.0,0.1543,620000.0,14362.03,4493.730521127782,0.9904848275862069,1.517241379310301e-05,0.0
2025-01,CN01,Suzhou Manufacturing Hub,82.65,21000.0,0.0039,0.0,760000.0,78317.89,681682.11,681682.11,0.0,0.103,760000.0,20917.35,9195.402298850575,0.9960642857142856,3.571428571428649e-05,0.0
2025-02,CZ01,Brno Smart Manufacturing,2214.25,14500.0,0.1527,0.0,620000.0,671772.42,-51772.42,0.0,51772.42,1.0835,620000.0,12285.75,280.0045162018742,0.8472931034482759,6.896551724144828e-06,-4.3655745685100555e-11
2025-02,CN01,Suzhou Manufacturing Hub,2806.68,21000.0,0.1337,0.0,760000.0,586061.17,173938.83,173938.83,0.0,0.7711,760000.0,18193.32,270.7825616030328,0.8663485714285715,-4.857142857145336e-05,-2.9103830456733704e-11
2025-03,CZ01,Brno Smart Manufacturing,2448.12,14500.0,0.1688,0.0,620000.0,806886.41,-186886.41,0.0,186886.41,1.3014,620000.0,12051.880000000001,253.25555936800484,0.8311641379310346,3.5862068965497595e-05,-2.9103830456733704e-11
2025-03,CN01,Suzhou Manufacturing Hub,3316.07,21000.0,0.1579,0.0,760000.0,688570.56,71429.44,71429.44,0.0,0.906,760000.0,17683.93,229.18695926201798,0.8420919047619048,8.095238095223722e-06,-5.820766091346741e-11
2025-04,CZ01,Brno Smart Manufacturing,2296.23,14500.0,0.1584,0.0,620000.0,712429.55,-92429.55,0.0,92429.55,1.1491,620000.0,12203.77,270.00779538635067,0.8416393103448276,-3.9310344827597765e-05,-4.3655745685100555e-11
2025-04,CN01,Suzhou Manufacturing Hub,2752.77,21000.0,0.1311,0.0,760000.0,555508.26,204491.74,204491.74,0.0,0.7309,760000.0,18247.23,276.08554292585285,0.8689157142857142,-1.571428571428557e-05,0.0
2025-05,CZ01,Brno Smart Manufacturing,2484.26,14500.0,0.1713,0.0,620000.0,735521.91,-115521.91,0.0,115521.91,1.1863,620000.0,12015.74,249.5713009105327,0.828671724137931,2.827586206896604e-05,-2.9103830456733704e-11
2025-05,CN01,Suzhou Manufacturing Hub,2849.46,21000.0,0.1357,0.0,760000.0,616244.97,143755.03,143755.03,0.0,0.8108,760000.0,18150.54,266.7172025576776,0.8643114285714286,-1.1428571428551138e-05,2.9103830456733704e-11
2025-06,CZ01,Brno Smart Manufacturing,2722.71,14500.0,0.1878,0.0,620000.0,809500.22,-189500.22,0.0,189500.22,1.3056,620000.0,11777.29,227.71429935615618,0.8122268965517242,-2.6896551724137074e-05,2.9103830456733704e-11
2025-06,CN01,Suzhou Manufacturing Hub,3100.94,21000.0,0.1477,0.0,760000.0,662454.87,97545.13,97545.13,0.0,0.8717,760000.0,17899.06,245.0869736273517,0.8523361904761906,-3.6190476190467447e-05,0.0
2025-07,CZ01,Brno Smart Manufacturing,1588.1,14500.0,0.1095,0.0,620000.0,510575.09,109424.91,109424.91,0.0,0.8235,620000.0,12911.9,390.40362697563125,0.8904758620689655,2.4137931034479143e-05,-2.9103830456733704e-11
2025-07,CN01,Suzhou Manufacturing Hub,1697.6,21000.0,0.0808,0.0,760000.0,411112.05,348887.95,348887.95,0.0,0.5409,760000.0,19302.4,447.69085768143265,0.9191619047619048,3.809523809523985e-05,0.0
2025-08,CZ01,Brno Smart Manufacturing,1213.29,14500.0,0.0837,0.0,620000.0,334827.5,285172.5,285172.5,0.0,0.54,620000.0,13286.71,511.0072612483413,0.9163248275862068,-2.4827586206893626e-05,0.0
2025-08,CN01,Suzhou Manufacturing Hub,1339.31,21000.0,0.0638,0.0,760000.0,295984.04,464015.96,464015.96,0.0,0.3895,760000.0,19660.69,567.4563767910342,0.9362233333333333,-2.333333333333354e-05,0.0
2025-09,CZ01,Brno Smart Manufacturing,3820.89,14500.0,0.2635,0.0,620000.0,1075294.82,-455294.82,0.0,455294.82,1.7343,620000.0,10679.11,162.2658595248751,0.7364903448275862,9.655172413747248e-06,-5.820766091346741e-11
2025-09,CN01,Suzhou Manufacturing Hub,4399.17,21000.0,0.2095,0.0,760000.0,1026771.17,-266771.17,0.0,266771.17,1.351,760000.0,16600.83,172.75986151933205,0.7905157142857143,-1.571428571428557e-05,-5.820766091346741e-11
2025-10,CZ01,Brno Smart Manufacturing,2775.47,14500.0,0.1914,0.0,620000.0,752312.3,-132312.3,0.0,132312.3,1.2134,620000.0,11724.53,223.38558874713112,0.808588275862069,1.1724137931046208e-05,-5.820766091346741e-11
2025-10,CN01,Suzhou Manufacturing Hub,3194.9,21000.0,0.1521,0.0,760000.0,738094.18,21905.82,21905.82,0.0,0.9712,760000.0,17805.1,237.87911984725656,0.8478619047619047,3.809523809522597e-05,-5.093170329928398e-11
2025-11,CZ01,Brno Smart Manufacturing,2852.89,16820.0,0.1696,0.16,620000.0,790080.46,-170080.46,0.0,170080.46,1.2743,620000.0,13967.11,217.3234860089243,0.8303870392390013,1.296076099879806e-05,2.9103830456733704e-11
2025-11,CN01,Suzhou Manufacturing Hub,3431.63,21000.0,0.1634,0.0,760000.0,825820.2,-65820.2,0.0,65820.2,1.0866,760000.0,17568.37,221.4690977756926,0.8365890476190476,1.0952380952389262e-05,4.3655745685100555e-11
2025-12,CZ01,Brno Smart Manufacturing,3173.64,16820.0,0.1887,0.16,620000.0,836543.58,-216543.58,0.0,216543.58,1.3493,620000.0,13646.36,195.35927200312577,0.8113174791914388,-1.7479191438768416e-05,2.9103830456733704e-11
2025-12,CN01,Suzhou Manufacturing Hub,3664.5,21000.0,0.1745,0.0,760000.0,821520.18,-61520.18,0.0,61520.18,1.0809,760000.0,17335.5,207.39527902851685,0.8255,0.0,-5.093170329928398e-11
2026-01,CZ01,Brno Smart Manufacturing,97.2,16820.0,0.0058,0.16,620000.0,123357.87,496642.13,496642.13,0.0,0.199,620000.0,16722.8,6378.600823045267,0.9942211652794292,-2.1165279429250644e-05,0.0
2026-01,CN01,Suzhou Manufacturing Hub,87.24,21000.0,0.0042,0.0,760000.0,115191.05,644808.95,644808.95,0.0,0.1516,760000.0,20912.76,8711.60018340211,0.9958457142857142,-4.571428571428608e-05,0.0
2026-02,CZ01,Brno Smart Manufacturing,2449.42,16820.0,0.1456,0.16,620000.0,668827.36,-48827.36,0.0,48827.36,1.0788,620000.0,14370.58,253.12114704705604,0.8543745541022593,2.544589774078343e-05,1.4551915228366852e-11
2026-02,CN01,Suzhou Manufacturing Hub,2889.47,21000.0,0.1376,0.0,760000.0,744214.24,15785.76,15785.76,0.0,0.9792,760000.0,18110.53,263.0240147847183,0.8624061904761904,-6.190476190492955e-06,9.094947017729282e-12
2026-03,CZ01,Brno Smart Manufacturing,3109.85,16820.0,0.1849,0.16,620000.0,845352.47,-225352.47,0.0,225352.47,1.3635,620000.0,13710.15,199.36652893226363,0.8151099881093936,-9.988109393593847e-06,2.9103830456733704e-11
2026-03,CN01,Suzhou Manufacturing Hub,3723.26,21000.0,0.1773,0.0,760000.0,916281.48,-156281.48,0.0,156281.48,1.2056,760000.0,17276.739999999998,204.1221939912872,0.8227019047619046,-1.904761904758523e-06,2.9103830456733704e-11
2026-04,CZ01,Brno Smart Manufacturing,2618.77,16820.0,0.1557,0.16,620000.0,725504.12,-105504.12,0.0,105504.12,1.1702,620000.0,14201.23,236.75236847833142,0.8443061831153389,-6.1831153388980375e-06,0.0
2026-04,CN01,Suzhou Manufacturing Hub,3004.42,21000.0,0.1431,0.0,760000.0,756555.09,3444.91,3444.91,0.0,0.9955,760000.0,17995.58,252.96063799335644,0.856932380952381,-3.23809523809504e-05,3.2741809263825417e-11
2026-05,CZ01,Brno Smart Manufacturing,2438.19,16820.0,0.145,0.16,620000.0,680219.98,-60219.98,0.0,60219.98,1.0971,620000.0,14381.81,254.28699157981944,0.8550422116527943,-4.22116527942773e-05,2.1827872842550278e-11
2026-05,CN01,Suzhou Manufacturing Hub,2884.62,21000.0,0.1374,0.0,760000.0,732928.27,27071.73,27071.73,0.0,0.9644,760000.0,18115.38,263.4662451206745,0.8626371428571429,-3.714285714284671e-05,-1.8189894035458565e-11
2026-06,CZ01,Brno Smart Manufacturing,2252.17,16820.0,0.1339,0.16,620000.0,621861.06,-1861.06,0.0,1861.06,1.003,620000.0,14567.83,275.2900535927572,0.8661016646848989,-1.664684898927682e-06,-5.5933924159035087e-11
2026-06,CN01,Suzhou Manufacturing Hub,2742.17,21000.0,0.1306,0.0,760000.0,637064.66,122935.34,122935.34,0.0,0.8382,760000.0,18257.83,277.152765875201,0.8694204761904762,-2.0476190476181877e-05,-2.9103830456733704e-11
2026-07,CZ01,Brno Smart Manufacturing,1635.3,16820.0,0.0972,0.16,620000.0,488095.6,131904.4,131904.4,0.0,0.7873,620000.0,15184.7,379.13532685134226,0.9027764565992866,2.3543400713435525e-05,2.9103830456733704e-11
2026-07,CN01,Suzhou Manufacturing Hub,1873.67,21000.0,0.0892,0.0,760000.0,476802.52,283197.48,283197.48,0.0,0.6274,760000.0,19126.33,405.62105386754337,0.9107776190476191,2.2380952380954278e-05,0.0
2026-08,CZ01,Brno Smart Manufacturing,1271.56,16820.0,0.0756,0.16,620000.0,371035.4,248964.6,248964.6,0.0,0.5984,620000.0,15548.44,487.59004687155937,0.9244019024970274,-1.9024970273479047e-06,-2.9103830456733704e-11
2026-08,CN01,Suzhou Manufacturing Hub,1532.96,25200.0,0.0608,0.2,760000.0,338461.07,421538.93,421538.93,0.0,0.4453,760000.0,23667.04,495.7728838325853,0.939168253968254,3.174603174603552e-05,0.0
