month,cash,trade_receivables_gross,credit_loss_allowance,trade_receivables,inventory_gross,inventory_provision,inventory_legal_transfer_value,unrealized_ic_markup_reserve,inventory,ppe_gross,cip,accumulated_depreciation,trade_payables,tax_payable,debt,share_capital,retained_earnings,assets,liabilities,equity,balance_check,contract_liabilities
2025-04,109734197.53999999,49971130.36,91915.04000000004,49879215.32,37697750.35000001,95018.63,37697750.35000001,2792425.9518518522,34810305.768148154,104000000.0,1373770.99,-37324444.39999998,34025285.18,2961738.7100000004,38459977.02,93120000.0,86010917.09814817,262473045.21814817,83342128.12,179130917.09814817,0.0,7895127.210000001
2025-05,119903484.64999998,49218957.519999996,90359.26000000002,49128598.26,38828358.99000001,96122.1,38828358.99000001,2876174.74,35856062.150000006,104000000.0,2198324.63,-38046666.61999998,37572537.86,4643391.4,38459977.02,93120000.0,91252854.12,273039803.06999993,88666948.95,184372854.12,-5.960464477539063e-08,7991042.670000001
2025-06,120340890.75999999,50468724.60999999,91723.02000000003,50377001.58999999,40164613.35000001,94205.88,40164613.35000001,2975156.544444445,37095250.925555564,104000000.0,3100000.01,-38768888.83999998,38996928.260000005,1392483.4400000002,37979227.33000001,93120000.0,96493674.77555557,276144254.4455555,86530579.67000002,189613674.77555555,-5.960464477539063e-08,8161940.640000001
2025-07,121908049.32,45505508.89,84156.95000000004,45421351.94,36296614.300000004,75867.86,36296614.300000004,2688638.0962962965,33532108.34370371,104000000.0,4001675.3899999997,-39491111.05999998,26789764.369999997,2751657.66,37979227.33000001,93120000.0,100765799.32370372,269372073.9337037,75486274.61000001,193885799.3237037,0.0,7965625.25
2025-08,129714223.08999999,40077646.05,75027.04000000004,40002619.01,30675570.330000006,67523.41,30675570.330000006,2272264.468888889,28335782.451111116,104000000.0,4826229.029999999,-40213333.27999998,19996753.259999994,3966507.37,37979227.33000001,93120000.0,104074356.54111111,266665520.3011111,69471163.76,197194356.5411111,0.0,7528675.800000001
2025-09,136146427.67,52284629.93,104443.68000000004,52180186.25,39688407.860000014,109399.65000000001,39688407.860000014,2939882.0637037046,36639126.14629631,104000000.0,5745219.9399999995,-40935555.49999998,44148698.20999999,1353714.5700000003,37504487.000000015,93120000.0,110260125.15629631,293775404.5062963,90395279.35,203380125.1562963,-2.9802322387695312e-08,7388379.57
2025-10,137630585.09,52899339.81999999,95582.48000000004,52803757.339999996,40738665.32000001,143130.54,40738665.32000001,3017678.9125925926,37577855.86740742,104000000.0,6677214.14,-41657777.71999998,39351148.54999999,3297805.5700000003,37504487.000000015,93120000.0,116313746.93740743,297031634.7174074,87597887.78,209433746.93740743,-2.9802322387695312e-08,7444446.66
2025-11,145280158.47,53656982.449999996,97998.65000000005,53558983.8,42756682.19000001,142448.72999999998,42756682.19000001,3167161.6437037047,39447071.81629631,110200000.02,1355458.23,-42379999.939999975,41464525.78000001,5265140.850000001,37504487.000000015,93120000.0,122392424.66629632,307461672.3962963,91949247.73000002,215512424.6662963,0.0,7715094.1
2025-12,145571422.7,58940755.81,107264.79000000004,58833491.02,44624248.400000006,143801.19999999998,44624248.400000006,3305499.8814814817,41174947.31851852,110200000.02,2162847.88,-43166805.48999997,44846848.42,1668298.1800000006,37035680.900000006,93120000.0,129583904.75851852,314775903.4485186,92071998.69,222703904.75851852,5.960464477539063e-08,8521171.19
2026-01,144161035.49,42599275.51,78915.79000000004,42520359.72,33089000.06000001,85962.55,33089000.06000001,2451037.041481482,30552000.468518525,110200000.02,3217293.7199999997,-43953611.03999998,12273196.129999999,2988148.99,37035680.900000006,93120000.0,132901787.83851852,286697078.3785186,60675290.54000001,226021787.8385185,5.960464477539063e-08,8378264.52
2026-02,159791464.06,46411463.19,86188.81000000004,46325274.379999995,34754611.43000001,135644.09999999998,34754611.43000001,2574415.661481482,32044551.668518525,110200000.02,4496178.68,-44740416.589999974,27486965.64,4569087.300000001,37035680.900000006,93120000.0,137727759.0485185,308117052.21851856,77269293.17,230847759.0485185,2.9802322387695312e-08,8177559.33
2026-03,170735098.04999998,49362573.51,89303.51000000004,49273270.0,40394779.10000001,138560.52999999997,40394779.10000001,2992205.85925926,37264012.710740745,110200000.02,5910531.9799999995,-45527222.13999997,46592458.66999999,1371789.34,36572734.88,93120000.0,142580614.35074076,327855690.6207408,92155076.26999998,235700614.35074076,2.9802322387695312e-08,7618093.38
2026-04,169557925.66000003,50506487.39,92094.12000000004,50414393.27,43236050.55000001,171806.57,43236050.55000001,3202670.4111111118,39861573.5688889,110200000.02,7356746.2299999995,-46314027.68999997,43783839.9,2884964.4100000006,36572734.88,93120000.0,147125834.08888888,331076611.05888903,90830776.97,240245834.08888888,1.4901161193847656e-07,7589237.78
2026-05,169269449.75,52681382.46,95974.13000000003,52585408.33,43933460.51000001,147098.75,43933460.51000001,3254330.408148149,40532031.351851866,110200000.02,8724947.62,-47100833.239999965,40502741.879999995,4516790.55,36572734.88,93120000.0,152262451.30185187,334211003.8318519,88828552.53,245382451.30185187,2.9802322387695312e-08,7236285.22
2026-06,168115208.32999998,54339495.230000004,99916.40000000004,54239578.830000006,42998682.150000006,131532.21,42998682.150000006,3185087.566666667,39682062.373333335,110200000.02,10005839.05,-47887638.78999997,38362223.14,1386009.4599999997,36115575.67,93120000.0,157990284.45333332,334355049.8133334,83244765.36000001,251110284.45333332,5.960464477539063e-08,7380957.09
2026-07,173326319.39000002,50975317.82000001,94054.28000000003,50881263.54000001,38515372.60000001,110526.57999999999,38515372.60000001,2852990.5629629632,35551855.45703705,110200000.02,11141027.71,-48674444.33999997,29450457.18,3036652.4099999997,36115575.67,93120000.0,163197881.59703705,332426021.777037,76108140.18,256317881.59703705,-2.9802322387695312e-08,7505454.92
2026-08,187180210.49,48990616.04000001,90753.50000000003,48899862.54000001,36587348.870000005,110900.63,36587348.870000005,2710173.9903703704,33766274.24962963,118300000.0,3923623.5200000005,-49461249.88999996,32764748.42,4588615.18,36115575.67,93120000.0,168136864.90962964,342608720.90962964,81351856.00000001,261256864.90962964,0.0,7882916.7299999995
